"talking","talk","mluví","mluvit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"loved","love","líbilo","líbit","impf"," The crowd hadn ’ t the faintest idea what he was talking about, but they loved it nevertheless."," Schůzovníci netušili, o čem mluví, ale stejně se jim to líbilo."
"sought","seek","hledají","hledat","impf"," However, the Great Green Arkleseizure Theory is not widely accepted outside Viltvodle VI and so, the Universe being the puzzling place it is, other explanations are constantly being sought."," Kromě obyvatel Viltvodlu VI však teorii Velkého zeleného Křečopažouta téměř nikdo nepřikládá valnou míru, a tak vesmír zůstává hádankou, pro niž všichni neustále hledají vysvětlení."
"built","build","postavila","postavit","pf"," For instance, a race of hyperintelligent pan-dimensional beings once built themselves a gigantic supercomputer called Deep Thought to calculate once and for all the Answer to the Ultimate Question of Life, the Universe, and Everything."," Tak například jistá rasa hyperinteligentních pandimenzionálních bytostí si kdysi postavila obří superpočítač zvaný Hlubina myšlení, aby jim jednou provždy vypočítal Definitivní odpověď na Základní otázku života, vesmíru a vůbec."
"calculate","calculate","vypočítal","vypočítat","pf"," For instance, a race of hyperintelligent pan-dimensional beings once built themselves a gigantic supercomputer called Deep Thought to calculate once and for all the Answer to the Ultimate Question of Life, the Universe, and Everything."," Tak například jistá rasa hyperinteligentních pandimenzionálních bytostí si kdysi postavila obří superpočítač zvaný Hlubina myšlení, aby jim jednou provždy vypočítal Definitivní odpověď na Základní otázku života, vesmíru a vůbec."
"Says","say","mluví","mluvit","impf"," Says it all really doesn ’ t it? ”"," To mluví samo za sebe, že? """
"said","say","pronesl","pronést","pf"," “ Errr ... ” said Zaphod sympathetically."," "" Éé ..., "" pronesl Zafod soucitně."
"count","count","nepočítají","počítat","impf"," Except the victims of the Vortex - they don ’ t really count I ’ m afraid. ”"," S výjimkou obětí - ale ty se bohužel nepočítají. """
"ask","ask","Ptám","ptát","impf"," I ask merely for information, ” did little to improve his state of mind."," Ptám se jen pro informaci "", mu náladu příliš nepozvedly."
"rest","rest","odpočinuli","odpočinout","pf"," About half-way down the side of the shattered building they stopped to rest."," Asi v půli cesty se zastavili, aby si odpočinuli."
"lay","lay","ležel","ležet","impf"," It seemed to Zaphod as he lay there panting with fear and exhaustion that Marvin seemed a mite more cheerful than usual."," Zafod ležel, strachem a námahou těžce oddechoval a připadalo mu, že Marvin je přece jen drobátko veselejší než obvykle."
