"explain","explain","nevysvětluje","vysvětlovat","impf"," It 's just a word, it does n't explain anything."," Je to jen slovo a nevysvětluje nic."
"explain","explain","Nevysvětluje","vysvětlovat","impf"," It does n't explain why the dolphins disappeared. """," Nevysvětluje to, proč zmizeli delfíni. """
"disappeared","disappear","zmizeli","zmizet","pf"," It does n't explain why the dolphins disappeared. """," Nevysvětluje to, proč zmizeli delfíni. """
"added","add","dodal","dodat","pf"," "" No, "" he added thoughtfully."," "" Ne, "" dodal zamyšleně."
"added","add","dodal","dodat","pf"," "" No, "" he added again, even more thoughtfully."," "" Ne, "" dodal znovu, v ještě hlubším zamyšlení."
"said","say","řekl","říci","pf"," "" What? "" he said at last."," "" Cože? "" řekl nakonec."
"explain","explain","Nevysvětluje","vysvětlovat","impf"," "" Does n't explain the dolphins disappearing. """," "" Nevysvětluje to, proč zmizeli delfíni. """
"disappearing","disappear","zmizeli","zmizet","pf"," "" Does n't explain the dolphins disappearing. """," "" Nevysvětluje to, proč zmizeli delfíni. """
"mean","mean","myslíš","myslet","impf"," Which dolphins do you mean? """," Které delfíny myslíš? """
"mean","mean","myslíš","myslet","impf"," "" What do you mean which dolphins?"," "" Co tím myslíš, které delfíny?"
"said","say","řekl","říci","pf"," Have you ... "" he said, and fell asleep for three hours."," Máš ... "" řekl ještě a na tři hodiny tvrdě usnul."
"fell","fall","usnul","usnout","pf"," Have you ... "" he said, and fell asleep for three hours."," Máš ... "" řekl ještě a na tři hodiny tvrdě usnul."
"continued","continue","pokračoval","pokračovat","impf"," "" ... the faintest idea "" he continued suddenly, when he revived, "" how hard it is to tap into the British phone system from the Pleiades?"," "" ... vůbec tušení, "" pokračoval nečekaně, když zase ožil, "" jak těžké je napíchnout britské telefony ze souhvězdí Plejád?"
"see","see","Vidím","vidět","impf"," I can see that you have n't, so I 'll tell you, "" he said, "" over the very large mug of black coffee that you are about to make me. """," Vidím, že nemáš, a tak ti to řeknu, "" odmlčel se, "" nad obřím hrncem černé kávy, kterou se mi zrovna chystáš uvařit. """
"tell","tell","řeknu","říci","pf"," I can see that you have n't, so I 'll tell you, "" he said, "" over the very large mug of black coffee that you are about to make me. """," Vidím, že nemáš, a tak ti to řeknu, "" odmlčel se, "" nad obřím hrncem černé kávy, kterou se mi zrovna chystáš uvařit. """
"said","say","řeknu","říci","pf"," I can see that you have n't, so I 'll tell you, "" he said, "" over the very large mug of black coffee that you are about to make me. """," Vidím, že nemáš, a tak ti to řeknu, "" odmlčel se, "" nad obřím hrncem černé kávy, kterou se mi zrovna chystáš uvařit. """
"make","make","uvařit","uvařit","pf"," I can see that you have n't, so I 'll tell you, "" he said, "" over the very large mug of black coffee that you are about to make me. """," Vidím, že nemáš, a tak ti to řeknu, "" odmlčel se, "" nad obřím hrncem černé kávy, kterou se mi zrovna chystáš uvařit. """
"followed","follow","následoval","následovat","impf"," He followed Arthur wobbily into the kitchen."," Vrávoravě následoval Arthura do kuchyně."
"phoned","phone","zavolal","zavolat","pf"," "" I phoned Mrs Watson again, "" said Arthur."," "" Tak jsem znova zavolal paní Watsonové, "" pokračoval Arthur."
"see","see","chápeš","chápat","impf"," "" I 'm glad you see."," "" Jsem rád, že to chápeš."
"thought","think","Myslel","myslet","impf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
"believe","believe","Myslel","myslet","impf"," I thought you might n't believe any of this, so when I called her this time I used the telephone answering machine to record the call. """," Myslel jsem, že ničemu z toho nebudeš věřit, takže když jsem jí tentokrát volal, nahrál jsem to na telefonní záznamník. """
