"give","give","dáš","dát","pf"," "" And you 're ready to give it to us? "" urged Loonquawl."," "" A ty nám ji dáš? "" loudil Lúnkvól."
"said","say","řekl","říci","pf"," "" Ah, "" said Arthur, "" this is obviously some strange usage of the word safe that I was n't previously aware of. """," "" Aha, "" řekl Arthur, "" to bude zřejmě nějaký okrajový význam slova bezpečí, který neznám. """
"seemed","seem","Zdálo","zdát","impf"," Hideous alien shapes seemed to throng about him, the air was thick with musty smells which sidled into his lungs without identifying themselves, and a low irritating hum kept his brain from focusing."," Zdálo se mu, že se kolem něj houfují ohyzdné stíny, vzduch houstl zatuchlými pachy, které se mu vkrádaly do plic, aniž prozradily svou totožnost, a tiché, rozčilující hučení mu bránilo v soustředění."
"kept","keep","bránilo","bránit","impf"," Hideous alien shapes seemed to throng about him, the air was thick with musty smells which sidled into his lungs without identifying themselves, and a low irritating hum kept his brain from focusing."," Zdálo se mu, že se kolem něj houfují ohyzdné stíny, vzduch houstl zatuchlými pachy, které se mu vkrádaly do plic, aniž prozradily svou totožnost, a tiché, rozčilující hučení mu bránilo v soustředění."
"continued","continue","pokračoval","pokračovat","impf"," The old man paused, and with a sympathetic frown continued."," Kmet se odmlčel, pak se účastně zamračil a pokračoval :"
"cleared","clear","vyjasnil","vyjasnit","pf"," Arthur thought about this for a second, and then his face cleared."," Arthur se na vteřinu zamyslel, potom však vyjasnil tvář."
"do","do","dělali","dělat","impf"," No, look you see, what happened was that we used to do experiments on them."," Ve skutečnosti to bylo naopak - my jsme dělali pokusy na nich."
"mean","mean","myslíte","myslet","impf"," "" What do you mean, why 's it got to be built? """," "" Jak to myslíte, proč se musí postavit? """
"built","build","postavit","postavit","pf"," "" What do you mean, why 's it got to be built? """," "" Jak to myslíte, proč se musí postavit? """
"looking","look","vyhlížel","vyhlížet","impf"," In fact what he was really looking out for when he[ ]stared distractedly into the night sky was any kind of flying saucer at all."," To, co však skutečně vyhlížel, když roztržitě zíral do nebe, byl jakýkoliv létající talíř."
"said","say","mluvil","mluvit","impf"," The reason he said green was that green was the traditional space livery of the Betelgeuse trading scouts."," O zelených mluvil jen proto, že zelená byla tradiční barva uniformy Betelgeuzských průzkumníků trhu."
"start","start","začít","začít","pf"," He decided to start smaller again."," Chce to začít s něčím menším, usoudil."
"decided","decide","usoudil","usoudit","pf"," He decided to start smaller again."," Chce to začít s něčím menším, usoudil."
"believed","believe","nevěřil","věřit","impf"," He 'd never seriously believed it existed anyway."," Stejně nikdy doopravdy nevěřil, že existuje."
"existed","exist","existuje","existovat","impf"," He 'd never seriously believed it existed anyway."," Stejně nikdy doopravdy nevěřil, že existuje."
"sunk","sink","klesl","klesnout","pf"," The dollar, he thought, had sunk for ever."," Dolar klesl jednou provždy."
"said","say","říkal","říkat","impf"," Every Bogart movie has been wiped, he said to himself,"," Všechny filmy s Humphrey Bogartem byly zničeny, říkal si v duchu."
"came","come","přišel","přijít","pf"," When he came round a second later he found he was sobbing for his mother."," Když o vteřinu později přišel k sobě, zjistil, že vzlyká a volá maminku."
"found","find","zjistil","zjistit","pf"," When he came round a second later he found he was sobbing for his mother."," Když o vteřinu později přišel k sobě, zjistil, že vzlyká a volá maminku."
"stick","stick","vrazit","vrazit","pf"," "" The best way to get a drink out of a Vogon is to stick your finger down his throat, and the best way to irritate him is to feed his grandmother to the Ravenous Bugblatter Beast of Traal."," Nejlepší způsob, jak vymáčknout z Vogona drink, je vrazit mu prst do krku, a nejlepší způsob, jak ho rozčilit, je předhodit jeho babičku žravé Blátotlačce z Traalu."
"allow","allow","nenechte","nechat","pf"," "" On no account allow a Vogon to read poetry at you. """," V žádném případě nenechte Vogona, aby vám recitoval poezii. """
"get","get","dostali","dostat","pf"," How did we get a lift then? """," Jak jsme se sem tedy dostali? """
"discovered","discover","objevila","objevit","pf"," When one day an expedition was sent to the spatial coordinates that Voojagig had claimed for this planet they discovered only a small asteroid inhabited by a solitary old man who claimed repeatedly that nothing was true, though he was later discovered to be lying."," Když na souřadnice, jaké údajně měla mít Vújagigova planeta, přiletěla jednoho dne výprava, objevila jen malý asteroid obývaný samotářským dědkem, který neustále prohlašoval, že nic není pravda, což se navíc posléze ukázalo jako lživé tvrzení."
"discovered","discover","objevila","objevit","pf"," When one day an expedition was sent to the spatial coordinates that Voojagig had claimed for this planet they discovered only a small asteroid inhabited by a solitary old man who claimed repeatedly that nothing was true, though he was later discovered to be lying."," Když na souřadnice, jaké údajně měla mít Vújagigova planeta, přiletěla jednoho dne výprava, objevila jen malý asteroid obývaný samotářským dědkem, který neustále prohlašoval, že nic není pravda, což se navíc posléze ukázalo jako lživé tvrzení."
"remain","remain","zůstávají","zůstávat","impf"," There did, however, remain the question of both the mysterious 60, 000 Altairan dollars paid yearly into his Brantisvogan bank account, and of course Zaphod Beeblebrox 's highly profitable second-hand biro business."," Jediné nejasnosti, které nicméně ještě zůstávají, se týkají oněch záhadných šedesáti tisíc altairských dolarů, vyplácených každoročně na Vújagigovo bankovní konto v Brantisvoganu, a potom také Zafodova kvetoucího kšeftu s ojetými propisovačkami."
"began","begin","začal","začít","pf"," The Vogon began to read - a fetid little passage of his own devising."," Vogon začal číst - krátkou leč nechutnou pasáž z vlastní tvorby."
"read","read","číst","číst","impf"," The Vogon began to read - a fetid little passage of his own devising."," Vogon začal číst - krátkou leč nechutnou pasáž z vlastní tvorby."
"see","see","viděl","vidět","impf"," He could dimly see beside him Arthur lolling and rolling in his seat."," Ve vedlejším křesle nezřetelně viděl Arthura, jak se střídavě svíjí a ochabuje."
"beginning","begin","začínal","začínat","impf"," Slowly, the computer bank was beginning to disintegrate."," Kryt počítače se začínal pomalu rozpouštět."
