"kept","keep","měl","mít","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"held","hold","měl","mít","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"changing","change","měnil","měnit","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"whispered","whisper","šeptala","šeptat","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"spoken","speak","říkal","říkat","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"desired","desire","chtěl","chtít","impf"," One day the master was out, and then the lad, as curious as could be, hurried to the chamber where his master kept his wondrous apparatus for changing copper into silver, and where was his mirror in which he could see all that was passing in the world, and where was the shell which when held to the ear whispered all the words that were being spoken by any one the master desired to know about."," Jednoho dne nebyl učitel doma a žák, zvědavostí celý bez sebe, běžel do pracovny, kde měl učitel svůj přístroj, co měnil měď ve stříbro, zrcadlo, které ukazovalo všechno dění na celém světě, a mušli, která, když se k uchu přiložila, šeptala všechno, co říkal ten, o kom se učitel chtěl něco dozvědět."
"noticed","notice","nevšimla","všimnout","pf"," It must have been there a long, long time, but somehow or other she had never noticed it before, and she began a-thinking."," Ta sekera musila tam jistě být už odnepaměti, jenže holka si jí nikdy předtím nevšimla."
"thought","think","Pomyslila","pomyslit","pf"," And she thought it was very dangerous to have that mallet there, for she said to herself :"," Pomyslila si, jak nebezpečné je mít takovou sekeru ve stropě zaraženou :"
"thought","think","mít","mít","impf"," And she thought it was very dangerous to have that mallet there, for she said to herself :"," Pomyslila si, jak nebezpečné je mít takovou sekeru ve stropě zaraženou :"
"took","take","vzali","vzít","pf"," Then Jan and his wife got down from the tree, took as many money-bags as they could carry on the door, and went straight home."," Potom Jan a jeho žena slezli, vzali tolik pytlíků, kolik jen na dveřích mohli pobrat, a šli rovnou domů."
"went","go","šli","jít","impf"," Then Jan and his wife got down from the tree, took as many money-bags as they could carry on the door, and went straight home."," Potom Jan a jeho žena slezli, vzali tolik pytlíků, kolik jen na dveřích mohli pobrat, a šli rovnou domů."
"bought","buy","koupil","koupit","pf"," And Jan bought his wife more cows, and more pigs, and they lived happy ever after."," Jan koupil ženě další stračeny a další prasata a žili si šťastně až do smrti."
