"glistened","glisten","leskla","lesknout","impf"," That involved the one visible spray, a faintly pink mist that glistened liquidly in air, but dried and deepened richly on contact with the lips."," Tato jediná viditelná vrstva se na vzduchu leskla jako bledě růžová mlha, ale jak usychala na rtech, rychle tmavla."
"turned","turn","Otočil","otočit","pf"," He turned the knob back into the off position and moved back to bed."," Otočil knoflík do původní polohy a vrátil se zpátky do postele."
"needed","need","potřeboval","potřebovat","impf"," It was all he needed."," To bylo všechno, co potřeboval vědět."
"mean","mean","Chceš","chtít","impf"," Do you mean he 's gone?"," Chceš říct, že odešel?"
"gone","go","odešel","odejít","pf"," Do you mean he 's gone?"," Chceš říct, že odešel?"
"answer","answer","odpověz","odpovědět","pf"," And before he does, answer my question. """," Ale než se vrátí, odpověz mi na mou otázku. """
"do","do","udělat","udělat","pf"," I can do anything I want to him, the way I can to that microbalance night there."," Je schopen udělat všechno, co po něm chci, tak jako tahle mikrováha."
"want","want","chci","chtít","impf"," I can do anything I want to him, the way I can to that microbalance night there."," Je schopen udělat všechno, co po něm chci, tak jako tahle mikrováha."
"take","take","udělá","udělat","pf"," I can order him to take a blaster to himself and he 'll do it."," Můžu mu nařídit, aby se zastřelil, a on to udělá."
"do","do","udělá","udělat","pf"," I can order him to take a blaster to himself and he 'll do it."," Můžu mu nařídit, aby se zastřelil, a on to udělá."
"present","present","ukázali","ukázat","pf"," Maybe they would present his corpse to the Commissioner, shake their heads, and speak of an Earthman conspiracy having struck again."," Snad by komisařovi ukázali jeho mrtvolu, potřásajíce hlavami, a hovořili by o spiknutí, které provedli Pozemšťané."
"speak","speak","hovořili","hovořit","impf"," Maybe they would present his corpse to the Commissioner, shake their heads, and speak of an Earthman conspiracy having struck again."," Snad by komisařovi ukázali jeho mrtvolu, potřásajíce hlavami, a hovořili by o spiknutí, které provedli Pozemšťané."
"believe","believe","uvěřil","uvěřit","pf"," The Commissioner would believe them."," Komisař by jim uvěřil."
"hated","hate","nenáviděl","nenávidět","impf"," If he hated Spacers, it was a hatred based on fear."," Jestliže nenáviděl Vesmířany, byla to nenávist rodící se ze strachu."
"Come","come","Pojďte","jít","impf"," "" Come here. """," "" Pojďte sem. """
"thought","think","pomyslel","pomyslet","pf"," Like his glasses, Baley thought."," Tak jako s brýlemi, pomyslel si Baley."
"said","say","řekla","říci","pf"," "" Just Jessie, "" she said, tightly."," "" Prostě Jessie, "" řekla ostře."
"calls","call","říká","říkat","impf"," "" Everyone calls me that."," "" Každý mi tak říká."
"opened","open","Otevřely","otevřít","pf"," The door opened and a youngster entered cautiously."," Otevřely se dveře a do místnosti vklouzl mládenec."
"said","say","řekl","říci","pf"," "" Dad? "" said the boy, uncertainly."," "" Táti? "" řekl chlapec nejistě."
"said","say","pravil","pravit","pf"," "" My son, Bentley, "" said Baley, in a low voice."," "" Můj syn Bentley, "" pravil Baley tichým hlasem."
"put","put","vyjádřit","vyjádřit","pf"," Baley put the best face on it."," Baley se to snažil vyjádřit, jak nejlépe dovedl :"
"give","give","dáváme","dávat","impf"," "" Curiosity is the name we give to a desire to extend one 's knowledge. """," "" Zvědavost je název, který dáváme touze rozšiřovat vlastní znalosti. """
"extend","extend","rozšiřovat","rozšiřovat","impf"," "" Curiosity is the name we give to a desire to extend one 's knowledge. """," "" Zvědavost je název, který dáváme touze rozšiřovat vlastní znalosti. """
"wanted","want","Potřeboval","potřebovat","impf"," He wanted time to think and orient himself."," Potřeboval čas, aby mohl přemýšlet a všechno zvážit."
"think","think","přemýšlet","přemýšlet","impf"," He wanted time to think and orient himself."," Potřeboval čas, aby mohl přemýšlet a všechno zvážit."
"moved","move","postupovala","postupovat","impf"," Slowly as it moved, the motospiral went too quickly to satisfy him."," Motospirála sice postupovala pomalu, přesto se pohybovala pro něj příliš rychle."
"went","go","postupovala","postupovat","impf"," Slowly as it moved, the motospiral went too quickly to satisfy him."," Motospirála sice postupovala pomalu, přesto se pohybovala pro něj příliš rychle."
"moved","move","pohybovala","pohybovat","impf"," Slowly as it moved, the motospiral went too quickly to satisfy him."," Motospirála sice postupovala pomalu, přesto se pohybovala pro něj příliš rychle."
"questioning","question","vyšetřovat","vyšetřovat","impf"," R. Daneel said, "" It seems then we will not be questioning Clousarr just yet. """," "" Zdá se, že hned teď Clousarra vyšetřovat nebudeme, "" řekl R. Daneel."
"said","say","řekl","říci","pf"," R. Daneel said, "" It seems then we will not be questioning Clousarr just yet. """," "" Zdá se, že hned teď Clousarra vyšetřovat nebudeme, "" řekl R. Daneel."
"said","say","řekl","říci","pf"," "" He 'll keep, "" said Baley, irritably."," "" Počká, "" řekl Baley podrážděně."
"find","find","zjistíme","zjistit","pf"," "" Let 's find out what the R. Sammy thing is all about. """," "" Nejdřív zjistíme, co se stalo s R. Sammym, "" dodal polohlasně, víc sám pro sebe než pro R. Daneela."
"listening","listen","poslouchat","poslouchat","impf"," "" I 'm not interested in listening. """," "" Nemám žádnou chuť vás poslouchat. """
