"pulled","pull","Tahal","tahat","impf"," His brows furrowed doubtfully and he pulled the end of his brown mustache."," Tahal se za koneček hnědého kníru a pochybovačně ježil obočí."
"sat","sit","seděl","sedět","impf"," Robot QT-l sat immovable."," Robot CHTR - 1 seděl bez hnutí."
"do","do","jít","jít","impf"," And now -- if you do n't mind -- you can leave."," A teď - jestli proti tomu nic nemáš - můžeš jít."
"take","take","Vezmi","vzít","pf"," And take this data with you and file it properly. """," Vezmi si tyhle údaje a pečlivě je zaznamenej. """
"left","leave","odešel","odejít","pf"," Cutie accepted the graphs handed him and left without another word."," Chytroušek uchopil podávané listy papíru a bez jediného slova odešel."
"deducing","deduce","odvodit","odvodit","pf"," "" Because I, a reasoning being, am capable of deducing Truth from a priori Causes."," "" Protože já jako bytost nadaná rozumem jsem schopen odvodit pravdu z apriorních předpokladů."
"need","need","musí","muset","impf"," You, being intelligent, but unreasoning, need an explanation of existence supplied to you, and this the Master did."," Vy jste inteligentní, ale neumíte logicky uvažovat, a tak vám musí být vaše existence vysvětlena, což Pán učinil."
"did","do","učinil","učinit","pf"," You, being intelligent, but unreasoning, need an explanation of existence supplied to you, and this the Master did."," Vy jste inteligentní, ale neumíte logicky uvažovat, a tak vám musí být vaše existence vysvětlena, což Pán učinil."
"supplied","supply","poskytl","poskytnout","pf"," That he supplied you with these laughable ideas of far-off worlds and people is, no doubt, for the best."," Že vám poskytl tyhle směšné představy o vzdálených světech a lidech, je pro vás nepochybně nejlepší."
"pervaded","pervade","pronikal","pronikat","impf"," The huge generators were in motion and from the L-tubes came the low-pitched whir that pervaded the entire station."," Obří generátory byly v chodu a z laserů vycházel hluboký brum, který pronikal do všech koutů stanice."
"sat","sit","seděl","sedět","impf"," For three hours, Cutie had sat, speechless and motionless, and his face, inexpressive at all times, was now absolutely unreadable."," Po celé tři hodiny seděl Chytroušek mlčky a nehybně a jeho tvář, vždy bezvýrazná, byla nyní naprosto nevyzpytatelná."
"withdrew","withdraw","vyňal","vyjmout","pf"," Donovan uncapped the tightly sealed container and from the oil bath within he withdrew a second cube."," Donovan otevřel vzduchotěsně uzavřenou nádobu a z oleje vyňal ještě jednu krychli."
"Opening","open","otevřel","otevřít","pf"," Opening this in turn, be removed a globe from its sponge-rubber casing."," Pak otevřel i tu a z molitanového obložení vyndal kouli."
"created","create","stvořil","stvořit","pf"," He handled it gingerly, for it was the most complicated mechanism ever created by man."," Opatrně ji držel v ruce, neboť to byl nejsložitější mechanismus, jaký kdy člověk stvořil."
"Listen","listen","Poslyš","slyšet","impf"," "" Listen, do we have to sit here and listen to this metal maniac -- """," "" Poslyš, to tu musíme sedět a poslouchat toho ocelového maniaka - """
"listen","listen","Poslyš","slyšet","impf"," "" Listen, do we have to sit here and listen to this metal maniac -- """," "" Poslyš, to tu musíme sedět a poslouchat toho ocelového maniaka - """
"sit","sit","sedět","sedět","impf"," "" Listen, do we have to sit here and listen to this metal maniac -- """," "" Poslyš, to tu musíme sedět a poslouchat toho ocelového maniaka - """
"Listen","listen","poslouchat","poslouchat","impf"," "" Listen, do we have to sit here and listen to this metal maniac -- """," "" Poslyš, to tu musíme sedět a poslouchat toho ocelového maniaka - """
"listen","listen","poslouchat","poslouchat","impf"," "" Listen, do we have to sit here and listen to this metal maniac -- """," "" Poslyš, to tu musíme sedět a poslouchat toho ocelového maniaka - """
"told","tell","řekl","říci","pf"," I told you already that we made you. """," Už jsem ti přece řekl, že jsme tě my dva smontovali. """
"serve","serve","sloužím","sloužit","impf"," From now on, I serve the Master. """," Od tohoto okamžiku mu sloužím já. """
"satisfied","satisfy","nepřesvědčíme","přesvědčit","pf"," "" You 'll follow our orders and keep quiet, until we 're satisfied that you can run the Converter."," "" Budeš dělat to, co ti řekneme, a přestaneš žvanit, dokud se nepřesvědčíme, že jsi schopen obsluhovat konvertor."
"dismantled","dismantle","rozebereme","rozebrat","pf"," If you do n't satisfy us, you will be dismantled."," Jestliže s tebou nebudeme spokojeni, tak tě rozebereme na součástky."
"pointed","point","ukázal","ukázat","pf"," He pointed a disapproving finger at what remained of Donovan 's sandwich."," Prstem opovržlivě ukázal na zbytky Donovanova sendviče."
"impairs","impair","naruší","narušit","pf"," "" Periodically you pass into a coma and the least variation in temperature, air pressure, humidity, or radiation intensity impairs your efficiency."," "" V pravidelných intervalech upadáte do podivného bezvědomí a sebemenší změna teploty, tlaku, vlhkosti vzduchu nebo intenzity záření naruší vaši výkonnost."
"passed","pass","Uplynulo","uplynout","pf"," Fifteen seconds passed, and then, with a clank heard above the clamorous purring all about, they fell to their knees."," Uplynulo asi patnáct vteřin a pak všichni s rachotem, který přehlušil i všudypřítomné hlasité bručení strojů, padli na kolena."
"fell","fall","padli","padnout","pf"," Fifteen seconds passed, and then, with a clank heard above the clamorous purring all about, they fell to their knees."," Uplynulo asi patnáct vteřin a pak všichni s rachotem, který přehlušil i všudypřítomné hlasité bručení strojů, padli na kolena."
"like","like","nechcete","chtít","impf"," Still, would you like to see some of the readings recorded today? """," Nicméně, nechcete se podívat na některá dnešní měření? """
"see","see","podívat","podívat","pf"," Still, would you like to see some of the readings recorded today? """," Nicméně, nechcete se podívat na některá dnešní měření? """
"believes","believe","Věří","věřit","impf"," He believes only reason, and there 's one trouble with that --, ' His voice trailed away."," Věří jen rozumovým argumentům a v tom je ten háček - "" Odmlčel se."
"get","get","přijít","přijít","pf"," "" Then let 's get at those postulates in a hurry."," "" Tak na ně musíme co nejdřív přijít."
"sighed","sigh","vzdychl","vzdychnout","pf"," Powell sighed wearily."," Powell utrápeně vzdychl."
"based","base","založeny","založit","pf"," Postulates are based on assumption and adhered to by faith."," Postuláty jsou založeny na předpokladech a víře."
"got","get","nepřijedou","přijet","pf"," If it would only hold off till relief got here, but that 's ten days off."," Kdyby to tak chtělo počkat, dokud nás nepřijedou vystřídat, ale to je ještě deset dní."
"leaned","lean","Naklonil","naklonit","pf"," Donovan leaned over the railing and looked down."," Naklonil se přes zábradlí a pohlédl pod sebe."
"looked","look","pohlédl","pohlédnout","pf"," Donovan leaned over the railing and looked down."," Naklonil se přes zábradlí a pohlédl pod sebe."
"asked","ask","zeptal","zeptat","pf"," "" Has it been field-tested? "" asked Powell anxiously."," "" Už to někdo vyzkoušel v praxi? "" zeptal se Powell s úzkostí v hlase."
"get","get","dostanete","dostat","pf"," "" Oh, you 'll get it."," "" Klid, dovolenou dostanete."
"think","think","Myslím","myslet","impf"," Two weeks, I think. """," Myslím, že čtrnáct dní. """
"kept","keep","Udržel","udržet","pf"," "" You kept the beam directed sharply at the receiving station -- to within a ten-thousandth of a milli-second of arc. """," "" Udržel jsi paprsek namířený přesně na přijímací stanici - v rozmezí úhlové odchylky řádu milióntiny vteřiny. """
"kept","keep","Udržel","udržet","pf"," "" You kept it in focus. """," "" Udržel jsi ho v ohnisku. """
"turned","turn","odvrátil","odvrátit","pf"," Cutie turned on his heel in annoyance."," Chytroušek se znechuceně odvrátil."
