"think","think","neměl","mít","impf"," But she is very young; she has never been taught to think on serious subjects; and for the last half year, nay, for a twelvemonth, she has been given up to nothing but amusement and vanity."," Ale je velmi mladá, nikdo ji nikdy neměl k tomu, aby o něčem vážně přemýšlela, a posledního půl roku, ne, už rok, se nestarala o nic než o zábavy a malichernosti."
"think","think","přemýšlela","přemýšlet","impf"," But she is very young; she has never been taught to think on serious subjects; and for the last half year, nay, for a twelvemonth, she has been given up to nothing but amusement and vanity."," Ale je velmi mladá, nikdo ji nikdy neměl k tomu, aby o něčem vážně přemýšlela, a posledního půl roku, ne, už rok, se nestarala o nic než o zábavy a malichernosti."
"came","come","přišla","přijít","pf"," She has been allowedto dispose of her time in the most idle and frivolous manner, and to adopt any opinions that came in her way."," Naši jí dovolili lehkovážně marnit čas a přejímat jakékoli názory, s nimiž přišla do styku."
"followed","follow","Následovala","následovat","impf"," She followed him thither; and her curiosity to know what he had to tell her was heightened by the supposition of its being in some manner connected with the letter he held."," Následovala ho, zvědavá, co jí chce sdělit, neboť předpokládala, že to nějak souvisí s dopisem, který třímal v ruce."
"tell","tell","sdělit","sdělit","pf"," She followed him thither; and her curiosity to know what he had to tell her was heightened by the supposition of its being in some manner connected with the letter he held."," Následovala ho, zvědavá, co jí chce sdělit, neboť předpokládala, že to nějak souvisí s dopisem, který třímal v ruce."
"removed","remove","zbavila","zbavit","pf"," She was not of so ungovernable a temper as Lydia; and, removed from the influence of Lydia 's example, she became, by proper attention and management, less irritable, less ignorant, and less insipid."," Nebyla tak nepoddajná jako Lydia, a když se vymanila z Lydiina vlivu a sestry se jí věnovaly a dohlížely na ni, zbavila se do jisté míry své ufňukanosti, hloupých nápadů a nepěkných zvyků."
"kept","keep","chráněna","chránit","impf"," From the further disadvantage of Lydia 's society she was of course carefully kept, and though Mrs Wickham frequently invited her to come and stay with her, with the promise of balls and young men, her father would never consent to her going."," Samozřejmě že byla pečlivě chráněna dalšího neblahého Lydiina působení, a třebaže ji paní Wickhamová často zvala na návštěvu a slibovala jí bály a mládence, otec nikdy nepřipustil, aby jela."
"invited","invite","zvala","zvát","impf"," From the further disadvantage of Lydia 's society she was of course carefully kept, and though Mrs Wickham frequently invited her to come and stay with her, with the promise of balls and young men, her father would never consent to her going."," Samozřejmě že byla pečlivě chráněna dalšího neblahého Lydiina působení, a třebaže ji paní Wickhamová často zvala na návštěvu a slibovala jí bály a mládence, otec nikdy nepřipustil, aby jela."
"going","go","jela","jet","impf"," From the further disadvantage of Lydia 's society she was of course carefully kept, and though Mrs Wickham frequently invited her to come and stay with her, with the promise of balls and young men, her father would never consent to her going."," Samozřejmě že byla pečlivě chráněna dalšího neblahého Lydiina působení, a třebaže ji paní Wickhamová často zvala na návštěvu a slibovala jí bály a mládence, otec nikdy nepřipustil, aby jela."
"opened","open","odkryl","odkrýt","pf"," Mr Philips visited them all, and this opened to his nieces a source of felicity unknown before."," Pan Philips je všechny po řadě navšívil a tímto činem odkryl svým neteřím pramen dlouho nepoznaného štěstí."
"talking","talk","hovořili","hovořit","impf"," ' Sir William 's interruption has made me forget what we were talking of. '"," "" Nemohu si vzpomenout, o čem jsme to hovořili, než nás sir William přerušil. """
"think","think","Myslím","myslet","impf"," ' I do not think we were speaking at all."," "" Myslím, že jsme vůbec nehovořili."
"speaking","speak","nehovořili","hovořit","impf"," ' I do not think we were speaking at all."," "" Myslím, že jsme vůbec nehovořili."
"interrupted","interrupt","přerušit","přerušit","pf"," Sir William could not have interrupted any two people in the room who had less to say for themselves."," Sir William nemohl přerušit v tomhle sále dvojici, která by si toho měla méně co říci."
"say","say","říci","říci","pf"," Sir William could not have interrupted any two people in the room who had less to say for themselves."," Sir William nemohl přerušit v tomhle sále dvojici, která by si toho měla méně co říci."
"tried","try","Vyzkoušeli","vyzkoušet","pf"," We have tried two or three subjects already without success, and what we are to talk of next I cannot imagine. '"," Vyzkoušeli jsme už neúspěšně dva nebo tři náměty, opravdu nevím, o čem bychom si ještě povídali. """
"said","say","říkala","říkat","impf"," ' What think you of books? ' said he, smiling."," "" Co byste říkala knihám? "" zeptal se s úsměvem."
"recover","recover","vzpamatovala","vzpamatovat","pf"," As soon as they were gone, Elizabeth walked out to recover her spirits; or in other words, to dwell without interruption on those subjects that must deaden them more."," Jakmile za nimi zapadly dveře, vyběhla Elizabeth na čerstvý vzduch, aby se vzpamatovala a zahnala chmury úvahami, které je bezpečně přivolají."
"came","come","přijel","přijet","pf"," ' Why, if he came only to be silent, grave, and indifferent, ' said she, ' did he come at all? '"," Jestli sem přijel jenom mlčet a tvářit se vážně a lhostejně, rozčilovala se v duchu, proč sem vůbec jezdil?"
"come","come","přijel","přijet","pf"," ' Why, if he came only to be silent, grave, and indifferent, ' said she, ' did he come at all? '"," Jestli sem přijel jenom mlčet a tvářit se vážně a lhostejně, rozčilovala se v duchu, proč sem vůbec jezdil?"
"came","come","jezdil","jezdit","impf"," ' Why, if he came only to be silent, grave, and indifferent, ' said she, ' did he come at all? '"," Jestli sem přijel jenom mlčet a tvářit se vážně a lhostejně, rozčilovala se v duchu, proč sem vůbec jezdil?"
"come","come","jezdil","jezdit","impf"," ' Why, if he came only to be silent, grave, and indifferent, ' said she, ' did he come at all? '"," Jestli sem přijel jenom mlčet a tvářit se vážně a lhostejně, rozčilovala se v duchu, proč sem vůbec jezdil?"
"chosen","choose","zvolila","zvolit","pf"," - But she had chosen it with her eyes open; and though evidently regretting that her visitors were to go, she did not seem to ask for compassion."," Ale svůj osud si zvolila s očima otevřenýma, a třebaže se s návštěvou loučila zřejmě nerada, nezdálo se, že by stála o soucit."
"seem","seem","nezdálo","zdát","impf"," - But she had chosen it with her eyes open; and though evidently regretting that her visitors were to go, she did not seem to ask for compassion."," Ale svůj osud si zvolila s očima otevřenýma, a třebaže se s návštěvou loučila zřejmě nerada, nezdálo se, že by stála o soucit."
"lost","lose","neztratily","ztratit","pf"," Her home and her housekeeping, her parish and her poultry, and all their dependent concerns, had not yet lost their charms."," Domácnost a hospodyňské starosti, drůbež, farnost a všechno, co z toho plynulo, pro ni ještě neztratily přitažlivost."
"fastened","fasten","upevněny","upevnit","pf"," At length the chaise arrived, the trunks were fastened on, the parcels placed within, and it was pronounced to be ready."," Konečně předjel kočár, kufry byly upevněny nahoře, balíčky umístěny vevnitř a vše bylo přichystáno k odjezdu."
"placed","place","umístěny","umístit","pf"," At length the chaise arrived, the trunks were fastened on, the parcels placed within, and it was pronounced to be ready."," Konečně předjel kočár, kufry byly upevněny nahoře, balíčky umístěny vevnitř a vše bylo přichystáno k odjezdu."
"wish","wish","přála","přát","impf"," ' You are very kind, sir, I am sure; and I wish with all my heart it may prove so; for else they will be destitute enough."," Jste velmi laskav, namouvěru, a přála bych si z celého srdce, abyste měl pravdu, protože jinak se ocitnou v málo záviděníhodné situaci."
"settled","settle","zařízeno","zařídit","pf"," Things are settled so oddly. '"," Na světě je to někdy divně zařízeno. """
"allude","allude","Narážíte","narážet","impf"," ' You allude, perhaps, to the entail of this estate. '"," "" Narážíte snad na poslední vůli týkající se tohoto panství? """
"confess","confess","uznat","uznat","pf"," It is a grievous affair to my poor girls, you must confess."," Je to skutečně smutná vyhlídka pro naše ubohá děvčata, to musíte uznat."
"went","go","odjel","odjet","pf"," It must have been a most agreeable surprise to Mr Bingley to see you all after him so soon; for, if I recollect right, he went but the day before."," Pan Bingley musel být velmi příjemně překvapen, že se s vámi tak brzy shledal, vždyť pokud si vzpomínám, odjel pouze den před vámi."
"hope","hope","Doufám","doufat","impf"," He and his sisters were well, I hope, when you left London. '"," Doufám, že se jemu i jeho sestrám dařilo dobře, když jste se s ním v Londýně loučil? """
"thank","thank","děkuji","děkovat","impf"," ' Perfectly so - I thank you. '"," "" Ano, mají se výborně, děkuji vám. """
"understood","understand","domnívala","domnívat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"supposing","suppose","domnívala","domnívat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"thinking","think","domnívala","domnívat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"understood","understand","chápe","chápat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"supposing","suppose","předpokládá","předpokládat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"thinking","think","předpokládá","předpokládat","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"supposing","suppose","myslí","myslet","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"thinking","think","myslí","myslet","impf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"answered","answer","odpověděla","odpovědět","pf"," As he spoke there was a sort of smile, which Elizabeth fancied she understood; he must be supposing her to be thinking of Jane and Netherfield, and she blushed as she answered,"," Při těchto slovech mu pohrával na rtech zvláštní úsměv a Elizabeth se domnívala, že chápe proč : asi předpokládá, že myslí na Jane a Netherfield, zrudla tedy a odpověděla :"
"settled","settle","usadí","usadit","pf"," ' I do not mean to say that a woman may not be settled too near her family."," "" Netvrdím přece, že je nejmoudřejší, usadí - li se mladí manželé blízko svých rodičů."
"depend","depend","závisí","záviset","impf"," The far and the near must be relative, and depend on many varying circumstances."," Velké nebo malé vzdálenosti jsou relativní a závisí na mnoha okolnostech."
"own","own","přiznat","přiznat","pf"," She must own that she was tired of great houses; after going over so many, she really had no pleasure in fine carpets or satin curtains."," Musí se přiznat, že ji panská sídla unavují, viděla jich tolik, že už ji vůbec nevzrušuje pohled na krásné koberce a saténové záclony."
"tired","tire","unavují","unavovat","impf"," She must own that she was tired of great houses; after going over so many, she really had no pleasure in fine carpets or satin curtains."," Musí se přiznat, že ji panská sídla unavují, viděla jich tolik, že už ji vůbec nevzrušuje pohled na krásné koberce a saténové záclony."
"said","say","pravila","pravit","pf"," ' If it were merely a fine house richly furnished, ' said she, ' I should not care about it myself; but the grounds are delightful."," "" Kdyby to byla jen krásná stavba, bohatě zařízená, "" pravila, "" sama bych o to nestála, ale Pemberley má kouzelné okolí."
"acquiesce","acquiesce","smířit","smířit","pf"," Elizabeth said no more - but her mind could not acquiesce."," Elizabeth už nic nenamítala - ale v duchu se s tím nemohla smířit."
"seek","seek","hledají","hledat","impf"," But Mr Bennet was not of a disposition to seek comfort, for the disappointment which his own imprudence had brought on, in any of those pleasures which too often console the unfortunate for their folly or their vice."," Pan Bennet však nebyl z těch, kteří zklamaní z vlastní nerozvážnosti hledají útěchu v oněch radovánkách, jež jsou až příliš často útočištěm lidí nešťastných vinou své vlastní hlouposti nebo hříchů."
"given","give","uvést","uvést","pf"," But if otherwise, if the regard springing from such sources is unreasonable or unnatural, in comparison of what is so often described as arising on a first interview with its object, and even before two words have been exchanged, nothing can be said in her defence, except that she had given somewhat of a trial to the latter method in her partiality for Wickham, and that its ill-success might perhaps authorise her to seek the other less interesting mode of attachment."," Není - li tomu ale tak, je - li nepřirozené a nelogické, aby láska vytryskla z takových pramenů na rozdíl od toho, co se často líčí jako důsledek prvního pohledu, ještě než on a ona spolu prohodí dvě slova, pak nelze uvést na její obranu nic než to, že onu druhou metodu vyzkoušela na sympatiích k Wickhamovi, a jelikož to špatně dopadlo, měla snad důvod zajímat se o jiné, méně oslňující vztahy."
"obliged","oblige","zavázána","zavázat","pf"," ' I am much obliged to your ladyship for your kind invitation, ' replied Elizabeth, ' but it is not in my power to accept it."," Jsem Vaší Jasnosti velice zavázána za laskavé pozvání, "" odvětila Elizabeth, "" není však bohužel v mé moci, abych je využila."
"replied","reply","odvětila","odvětit","pf"," ' I am much obliged to your ladyship for your kind invitation, ' replied Elizabeth, ' but it is not in my power to accept it."," Jsem Vaší Jasnosti velice zavázána za laskavé pozvání, "" odvětila Elizabeth, "" není však bohužel v mé moci, abych je využila."
"expected","expect","Očekávala","očekávat","impf"," I expected you to stay two months."," Očekávala jsem, že se zdržíte dva měsíce."
"told","tell","Říkala","říkat","impf"," I told Mrs Collins so before you came."," Říkala jsem to přece paní Collinsové, ještě než jste přijely."
"came","come","přijely","přijet","pf"," I told Mrs Collins so before you came."," Říkala jsem to přece paní Collinsové, ještě než jste přijely."
"neglect","neglect","zanedbávejte","zanedbávat","impf"," - You had better neglect your relations, than run the risk of offending your patroness. '"," Raději zanedbávejte své příbuzné, než abyste si proti sobě popudil svou paní. """
"say","say","nemluvili","mluvit","impf"," Sir William Lucas and his daughter Maria, a good-humoured girl, but as empty-headed as himself, had nothing to say that could be worth hearing, and were listened to with about as much delight as the rattle of the chaise."," SirWilliam Lucas ani jeho dcera Maria, dobrosrdečná, ale po otci nepříliš bystrá, nemluvili o ničem, co by stálo za pozornost a Elizabeth jim naslouchala asi s takovým potěšením jako skřípotu kočárových kol."
"listened","listen","naslouchala","naslouchat","impf"," Sir William Lucas and his daughter Maria, a good-humoured girl, but as empty-headed as himself, had nothing to say that could be worth hearing, and were listened to with about as much delight as the rattle of the chaise."," SirWilliam Lucas ani jeho dcera Maria, dobrosrdečná, ale po otci nepříliš bystrá, nemluvili o ničem, co by stálo za pozornost a Elizabeth jim naslouchala asi s takovým potěšením jako skřípotu kočárových kol."
"loved","love","Milovala","milovat","impf"," Elizabeth loved absurdities, but she had known Sir William 's too long."," Milovala komické figurky, ale sira Williama znala už příliš dlouho."
"tell","tell","sdělit","sdělit","pf"," He could tell her nothing new of the wonders of his presentation and knighthood; and his civilities were worn out like his information."," Nemohl jí sdělit nic o svém povýšení do šlechtického stavu ani o svém přijetí u dvora, co by už nebyla slyšela, a jeho galantnosti byly stejně otřepané jako informace."
