"dance","dance","tančí","tančit","impf"," One tries to dance, lurching unbalanced, with a white marble statue;"," Jeden člověk tančí se sochou z bílého mramoru."
"means","mean","neznamená","znamenat","impf"," it ’ s comfortable, defendable, but it means no more to us. ’"," máme tu pohodlí, dá se dobře bránit, ale víc pro nás neznamená. """
"inspects","inspect","zkoumá","zkoumat","impf"," She picks up her fork again, inspects it minutely."," Znovu se chopí vidličky a bedlivě ji zkoumá."
"told","tell","Řekla","říci","pf"," I ’ ve told them not to break anything and if they do it will assuredly be clumsiness rather than insubordination."," Řekla jsem jim, aby nic nerozbili, a pokud se něco stane, tak to bude spíš nešikovnost než porušení kázně."
"break","break","nerozbili","rozbít","pf"," I ’ ve told them not to break anything and if they do it will assuredly be clumsiness rather than insubordination."," Řekla jsem jim, aby nic nerozbili, a pokud se něco stane, tak to bude spíš nešikovnost než porušení kázně."
"see","see","vidíte","vidět","impf"," Oh, there are a few extra bullet-holes about the place, but most of any damage you might see was probably caused by your looters. ’"," Přibylo vám pár děr po kulkách, ale většina škod, co tu vidíte, jde nejspíš na vrub těm banditům. """
"prepare","prepare","chystají","chystat","impf"," My nose and mouth are filled with the reek of forests in decay, the scent of brutal, pitiless men lying sweating as they prepare to fire, and the odour of sleekly oiled guns, each one filled with death and swinging to us as surely as weathercocks point out the breeze."," V nose i ústech mi čpí rozklad lesa, pach potu krutých a bezcitných mužů, kteří tu někde zalehli a chystají se k palbě, a vůně lesklých naolejovaných zbraní nabitých smrtí, které se za námi stáčejí neomylně jako korouhvička ve větru."
"take","take","Zaujmu","zaujmout","pf"," I steady myself as best I can and take aim;"," Zaujmu co možná nejklidnější polohu a zacílím;"
"throw","throw","zahodím","zahodit","pf"," I pull the trigger a few more times, then throw the useless gun away."," Párkrát ještě zmáčknu spoušť, pak bezcennou pistoli zahodím."
"disappeared","disappear","zmizel","zmizet","pf"," The soldier has disappeared, but now he comes back;"," Voják mezitím zmizel, ale už je zase zpátky."
"shouting","shout","křičí","křičet","impf"," peeking, then leaning over the parapet and shouting something down."," Nakukuje, pak se vyklání přes zábradlí a křičí něco dolů."
"affected","affect","zasáhlo","zasáhnout","pf"," In that pity was a rebuke as severe and wounding as that my father had administered with his twin handfuls of fingers and words, and in as much that it confirmed that this was the mature judgement of my actions and my father ’ s, not some aberration I might be able to discount or ignore, it affected me even more profoundly."," V té lítosti byla výtka ostrá a zraňující stejně jako dvojí facka, kterou mi otec uštědřil dlaní i slovy, a jelikož toto bylo opravdu zralé ohodnocení mého a otcova jednání a ne snad nějaký výstřelek, nad nímž bych mohl mávnout rukou, zasáhlo mě tím hlouběji."
"believe","believe","nevěřím","věřit","impf"," I don ’ t believe so."," Tomu nevěřím."
"saying","say","řekl","říci","pf"," Castle, I did you a disservice saying that this could be any time;"," Zámku můj, ukřivdil jsem ti, když jsem řekl, že bychom teď mohli být kdykoli."
"ensured","ensure","zajišťovaly","zajišťovat","impf"," once your stones would have ensured protection as well anything might, but in the days of cannons and artillery, you only swing them to you, like compasses the loaded guns, and bring that fire down upon you all the quicker."," Kdysi by tvé kameny zajišťovaly ochranu, ale v době děl přitahuješ nabité zbraně jako střelky kompasu a jen k sobě lákáš palbu."
"succumb","succumb","podlehnu","podlehnout","pf"," Or I might – ignominious, this – succumb to exposure sometime inside the night ’ s cold kiss, relinquishing, like the castle, my last warmth to the wrapping sump of moving air."," Nebo taky možná - jak potupné - podlehnu chladu v ledovém polibku noci, odevzdám jako zámek své poslední teplo okolní žumpě pohyblivého vzduchu."
"die","die","umřu","umřít","pf"," I rolled over, still wheezing for my breath, thinking in a panic that I might die here, suffocating in the midst of these woods ’ frigid excrement;"," Překulil jsem se, sípal jsem a v panice si představoval, že tu třeba umřu, udusím se uprostřed ledového výměšku lesa."
"plummeted","plummet","řítil","řítit","impf"," The rain plummeted down at me."," Déšť se na mě řítil."
"maintain","maintain","udržet","udržet","pf"," Were some barbed comment all that was required to wrest and maintain control in this, I might leap to action and emerge victorious."," Kdybych si mohl získat a udržet velení třeba nějakou peprnou poznámkou, vrhl bych se do akce a vyšel z ní vítězně."
"Lost","lose","ztracen","ztratit","pf"," Lost within a mirror-maze of tactical potential, I see everything and nothing, and lose my way in images."," Jsem ztracen v zrcadlovém bludišti taktického potenciálu, vidím všechno a nic a ztrácím orientaci v obrazech."
"lose","lose","ztracen","ztratit","pf"," Lost within a mirror-maze of tactical potential, I see everything and nothing, and lose my way in images."," Jsem ztracen v zrcadlovém bludišti taktického potenciálu, vidím všechno a nic a ztrácím orientaci v obrazech."
"see","see","vidím","vidět","impf"," Lost within a mirror-maze of tactical potential, I see everything and nothing, and lose my way in images."," Jsem ztracen v zrcadlovém bludišti taktického potenciálu, vidím všechno a nic a ztrácím orientaci v obrazech."
"Lost","lose","ztrácím","ztrácet","impf"," Lost within a mirror-maze of tactical potential, I see everything and nothing, and lose my way in images."," Jsem ztracen v zrcadlovém bludišti taktického potenciálu, vidím všechno a nic a ztrácím orientaci v obrazech."
"lose","lose","ztrácím","ztrácet","impf"," Lost within a mirror-maze of tactical potential, I see everything and nothing, and lose my way in images."," Jsem ztracen v zrcadlovém bludišti taktického potenciálu, vidím všechno a nic a ztrácím orientaci v obrazech."
"held","hold","držela","držet","impf"," In her left hand she held a piece of lavender paper with writing on it."," V levé ruce držela popsaný světlounce modrý dopisní papír."
"stop","stop","přestali","přestat","pf"," She was not aware of me until I thudded into her thigh and clamped myself to her, begging her and Father to stop shouting, stop arguing, stop being horrible to each other."," Vůbec mě nebrala na vědomí, dokud jsem jí nezačal bušit do stehna, nepověsil se na ni a neškemral, aby na sebe přestali křičet, aby se už nehádali a nebyli na sebe oškliví."
"stop","stop","přestali","přestat","pf"," She was not aware of me until I thudded into her thigh and clamped myself to her, begging her and Father to stop shouting, stop arguing, stop being horrible to each other."," Vůbec mě nebrala na vědomí, dokud jsem jí nezačal bušit do stehna, nepověsil se na ni a neškemral, aby na sebe přestali křičet, aby se už nehádali a nebyli na sebe oškliví."
"stop","stop","přestali","přestat","pf"," She was not aware of me until I thudded into her thigh and clamped myself to her, begging her and Father to stop shouting, stop arguing, stop being horrible to each other."," Vůbec mě nebrala na vědomí, dokud jsem jí nezačal bušit do stehna, nepověsil se na ni a neškemral, aby na sebe přestali křičet, aby se už nehádali a nebyli na sebe oškliví."
"shouting","shout","křičet","křičet","impf"," She was not aware of me until I thudded into her thigh and clamped myself to her, begging her and Father to stop shouting, stop arguing, stop being horrible to each other."," Vůbec mě nebrala na vědomí, dokud jsem jí nezačal bušit do stehna, nepověsil se na ni a neškemral, aby na sebe přestali křičet, aby se už nehádali a nebyli na sebe oškliví."
"arguing","argue","nehádali","hádat","impf"," She was not aware of me until I thudded into her thigh and clamped myself to her, begging her and Father to stop shouting, stop arguing, stop being horrible to each other."," Vůbec mě nebrala na vědomí, dokud jsem jí nezačal bušit do stehna, nepověsil se na ni a neškemral, aby na sebe přestali křičet, aby se už nehádali a nebyli na sebe oškliví."
"smelled","smell","Cítil","cítit","impf"," I smelled her perfume, the treasured natural odour of her and the light, flowery scent she favoured, but I detected something else too;"," Cítil jsem její lidskou vůni i lehounkou květinovou voňavku, kterou si oblíbila, ale rozeznával jsem ještě něco jiného;"
"favoured","favour","oblíbila","oblíbit","pf"," I smelled her perfume, the treasured natural odour of her and the light, flowery scent she favoured, but I detected something else too;"," Cítil jsem její lidskou vůni i lehounkou květinovou voňavku, kterou si oblíbila, ale rozeznával jsem ještě něco jiného;"
"dies","die","umírá","umírat","impf"," By an unholy power, by itself meaningless, as senseless as it is implacable and irresistible coerced, we should know at last that all else but another knowing to consciousness is inimical, and that our love dies with us, not the reverse."," Díky té nesmyslné rouhačské moci, která je sama o sobě stejně necitelná jako nepohnutelná a neodolatelná, bychom měli chápat, že cokoli, kromě toho, že jsme jedním vědomím z mnoha, je škodlivé, a že naše láska umírá s námi, a nikoli naopak."
"say","say","říká","říkat","impf"," On the other hand, maybe it ’ s just as they say."," A nebo je to možná právě tak, jak se říká."
"doubt","doubt","pochybuji","pochybovat","impf"," But I doubt it, and I ’ ll take my chances, like all else, with me."," Ale já o tom pochybuji a své naděje si jako všechno ostatní odnesu s sebou."
"killed","kill","zastřelila","zastřelit","pf"," ‘ Then you killed him. ’"," "" A pak jste ho zastřelila. """
"looks","look","dívá","dívat","impf"," She looks at me for a long time."," Dlouho se na mě dívá."
"dispatched","dispatch","Vyšle","vyslat","pf"," What must be one of the lieutenant ’ s smallest-calibre smiles is dispatched."," Vyšle úsměv své patrně nejmenší ráže."
"swallows","swallow","polkne","polknout","pf"," He swallows, nods, and limps quickly off."," Chlap polkne, přikývne a honem se odbelhá pryč."
"look","look","Dívám","dívat","impf"," I look after him."," Dívám se za ním."
"tell","tell","říkám","říkat","impf"," ‘ I ’ m not sure that ’ s the safest place, ’ I tell her."," "" Tam možná nebude zrovna bezpečno, "" říkám jí."
"think","think","Mám","mít","impf"," ‘ I think that first shell ended up in one of the cellars. ’"," "" Mám dojem, že ta první střela skončila někde ve sklepě. """
"ended","end","skončila","skončit","pf"," ‘ I think that first shell ended up in one of the cellars. ’"," "" Mám dojem, že ta první střela skončila někde ve sklepě. """
"Says","say","Říká","říkat","impf"," ‘ Says there ’ s only two loading the car."," "" Říká, že jsou tam jen dva chlapi a nakládají do auta."
"start","start","začne","začít","pf"," He ’ s about to start shooting, then one of the trucks and the other jeep are going to make a dash for the front."," On začne střílet a nato vyrazí před zámek jeden náklaďák a džíp."
"going","go","začne","začít","pf"," He ’ s about to start shooting, then one of the trucks and the other jeep are going to make a dash for the front."," On začne střílet a nato vyrazí před zámek jeden náklaďák a džíp."
"shooting","shoot","střílet","střílet","impf"," He ’ s about to start shooting, then one of the trucks and the other jeep are going to make a dash for the front."," On začne střílet a nato vyrazí před zámek jeden náklaďák a džíp."
"start","start","vyrazí","vyrazit","pf"," He ’ s about to start shooting, then one of the trucks and the other jeep are going to make a dash for the front."," On začne střílet a nato vyrazí před zámek jeden náklaďák a džíp."
"shooting","shoot","vyrazí","vyrazit","pf"," He ’ s about to start shooting, then one of the trucks and the other jeep are going to make a dash for the front."," On začne střílet a nato vyrazí před zámek jeden náklaďák a džíp."
"cover","cover","krýt","krýt","impf"," Give them cover. ’"," Ty je budeš krýt. """
"turns","turn","Otočí","otočit","pf"," She turns to me."," Otočí se ke mně."
"says","say","říká","říkat","impf"," ‘ These aren ’ t soldiers, ’ she says with seeming disgust, ‘ they ’ re just looters. ’"," "" Nejsou to vojáci, "" říká se zřejmým znechucením, "" přišli jenom rabovat. """
