"carried","carry","měl","mít","impf"," Yes, I could be content there, in one of those white cells, my barred window, no, not barred, I am getting carried away, my window looking down on the city, the smokestacks, the busy roads, the hunched houses, and all the little figures, hurrying endlessly, to and fro."," Ano, dokázal bych tam žít spokojeně, v jedné z těch bílých kobek se zamřížovaným oknem, ne, ne se zamřížovaným, nechávám se unášet, z okna bych měl výhled na město, na tovární komíny, rušné ulice, přikrčené domy, na všechny postavičky, které bez ustání spěchají sem a zase tam."
"hurrying","hurry","spěchají","spěchat","impf"," Yes, I could be content there, in one of those white cells, my barred window, no, not barred, I am getting carried away, my window looking down on the city, the smokestacks, the busy roads, the hunched houses, and all the little figures, hurrying endlessly, to and fro."," Ano, dokázal bych tam žít spokojeně, v jedné z těch bílých kobek se zamřížovaným oknem, ne, ne se zamřížovaným, nechávám se unášet, z okna bych měl výhled na město, na tovární komíny, rušné ulice, přikrčené domy, na všechny postavičky, které bez ustání spěchají sem a zase tam."
"noticed","notice","povšiml","povšimnout","pf"," Perhaps that was another day, the day I noticed the grass marking the sand like that."," Možná to bylo jiný den, možná jiného dne jsem si povšiml, jak tráva kreslí do písku."
"marking","mark","kreslí","kreslit","impf"," Perhaps that was another day, the day I noticed the grass marking the sand like that."," Možná to bylo jiný den, možná jiného dne jsem si povšiml, jak tráva kreslí do písku."
"wore","wear","Nosil","nosit","impf"," He wore collarless calico shirts that were antique even then and shapeless trousers shoved into mud-caked wellingtons."," Nosil kalikové košile bez límce, které už tehdy byly dávno nemoderní, a k nim beztvaré gatě, jež si cpal do zahliněných holínek."
"talk","talk","mluvil","mluvit","impf"," In the dairy as he ladled out the milk he would talk to me about girls in a suggestively hoarse, wispy voice – he was to die presently of a diseased throat – saying he was sure I must have a little girlfriend of my own and wanting to know if she let me kiss her."," Když mi v mlékárně naběračkou odměřoval mléko, mluvil o dívkách, vlezle chraptivým, tlumeným hlasem - měl zanedlouho zemřít na nějakou chorobu krku -, říkal, že určitě už nějakou holku mám, a chtěl vědět, jestli mi dovolí, abych ji líbal."
"saying","say","mluvil","mluvit","impf"," In the dairy as he ladled out the milk he would talk to me about girls in a suggestively hoarse, wispy voice – he was to die presently of a diseased throat – saying he was sure I must have a little girlfriend of my own and wanting to know if she let me kiss her."," Když mi v mlékárně naběračkou odměřoval mléko, mluvil o dívkách, vlezle chraptivým, tlumeným hlasem - měl zanedlouho zemřít na nějakou chorobu krku -, říkal, že určitě už nějakou holku mám, a chtěl vědět, jestli mi dovolí, abych ji líbal."
"die","die","zemřít","zemřít","pf"," In the dairy as he ladled out the milk he would talk to me about girls in a suggestively hoarse, wispy voice – he was to die presently of a diseased throat – saying he was sure I must have a little girlfriend of my own and wanting to know if she let me kiss her."," Když mi v mlékárně naběračkou odměřoval mléko, mluvil o dívkách, vlezle chraptivým, tlumeným hlasem - měl zanedlouho zemřít na nějakou chorobu krku -, říkal, že určitě už nějakou holku mám, a chtěl vědět, jestli mi dovolí, abych ji líbal."
"saying","say","říkal","říkat","impf"," In the dairy as he ladled out the milk he would talk to me about girls in a suggestively hoarse, wispy voice – he was to die presently of a diseased throat – saying he was sure I must have a little girlfriend of my own and wanting to know if she let me kiss her."," Když mi v mlékárně naběračkou odměřoval mléko, mluvil o dívkách, vlezle chraptivým, tlumeným hlasem - měl zanedlouho zemřít na nějakou chorobu krku -, říkal, že určitě už nějakou holku mám, a chtěl vědět, jestli mi dovolí, abych ji líbal."
"wanting","want","chtěl","chtít","impf"," In the dairy as he ladled out the milk he would talk to me about girls in a suggestively hoarse, wispy voice – he was to die presently of a diseased throat – saying he was sure I must have a little girlfriend of my own and wanting to know if she let me kiss her."," Když mi v mlékárně naběračkou odměřoval mléko, mluvil o dívkách, vlezle chraptivým, tlumeným hlasem - měl zanedlouho zemřít na nějakou chorobu krku -, říkal, že určitě už nějakou holku mám, a chtěl vědět, jestli mi dovolí, abych ji líbal."
