"asking","ask","ptá","ptát","impf"," For a moment – naively – I imagined that she was asking my opinion, but she needed no extra input : deafness, she told me, would be her choice."," Chvilku jsem se naivně domníval, že se mě ptá na názor, ale ona žádné další informace nepotřebovala : prý by volila hluchotu."
"needed","need","nepotřebovala","potřebovat","impf"," For a moment – naively – I imagined that she was asking my opinion, but she needed no extra input : deafness, she told me, would be her choice."," Chvilku jsem se naivně domníval, že se mě ptá na názor, ale ona žádné další informace nepotřebovala : prý by volila hluchotu."
"do","do","dělat","dělat","impf"," ‘ If I were blind, how would I do my nails? ’"," "" Kdybych byla slepá, jak bych si mohla dělat manikúru? """
"generate","generate","vytvářejí","vytvářet","impf"," Death and dying generate a whole questionnaire of such would-you-rathers."," Smrt a umírání vytvářejí celý dotazník otázek typu "" Co byste radši? ""."
"does","do","dělá","dělat","impf"," it ’ s dispiriting to learn that mental pain does the same."," Je deprimující, že duševní bolest dělá totéž."
"read","read","četl","číst","impf"," I once read that Zola was similarly startled from his bed like a projectile, launched from sleep into mortal terror."," Kdysi jsem četl, že i Zolu vystřelil děs z postele jako projektil, odpálil ho ze spánku do stavu smrtelné hrůzy."
"expires","expire","vydechne","vydechnout","pf"," When O ’ Kelly expires it is, according to his own personal Sherpa, ‘ in a state of tranquil acceptance and genuine hope ’."," Když O ' Kelly vydechne naposled, učiní tak - podle svého osobního šerpy - "" ve stavu pokojného smíření a upřímné naděje ""."
"addressed","address","oslovuje","oslovovat","impf"," And perhaps God doesn ’ t mind being addressed only in emergency."," A Bohu nakonec možná vůbec nevadí, že ho člověk oslovuje jen v případě nouze."
"replies","reply","odpoví","odpovědět","pf"," ‘ I have never been afraid of death, ’ Koestler replies, ‘ but only of dying. ’"," "" Já se nikdy nebál smrti, jenom umírání, "" odpoví Koestler."
"imagine","imagine","představit","představit","pf"," The stance is appealing, even if most of us can imagine improving the administrative workings of Mount Olympus, and wouldn ’ t be too bored either by celestial draughts or a little more lust-satisfying."," Tento postoj je velmi přitažlivý, i když si většina z nás dokáže představit určité vylepšení administrativní práce na hoře Olymp a příliš by nás asi nenudily ani olympské průvany či nějaké to ukojení chtíče navíc."
"bored","bore","nenudily","nudit","impf"," The stance is appealing, even if most of us can imagine improving the administrative workings of Mount Olympus, and wouldn ’ t be too bored either by celestial draughts or a little more lust-satisfying."," Tento postoj je velmi přitažlivý, i když si většina z nás dokáže představit určité vylepšení administrativní práce na hoře Olymp a příliš by nás asi nenudily ani olympské průvany či nějaké to ukojení chtíče navíc."
"does","do","nešlo","jít","impf"," ‘ I feel I am an honest man, and that it would be impossible to be otherwise, not for the sake of pleasing a Supreme Being who does not exist, but for my own sake, who need to live in peace with my habits and prejudices and to give purpose to my life and nourishment to my thoughts. ’"," "" Mám pocit, že jsem poctivý člověk a že by to ani jinak nešlo, a to nikoli proto, že chci potěšit nejvyšší bytost, která neexistuje, ale kvůli sobě, neboť potřebuji žít v míru se svými zvyky a předsudky, dát svému životu účel a svým myšlenkám potravu. """
"pleasing","please","chci","chtít","impf"," ‘ I feel I am an honest man, and that it would be impossible to be otherwise, not for the sake of pleasing a Supreme Being who does not exist, but for my own sake, who need to live in peace with my habits and prejudices and to give purpose to my life and nourishment to my thoughts. ’"," "" Mám pocit, že jsem poctivý člověk a že by to ani jinak nešlo, a to nikoli proto, že chci potěšit nejvyšší bytost, která neexistuje, ale kvůli sobě, neboť potřebuji žít v míru se svými zvyky a předsudky, dát svému životu účel a svým myšlenkám potravu. """
"pleasing","please","potěšit","potěšit","pf"," ‘ I feel I am an honest man, and that it would be impossible to be otherwise, not for the sake of pleasing a Supreme Being who does not exist, but for my own sake, who need to live in peace with my habits and prejudices and to give purpose to my life and nourishment to my thoughts. ’"," "" Mám pocit, že jsem poctivý člověk a že by to ani jinak nešlo, a to nikoli proto, že chci potěšit nejvyšší bytost, která neexistuje, ale kvůli sobě, neboť potřebuji žít v míru se svými zvyky a předsudky, dát svému životu účel a svým myšlenkám potravu. """
