"descended","descend","sestupoval","sestupovat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"floating","float","plaval","plavat","impf"," The camerlegno felt like he was floating as he descended into the Niche of the Palliums."," Když sestupoval do Palliového výklenku, měl camerlengo pocit, jako by plaval."
"guiding","guide","vede","vést","impf"," The surge of morphine seemed relentless now, but he knew God was guiding him."," Teprve teď na něj morfium začalo plně účinkovat, on však věděl, že ho vede Bůh."
"hear","hear","slyšel","slyšet","impf"," In the distance, he could hear the cardinals clamoring in confusion as they poured from the chapel, yelling commands to the Swiss Guard."," Z dálky slyšel kardinály, jak se hrnou ze Sixtinské kaple a páté přes deváté něco přikazují vojákům Švýcarské gardy."
"find","find","nenajdou","najít","pf"," But they would never find him."," Jeho však nikdy nenajdou."
"left","leave","opouštěl","opouštět","impf"," When Langdon had left the Vatican Secret Archives only two hours ago, he had never imagined he would see them again."," Když Langdon sotva před dvěma hodinami opouštěl tajný vatikánský archiv, nedovedl si představit, že by se tam ještě někdy mohl vrátit."
"imagined","imagine","představit","představit","pf"," When Langdon had left the Vatican Secret Archives only two hours ago, he had never imagined he would see them again."," Když Langdon sotva před dvěma hodinami opouštěl tajný vatikánský archiv, nedovedl si představit, že by se tam ještě někdy mohl vrátit."
"found","find","ocitl","ocitnout","pf"," Now, winded from having jogged the entire way with his Swiss Guard escort, Langdon found himself back at the archives once again."," Nyní - celý udýchaný, jak s ním voják klusal - se tam ocitl znovu."
"led","lead","vedl","vést","impf"," His escort, the guard with the scar, now led Langdon through the rows of translucent cubicles."," Jeho průvodce, gardista s jizvou pod okem, jej vedl mezi řadami průhledných kójí."
"broke","break","přerušil","přerušit","pf"," The silence of the archives felt somehow more forbidding now, and Langdon was thankful when the guard broke it."," Ticho panující v archivu bylo tentokrát až děsivé, a Langdon byl rád, když je mladý muž přerušil."
"waiting","wait","čekat","čekat","impf"," I 'll be here, directing my men and waiting for your call."," Já tam budu dávat pokyny svým lidem a budu čekat na vaše zavolání."
"pulled","pull","Vytáhl","vytáhnout","pf"," He pulled out his pistol."," Vytáhl revolver."
"handed","hand","předal","předat","pf"," Olivetti handed the gun to her."," Olivetti jí předal pistoli."
"conceal","conceal","schovat","schovat","pf"," “ You 'll have to conceal it. ”"," "" Budete ji ale muset schovat. """
"disappears","disappear","zmizí","zmizet","pf"," If this guy disappears, we 're FUNGITO. ”"," A jestli ten chlap zmizí, tak jsme fungito. """
"smelled","smell","Páchla","páchnout","impf"," It smelled of urine - a common aroma in a city where bars outnumbered public rest rooms twenty to one."," Páchla močí - aroma charakteristické pro město, v němž je dvacetkrát víc výčepů než veřejných záchodků."
"pointed","point","ukazovala","ukazovat","impf"," They had gone about fifteen yards down when Vittoria tugged Langdon 's arm and pointed."," Ušli asi patnáct kroků, když ho Vittoria chytla náhle za ruku a ukazovala před sebe."
"Trying","try","snažil","snažit","impf"," Trying to save that cardinal in St. Peter 's Square? ”"," Co se snažil zachránit toho kardinála na Svatopetrským náměstí? """
"save","save","zachránit","zachránit","pf"," Trying to save that cardinal in St. Peter 's Square? ”"," Co se snažil zachránit toho kardinála na Svatopetrským náměstí? """
"answer","answer","neodpověděl","odpovědět","pf"," Langdon did not answer."," Langdon neodpověděl."
"looked","look","podíval","podívat","pf"," Langdon looked at the castle again."," Znovu se podíval na hrad."
"watched","watch","Sledují","sledovat","impf"," They watched CNN, synopsized it, and then filmed their “ live ” report in front of a blue screen, superimposing stock video for a realistic backdrop."," Sledují CNN, udělají si stručný výtah, a potom snímají "" živě "" svého reportéra před modrým plátnem, na které promítají nějaké "" realistické "" pozadí z archivu."
"felt","feel","cítil","cítit","impf"," Glick gazed out through the windshield and felt more and more depressed by the minute."," Glick vyhlížel předním oknem mikrobusu ven a cítil čím dál tím hlubší depresi."
"prepared","prepare","nepřipravilo","připravit","pf"," Nothing in his training, however, had prepared him for a crisis like this."," Nic jej však během celého výcviku nepřipravilo na takovou kritickou situaci, v jaké se právě ocitl."
"thought","think","myslel","myslet","impf"," At first Chartrand thought the briefing was some sort of bizarre training exercise."," Chartrand si zprvu myslel, že celá tahle instruktáž před bojovým nasazením je ve skutečnosti jen součást výcviku."
"surprised","surprise","nepřekvapilo","překvapit","pf"," He was n't surprised."," Nijak ho to nepřekvapilo."
