"mentioned","mention","zmínil","zmínit","pf"," He mentioned the vicinity to the realtor as an area where he was interested in buying a lot on which to build a beach house for his wife and four children."," O okolí domu se před agentkou zmínil jako o místu, o jehož koupi se velice zajímá, aby tam mohl postavit plážový dům pro svoji ženu a čtyři děti."
"build","build","postavit","postavit","pf"," He mentioned the vicinity to the realtor as an area where he was interested in buying a lot on which to build a beach house for his wife and four children."," O okolí domu se před agentkou zmínil jako o místu, o jehož koupi se velice zajímá, aby tam mohl postavit plážový dům pro svoji ženu a čtyři děti."
"met","meet","Setkali","setkat","pf"," They had met at her office and she had driven him here in one of the company 's vans."," Setkali se u ní v kanceláři a ona ho sem odvezla firemním vozem."
"Believe","believe","Věř","věřit","impf"," Believe me, I 'm in no position to cast the first stone, or even to visit the rock pile. """," Věř mi, já nemám právo hodit první kamenem, dokonce ani se k hromadě kamení přiblížit. """
"said","say","odpověděla","odpovědět","pf"," "" I 've got first-class horses, "" she said in response to his compliment."," "" Mám prvotřídní koně, "" odpověděla na jeho kompliment."
"deserve","deserve","Zaslouží","zasloužit","pf"," "" They deserve a first-class home. """," "" Zaslouží si prvotřídní domov. """
"recognize","recognize","rozpoznal","rozpoznat","pf"," He was no expert judge of horseflesh, either, but he did n't have to know a lot to recognize that these were impressive animals."," Ani na koně nebyl odborník, ale moc toho znát nepotřeboval, aby rozpoznal, že jsou to úchvatná zvířata."
"given","give","darovala","darovat","pf"," The card was beneath the box of stationery her receptionist had given her last Christmas."," Navštívenka byla pod krabicí s dopisními papíry, které jí k posledním Vánocům darovala sestra z recepce."
"informed","inform","oznámila","oznámit","pf"," She had been making notations on the charts of her post-op patients when the duty nurse had informed her that she had a call."," Právě doplňovala záznamy do karet pacientů po operaci, když jí sestra ve službě oznámila, že má telefon."
"continue","continue","pokračovat","pokračovat","impf"," She cradled the receiver between her cheek and shoulder, leaving her hands free to continue the final task of a very long day."," Přidržovala si sluchátko ramenem u ucha, aby měla volné ruce a mohla pokračovat v posledním úkolu velice dlouhého dne."
"said","say","řekl","říci","pf"," "" He said that?"," "" Tohle že řekl?"
