"write","write","psal","psát","impf"," The painting before her had no protective glass on which to write a message, and Sophie knew her grandfather would never have defaced this masterpiece by writing on the painting itself."," Tato druhá malba před sebou žádné ochranné sklo vhodné k zanechání dalšího vzkazu neměla, a Sophie dobře věděla, že by její dědeček nikdy neposkvrnil mistrovské dílo tím, že by něco psal přímo na ně."
"writing","write","psal","psát","impf"," The painting before her had no protective glass on which to write a message, and Sophie knew her grandfather would never have defaced this masterpiece by writing on the painting itself."," Tato druhá malba před sebou žádné ochranné sklo vhodné k zanechání dalšího vzkazu neměla, a Sophie dobře věděla, že by její dědeček nikdy neposkvrnil mistrovské dílo tím, že by něco psal přímo na ně."
"Grabbing","grab","Popadla","popadnout","pf"," Grabbing the left side of the carved wood frame, she pulled it toward her."," Popadla levou stranu rámu a přitáhla ji k sobě."
"pulled","pull","přitáhla","přitáhnout","pf"," Grabbing the left side of the carved wood frame, she pulled it toward her."," Popadla levou stranu rámu a přitáhla ji k sobě."
"ate","eat","jedla","jíst","impf"," Seated on the divan beside Langdon, Sophie drank her tea and ate a scone, feeling the welcome effects of caffeine and food."," Sophie seděla na divanu vedle Langdona, pila čaj, jedla koláček a začínala vděčně pociťovat blahodárné účinky kofeinu a jídla."
"feeling","feel","pociťovat","pociťovat","impf"," Seated on the divan beside Langdon, Sophie drank her tea and ate a scone, feeling the welcome effects of caffeine and food."," Sophie seděla na divanu vedle Langdona, pila čaj, jedla koláček a začínala vděčně pociťovat blahodárné účinky kofeinu a jídla."
"paced","pace","přecházel","přecházet","impf"," Sir Leigh Teabing was beaming as he awkwardly paced before the open fire, his leg braces clicking on the stone hearth."," Sir Leigh Teabing se na ně široce usmíval a přecházel pomalu sem a tam před krbem."
"ask","ask","ptá","ptát","impf"," "" Most people ask me only WHERE it is."," "" Většina lidí se mě ptá, kde se nachází."
"answer","answer","zodpovědět","zodpovědět","pf"," I fear that is a question I may never answer. """," Obávám se, že to je dotaz, který nikdy nebudu schopen zodpovědět. """
"turned","turn","Otočil","otočit","pf"," He turned and looked directly at Sophie."," Otočil se a podíval se přímo na Sophii."
"looked","look","podíval","podívat","pf"," He turned and looked directly at Sophie."," Otočil se a podíval se přímo na Sophii."
"read","read","čte","číst","impf"," "" Those hexagons are read by an electric eye. """," "" Ty šestiúhelníčky čte elektronické zařízení. """
"seen","see","neviděl","vidět","impf"," Langdon had never seen anything like it."," Langdon nikdy nic podobného neviděl."
"Look","look","Podívej","podívat","pf"," "" Look at the other side, "" she said, changing lanes and sailing through an intersection."," "" Podívej se na to z druhé strany, "" poradila Sophie, přejela do jiného pruhu a projela křižovatkou."
"turned","turn","otočil","otočit","pf"," When Langdon turned the key, he felt his jaw drop."," Když Langdon klíč otočil, otevřel ústa překvapením."
"bring","bring","přineslo","přinést","pf"," Rémy 's association with Sir Leigh Teabing - the preeminent Grail historian on earth - was going to bring Rémy everything he had ever dreamed of in life."," Remyho náhodné spojení se sirem Teabingem - předním světovým znalcem historie svatého grálu - mu přineslo všechno, o čem tajně snil."
"dreamed","dream","snil","snít","impf"," Rémy 's association with Sir Leigh Teabing - the preeminent Grail historian on earth - was going to bring Rémy everything he had ever dreamed of in life."," Remyho náhodné spojení se sirem Teabingem - předním světovým znalcem historie svatého grálu - mu přineslo všechno, o čem tajně snil."
"leading","lead","vedla","vést","impf"," Since then, every moment he had spent inside Château Villette had been leading him to this very instant."," Od toho okamžiku každá další událost, ke které na zámku Villette došlo, neomylně vedla až k této chvíli."
"told","tell","řekl","říci","pf"," I AM SO CLOSE, Rémy told himself, gazing into the sanctuary of the Temple Church and the keystone in Robert Langdon 's hand."," Jsem tak blízko, řekl si Remy a díval se na základní kámen v Langdonových rukou."
"gazing","gaze","díval","dívat","impf"," I AM SO CLOSE, Rémy told himself, gazing into the sanctuary of the Temple Church and the keystone in Robert Langdon 's hand."," Jsem tak blízko, řekl si Remy a díval se na základní kámen v Langdonových rukou."
"dropped","drop","upustí","upustit","pf"," If Langdon dropped it, all would be lost."," Jestli ho Langdon upustí, všechno bude ztraceno."
"lost","lose","ztraceno","ztratit","pf"," If Langdon dropped it, all would be lost."," Jestli ho Langdon upustí, všechno bude ztraceno."
"stored","store","uložen","uložit","pf"," "" It was stored in a rosewood box inlaid with a five-petal Rose. """," "" Byl uložen v palisandrové truhlici, která má na víku symbol růže s pěti okvětními lístky. """
"nodded","nod","přikývla","přikývnout","pf"," Sophie nodded."," Sophie přikývla."
"came","come","přešel","přejít","pf"," Teabing came over to them, his eyes wild with fear."," Teabing přešel k nim a v očích se mu zračil divoký strach."
"do","do","udělat","udělat","pf"," "" My friends, we must do something."," "" Přátelé, musíme něco udělat."
"protect","protect","ochránit","ochránit","pf"," We have a duty to protect it."," Je naší povinností jej ochránit."
"rang","ring","zazvonil","zazvonit","pf"," Minutes later, as the Jaguar stretch limo powered through the streets, Silas 's cell phone rang."," O několik minut později, když limuzína projížděla londýnskými ulicemi, zazvonil Silasův mobilní telefon."
"hear","hear","slyším","slyšet","impf"," "" Silas, "" the Teacher 's familiar French accent said, "" I am relieved to hear your voice."," "" Silasi, "" promluvil Učitel se svým francouzským přízvukem, "" jsem potěšen, že opět slyším tvůj hlas."
"means","mean","znamená","znamenat","impf"," This means you are safe. """," To znamená, že jsi v bezpečí. """
"hear","hear","slyší","slyšet","impf"," Silas was equally comforted to hear the Teacher."," Silas měl také radost, že Učitele slyší."
"seemed","seem","zdálo","zdát","impf"," Now, at last, it seemed to be back on track."," Teď se konečně zdálo, že se vrátila do správných kolejí."
"composing","compose","sestavil","sestavit","pf"," He was knighted by the Queen several years back after composing an extensive history on the House of York. """," Do rytířského stavu byl povýšen před několika lety za to, že sestavil úplnou genealogii královského rodu. """
"going","go","Jedeme","jet","impf"," We 're going to visit a KNIGHT? """," Jedeme na návštěvu k rytíři? """
"help","help","pomoci","pomoci","pf"," Who better to help us than a knight? """," Kdo jiný než rytíř by nám měl pomoci? """
"raised","raise","Zvedl","zvednout","pf"," He raised his hand to bang on the glass, but out of the darkness below, a figure appeared, striding up the curving staircase."," Zvedl ruku, aby zabušil na sklo, ale z temnoty uvnitř se vynořila postava a zamířila po točitém schodišti ke dveřím."
"speaking","speak","Mluvil","mluvit","impf"," He was speaking on his cell phone but finished the call as he arrived."," Mluvil právě do svého mobilního telefonu, ale ukončil hovor, ještě než došel k čekajícímu Langdonovi."
"finished","finish","ukončil","ukončit","pf"," He was speaking on his cell phone but finished the call as he arrived."," Mluvil právě do svého mobilního telefonu, ale ukončil hovor, ještě než došel k čekajícímu Langdonovi."
"arrived","arrive","došel","dojít","pf"," He was speaking on his cell phone but finished the call as he arrived."," Mluvil právě do svého mobilního telefonu, ale ukončil hovor, ještě než došel k čekajícímu Langdonovi."
"enter","enter","vstoupil","vstoupit","pf"," He motioned for Langdon to enter."," Pokynul mu, aby vstoupil."
"see","see","přijít","přijít","pf"," Everything about Jacques Saunière seemed to have double meanings, and yet Langdon could see no further."," Všechno kolem Jacquesa Sauniera mělo dvojí význam, ale Langdon stále nemohl přijít na to, kde je v tomto konkrétním případě ten druhý ukrytý."
"speak","speak","říct","říci","pf"," Langdon started to speak but Marie continued."," Langdon chtěl něco říct, ale Marie pokračovala."
"continued","continue","pokračovala","pokračovat","impf"," Langdon started to speak but Marie continued."," Langdon chtěl něco říct, ale Marie pokračovala."
"shouted","shout","vykřikl","vykřiknout","pf"," "" No! "" Langdon shouted, knowing the hedges around Carrousel du Louvre were there to hide the perilous chasm in the center - LA PYRAMIDE INVERSÉE - the upside-down pyramid skylight he had seen earlier from inside the museum."," "" Ne! "" vykřikl Langdon, který věděl, že živý plot kolem Carrousel du Louvre ukrývá ve svém středu nebezpečnou propast - La Pyramide Inversée - obrácenou pyramidu, kterou před chvílí viděl z vnitřku muzea."
"hide","hide","ukrývá","ukrývat","impf"," "" No! "" Langdon shouted, knowing the hedges around Carrousel du Louvre were there to hide the perilous chasm in the center - LA PYRAMIDE INVERSÉE - the upside-down pyramid skylight he had seen earlier from inside the museum."," "" Ne! "" vykřikl Langdon, který věděl, že živý plot kolem Carrousel du Louvre ukrývá ve svém středu nebezpečnou propast - La Pyramide Inversée - obrácenou pyramidu, kterou před chvílí viděl z vnitřku muzea."
"seen","see","viděl","vidět","impf"," "" No! "" Langdon shouted, knowing the hedges around Carrousel du Louvre were there to hide the perilous chasm in the center - LA PYRAMIDE INVERSÉE - the upside-down pyramid skylight he had seen earlier from inside the museum."," "" Ne! "" vykřikl Langdon, který věděl, že živý plot kolem Carrousel du Louvre ukrývá ve svém středu nebezpečnou propast - La Pyramide Inversée - obrácenou pyramidu, kterou před chvílí viděl z vnitřku muzea."
"swallow","swallow","spolkla","spolknout","pf"," It was large enough to swallow their Smart-Car in a single gulp."," Byla dost velká na to, aby spolkla celé jejich miniaturní autíčko."
"tried","try","zkusil","zkusit","pf"," Langdon tried to imagine the curator 's final minutes trapped alone in the Grand Gallery, knowing he was about to die."," Langdon si zkusil představit správcovy poslední minuty, během nichž byl uvězněn ve Velké galerii a věděl, že brzy zemře."
"imagine","imagine","představit","představit","pf"," Langdon tried to imagine the curator 's final minutes trapped alone in the Grand Gallery, knowing he was about to die."," Langdon si zkusil představit správcovy poslední minuty, během nichž byl uvězněn ve Velké galerii a věděl, že brzy zemře."
"die","die","zemře","zemřít","pf"," Langdon tried to imagine the curator 's final minutes trapped alone in the Grand Gallery, knowing he was about to die."," Langdon si zkusil představit správcovy poslední minuty, během nichž byl uvězněn ve Velké galerii a věděl, že brzy zemře."
"suppose","suppose","Předpokládám","předpokládat","impf"," "" An accusation against his murderer makes sense, I suppose. """," "" Předpokládám, že obvinění vraha by dávalo smysl. """
"ask","ask","Zeptám","zeptat","pf"," Let me ask you this, Mr. Langdon."," Zeptám se vás tedy na tohle, pane Langdone."
"saw","see","uviděl","uvidět","pf"," Teabing felt a joyous sense of homecoming when he saw the misty hills of Kent spreading wide beneath the descending plane."," Teabing měl radost, že se konečně vrací domů, když uviděl zamžené kopce Kentu, prostírající se pod klesajícím letadlem."
"welcoming","welcome","vítala","vítat","impf"," This morning, the damp, spring green of his homeland looked particularly welcoming."," Toho rána vypadala vlhká jarní zeleň jeho rodné země obzvlášť přívětivě, jako by jej vítala."
"RETURNING","return","Vracím","vracet","impf"," I AM RETURNING TO ENGLAND VICTORIOUS."," Vracím se vítězně do Anglie."
"remained","remain","zůstávalo","zůstávat","impf"," The question remained, of course, as to WHERE the keystone would ultimately lead."," Otázkou samozřejmě zůstávalo, kam je základní kámen nakonec zavede."
"lead","lead","zavede","zavést","pf"," The question remained, of course, as to WHERE the keystone would ultimately lead."," Otázkou samozřejmě zůstávalo, kam je základní kámen nakonec zavede."
"said","say","prohlásil","prohlásit","pf"," "" Gentlemen, "" he said, knowing he was on tender ground, "" might I offer a suggestion for all of you."," "" Džentlmeni, "" prohlásil a věděl, že se pouští na tenký led, "" mohl bych vám předložit malý návrh?"
"think","think","myslel","myslet","impf"," Without being so bold as to condone premarital sex, and without being so naive as to think you 're all chaste angels, I will give you this bit of advice about your sex lives. """," Nejsem ani tak troufalý, abych se snažil vymlouvat vám předmanželský sex, ani tak naivní, abych si myslel, že jste všichni cudní andělé, ale dám vám malou radu, týkající se vašeho sexuálního života. """
"give","give","dám","dát","pf"," Without being so bold as to condone premarital sex, and without being so naive as to think you 're all chaste angels, I will give you this bit of advice about your sex lives. """," Nejsem ani tak troufalý, abych se snažil vymlouvat vám předmanželský sex, ani tak naivní, abych si myslel, že jste všichni cudní andělé, ale dám vám malou radu, týkající se vašeho sexuálního života. """
"Designed","design","navrženo","navrhnout","pf"," Designed in the style of the great cathedrals of Amiens, Chartres, and Canterbury, Westminster Abbey is considered neither cathedral nor parish church."," Westminsterské opatství je navrženo ve stylu velkých katedrál jako v Amiens, Chartres a Cantebury, ale není považováno ani za katedrálu, ani za farní kostel."
"considered","consider","považováno","považovat","impf"," Designed in the style of the great cathedrals of Amiens, Chartres, and Canterbury, Westminster Abbey is considered neither cathedral nor parish church."," Westminsterské opatství je navrženo ve stylu velkých katedrál jako v Amiens, Chartres a Cantebury, ale není považováno ani za katedrálu, ani za farní kostel."
"heard","hear","slyšela","slyšet","impf"," I 've heard that word."," To slovo už jsem někde slyšela."
"surprised","surprise","nepřekvapuje","překvapovat","impf"," "" I 'm not surprised, "" Langdon replied."," "" To mě nepřekvapuje, "" odpověděl Langdon."
"replied","reply","odpověděl","odpovědět","pf"," "" I 'm not surprised, "" Langdon replied."," "" To mě nepřekvapuje, "" odpověděl Langdon."
"heard","hear","slyšela","slyšet","impf"," "" You probably heard it in Cryptology 101."," "" Nejspíš jsi ho slyšela na přednáškách o kryptologii."
"wondered","wonder","Uvažovala","uvažovat","impf"," She wondered if this were the moment to tell Langdon what she had witnessed that night in the Normandy château."," Uvažovala, jestli teď nastal vhodný okamžik, aby Langdonovi řekla, co oné noci v horském zámečku viděla."
"tell","tell","řekla","říci","pf"," She wondered if this were the moment to tell Langdon what she had witnessed that night in the Normandy château."," Uvažovala, jestli teď nastal vhodný okamžik, aby Langdonovi řekla, co oné noci v horském zámečku viděla."
"witnessed","witness","viděla","vidět","impf"," She wondered if this were the moment to tell Langdon what she had witnessed that night in the Normandy château."," Uvažovala, jestli teď nastal vhodný okamžik, aby Langdonovi řekla, co oné noci v horském zámečku viděla."
"kept","keep","bránil","bránit","impf"," For ten years now, simple shame had kept her from telling a soul."," Po deseti letech už jí v tom bránil pouze stud."
"thinking","think","pomyslela","pomyslet","pf"," Just thinking about it, she shuddered."," Stačilo, aby na to pomyslela, a zachvěla se."
"felt","feel","cítila","cítit","impf"," Sirens howled somewhere in the distance, and she felt a thickening shroud of fatigue settling over her."," Někde v dálce vyly policejní sirény a ona cítila, že na ni padá stále větší únava."
"see","see","spatřil","spatřit","pf"," "" There! "" Langdon said, feeling excited to see the huge complex of the Roland Garros tennis stadium looming ahead."," "" Tamhle! "" křikl Langdon vzrušeně, když spatřil obrovský komplex Roland Garros, který se právě objevil přímo před nimi."
"hesitated","hesitate","zaváhal","zaváhat","pf"," Langdon hesitated."," Langdon zaváhal."
"whispered","whisper","zašeptala","zašeptat","pf"," "" MILK, "" Sophie whispered in his ear."," "" Smetanu, "" zašeptala mu Sophie do ucha."
"WAIT","wait","Počkat","počkat","pf"," WAIT!"," Počkat!"
"recalled","recall","vzpomněl","vzpomenout","pf"," Langdon now recalled the bitter beverage he had been served on his last visit and realized this question was a trick."," Langdon si vzpomněl na hnusný nápoj, který tu obdržel při své poslední návštěvě."
"sounded","sound","zněl","znít","impf"," Teabing sounded deeply amused now."," Teabingův hlas zněl velice pobaveně."
"smiled","smile","usmála","usmát","pf"," Marie smiled."," Marie se usmála."
"speak","speak","říká","říkat","impf"," "" Did your grandfather ever speak to you of something called LA CLEF DE VOÛTE? """," "" Nevyprávěl ti dědeček někdy o předmětu, kterému se říká le clef de voute? """
"called","call","říká","říkat","impf"," "" Did your grandfather ever speak to you of something called LA CLEF DE VOÛTE? """," "" Nevyprávěl ti dědeček někdy o předmětu, kterému se říká le clef de voute? """
"translated","translate","přeložila","přeložit","pf"," "" The key to the vault? "" Sophie translated."," "" Klíč k hrobce? "" přeložila to Sophie."
"broken","break","neporušil","porušit","pf"," No law has been broken here. """," Nikdo neporušil žádný zákon. """
"leaned","lean","naklonil","naklonit","pf"," The secretariat leaned forward and his chair creaked under the burden."," Sekretář se naklonil dopředu a křeslo hlasitě zaprotestovalo pod jeho tíhou."
"intend","intend","chcete","chtít","impf"," "" We have no knowledge of what you intend to do with these funds, and if it is in any way illegal ... """," "" Nevíme nic o tom, co s těmi penězi chcete podniknout - jestli se zapletete do něčeho nelegálního ... """
"asking","ask","žádali","žádat","impf"," "" Considering what you are asking of me, "" Aringarosa countered, "" what I do with this money is not your concern. """," "" Uvážíme - li, co jste po mně žádali, "" odsekl Aringarosa, "" není to už vaše starost. """
"thought","think","mám","mít","impf"," THEY KNOW I'M RIGHT, Aringarosa thought."," Vědí, že mám pravdu, pomyslel si biskup."
"thought","think","pomyslel","pomyslet","pf"," THEY KNOW I'M RIGHT, Aringarosa thought."," Vědí, že mám pravdu, pomyslel si biskup."
"sensed","sense","Cítil","cítit","impf"," He sensed it was an object of enormous consequence."," Cítil, že má v ruce předmět zásadní důležitosti."
"realized","realize","uvědomil","uvědomit","pf"," Earlier, while telling Sophie about the Knights Templar, Langdon had realized that this key, in addition to having the Priory seal embossed on it, possessed a more subtle tie to the Priory of Sion."," Už dřív, když vykládal Sophii o templářích, uvědomil si, že tento klíč má kromě jednoznačné pečeti ještě jednu subtilnější vazbu na Převorství sionské."
