"get","get","dostane","dostat","pf"," In another moment down went Alice after it, never once considering how in the world she was to get out again."," V mžiku se pustila Alenka za ním, a jak se zas dostane ven, na to vůbec nepomyslila."
"went","go","vedla","vést","impf"," The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down what seemed to be a very deep well."," Králičí díra vedla kus rovně jako tunel a pak najednou se prudce svažovala dolů, tak prudce, že Alenka neměla vůbec kdy se zastavit a padala do hluboké jámy."
"think","think","neměla","mít","impf"," The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down what seemed to be a very deep well."," Králičí díra vedla kus rovně jako tunel a pak najednou se prudce svažovala dolů, tak prudce, že Alenka neměla vůbec kdy se zastavit a padala do hluboké jámy."
"falling","fall","padala","padat","impf"," The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down, so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down what seemed to be a very deep well."," Králičí díra vedla kus rovně jako tunel a pak najednou se prudce svažovala dolů, tak prudce, že Alenka neměla vůbec kdy se zastavit a padala do hluboké jámy."
"said","say","řekla","říci","pf"," ‘ The first thing I ’ ve got to do, ’ said Alice to herself, as she wandered about in the wood, ‘ is to grow to my right size again;"," "" Nejprve musím, "" řekla si Alenka při tom bloudění lesem, "" narůst zas do správné velikosti;"
"grow","grow","narůst","narůst","pf"," ‘ The first thing I ’ ve got to do, ’ said Alice to herself, as she wandered about in the wood, ‘ is to grow to my right size again;"," "" Nejprve musím, "" řekla si Alenka při tom bloudění lesem, "" narůst zas do správné velikosti;"
"said","say","neříkali","říkat","impf"," Five and Seven said nothing, but looked at Two."," Pětka a Sedmička neříkali nic, jenom hleděli na Dvojku."
"looked","look","hleděli","hledět","impf"," Five and Seven said nothing, but looked at Two."," Pětka a Sedmička neříkali nic, jenom hleděli na Dvojku."
"see","see","přijde","přijít","pf"," So you see, Miss, we ’ re doing our best, afore she comes, to - ’"," A tak než přijde, snažíme se, slečinko - """
"comes","come","přijde","přijít","pf"," So you see, Miss, we ’ re doing our best, afore she comes, to - ’"," A tak než přijde, snažíme se, slečinko - """
"ran","run","běžela","běžet","impf"," so she set off at once, and ran till she was quite tired and out of breath, and till the puppy ’ s bark sounded quite faint in the distance."," Rozběhla se a běžela, až se celá utrmácela a zadýchala a štěkot štěněte k ní zaléhal jen z dálky."
"went","go","pokračoval","pokračovat","impf"," The Mock Turtle went on."," Paželv pokračoval :"
"school","school","učili","učit","impf"," ‘ We had the best of educations - in fact, we went to school every day - ’"," "" Dostalo se nám výborného vzdělání - však jsme se celý den učili. """
"asked","ask","zeptal","zeptat","pf"," ‘ With extras? ’ asked the Mock Turtle, a little anxiously."," "" A měla jsi nějaké nepovinné předměty? "" zeptal se starostlivě Paželv."
"said","say","řekla","říci","pf"," ‘ Yes, ’ said Alice : ‘ we learned French and music. ’"," "" Ano! "" řekla Alenka, "" měli jsme francouzštinu a hudbu. """
"see","see","vidět","vidět","impf"," ‘ I can see you ’ re trying to invent something! ’"," "" Je vidět, že si něco vymýšlíš. """
"invent","invent","vymýšlíš","vymýšlet","impf"," ‘ I can see you ’ re trying to invent something! ’"," "" Je vidět, že si něco vymýšlíš. """
"said","say","řekla","říci","pf"," ‘ I - I ’ m a little girl, ’ said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day."," "" Já - já jsem holčička, "" řekla Alenka trochu nejistě, když si vzpomněla, kolikrát se za ten den proměnila."
"remembered","remember","vzpomněla","vzpomenout","pf"," ‘ I - I ’ m a little girl, ’ said Alice, rather doubtfully, as she remembered the number of changes she had gone through that day."," "" Já - já jsem holčička, "" řekla Alenka trochu nejistě, když si vzpomněla, kolikrát se za ten den proměnila."
"said","say","Povídali","povídat","impf"," ‘ A likely story indeed! ’ said the Pigeon, in a tone of the deepest contempt."," "" Povídali, že mu hráli! "" odbyla ji Holubice opovržlivě."
"seen","see","Viděla","vidět","impf"," ‘ I ’ ve seen a good many little girls in my time, but never one with such a neck as that!"," "" Viděla jsem už nějakých holčiček, ale s takovým krkem ani jednu!"
"ran","run","utíkala","utíkat","impf"," So Alice got up and ran off, thinking while she ran, as well she might, what a wonderful dream it had been."," A tak Alenka vstala a rozběhla se, a jak horempádem utíkala, pořád si říkala, jaký to byl báječný sen."
"ran","run","utíkala","utíkat","impf"," So Alice got up and ran off, thinking while she ran, as well she might, what a wonderful dream it had been."," A tak Alenka vstala a rozběhla se, a jak horempádem utíkala, pořád si říkala, jaký to byl báječný sen."
"sat","sit","sedět","sedět","impf"," But her sister sat still just as she left her, leaning her head on her hand, watching the setting sun, and thinking of little Alice and all her wonderful Adventures, till she too began dreaming after a fashion, and this was her dream :"," Po jejím odchodu zůstala však sestra sedět, podepřela si hlavu, hleděla na západ slunce a myslela na Alenku i na její báječná dobrodružství, až se z toho taky rozesnila a měla tento sen :"
"watching","watch","hleděla","hledět","impf"," But her sister sat still just as she left her, leaning her head on her hand, watching the setting sun, and thinking of little Alice and all her wonderful Adventures, till she too began dreaming after a fashion, and this was her dream :"," Po jejím odchodu zůstala však sestra sedět, podepřela si hlavu, hleděla na západ slunce a myslela na Alenku i na její báječná dobrodružství, až se z toho taky rozesnila a měla tento sen :"
