"see","see","Vidíš","vidět","impf"," „ Do you see that “ he said, in a voice choking with passion, and his eyes grew large and yellow all in a moment, as he pointed with a trembling finger at a small white thing lying under the tree."," "" Vidíš to? "" sípal vzteky, oči mu rázem zežloutly a lezly z důlků, jak třaslavě ukazoval prstem na nějakou tretku pod stromem."
"said","say","ukazoval","ukazovat","impf"," „ Do you see that “ he said, in a voice choking with passion, and his eyes grew large and yellow all in a moment, as he pointed with a trembling finger at a small white thing lying under the tree."," "" Vidíš to? "" sípal vzteky, oči mu rázem zežloutly a lezly z důlků, jak třaslavě ukazoval prstem na nějakou tretku pod stromem."
"pointed","point","ukazoval","ukazovat","impf"," „ Do you see that “ he said, in a voice choking with passion, and his eyes grew large and yellow all in a moment, as he pointed with a trembling finger at a small white thing lying under the tree."," "" Vidíš to? "" sípal vzteky, oči mu rázem zežloutly a lezly z důlků, jak třaslavě ukazoval prstem na nějakou tretku pod stromem."
"said","say","řekla","říci","pf"," „ It ’ s only a rattle, “ Alice said, after a careful examination of the little white thing."," "" Pouhá řehtačka na chřestění, "" řekla Alenka, když si tu tretku prohlídla."
"tell","tell","Povím","povědět","pf"," “ I ’ m going to tell you all your faults."," "" Povím ti, čím ses provinila."
"washing","wash","umývala","umývat","impf"," Number one : you squeaked twice while Dinah was washing your face this morning."," Za prvé : když ti dnes ráno Micka umývala obličej, dvakrát jsi zapištěla."
"say","say","říkáš","říkat","impf"," What ’ s that you say? ”"," Co to říkáš? """
"speaking","speak","mluví","mluvit","impf"," ( pretending that the kitten was speaking. )"," ( Alenka dělala, jako že kotě mluví. )"
"said","say","řekla","říci","pf"," „ Please do, “ Alice said very politely."," "" Prosím, "" řekla zdvořile Alenka."
"caught","catch","chytí","chytit","pf"," That is easy : a baby, I think, could have caught it."," tu vám každé dítě chytí."
"looked","look","prohlídla","prohlédnout","pf"," Alice looked at the Rocking-horse-fly with great interest, and made up her mind that it must have been just repainted, it looked so bright and sticky;"," Alenka si Houpacího Koníčka se zájmem prohlídla a usoudila, že je nejspíš čerstvě natřen, protože je tak lesklý a lepkavý;"
"looked","look","prohlídla","prohlédnout","pf"," Alice looked at the Rocking-horse-fly with great interest, and made up her mind that it must have been just repainted, it looked so bright and sticky;"," Alenka si Houpacího Koníčka se zájmem prohlídla a usoudila, že je nejspíš čerstvě natřen, protože je tak lesklý a lepkavý;"
"said","say","řekl","říci","pf"," „ Look on the branch above your head, “ said the Gnat, „ and there you ’ ll find a Snap-dragon-fly."," "" Podívej se na tu větev, co máš nad sebou, "" řekl Komár, "" a uvidíš tam Ohniváčka."
"think","think","myslíte","myslet","impf"," Do you think it ’ s going to rain? “"," Co myslíte, bude pršet? """
"rain","rain","pršet","pršet","impf"," Do you think it ’ s going to rain? “"," Co myslíte, bude pršet? """
"spread","spread","roztáhl","roztáhnout","pf"," Tweedledum spread a large umbrella over himself and his brother, and looked up into it."," Tydliták roztáhl nad sebou i nad bratrem velikánský deštník a pohlédl vzhůru do něho :"
"looked","look","pohlédl","pohlédnout","pf"," Tweedledum spread a large umbrella over himself and his brother, and looked up into it."," Tydliták roztáhl nad sebou i nad bratrem velikánský deštník a pohlédl vzhůru do něho :"
"think","think","Myslím","myslet","impf"," „ No, I don ’ t think it is, “ he said : „ at least - not under here."," "" Myslím, že ne, "" řekl, "" aspoň ne pod ním."
"said","say","řekl","říci","pf"," „ No, I don ’ t think it is, “ he said : „ at least - not under here."," "" Myslím, že ne, "" řekl, "" aspoň ne pod ním."
"help","help","pomoz","pomoci","pf"," You were his wife, my dear, so you ought to know - Oh, Kitty, do help to settle it!"," Ty to budeš, milánku, vědět, bylas jeho ženou - Tak Katko, pomoz mi to rozluštit."
"wait","wait","počká","počkat","pf"," I ’ m sure your paw can wait! “"," Ta pracka počká! """
"heard","hear","neslyší","slyšet","impf"," But the provoking kitten only began on the other paw, and pretended it hadn ’ t heard the question."," Ale to protivné kotě si olizovalo zas druhou pracku a dělalo, že neslyší."
"seen","see","neviděla","vidět","impf"," She thought she had never seen such a strange-looking soldier in all her life."," Takového divného vojáka jakživa neviděla."
"fit","fit","nepadlo","padnout","pf"," He was dressed in tin armour, which seemed to fit him very badly, and he had a queer-shaped little deal box fastened across his shoulders, upside-down, and with the lid hanging open."," Na sobě měl plechové brnění, které mu vůbec nepadlo, a přes ramena mu vzhůru nohama visela prapodivná dřevěná bedýnka s otevřeným víkem."
"hanging","hang","visela","viset","impf"," He was dressed in tin armour, which seemed to fit him very badly, and he had a queer-shaped little deal box fastened across his shoulders, upside-down, and with the lid hanging open."," Na sobě měl plechové brnění, které mu vůbec nepadlo, a přes ramena mu vzhůru nohama visela prapodivná dřevěná bedýnka s otevřeným víkem."
"said","say","řekl","říci","pf"," „ I see you ’ re admiring my little box, “ the Knight said in a friendly tone."," "" Má bedýnka ti nějak učarovala, "" řekl vlídně Bílý Jezdec."
"looking","look","dívala","dívat","impf"," Alice stood looking after it, almost ready to cry with vexation at having lost her dear little fellow-traveller so suddenly."," Alenka se za ním dívala, div se nerozplakala žalem nad tím, jak náhle zas o svého spolupoutníčka přišla."
"follow","follow","řídit","řídit","impf"," And now, which of these finger-posts ought I to follow, I wonder? “"," Jenom bych ráda věděla, kterým tím ukazatelem se mám řídit. """
"turning","turn","otočil","otočit","pf"," „ Come, fetch out the plum-cake, old man! “ the Unicorn went on, turning from her to the King."," "" Hej, starouši, dej mi koláč! "" otočil se Jednorožec po Králi."
"won","win","vyhrála","vyhrát","pf"," Well, it was a nice check, Kitty, and really I might have won, if it hadn ’ t been for that nasty Knight, that came wriggling down among my pieces."," Byl to, Katko, pěkný šach, a nebýt toho zlého jezdce, který se vetřel mezi mé figurky, tak jsem to jistě vyhrála."
"added","add","dodal","dodat","pf"," „ Contrariwise, “ added the one marked „ DEE, “ „ if you think we ’ re alive, you ought to speak. “"," "" Naopak, "" dodal ten, který byl označen TEK, "" jestli si myslíš, že jsme živí, tak co nemluvíš? """
"think","think","myslíš","myslet","impf"," „ Contrariwise, “ added the one marked „ DEE, “ „ if you think we ’ re alive, you ought to speak. “"," "" Naopak, "" dodal ten, který byl označen TEK, "" jestli si myslíš, že jsme živí, tak co nemluvíš? """
