"viewed","view","Vidí","vidět","impf"," 6. Language is viewed as a totality or unit with internal trans-formations between its parts ( albeit under different names ) and with a principle of self-regulation ( there is homeostasis in language, Piaget )."," 6. Vidí jazyk jako totalitu / celek s vnitřními transformacemi mezi částmi ( byť pod různými jmény ) a principem autoregulace ( v jazyce existuje homeostáze, Piaget )."
"sought","seek","Nesnaží","snažit","impf"," 7. Answers are not sought to the question why?, i.e. there is no attempt to seek "" causality "", i. e. explanations of linguistic phenomena outside language, especially not in terms of extra-linguistic reality."," 7. Nesnaží se určit odpovědi na otázku proč, tj. hledat "" zdůvodněnost "", explanaci samotné existence jazykového jevu mimo jazyk, především mimojazykovou realitou."
"seek","seek","Nesnaží","snažit","impf"," 7. Answers are not sought to the question why?, i.e. there is no attempt to seek "" causality "", i. e. explanations of linguistic phenomena outside language, especially not in terms of extra-linguistic reality."," 7. Nesnaží se určit odpovědi na otázku proč, tj. hledat "" zdůvodněnost "", explanaci samotné existence jazykového jevu mimo jazyk, především mimojazykovou realitou."
"sought","seek","hledat","hledat","impf"," 7. Answers are not sought to the question why?, i.e. there is no attempt to seek "" causality "", i. e. explanations of linguistic phenomena outside language, especially not in terms of extra-linguistic reality."," 7. Nesnaží se určit odpovědi na otázku proč, tj. hledat "" zdůvodněnost "", explanaci samotné existence jazykového jevu mimo jazyk, především mimojazykovou realitou."
"seek","seek","hledat","hledat","impf"," 7. Answers are not sought to the question why?, i.e. there is no attempt to seek "" causality "", i. e. explanations of linguistic phenomena outside language, especially not in terms of extra-linguistic reality."," 7. Nesnaží se určit odpovědi na otázku proč, tj. hledat "" zdůvodněnost "", explanaci samotné existence jazykového jevu mimo jazyk, především mimojazykovou realitou."
"established","establish","založil","založit","pf"," His view of the function of language, seen above all as complete speech acts, established a new trend in the philosophy of language and linguistics generally ( Austin 1962 )."," Jeho pohled na funkce jazyka ( How to Do Things with Words, 1962 ), viděné především jako celistvé mluvní akty, založil nový směr ve filozofii jazyka a lingvistice vůbec."
"relate","relate","vztahuje","vztahovat","impf"," The relationship between a model and the structure of a theory is determined, in respect of their common features, by the fact that both relate to the theory."," Vztah modelu ke struktuře teorie je dán co do společného rysu tím, že obojí se vztahuje k teorii;"
"concerned","concern","týká","týkat","impf"," On the other hand, however, the structure is concerned with the syntactic system and the actual abstract theory - it is concerned with the model of the semantic system and the interpretation of the theory."," zatímco však struktura se týká syntaktického systému a vlastní abstraktní teorie, týká se model systému sémantického a interpretace teorie."
"concerned","concern","týká","týkat","impf"," On the other hand, however, the structure is concerned with the syntactic system and the actual abstract theory - it is concerned with the model of the semantic system and the interpretation of the theory."," zatímco však struktura se týká syntaktického systému a vlastní abstraktní teorie, týká se model systému sémantického a interpretace teorie."
"concerned","concern","týká","týkat","impf"," On the other hand, however, the structure is concerned with the syntactic system and the actual abstract theory - it is concerned with the model of the semantic system and the interpretation of the theory."," zatímco však struktura se týká syntaktického systému a vlastní abstraktní teorie, týká se model systému sémantického a interpretace teorie."
