"want","want","chci","chtít","impf"," Out is what I want, and some clean whisky."," Všecko, co chci, je dostat se ven, a krapet čisté whisky."
"said","say","řekl","říci","pf"," ‘ I ’ m Doctor Sundstrand, ’ he said."," "" Jsem doktor Sundstrand, "" řekl."
"caught","catch","Zachytil","zachytit","pf"," I caught the name Galbraith."," Zachytil jsem jméno Galbraith."
"went","go","Šel","jít","impf"," I went over and unlocked the door."," Šel jsem a dveře zase odemkl."
"wait","wait","Nečekali","čekat","impf"," We didn ’ t wait very long, but long enough for the Chief to have two more drinks."," Nečekali jsme moc dlouho, ale zase dost dlouho na to, aby si náčelník dal dvě další štamprlata."
"opened","open","otevřely","otevřít","pf"," Then the door opened and the big red-faced dick who had sapped me loafed through it, with a bulldog pipe clamped in his teeth and his hands in his pockets."," Potom se otevřely dveře a hromotlucký červenolící polda, který mě onehdy praštil pendrekem, veplul dovnitř s dýmkou v zubech a s rukama v kapsách."
"hit","hit","udeřilo","udeřit","pf"," My head felt funny, but I didn ’ t know what had hit me."," Hlava mě divně brněla, jen jsem nevěděl, co mě to udeřilo."
"shot","shoot","Zastřelil","zastřelit","pf"," I shot the dog, hating to do it."," Zastřelil jsem psa, jakkoli nerad."
"saw","see","spatřil","spatřit","pf"," The dog rolled off Fulwider and I saw where a stray bullet had drilled the Chief ’ s forehead between the eyes, with the delicate exactness of pure chance."," Pes se svezl z Fulwiderova těla a já jsem spatřil místo, kam náčelníka zasáhla zbloudilá kulka : do čela mezi oči, s dokonalou přesností náhody."
"seeing","see","sledovat","sledovat","impf"," A big barrel-shaped palm tree kept me from seeing him at the front door of the house."," Velká soudkovitá palma mi zabránila sledovat, co dělá u předních dveří."
"turned","turn","obrátil","obrátit","pf"," I backed my Chrysler and turned it in the shelter of the corner house, went three blocks over and turned along a street parallel to Carolina."," Zacouval jsem svým chryslerem, obrátil ho v úkrytu za rohákem, projel jsem kolem tří bloků a dal se ulicí rovnoběžnou s Carolina Street."
"turned","turn","obrátil","obrátit","pf"," I backed my Chrysler and turned it in the shelter of the corner house, went three blocks over and turned along a street parallel to Carolina."," Zacouval jsem svým chryslerem, obrátil ho v úkrytu za rohákem, projel jsem kolem tří bloků a dal se ulicí rovnoběžnou s Carolina Street."
"knocking","knock","vyrazit","vyrazit","pf"," I wasn ’ t too nice about knocking the guns out of her hands."," Nebyl jsem příliš ohleduplný, protože jsem jí chtěl vyrazit pistole z rukou."
"shut","shut","zavřel","zavřít","pf"," I kicked the door shut, reached up and yanked the key around, then scrambled back from a high-heeled shoe that was doing its best to smash my nose for me."," Kopancem jsem dveře zavřel, sáhl a prudce otočil klíčem, a pak jsem honem honem uhýbal před střevícem s vysokým podpatkem, který mi důkladně rozbíjel nos na maděru."
"reached","reach","sáhl","sáhnout","pf"," I kicked the door shut, reached up and yanked the key around, then scrambled back from a high-heeled shoe that was doing its best to smash my nose for me."," Kopancem jsem dveře zavřel, sáhl a prudce otočil klíčem, a pak jsem honem honem uhýbal před střevícem s vysokým podpatkem, který mi důkladně rozbíjel nos na maděru."
"want","want","chceš","chtít","impf"," ‘ Watch that little window, if you want to live, ’ I snarled at him."," "" Dávej si pozor na to okýnko, jestli chceš zůstat naživu, "" zavrčel jsem na něho."
"showed","show","Ukázal","ukázat","pf"," That showed me French lisle socks at three or four dollars a pair, and hand-made English walnut brogues at fifteen to eighteen, depression prices."," Ukázal mi tak francouzské flórové ponožky, pár po třech až čtyřech dolarech, i ručně dělané anglické boty za patnáct až osmnáct dolarů, v cenách po burzovním krachu."
"said","say","odpověděl","odpovědět","pf"," ‘ A little trouble, ’ I said."," "" Mám sám menší malér, "" odpověděl jsem."
"dived","dive","Ponořil","ponořit","pf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"dropped","drop","padal","padat","impf"," I dived into it and dropped ... and dropped ... and dropped ..."," Ponořil jsem se do ní a padal ... a padal ... a padal."
"hung","hang","visel","viset","impf"," The smoke hung in the air, in thin lines straight up and down, like a bead curtain."," Kouř visel ve vzduchu v tenkých šňůrkách zdola i shora jako korálkové závěsy."
"seen","see","neviděl","vidět","impf"," I had never seen the room before."," Tuhle místnost jsem jaktěživo neviděl."
