"allowed","allow","nesměla","smět","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"did","do","jít","jít","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"do","do","jít","jít","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"go","go","jít","jít","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"did","do","dělat","dělat","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"do","do","dělat","dělat","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"go","go","dělat","dělat","impf"," I did not know what to do that first Sunday I was not allowed to go home."," První neděli, kdy jsem nesměla jít domů, jsem nevěděla, co dělat."
"go","go","jít","jít","impf"," I could not go to our church either, as it was in the quarantined area as well."," Do našeho kostela jsem také jít nemohla, protože i ten stál v oblasti karantény."
"remain","remain","zůstat","zůstat","pf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
"did","do","dělají","dělat","impf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
"did","do","dělají","dělat","impf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
"did","do","dělají","dělat","impf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
"want","want","nechtěla","chtít","impf"," I did not want to remain at the house, though - whatever Catholics did on Sundays, I did not want to be among them."," V domě jsem však zůstat nehodlala - ať si katolíci dělají o nedělích cokoli, já jsem mezi nimi být nechtěla."
