"saw","see","spatří","spatřit","pf"," What would the Hermians do, when they saw him?"," Co Merkuřané podniknou, až ho spatří?"
"held","hold","držela","držet","impf"," If Endeavour touched down between any two of these, the centrifugal drift would fetch her up against them and she would be held firmly in place, like a ship glued against a quayside by the incoming waves."," Kdyby Endeavour přistála mezi dvěma z nich, odstředivá síla by ji o ně zastavila a loď by držela tak pevně na místě, jako by ji dobíhající vlna přilepila k přístavní hrázi."
"glued","glue","přilepila","přilepit","pf"," If Endeavour touched down between any two of these, the centrifugal drift would fetch her up against them and she would be held firmly in place, like a ship glued against a quayside by the incoming waves."," Kdyby Endeavour přistála mezi dvěma z nich, odstředivá síla by ji o ně zastavila a loď by držela tak pevně na místě, jako by ji dobíhající vlna přilepila k přístavní hrázi."
"said","say","řekl","říci","pf"," ' Contact in fifteen seconds, ' said Joe."," "" Dosedneme za patnáct sekund, "" řekl Joe."
"hoped","hope","doufal","doufat","impf"," As he tensed himself above the duplicate controls, which he hoped he would not have to touch, Commander Norton became acutely aware of all that had come to focus on this instant of time."," Jak kapitán Norton seděl za zdvojeným řízením a doufal, že se ho nebude muset ani dotknout, pronikavě si uvědomoval všechno, co se mu v té chvíli sbíhalo v hlavě."
"touch","touch","dotknout","dotknout","pf"," As he tensed himself above the duplicate controls, which he hoped he would not have to touch, Commander Norton became acutely aware of all that had come to focus on this instant of time."," Jak kapitán Norton seděl za zdvojeným řízením a doufal, že se ho nebude muset ani dotknout, pronikavě si uvědomoval všechno, co se mu v té chvíli sbíhalo v hlavě."
"think","think","Myslím","myslet","impf"," ' I do n't think we should ... until the last possible minute."," "" Myslím, že zatím ne ... až v poslední chvíli."
"tell","tell","Říct","říci","pf"," Just tell him we 're on the way. '"," Říct mu jenom tolik, že pomoc je na cestě. """
"spot","spot","nezahlédl","zahlédnout","pf"," Though he could look across the full width of the Cylindrical Sea, and knew the general direction from which Resolution was coming, Jimmy did not spot the tiny craft until it had already passed New York."," Ačkoli Jimmy viděl přes celou šířku Válcového moře a znal v zásadě směr, jímž se Resolution blížila, nezahlédl malý člun dříve, dokud neproplul okolo New Yorku."
"seemed","seem","Zdálo","zdát","impf"," It seemed incredible that it could carry six men - and whatever equipment they had brought to rescue him."," Zdálo se neuvěřitelné, že unese šest mužů a veškeré zařízení, jež vezli k jeho záchraně."
"carry","carry","vezli","vézt","impf"," It seemed incredible that it could carry six men - and whatever equipment they had brought to rescue him."," Zdálo se neuvěřitelné, že unese šest mužů a veškeré zařízení, jež vezli k jeho záchraně."
"tell","tell","říct","říci","pf"," They were so deeply recessed in protective hoods that it was impossible to tell whether their lenses were made of crystal or jelly."," Byly zasazené v ochranných důlcích tak hluboko, že se nedalo říct, zda jsou skleněné, anebo ze sklivce."
"turned","turn","Obrátili","obrátit","pf"," They turned towards the distant lights of the Hub, moving with the gentle, loping strides which had proved the most comfortable means of walking under this reduced gravity."," Obrátili se ke vzdáleným světlům Středu, pohybovali se lehkými, hopkavými, dlouhými kroky, které se ukázaly v prostředí s menší gravitací jako nejpohodlnější způsob chůze."
"moving","move","pohybovali","pohybovat","impf"," They turned towards the distant lights of the Hub, moving with the gentle, loping strides which had proved the most comfortable means of walking under this reduced gravity."," Obrátili se ke vzdáleným světlům Středu, pohybovali se lehkými, hopkavými, dlouhými kroky, které se ukázaly v prostředí s menší gravitací jako nejpohodlnější způsob chůze."
"proved","prove","ukázaly","ukázat","pf"," They turned towards the distant lights of the Hub, moving with the gentle, loping strides which had proved the most comfortable means of walking under this reduced gravity."," Obrátili se ke vzdáleným světlům Středu, pohybovali se lehkými, hopkavými, dlouhými kroky, které se ukázaly v prostředí s menší gravitací jako nejpohodlnější způsob chůze."
"drawn","draw","přitahováni","přitahovat","impf"," Often they looked back, drawn by the hidden enigma of the island out there in the centre of the frozen sea."," Často se ohlíželi, přitahováni neodhalenou záhadou ostrova tam uprostřed zmrzlého Moře."
"thought","think","zdálo","zdát","impf"," And just once, Dr Ernst thought she felt the faint suspicion of a breeze against her cheek."," A najednou se dr. Ernstové zdálo, že pocítila na krku jemný závan vánku."
"felt","feel","pocítila","pocítit","pf"," And just once, Dr Ernst thought she felt the faint suspicion of a breeze against her cheek."," A najednou se dr. Ernstové zdálo, že pocítila na krku jemný závan vánku."
"forgot","forget","zapomněla","zapomenout","pf"," It did not come again, and she quickly forgot all about it."," Neopakoval se a brzy na něj úplně zapomněla."
"associated","associate","spojit","spojit","pf"," They would have identified it long ago, but it was not a sound they would ever have associated with any world except Earth."," Byli by na to přišli už dávno, ale nemohli si tenhle zvuk spojit s jiným světem než se Zemí."
"guessed","guess","odhadnout","odhadnout","pf"," Coming out of the fog, from a source whose distance could not be guessed, was the steady thunder of falling water."," Jak prolétali mlhou, od zdroje, jehož vzdálenost se nedala odhadnout, se neslo hromové burácení padající vody."
"ended","end","skončil","skončit","pf"," A few minutes later, the cloud ceiling ended as abruptly as it had begun."," O několik minut později strop z mračen skončil stejně náhle, jak začínal."
"begun","begin","začínal","začínat","impf"," A few minutes later, the cloud ceiling ended as abruptly as it had begun."," O několik minut později strop z mračen skončil stejně náhle, jak začínal."
"shot","shoot","Vyrazili","vyrazit","pf"," They shot out into the blinding glare of the Raman day, made more brilliant by the light reflected from the low-hanging clouds."," Vyrazili ven do oslepujícího svitu rámanského dne, ještě zářivějšímu díky světlu odraženému od nízko visících mračen."
"grab","grab","uchopily","uchopit","pf"," Then, suddenly, he was at the Hub, and eager hands reached out to grab him, and to hurry him through the airlocks."," Potom se náhle ocitl na Středu a dychtivé ruce se natáhly, aby jej uchopily, a spěchaly s ním do přechodové komory."
"hurry","hurry","spěchaly","spěchat","impf"," Then, suddenly, he was at the Hub, and eager hands reached out to grab him, and to hurry him through the airlocks."," Potom se náhle ocitl na Středu a dychtivé ruce se natáhly, aby jej uchopily, a spěchaly s ním do přechodové komory."
"said","say","řekl","říci","pf"," ' Why should it? ' said Sergeant Myron."," "" A proč by mělo? "" řekl seržant Myron."
"show","show","předvést","předvést","pf"," I wish I could show it to some of my students. '"," Kdybych to tak mohl předvést některým svým studentům. """
"staring","stare","zíral","zírat","impf"," Mercer was staring thoughtfully at the globe-circling band of the Cylindrical Sea."," Mercer zamyšleně zíral na pás Válcového moře, oblévající Rámu kolem dokola."
"said","say","řekl","říci","pf"," ' Have you noticed what 's happened to the water? ' he said at last."," "" Všimli jste si, co se stalo s vodou? "" řekl konečně."
"signify","signify","znamená","znamenat","impf"," What does that signify? '"," Co to znamená? """
"mentioned","mention","zmínil","zmínit","pf"," He had once mentioned this theory to Surgeon-Commander Laura Ernst, without revealing who had inspired his particular train of thought."," O své teorii se kdysi zmínil šéflékařce Lauře Ernstové, aniž by prozradil, kdo inspiroval jeho úvahy."
"revealing","reveal","prozradil","prozradit","pf"," He had once mentioned this theory to Surgeon-Commander Laura Ernst, without revealing who had inspired his particular train of thought."," O své teorii se kdysi zmínil šéflékařce Lauře Ernstové, aniž by prozradil, kdo inspiroval jeho úvahy."
"met","meet","setkala","setkat","pf"," He paused uncertainly; Laura had met one of his wives, but which?"," Nejistě se zarazil, Laura se setkala s jednou s jeho manželek, jenže s kterou?"
"Erasing","erase","Vymazal","vymazat","pf"," Erasing the sentence, he began again."," Vymazal poslední větu a začal znovu."
"began","begin","začal","začít","pf"," Erasing the sentence, he began again."," Vymazal poslední větu a začal znovu."
"led","lead","vedla","vést","impf"," ' My MO, Surgeon-Commander Ernst, led the first group to reach the Cylindrical Sea, fifteen kilometres from here."," "" Moje šéflékařka Ernstová vedla první skupinu a došla s ní až k Válcovému moři, patnáct kilometrů odsud."
"reach","reach","došla","dojít","pf"," ' My MO, Surgeon-Commander Ernst, led the first group to reach the Cylindrical Sea, fifteen kilometres from here."," "" Moje šéflékařka Ernstová vedla první skupinu a došla s ní až k Válcovému moři, patnáct kilometrů odsud."
"decided","decide","Rozhodl","rozhodnout","pf"," He decided to wait until the last possible minute before making a decision - if indeed he had any choice."," Rozhodl se vyčkat s výběrem místa až na poslední možnou chvíli - pokud ovšem nějakou volbu vůbec bude mít."
"call","call","zavolám","zavolat","pf"," ' I 've still got some control - will be down in half a minute - will call you then. '"," "" Pořád se to dá trochu ovládat - budu dole za půl minuty - potom znovu zavolám. """
"refused","refuse","odmítal","odmítat","impf"," But he refused to say goodbye;"," Avšak odmítal říkat sbohem;"
"say","say","říkat","říkat","impf"," But he refused to say goodbye;"," Avšak odmítal říkat sbohem;"
"wanted","want","chtěl","chtít","impf"," he wanted his comrades to know that he had gone down fighting, and without fear."," chtěl, aby jeho kamarádi věděli, že nepodlehl bez boje a nepoddal se strachu."
"solve","solve","vyřešila","vyřešit","pf"," It was generally felt that this problem could be left for the future to solve."," Všeobecně se usuzovalo, že tenhle problém se může odložit, aby jej vyřešila budoucnost."
"started","start","začal","začít","pf"," So this time he had started with almost painful slowness, moving like an old man."," Tentokrát tedy začal téměř až bolestivě pomalu, pohyboval se jako nějaký stařík."
