"said","say","řekl","říci","pf"," “ No, no, it is not so bad as that, ” said Holmes, smiling."," "" Snad to nebude tak hrozné, "" řekl Holmes s úsměvem."
"say","say","říci","říci","pf"," “ It is really immaterial who I am, but since the matter seems to interest you, Mr. Von Bork, I may say that this is not my first acquaintance with the members of your family."," "" Vlastně na tom nezáleží, ale jelikož vás to očividně zajímá, pane von Borku, mohu vám říci, že to není první případ, kdy mám co dělat s někým z vašeho rodu."
"fell","fall","upadl","upadnout","pf"," Then he fell upon the carpet, rolling and writhing, while scream after scream resounded through the house."," Pak upadl na koberec, koulel se a svíjel a jeho jekot zazníval celým domem."
"seized","seize","Uchopil","uchopit","pf"," I seized a carafe from a side-table and rushed to his aid."," Uchopil jsem karafu z malého stolku a pospíchal mu na pomoc."
"rushed","rush","pospíchal","pospíchat","impf"," I seized a carafe from a side-table and rushed to his aid."," Uchopil jsem karafu z malého stolku a pospíchal mu na pomoc."
"hiding","hide","skrývá","skrývat","impf"," There was the explanation that he was in hiding for a crime, or that he was mad and that they wished to avoid an asylum, or that he had some disease which caused his segregation."," Bylo možné, že se skrývá, protože spáchal nějaký zločin, nebo že zešílel a rodina se chce vyhnout ústavu pro choromyslné, anebo vyvstala nutnost izolace kvůli nějaké nemoci."
"wished","wish","chce","chtít","impf"," There was the explanation that he was in hiding for a crime, or that he was mad and that they wished to avoid an asylum, or that he had some disease which caused his segregation."," Bylo možné, že se skrývá, protože spáchal nějaký zločin, nebo že zešílel a rodina se chce vyhnout ústavu pro choromyslné, anebo vyvstala nutnost izolace kvůli nějaké nemoci."
"avoid","avoid","vyhnout","vyhnout","pf"," There was the explanation that he was in hiding for a crime, or that he was mad and that they wished to avoid an asylum, or that he had some disease which caused his segregation."," Bylo možné, že se skrývá, protože spáchal nějaký zločin, nebo že zešílel a rodina se chce vyhnout ústavu pro choromyslné, anebo vyvstala nutnost izolace kvůli nějaké nemoci."
"reported","report","hlášen","hlásit","impf"," No unsolved crime had been reported from that district."," Žádný neobjasněný zločin nebyl z těchto končin hlášen."
"done","do","způsobil","způsobit","pf"," ‘ Let me say once for all that I am aware of three passages in my fiance ’ s life in which he became entangled with designing women, and that I am assured of his hearty repentance for any evil that he may have done. ’"," ' Oznamuji vám jednou provždy, že mám povědomost o třech případech, kdy můj snoubenec upadl do tenat nějakých ženštin, a jsem přesvědčena, že se z hloubi duše kál za jakékoli utrpení, které snad komu způsobil. '"
"beg","beg","prosím","prosit","impf"," ‘ Mr. Holmes, I beg that you will bring this interview to an end, ’ said the icy voice."," ' Pane Holmesi, prosím vás, abyste tento hovor ukončil, ' pravil ledový hlas."
