"thought","think","myslel","myslet","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"saw","see","vidím","vidět","impf"," "" I thought I saw children. """," "" A já si myslel, že vidím děti. """
"said","say","řekla","říci","pf"," "" No, sunflowers, "" Enid said."," "" Ne, slunečnice, "" řekla Enid."
"saw","see","Viděl","vidět","impf"," "" You saw sunflowers. """," "" Viděl jsi slunečnice. """
"hung","hang","visel","viset","impf"," A portrait of Edvard Grieg hung in a room of actual gilt ornateness that recalled the eighteenth-century splendor of Sweden 's royal court."," Portrét Edvarda Griega visel v místnosti vyznačující se skutečnou zlatavou zdobností vyvolávající představu nádhery švédského královského dvora osmnáctého století."
"confirmed","confirm","potvrdil","potvrdit","pf"," The large number of empty chairs confirmed Enid 's suspicion that many of the cruise participants were low-class."," Velký počet prázdných židlí potvrdil Enidino podezření, že značná část cestujících má bídnou úroveň nižší třídy."
"thought","think","měla","mít","impf"," Although Sylvia seemed less than knocked dead by the musicians, Enid thought they were wonderful."," Ačkoliv Sylvie nevypadala, že by byla výkonem hudebníků kdovíjak unesena, Enid měla dojem, že byli skvělí."
"goes","go","začala","začít","pf"," "" My husband, "" Robin said, "" has put fifty thousand dollars, which he got from the W -- Corporation, into a movie about a North Philly anarchist who splits two women 's skulls and goes to jail for it!"," "" Můj manžel, "" začala jí podstatu věci vysvětlovat Robin, "" dal padesát tisíc dolarů, které dostal od firmy W - - - -, na film, v němž nějaký anarchista ze severní části Filadelfie rozbije dvěma ženám lebku a jde za to do vězení!"
"put","put","dal","dát","pf"," "" My husband, "" Robin said, "" has put fifty thousand dollars, which he got from the W -- Corporation, into a movie about a North Philly anarchist who splits two women 's skulls and goes to jail for it!"," "" Můj manžel, "" začala jí podstatu věci vysvětlovat Robin, "" dal padesát tisíc dolarů, které dostal od firmy W - - - -, na film, v němž nějaký anarchista ze severní části Filadelfie rozbije dvěma ženám lebku a jde za to do vězení!"
"got","get","dostal","dostat","pf"," "" My husband, "" Robin said, "" has put fifty thousand dollars, which he got from the W -- Corporation, into a movie about a North Philly anarchist who splits two women 's skulls and goes to jail for it!"," "" Můj manžel, "" začala jí podstatu věci vysvětlovat Robin, "" dal padesát tisíc dolarů, které dostal od firmy W - - - -, na film, v němž nějaký anarchista ze severní části Filadelfie rozbije dvěma ženám lebku a jde za to do vězení!"
"goes","go","jde","jít","impf"," "" My husband, "" Robin said, "" has put fifty thousand dollars, which he got from the W -- Corporation, into a movie about a North Philly anarchist who splits two women 's skulls and goes to jail for it!"," "" Můj manžel, "" začala jí podstatu věci vysvětlovat Robin, "" dal padesát tisíc dolarů, které dostal od firmy W - - - -, na film, v němž nějaký anarchista ze severní části Filadelfie rozbije dvěma ženám lebku a jde za to do vězení!"
"listening","listen","naslouchali","naslouchat","impf"," Both were listening with great interest now, and he felt he should say more."," Oba mu najednou naslouchali s velkým zájmem, a měl pocit, že si může dovolit dodat ještě něco."
"said","say","prohlásil","prohlásit","pf"," "" There 's a window, "" he said, "" which ... if you get it open ... would be what I want."," "" Tohle je okno, "" prohlásil, "" které ... kdybyste otevřeli ... bylo by takové, jaké ho chci mít."
"open","open","otevřeli","otevřít","pf"," "" There 's a window, "" he said, "" which ... if you get it open ... would be what I want."," "" Tohle je okno, "" prohlásil, "" které ... kdybyste otevřeli ... bylo by takové, jaké ho chci mít."
"want","want","chci","chtít","impf"," "" There 's a window, "" he said, "" which ... if you get it open ... would be what I want."," "" Tohle je okno, "" prohlásil, "" které ... kdybyste otevřeli ... bylo by takové, jaké ho chci mít."
"tell","tell","říct","říci","pf"," "" Can you tell me who our President is? """," "" Můžete mi říct, kdo je naším prezidentem? """
"needed","need","potřebovali","potřebovat","impf"," In the chaos of shutting down the St. Jude office and moving operations to Little Rock, the Wroths needed somebody to keep the railroad running while the new crew, headed by Creel, learned the ropes."," Ve zmatku, který doprovázel zavírání ústředí ve Svatém Judovi a převedení veškeré činnosti do Little Rocku, potřebovali bratři Wrothové někoho, kdo by udržel železniční společnost v chodu, než se nová posádka vedená Creelem trochu zaběhne a naučí se, jak to chodí."
"keep","keep","udržel","udržet","pf"," In the chaos of shutting down the St. Jude office and moving operations to Little Rock, the Wroths needed somebody to keep the railroad running while the new crew, headed by Creel, learned the ropes."," Ve zmatku, který doprovázel zavírání ústředí ve Svatém Judovi a převedení veškeré činnosti do Little Rocku, potřebovali bratři Wrothové někoho, kdo by udržel železniční společnost v chodu, než se nová posádka vedená Creelem trochu zaběhne a naučí se, jak to chodí."
"learned","learn","naučí","naučit","pf"," In the chaos of shutting down the St. Jude office and moving operations to Little Rock, the Wroths needed somebody to keep the railroad running while the new crew, headed by Creel, learned the ropes."," Ve zmatku, který doprovázel zavírání ústředí ve Svatém Judovi a převedení veškeré činnosti do Little Rocku, potřebovali bratři Wrothové někoho, kdo by udržel železniční společnost v chodu, než se nová posádka vedená Creelem trochu zaběhne a naučí se, jak to chodí."
"moving","move","chodí","chodit","impf"," In the chaos of shutting down the St. Jude office and moving operations to Little Rock, the Wroths needed somebody to keep the railroad running while the new crew, headed by Creel, learned the ropes."," Ve zmatku, který doprovázel zavírání ústředí ve Svatém Judovi a převedení veškeré činnosti do Little Rocku, potřebovali bratři Wrothové někoho, kdo by udržel železniční společnost v chodu, než se nová posádka vedená Creelem trochu zaběhne a naučí se, jak to chodí."
"offered","offer","nabídl","nabídnout","pf"," Creel offered Alfred a fifty percent raise and a block of Orfic stock if he would stay on for two extra years, oversee the move to Little Rock, and provide continuity."," Creel nabídl Alfredovi zvýšení platu o padesát procent a k tomu balík akcií Orfiku, pokud zůstane u firmy ještě dva roky, dohlédne na stěhování a zajistí kontinuitu podniku."
"stay","stay","zůstane","zůstat","pf"," Creel offered Alfred a fifty percent raise and a block of Orfic stock if he would stay on for two extra years, oversee the move to Little Rock, and provide continuity."," Creel nabídl Alfredovi zvýšení platu o padesát procent a k tomu balík akcií Orfiku, pokud zůstane u firmy ještě dva roky, dohlédne na stěhování a zajistí kontinuitu podniku."
"provide","provide","zajistí","zajistit","pf"," Creel offered Alfred a fifty percent raise and a block of Orfic stock if he would stay on for two extra years, oversee the move to Little Rock, and provide continuity."," Creel nabídl Alfredovi zvýšení platu o padesát procent a k tomu balík akcií Orfiku, pokud zůstane u firmy ještě dva roky, dohlédne na stěhování a zajistí kontinuitu podniku."
"swallow","swallow","polkl","polknout","pf"," He seemed to swallow the sour set of his mouth, to choke back the paranoia."," Působil dojmem, že polkl zatrpklý pocit v ústech, že potlačil sílící stihomam."
"cooked","cook","uvařil","uvařit","pf"," He shook his head as though Chip 's having cooked, Chip 's absence now, overwhelmed him."," Zavrtěl hlavou, jako kdyby Chipova nepřítomnost nad vším převládala, přestože to syn všechno uvařil."
"need","need","Potřebujeme","potřebovat","impf"," "" We just need to get the medication adjusted. """," "" Potřebujeme jen, abys dostal nové léky. """
"get","get","dostal","dostat","pf"," "" We just need to get the medication adjusted. """," "" Potřebujeme jen, abys dostal nové léky. """
"said","say","povídal","povídat","impf"," "" Hedgpeth said it 's unpredictable. """," "" Hedgpeth povídal, že je to nepředvídatelné. """
"visited","visit","navštívil","navštívit","pf"," Twice a week he and Gitanas visited the Club Metropol and, after a massage and before a sauna, had their needs efficiently gratified on the Metropol 's indifferently clean foam cushions."," Dvakrát týdně s Gitanasem navštívil klub Metropol, kde mezi masáží a saunou svoje potřeby přiměřeně uspokojil na místních neosobních nadýchaných polštářích."
"gratified","gratify","uspokojil","uspokojit","pf"," Twice a week he and Gitanas visited the Club Metropol and, after a massage and before a sauna, had their needs efficiently gratified on the Metropol 's indifferently clean foam cushions."," Dvakrát týdně s Gitanasem navštívil klub Metropol, kde mezi masáží a saunou svoje potřeby přiměřeně uspokojil na místních neosobních nadýchaných polštářích."
"revolved","revolve","točil","točit","impf"," Most of the Metropol 's female clinicians were in their thirties and led daytime lives that revolved around child care, or parent care, or the university 's International Journalism program, or the making of art in political hues that nobody would buy."," Většina zákaznic navštěvujících Metropol už měla třicítku za sebou a jejich denní program se točil kolem péče o děti či o rodiče, popřípadě kolem univerzitního studijního programu Mezinárodní žurnalistika, nebo kolem vymýšlení politických hesel, která nikoho nezajímala."
"want","want","nechtěli","chtít","impf"," Now, you would n't want to sail on a ship without a captain, would you?"," Poslyšte, že byste nechtěli jet na lodi, která nemá kapitána, co?"
"told","tell","říkala","říkat","impf"," But Robin had told her that she was n't on the Pill, she 'd said that she and Brian no longer fooled around enough to bother;"," Jenže Robin jí přece vykládala, že nebere pilulky, říkala, že už s Brianem skoro vůbec nedovádějí, aby to stálo za řeč."
"said","say","říkala","říkat","impf"," But Robin had told her that she was n't on the Pill, she 'd said that she and Brian no longer fooled around enough to bother;"," Jenže Robin jí přece vykládala, že nebere pilulky, říkala, že už s Brianem skoro vůbec nedovádějí, aby to stálo za řeč."
"seen","see","neviděla","vidět","impf"," and all summer long Denise had seen and tasted and smelled no trace of a husband on her lover 's body, and so she 'd let herself forget the obvious."," A celé dlouhé léto Denisa na těle své milenky neviděla, neochutnala ani neucítila jedinou stopu po jejím manželovi, a tak se stalo, že na tuhle pochopitelnou samozřejmost zapomněla."
"tasted","taste","neochutnala","ochutnat","pf"," and all summer long Denise had seen and tasted and smelled no trace of a husband on her lover 's body, and so she 'd let herself forget the obvious."," A celé dlouhé léto Denisa na těle své milenky neviděla, neochutnala ani neucítila jedinou stopu po jejím manželovi, a tak se stalo, že na tuhle pochopitelnou samozřejmost zapomněla."
"smelled","smell","neucítila","ucítit","pf"," and all summer long Denise had seen and tasted and smelled no trace of a husband on her lover 's body, and so she 'd let herself forget the obvious."," A celé dlouhé léto Denisa na těle své milenky neviděla, neochutnala ani neucítila jedinou stopu po jejím manželovi, a tak se stalo, že na tuhle pochopitelnou samozřejmost zapomněla."
"forget","forget","zapomněla","zapomenout","pf"," and all summer long Denise had seen and tasted and smelled no trace of a husband on her lover 's body, and so she 'd let herself forget the obvious."," A celé dlouhé léto Denisa na těle své milenky neviděla, neochutnala ani neucítila jedinou stopu po jejím manželovi, a tak se stalo, že na tuhle pochopitelnou samozřejmost zapomněla."
"found","find","našla","najít","pf"," She stirred Kleenexes, ticket stubs, and segments of floss and found another condom wrapper."," Prohrábla se papírovými kapesníčky, útržky od lístků a kousky vaty a našla další obal od prezervativu."
"following","follow","sledoval","sledovat","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"saw","see","sledoval","sledovat","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"see","see","sledoval","sledovat","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"saw","see","viděl","vidět","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"see","see","viděl","vidět","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"scared","scare","vyděsilo","vyděsit","pf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"saw","see","viděl","vidět","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"see","see","viděl","vidět","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"ran","run","utíkat","utíkat","impf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"disappeared","disappear","zmizel","zmizet","pf"," Chip was following all this from about twenty steps behind him, and so he saw how, when Alfred entered the basement from the garage, his legs buckled a little, sideways, and he pitched into the washing machine, and then he ran past the Ping-Pong table ( it had always scared Chip to see his father run, he seemed too old for it, too disciplined ) and disappeared into the basement bathroom;"," Chip otce celou dobu sledoval ze vzdálenosti nějakých dvaceti stop, a tak viděl, jak Alfred došel od garáže k suterénu, tam se pod ním najednou trochu podlomily nohy, narazil do pračky, chvatně se rozeběhl kolem pingpongového stolu ( Chipa vždycky vyděsilo, když viděl otce utíkat, připadal mu na to příliš starý, příliš ukázněný ) a zmizel na záchodě."
"did","do","dělat","dělat","impf"," and henceforth the squirrels did whatever they wanted."," A od té doby si veverky mohly dělat, cokoliv se jim zlíbilo."
"approaching","approach","blížil","blížit","impf"," The cab was approaching University Place."," Taxík se blížil k Univerzitnímu náměstí."
"want","want","nechci","chtít","impf"," "" I do n't want to hear another word from you. """," "" A nechci od tebe už slyšet ani slovo. """
"hear","hear","slyšet","slyšet","impf"," "" I do n't want to hear another word from you. """," "" A nechci od tebe už slyšet ani slovo. """
"want","want","Chceš","chtít","impf"," "" Do you want to spend the whole week in your room? """," "" Chceš strávit celý týden ve svém pokoji? """
"spend","spend","strávit","strávit","pf"," "" Do you want to spend the whole week in your room? """," "" Chceš strávit celý týden ve svém pokoji? """
"replied","reply","odpověděl","odpovědět","pf"," Caleb replied by crossing his eyes and sucking his lips into his mouth : not another word."," Caleb odpověděl tím, že zavřel oči a vtáhl rty do úst : už neřekne ani slovo."
"look","look","podívat","podívat","pf"," Gary let his gaze drift into corners of the boy 's room that he ordinarily took care not to look at."," Gary zabloudil pohledem do kouta chlapcova pokoje, do míst, kam ho jindy ani nenapadlo se podívat."
