"Give","give","Dejte","dát","pf"," "" Give me your hand now, Ruskin."," "" Dejte mi ruku, tak, Ruskine."
"help","help","Pomůžeme","pomoci","pf"," Let 's help you up ... here we go. '"," Pomůžeme vám vstát ... a je to. """
"sitting","sit","seděl","sedět","impf"," Doyle wondered just how long the man had been sitting there."," Doyle by byl rád věděl, jak dlouho tam ten člověk seděl."
"looked","look","Pohlédl","pohlédnout","pf"," Doyle looked at Barry, who seemed entirely unfazed by Sparks 's sudden departure."," Pohlédl na Barryho, kterého Sparksovo náhlé rozloučení zřejmě nijak nevyvedlo z konceptu."
"left","leave","opustil","opustit","pf"," He left school three days before the vacation on what he told the proctor was urgent family business."," Školu opustil tři dny před prázdninami kvůli, jak udal kvestorovi, naléhavé rodinné záležitosti."
"Agreed","agree","Souhlasím","souhlasit","impf"," "" Agreed."," "" Souhlasím."
"welcome","welcome","vítán","vítat","impf"," "" You 're more than welcome to join us, Doyle. '"," "" Chcete - li jít s námi, Doyle, jste vítán. """
"offered","offer","nabízela","nabízet","impf"," He had nothing but contempt for the fumbling chaperoned introductions school and society offered as the rituals of courtship."," Pro nemotorná seznamování pod dozorem, která škola a společnost nabízela v rámci zdvořilostních rituálů, měl jen pohrdání."
"struck","strike","udeřil","udeřit","pf"," He stalked these girls and then struck without hesitation or remorse."," Vyslídil si děvče a pak udeřil bez váhání a bez výčitky."
"inquire","inquire","neptali","ptát","impf"," Nor did his instructors ever bother to inquire; dedicated excellence in and of itself is so rare and bewitching a quality in the humdrum world that they were blinded by Alexander 's radiance. """," A jeho učitelé se po tom ani neptali : cílevědomá dokonalost je v tomto otupělém světě sama o sobě kvalitou tak výjimečnou, že je Alexandrova skvělost oslepila. """
"hesitated","hesitate","zaváhal","zaváhat","pf"," Doyle hesitated."," Doyle zaváhal."
"looked","look","Hleděli","hledět","impf"," They looked at each other."," Hleděli jeden na druhého."
"wrote","write","zapsal","zapsat","pf"," Finally, Leboux flipped open his notebook, wrote down Sparks 's name, closed the book, and rose."," Nakonec Leboux otevřel notes, zapsal si Sparksovo jméno, zavřel notes a vstal."
"closed","close","zavřel","zavřít","pf"," Finally, Leboux flipped open his notebook, wrote down Sparks 's name, closed the book, and rose."," Nakonec Leboux otevřel notes, zapsal si Sparksovo jméno, zavřel notes a vstal."
"rose","rise","vstal","vstát","pf"," Finally, Leboux flipped open his notebook, wrote down Sparks 's name, closed the book, and rose."," Nakonec Leboux otevřel notes, zapsal si Sparksovo jméno, zavřel notes a vstal."
"Come","come","Pojďte","jít","impf"," Come along, Doyle, the race is to the swift, "" said Sparks, and he was out the door as well."," Pojďte, Doyle, závod nabírá tempo, "" vyzval ho Sparks a rovněž vyšel ze dveří."
"see","see","viděl","vidět","impf"," Doyle could see the music seeping through to what was left of Barry."," Doyle viděl, jak hudba prosakuje tím, co z Barryho zbylo."
"tried","try","Pokusil","pokusit","pf"," He tried to shuffle his feet, but the result was pathetic, the slightest movement costly and excruciatingly painful."," Pokusil se o pár šoupavých kroků, ale výsledek byl žalostný, protože každý sebemenší pohyb ho stál mnoho sil a byl mučivě bolestivý."
"appeared","appear","objevila","objevit","pf"," A spreading stain appeared in the crotch of his pants."," V rozkroku kalhot se mu objevila rozrůstající se skvrna."
"found","find","považovali","považovat","impf"," The company of seven and their royal guest found the exhibition endlessly entertaining."," Sedmičlenná společnost i jejich královský host považovali toto představení za nekonečně zábavné."
"seemed","seem","zdálo","zdát","impf"," Prince Eddy seemed on the verge of jumping to his feet and joining in."," Princ Eddy, jak se zdálo, měl co dělat, aby nevyskočil a nepřipojil se."
"jumping","jump","nevyskočil","vyskočit","pf"," Prince Eddy seemed on the verge of jumping to his feet and joining in."," Princ Eddy, jak se zdálo, měl co dělat, aby nevyskočil a nepřipojil se."
"joining","join","nepřipojil","připojit","pf"," Prince Eddy seemed on the verge of jumping to his feet and joining in."," Princ Eddy, jak se zdálo, měl co dělat, aby nevyskočil a nepřipojil se."
"turned","turn","odvrátil","odvrátit","pf"," Sparks turned away from the flames and picked up the lid to the crate by its handles."," Sparks se odvrátil od plamenů a uchopil za držadla víko od bedny."
"said","say","řekl","říci","pf"," "" This way, "" he said, heading toward the end of the nave they 'd entered."," "" Tudy, "" řekl a vydal se k tomu konci chrámové lodě, kterým sem vešli."
"entered","enter","vešli","vejít","pf"," "" This way, "" he said, heading toward the end of the nave they 'd entered."," "" Tudy, "" řekl a vydal se k tomu konci chrámové lodě, kterým sem vešli."
"pointing","point","ukázala","ukázat","pf"," "" What does he want with that? "" asked Eileen, pointing at the lid."," "" K čemu to má? "" zajímala se Eileen a ukázala k víku rakve."
"need","need","potřebovat","potřebovat","impf"," "" We 'll need those, "" snapped Sparks, pointing at the shoes."," "" Tohle budeme potřebovat, "" ukázal na ně Sparks."
"pointing","point","ukázal","ukázat","pf"," "" We 'll need those, "" snapped Sparks, pointing at the shoes."," "" Tohle budeme potřebovat, "" ukázal na ně Sparks."
"determine","determine","určit","určit","pf"," "" I 'm attempting to determine if Jonathan had formed any unresolved hostilities to your parents, "" said Doyle, manufacturing as fast as he could speak."," "" Pokouším se určit, jestli se u Jonathana nemohla vytvořit neodbouraná hostilita vůči vašim rodičům, "" Doyle si vymýšlel stejně rychle, jako mluvil."
"formed","form","vytvořit","vytvořit","pf"," "" I 'm attempting to determine if Jonathan had formed any unresolved hostilities to your parents, "" said Doyle, manufacturing as fast as he could speak."," "" Pokouším se určit, jestli se u Jonathana nemohla vytvořit neodbouraná hostilita vůči vašim rodičům, "" Doyle si vymýšlel stejně rychle, jako mluvil."
"said","say","mluvil","mluvit","impf"," "" I 'm attempting to determine if Jonathan had formed any unresolved hostilities to your parents, "" said Doyle, manufacturing as fast as he could speak."," "" Pokouším se určit, jestli se u Jonathana nemohla vytvořit neodbouraná hostilita vůči vašim rodičům, "" Doyle si vymýšlel stejně rychle, jako mluvil."
"speak","speak","mluvil","mluvit","impf"," "" I 'm attempting to determine if Jonathan had formed any unresolved hostilities to your parents, "" said Doyle, manufacturing as fast as he could speak."," "" Pokouším se určit, jestli se u Jonathana nemohla vytvořit neodbouraná hostilita vůči vašim rodičům, "" Doyle si vymýšlel stejně rychle, jako mluvil."
