"offer","offer","nepodal","podat","pf"," LAM DIDN'T SAY HELLO or offer to shake hands."," Lam nepozdravil ani nám nepodal ruku."
"sat","sit","seděl","sedět","impf"," Mordecai sat at a table."," Mordecai seděl za stolem."
"gave","give","Věnoval","věnovat","impf"," Lam took the only available chair, and gave me a look that made my skin crawl."," Lam se usadil na jedinou volnou židli a Věnoval mi pohled, při kterém mi naskočila husí kůže."
"need","need","Potřebujeme","potřebovat","impf"," "" We need to ask you a few questions, that 's all. """," "" Potřebujeme se vás jen zeptat na pár věcí. """
"ask","ask","zeptat","zeptat","pf"," "" We need to ask you a few questions, that 's all. """," "" Potřebujeme se vás jen zeptat na pár věcí. """
"see","see","viděl","vidět","impf"," I could see them huddled in their offices and conference rooms, doors locked, phones unplugged, meetings canceled."," Už jsem je viděl, jak kují pikle v kancelářích a konfereněních místnostech - zamkli si na to dveře, telefony vytáhli ze zdi a všechna ostatní jednání odvolali."
"locked","lock","zamkli","zamknout","pf"," I could see them huddled in their offices and conference rooms, doors locked, phones unplugged, meetings canceled."," Už jsem je viděl, jak kují pikle v kancelářích a konfereněních místnostech - zamkli si na to dveře, telefony vytáhli ze zdi a všechna ostatní jednání odvolali."
"canceled","cancel","odvolali","odvolat","pf"," I could see them huddled in their offices and conference rooms, doors locked, phones unplugged, meetings canceled."," Už jsem je viděl, jak kují pikle v kancelářích a konfereněních místnostech - zamkli si na to dveře, telefony vytáhli ze zdi a všechna ostatní jednání odvolali."
"plan","plan","plánují","plánovat","impf"," They would plan their responses, devise a hundred different strategies, call in their public relations people."," Teď plánují odvetné kroky, připravují stovky rozdílných postupů a volají na pomoc své odborníky pro styk s veřejností."
"begin","begin","vypukne","vypuknout","pf"," The fax wars would begin early."," Brzy vypukne válka faxů."
"saw","see","uviděla","uvidět","pf"," She walked into the den, and stopped when she saw me."," Vešla do pracovny, a když mě uviděla, zarazila se."
"stopped","stop","zarazila","zarazit","pf"," She walked into the den, and stopped when she saw me."," Vešla do pracovny, a když mě uviděla, zarazila se."
"asked","ask","zeptala","zeptat","pf"," "" Are you all right? "" she asked with genuine concern."," "" Jsi v pořádku? "" zeptala se s upřímným zájmem."
"said","say","odpověděl","odpovědět","pf"," "" I 'm fine, "" I said softly."," "" Jde to, "" odpověděl jsem tiše."
"dropped","drop","Pustila","pustit","pf"," She dropped her bag and overcoat, and walked to the sofa, where she hovered over me."," Pustila na zem kabelku i kabát, došla k pohovce a sklonila se ke mně."
"dropped","drop","sklonila","sklonit","pf"," She dropped her bag and overcoat, and walked to the sofa, where she hovered over me."," Pustila na zem kabelku i kabát, došla k pohovce a sklonila se ke mně."
"meet","meet","sejít","sejít","pf"," Perhaps we could meet in the middle somewhere, and cut a deal."," Možná se nakonec můžeme sejít někde na půli cesty a dohodnout se."
"presenting","present","předložit","předložit","pf"," If not, then Mordecai Green would have the pleasure of presenting the Burton case to a friendly jury one day soon, and asking them for big bucks."," Ale když ne, Mordecai Green bude mít jednoho dne to potěšení předložit případ Burtonových přátelsky naladěné porotě a požádat je o vysoké odškodné."
"asking","ask","požádat","požádat","pf"," If not, then Mordecai Green would have the pleasure of presenting the Burton case to a friendly jury one day soon, and asking them for big bucks."," Ale když ne, Mordecai Green bude mít jednoho dne to potěšení předložit případ Burtonových přátelsky naladěné porotě a požádat je o vysoké odškodné."
"think","think","uvažovat","uvažovat","impf"," I could still think like a Drake & Sweeney lawyer."," Ještě pořád jsem uměl uvažovat jako právník od Drakea & Sweeneyho."
"tells","tell","řekne","říci","pf"," When he tells people to shut up, they do so or you find them in a river. """," Když řekne lidem, aby drželi hubu, poslechnou ho, protože jinak je najdou v řece. """
"find","find","najdou","najít","pf"," When he tells people to shut up, they do so or you find them in a river. """," Když řekne lidem, aby drželi hubu, poslechnou ho, protože jinak je najdou v řece. """
"called","call","volal","volat","impf"," "" Tell her I called, "" I said, and hung up as quickly as possible."," "" Vyřiďte jí, že jsem volal, "" požádal jsem ho a co nejrychleji zavěsil."
"hung","hang","zavěsil","zavěsit","pf"," "" Tell her I called, "" I said, and hung up as quickly as possible."," "" Vyřiďte jí, že jsem volal, "" požádal jsem ho a co nejrychleji zavěsil."
"dressed","dress","oblékl","obléknout","pf"," I paced the three rooms until midnight, then dressed again and went for a walk in the cold."," Až do půlnoci jsem rázoval třemi místnostmi bytu, pak jsem se znovu oblékl a šel se projít do zimy."
