"sat","sit","Posadil","posadit","pf"," He sat across from them in an unstable wicker chair."," Posadil se proti nim na rozvrzanou otočnou židli."
"looking","look","hledala","hledat","impf"," The aunt was curious, her eyes darting around the office, looking for any sign of prosperity."," Teta zase zvědavá : šmejdila očima po kanceláři a hledala jakékoli známky prosperity."
"notice","notice","nevšimla","všimnout","pf"," She did n't notice it."," Ani si toho nevšimla."
"said","say","prohlásil","prohlásit","pf"," "" You know I 'm not kidding, Mr. Lake, "" Teddy said sternly, and there was no doubt that Aaron Lake had walked into a well-laid trap."," "" Sám dobře víte, že nežertuji, pane Lakeu, "" prohlásil Teddy slavnostně - a už nebylo pochyb, že Aaron Lake vběhl do pečlivě nastražené pasti."
"listening","listen","poslouchám","poslouchat","impf"," "" All right, I 'm listening. """," "" No prosím, poslouchám. """
"retired","retire","odpočívali","odpočívat","impf"," They walked three miles, twelve laps, at the leisurely pace of fifteen minutes per mile, and when they 'd had enough they retired to the coolness of the chamber to relax and listen for news of the escape."," Obešli pohodlným tempem dvanáct koleček, celkem skoro pět kilometrů, a když toho měli dost, uchýlili se do chládku uvnitř, odpočívali a čekali, kdy se začne mluvit o útěku."
"relax","relax","odpočívali","odpočívat","impf"," They walked three miles, twelve laps, at the leisurely pace of fifteen minutes per mile, and when they 'd had enough they retired to the coolness of the chamber to relax and listen for news of the escape."," Obešli pohodlným tempem dvanáct koleček, celkem skoro pět kilometrů, a když toho měli dost, uchýlili se do chládku uvnitř, odpočívali a čekali, kdy se začne mluvit o útěku."
"Watching","watch","Pozoroval","pozorovat","impf"," Watching the sun, he moved due south for half an hour."," Pozoroval polohu slunce a půl hodiny mířil přímo na jih."
"wanted","want","chtěli","chtít","impf"," They rambled about their lives after rehab, their hopes and dreams of all the things they wanted to do."," Nadšeně se rozepisují o tom, jak budou žít, až odjedou z kliniky, o svých snech a nadějích a o tom, co všechno by chtěli podnikat."
"show","show","ukázat","ukázat","pf"," They were proud of their tans and their muscles, and seemed anxious to show their new hardened bodies to their pen pals."," Jsou hrdí na své opálení a svaly a jsou zřejmě celí žhaví svá čerstvě zocelená tělíčka ukázat svým korespondenčním přátelům."
"needed","need","potřebuje","potřebovat","impf"," He said the money was needed to cover some expenses his uncle was refusing to pay."," Prý ty peníze potřebuje, aby mohl uhradit nějaké výdaje, které jeho strýc zaplatit odmítá."
"cover","cover","uhradit","uhradit","pf"," He said the money was needed to cover some expenses his uncle was refusing to pay."," Prý ty peníze potřebuje, aby mohl uhradit nějaké výdaje, které jeho strýc zaplatit odmítá."
"pay","pay","zaplatit","zaplatit","pf"," He said the money was needed to cover some expenses his uncle was refusing to pay."," Prý ty peníze potřebuje, aby mohl uhradit nějaké výdaje, které jeho strýc zaplatit odmítá."
"refusing","refuse","odmítá","odmítat","impf"," He said the money was needed to cover some expenses his uncle was refusing to pay."," Prý ty peníze potřebuje, aby mohl uhradit nějaké výdaje, které jeho strýc zaplatit odmítá."
"read","read","přečetl","přečíst","pf"," Teddy had read the letters more than once."," Teddy si listy přečetl několikrát."
"move","move","chodil","chodit","impf"," Lake wanted to move about the cabin and reassure everyone, but the mask would n't move with him."," Lake by rád chodil po kabině a uklidňoval, ale masku by si nemohl vzít s sebou."
"move","move","chodil","chodit","impf"," Lake wanted to move about the cabin and reassure everyone, but the mask would n't move with him."," Lake by rád chodil po kabině a uklidňoval, ale masku by si nemohl vzít s sebou."
"drop","drop","nespadly","spadnout","pf"," Maybe the air masks did n't drop back there, he thought, then felt guilty."," Třeba jim tam nespadly masky, pomyslel se a začal se cítit provinile."
"thought","think","pomyslel","pomyslet","pf"," Maybe the air masks did n't drop back there, he thought, then felt guilty."," Třeba jim tam nespadly masky, pomyslel se a začal se cítit provinile."
"felt","feel","cítit","cítit","impf"," Maybe the air masks did n't drop back there, he thought, then felt guilty."," Třeba jim tam nespadly masky, pomyslel se a začal se cítit provinile."
"think","think","Nemá","mít","impf"," He had no time to think for himself."," Nemá čas myslet na vlastní problémy."
"think","think","myslet","myslet","impf"," He had no time to think for himself."," Nemá čas myslet na vlastní problémy."
"brought","bring","nepřinesl","přinést","pf"," First, Spicer had brought no letters, the first time that had happened in many weeks."," Především ta, že Spicer poprvé za týdny nepřinesl žádné dopisy."
"need","need","potřebují","potřebovat","impf"," What did they need the five grand for?"," Na co potřebují pět táců?"
"planned","plan","Naplánovali","naplánovat","pf"," They 'd planned their ambush well, which was always an advantage they held because they had so much time on their hands."," Naplánovali si léčku dobře, využili výhody, kterou mají vždycky, protože si můžou dát na čas."
