"eat","eat","jíst","jíst","impf"," Wo n't eat. """," A nechce vůbec jíst. """
"asked","ask","ptala","ptát","impf"," "" I 'm sorry I asked. """," "" Promiň, že jsem se tě ptala. """
"thought","think","pomyslel","pomyslet","pf"," Yeah, I 'll bet you 're sorry you asked, Mark thought."," Jo, to bych řekl, že je ti teď líto, že ses zeptala, pomyslel si Mark."
"need","need","Potřeboval","potřebovat","impf"," "" I need to be there with him, "" Mark said."," "" Potřeboval bych být u něho, "" řekl."
"said","say","řekl","říci","pf"," "" I need to be there with him, "" Mark said."," "" Potřeboval bych být u něho, "" řekl."
"buried","bury","pochovala","pochovat","pf"," She 'd buried a son and lost her only grandson, so he gave her a break."," Jednoho syna pochovala a jediného vnuka ztratila, takže by na ni měl být hodný."
"lost","lose","ztratila","ztratit","pf"," She 'd buried a son and lost her only grandson, so he gave her a break."," Jednoho syna pochovala a jediného vnuka ztratila, takže by na ni měl být hodný."
"set","set","položil","položit","pf"," So he quickly set the box against the door, got in the van, and drove away."," Rychle položil krabici u dveří, nastoupil do dodávky a odjel."
"come","come","Přijel","přijet","pf"," He had come and gone without a trace, leaving behind his little warning."," Přijel a zase odjel bez sebemenší stopy a zanechal za sebou jen malé upozornění."
"gone","go","odjel","odjet","pf"," He had come and gone without a trace, leaving behind his little warning."," Přijel a zase odjel bez sebemenší stopy a zanechal za sebou jen malé upozornění."
"leaving","leave","odjel","odjet","pf"," He had come and gone without a trace, leaving behind his little warning."," Přijel a zase odjel bez sebemenší stopy a zanechal za sebou jen malé upozornění."
"leaving","leave","zanechal","zanechat","pf"," He had come and gone without a trace, leaving behind his little warning."," Přijel a zase odjel bez sebemenší stopy a zanechal za sebou jen malé upozornění."
"shake","shake","neotřásla","otřást","pf"," The ground did n't shake and the porch did n't shatter."," Země se neotřásla a veranda nerozsypala."
"shatter","shatter","neotřásla","otřást","pf"," The ground did n't shake and the porch did n't shatter."," Země se neotřásla a veranda nerozsypala."
