"repeated","repeat","opakoval","opakovat","impf"," "" A week, "" Nate repeated to himself."," "" Týden, "" opakoval si pro sebe Nate."
"take","take","trvat","trvat","impf"," "" And it 'll take ten days. """," "" A ten výlet bude trvat deset dní. """
"guessing","guess","Odhaduji","odhadovat","impf"," "" I 'm just guessing. """," "" Odhaduji to tak. """
"want","want","chcete","chtít","impf"," "" You want to skip Christmas? """," "" Vy chcete zapomenout na Vánoce? """
"swinging","swing","Houpá","houpat","impf"," He 's swinging in my hammock, drinking fresh coffee, safe and dry and well fed. """," Houpá se v mém hamaku, popíjí čerstvé kafe, je v bezpečí, v suchu a najedený. """
"wear","wear","mít","mít","impf"," What kind of clothes would she wear?"," Co bude mít na sobě?"
"own","own","Máte","mít","impf"," He asks, "" Do you own a controlling interest in Mountain. Com? """," "" Máte kontrolní podíl ve firmě MountainCom? """
"heard","hear","neslyšel","slyšet","impf"," "" You have n't heard from your boy? """," "" O svém chlapci jste také neslyšel? """
"called","call","nezavolá","zavolat","pf"," "" Then why has n't he called? """," "" Proč tedy nezavolá? """
"use","use","použít","použít","pf"," Perhaps he cannot use his phone. """," Možná nemůže telefon použít. """
"agreed","agree","Dohodli","dohodnout","pf"," They agreed that Valdir would call at once if something was heard from the boat."," Dohodli se, že Valdir zavolá ihned, jakmile se něco o člunu dozví."
"call","call","zavolá","zavolat","pf"," They agreed that Valdir would call at once if something was heard from the boat."," Dohodli se, že Valdir zavolá ihned, jakmile se něco o člunu dozví."
"use","use","použít","použít","pf"," You can use it anywhere on the face of the earth."," Lze ho použít kdekoli na povrchu zeměkoule."
"Keep","keep","Udržujte","udržovat","impf"," Keep the batteries charged, and you can always find me. """," Udržujte baterie nabité a můžete se se mnou kdykoli spojit. """
"said","say","říkal","říkat","impf"," "" You just said they had a great phone system. """," "" Právě jste říkal, že mají skvělý telefonní systém. """
"leave","leave","opustíte","opustit","pf"," That SatFone will be your only means of communication once you leave Corumba. """," Až opustíte Corumbá, bude ten satelitní telefon vaším jediným komunikačním prostředkem. """
"opened","open","otevřel","otevřít","pf"," Nate opened the hard plastic case and examined the glossy little phone."," Nate otevřel pevnou plastikovou krabičku a prohlížel si lesklý malý telefon."
"examined","examine","prohlížel","prohlížet","impf"," Nate opened the hard plastic case and examined the glossy little phone."," Nate otevřel pevnou plastikovou krabičku a prohlížel si lesklý malý telefon."
"do","do","dělat","dělat","impf"," He could do it once more, but only once."," Bude to muset opět dělat, ale už jen jednou."
"tried","try","Pokoušel","pokoušet","impf"," He tried to convince himself it was for his client, for Rachel, but he knew she did n't care."," Pokoušel se přesvědčit sám sebe, že to bude pro jeho klientku, pro Rachel, ačkoli věděl, že ona o to nestojí."
"convince","convince","přesvědčit","přesvědčit","pf"," He tried to convince himself it was for his client, for Rachel, but he knew she did n't care."," Pokoušel se přesvědčit sám sebe, že to bude pro jeho klientku, pro Rachel, ačkoli věděl, že ona o to nestojí."
"written","write","nenapsal","napsat","pf"," He still had n't written her, though he 'd planned the letter many times."," Doposud jí nenapsal, ačkoli už tolikrát plánoval, že jí pošle dopis."
"planned","plan","plánoval","plánovat","impf"," He still had n't written her, though he 'd planned the letter many times."," Doposud jí nenapsal, ačkoli už tolikrát plánoval, že jí pošle dopis."
"make","make","vydělá","vydělat","pf"," But Yancy was n't concerned with a meager five million; hell, he 'd make that much in fees off Ramble 's cut from the will."," Yancyho však nezajímalo mizerných pět milionů dolarů - tolik si vydělá sám na poplatcích z Rambleova podílu na poslední vůli."
"contain","contain","obsahovat","obsahovat","impf"," The heirs can only speculate as to what it might contain."," Dědicové se mohou jen domýšlet, co asi může obsahovat."
"believe","believe","věřili","věřit","impf"," They 've been led to believe that the bulk of my estate will somehow be divided fairly among the children, with generous gifts to the ex-wives."," Formuloval jsem je tak, aby věřili, že hlavní část mého majetku bude nějak spravedlivě rozdělena mezi děti a že se i bývalým manželkám dostane velkorysých darů."
