"hand","hand","předat","předat","pf"," The idea seemed to be that he should sit around until Dr. Pearson could take enough time away from his mail and various other chores to hand out a few tasks."," Zřejmě se tady domnívají, že bude trpně vyčkávat, až se doktoru Pearsonovi uráčí předat mu některé ze svých pravomocí a některé své pracovní úkoly."
"remained","remain","zůstalo","zůstat","pf"," He had sometimes wondered himself if mourners and others who visited funeral parlors knew how little remained in a body that had been autopsied."," Mnohokrát ho napadlo, zda si pozůstalí a smuteční hosté při posledním rozloučení uvědomí, jak málo zůstalo z pitvaného těla."
"begun","begin","Začal","začít","pf"," He had begun with games."," Začal se sportovními hrami."
"hear","hear","slyšel","slyšet","impf"," Approaching, Dornberger could hear, as always, the cries of infants, ranging in pitch and volume from full-lunged, anguished howls to tentative falsettos."," Jak se k oddělení přibližoval, doktor Dornberger slyšel jako vždy křik novorozeňat, který zněl různými tóny široké zvukové stupnice : někdy z plna hrdla, jindy lítostivě a bolestně, až po pokusy o fistuli."
"glance","glance","pohlédl","pohlédnout","pf"," More out of habit than thought, he stopped to glance through the thick glass paneling which screened the nursery 's main area on three sides."," Víc ze zvyku než úmyslně se zastavil a pohlédl dovnitř silným skleněným panelem, který ze tří stran clonil hlavní část novorozeneckého oddělení."
"use","use","použila","použít","pf"," Lucy paused to use a second rake to hold back the flesh from the new incision."," Odmlčela se a použila dalšího háku k odhrnutí masa, uvolněného novým řezem."
"moving","move","stěhujeme","stěhovat","impf"," We 're moving into a new house next week. """," Příští týden se stěhujeme do nového domu. """
"Try","try","Snažte","snažit","impf"," Try to hold it back right out of the way. """," Snažte se jej držet vzadu, pěkně, tak aby nepřekážel. """
"hold","hold","držet","držet","impf"," Try to hold it back right out of the way. """," Snažte se jej držet vzadu, pěkně, tak aby nepřekážel. """
"nodded","nod","přikývl","přikývnout","pf"," Seddons nodded."," Seddons přikývl :"
"call","call","Zavolej","zavolat","pf"," "" You 'd better call Pearson. """," "" Zavolej, prosím tě, Pearsona. """
"come","come","Přijdu","přijít","pf"," I 'll come to your office. """," Přijdu do tvé ordinace! """
"want","want","Nechtěl","chtít","impf"," Unless you want to tell me now-on the phone. """," Nechtěl bys mi říct hned, oč jde? """
"tell","tell","říct","říci","pf"," Unless you want to tell me now-on the phone. """," Nechtěl bys mi říct hned, oč jde? """
"sounded","sound","zněl","znít","impf"," Pearson 's voice sounded curious."," Pearsonův hlas zněl zvědavě."
"come","come","přijít","přijít","pf"," Perhaps the moment might not come for six months or even a year;"," Tento okamžik může přijít za šest měsíců, možná dokonce za rok;"
