"draw","draw","nenakreslí","nakreslit","pf"," All right - on House-Tree-Person, look for someone who did n't draw the female figure first."," V testu lidské postavy hledejte toho, který nenakreslí jako první postavu svého rodokmenu ženu."
"draw","draw","nakreslí","nakreslit","pf"," Male transsexuals almost always draw the female first and, typically, they pay a lot of attention to adornments on the females they draw."," Mužští transvestiti téměř vždy nakreslí napřed ženu a zpravidla věnují spoustu pozornosti různým typicky ženským okrasám."
"draw","draw","nakreslí","nakreslit","pf"," Male transsexuals almost always draw the female first and, typically, they pay a lot of attention to adornments on the females they draw."," Mužští transvestiti téměř vždy nakreslí napřed ženu a zpravidla věnují spoustu pozornosti různým typicky ženským okrasám."
"pay","pay","věnují","věnovat","impf"," Male transsexuals almost always draw the female first and, typically, they pay a lot of attention to adornments on the females they draw."," Mužští transvestiti téměř vždy nakreslí napřed ženu a zpravidla věnují spoustu pozornosti různým typicky ženským okrasám."
"draw","draw","kreslí","kreslit","impf"," Their male figures are simple stereotypes - there are some notable exceptions where they draw Mr. America - but not much in between."," Jejich mužské postavy jsou jednoduché a stereotypní - je tady pár výjimek, když kreslí Pana Američana, ale to je teď vedlejší. """
"publishes","publish","vydávají","vydávat","impf"," R. L. Polk and Company, that publishes city directories - they also put out a list current car registrations by make and consecutive serial number."," R. L. Polk a spol. vydávají telefonní seznamy a adresáře a také publikují seznamy současných registrací, značek a výrobních čísel."
"steer","steer","řídí","řídit","impf"," Car dealers steer then advertising with them."," Obchodníci s auty podle nich řídí svou propagaci."
"ask","ask","zeptat","zeptat","pf"," How 'd you know to ask me? """," Jak vás napadlo zeptat se zrovna mne? """
"pasted","paste","nalepil","nalepit","pf"," Someone, maybe Crawford, had pasted the quotation inside the cover of the file."," Někdo, zřejmě Crawford, nalepil citát zevnitř na desky spisu."
"abducted","abduct","unesl","unést","pf"," There was no clear correlation between where Bill abducted the young women and where he dumped them."," Neexistovala žádná souvislost mezi tím, kdy Bill ženy unesl a kde je hodil do řeky."
"die","die","umíraly","umírat","impf"," These victims did not die until a week to ten days after they were abducted."," Jeho oběti umíraly až po týdnu nebo deseti dnech od chvíle, kdy je unesl."
"abducted","abduct","unesl","unést","pf"," These victims did not die until a week to ten days after they were abducted."," Jeho oběti umíraly až po týdnu nebo deseti dnech od chvíle, kdy je unesl."
"tuck","tuck","zasunul","zasunout","pf"," Gumb used the dishmop to tuck his penis and testicles back between his legs."," Gumb si tamponem zasunul penis a varlata mezi nohy."
"caused","cause","působilo","působit","impf"," He whipped the shower curtain aside and stood before the mirror, hitting a hipshot pose despite the grinding it caused in his private parts."," Jedním prudkým trhnutím rozhrnul závěs a začal se před zrcadlem všelijak vykrucovat, přestože mu to působilo v intimních místech bolest."
"Do","do","Udělej","udělat","pf"," "" Do something for me, honey."," "" Udělej něco pro mě, miláčku."
"said","say","řekl","říci","pf"," "" This is about my crucifixion watch, "" Dr. Lecter said."," "" Týká se to mých hodinek s ukřižováním, "" řekl dr. Lecter."
"give","give","nedají","dát","pf"," "" They wo n't give me a patent, but they advise me to copyright the face."," "" Patent mi nedají, ale radí mi zařídit si copyright na ciferník."
"advise","advise","radí","radit","impf"," "" They wo n't give me a patent, but they advise me to copyright the face."," "" Patent mi nedají, ale radí mi zařídit si copyright na ciferník."
"put","put","Dal","dát","pf"," He put a drawing the size of a dinner napkin in the carrier and Starling pulled it through."," Dal do přepravky kresbičku velikou asi jako jídelní ubrousek a poslal to Starlingové."
"noticed","notice","všimla","všimnout","pf"," "" You may have noticed that in most crucifixions the hands point to, say, a quarter to three, or ten till two at the earliest, while the feet are at six."," "" Možná jste si už všimla, že na většině obrazů ukřižování jsou ruce rozpažené do tvaru, řekněme, tři čtvrtě na tři nebo maximálně za deset minut dvě, zatímco nohy jsou na šestce."
"say","say","řekněme","říci","pf"," "" You may have noticed that in most crucifixions the hands point to, say, a quarter to three, or ten till two at the earliest, while the feet are at six."," "" Možná jste si už všimla, že na většině obrazů ukřižování jsou ruce rozpažené do tvaru, řekněme, tři čtvrtě na tři nebo maximálně za deset minut dvě, zatímco nohy jsou na šestce."
"Call","call","zavolejte","zavolat","pf"," Call up to four before they pass."," Napřed nám sem zavolejte, než půjdete."
"thought","think","zdálo","zdát","impf"," Post Eight out here thought he saw some movement behind the windows in the main building on four."," Stanoviště osm tady venku hlásilo, že se jim zdálo, že za okny v hlavní budově ve čtvrtém patře se něco pohnulo."
"got","get","nedostane","dostat","pf"," We 've got the exits covered, he 's not getting out."," Východy máme kryté, ven se nedostane."
"getting","get","nedostane","dostat","pf"," We 've got the exits covered, he 's not getting out."," Východy máme kryté, ven se nedostane."
"Hold","hold","Držte","držet","impf"," Hold your positions on the landings."," Držte své pozice v patrech."
"Keep","keep","Ponechte","ponechat","pf"," Keep the information you got from Lecter and freeze the feelings."," Ponechte v sobě všechny informace od Lectera a všechny ostatní pocity dejte k ledu."
"keep","keep","Mějte","mít","impf"," I want you to keep your eyes on the prize, Starling."," Mějte oči pořád upřené na cíl, Starlingová."
"got","get","získala","získat","pf"," You worked for some information, paid for it, got it, now we 'll use it."," Dala jste si spoustu práce, abyste ty informace získala, zaplatila jste za ně, máte je a teď je použijeme."
"paid","pay","zaplatila","zaplatit","pf"," You worked for some information, paid for it, got it, now we 'll use it."," Dala jste si spoustu práce, abyste ty informace získala, zaplatila jste za ně, máte je a teď je použijeme."
"use","use","použijeme","použít","pf"," You worked for some information, paid for it, got it, now we 'll use it."," Dala jste si spoustu práce, abyste ty informace získala, zaplatila jste za ně, máte je a teď je použijeme."
"get","get","nedostaneme","dostat","pf"," We just wo n't get any more from Lecter, probably."," Z Lectera už nejspíš nedostaneme nic."
"vouch","vouch","zaručím","zaručit","pf"," I 'll vouch for your fitness and that 'll be enough."," Já se za vaši způsobilost zaručím a tím to zhasne."
"brought","bring","přivezla","přivézt","pf"," When they brought him in here, the muffler had got hot under the car trunk and burned him just like that, only across his hip, "" Lamar said."," Když ho nakonec přivezla sem, tlumič auta se rozehřál a spálil ho přesně takhle, jenže přes bok, "" řekl Lamar."
"got","get","spálil","spálit","pf"," When they brought him in here, the muffler had got hot under the car trunk and burned him just like that, only across his hip, "" Lamar said."," Když ho nakonec přivezla sem, tlumič auta se rozehřál a spálil ho přesně takhle, jenže přes bok, "" řekl Lamar."
"burned","burn","spálil","spálit","pf"," When they brought him in here, the muffler had got hot under the car trunk and burned him just like that, only across his hip, "" Lamar said."," Když ho nakonec přivezla sem, tlumič auta se rozehřál a spálil ho přesně takhle, jenže přes bok, "" řekl Lamar."
"said","say","řekl","říci","pf"," When they brought him in here, the muffler had got hot under the car trunk and burned him just like that, only across his hip, "" Lamar said."," Když ho nakonec přivezla sem, tlumič auta se rozehřál a spálil ho přesně takhle, jenže přes bok, "" řekl Lamar."
"said","say","řekl","říci","pf"," "" That 's a good thought, Lamar, I wish you worked for me, "" Crawford said."," "" To je dobrá myšlenka, Lamare, vás bych potřeboval do svého týmu, "" řekl Crawford."
"found","find","našli","najít","pf"," "" Do you know the fellows that found her in the river? """," "" Znáte ty chlapíky, co ji našli v řece? """
"Taking","take","bere","brát","impf"," "" Taking you along today, Jack 's showing confidence in you where nobody can miss it, "" he said."," "" To, že vás dneska bere s sebou, jen dokazuje, že vám důvěřuje, a to musí být jasné každému na první pohled, "" řekl."
"showing","show","dokazuje","dokazovat","impf"," "" Taking you along today, Jack 's showing confidence in you where nobody can miss it, "" he said."," "" To, že vás dneska bere s sebou, jen dokazuje, že vám důvěřuje, a to musí být jasné každému na první pohled, "" řekl."
"said","say","řekl","říci","pf"," "" Taking you along today, Jack 's showing confidence in you where nobody can miss it, "" he said."," "" To, že vás dneska bere s sebou, jen dokazuje, že vám důvěřuje, a to musí být jasné každému na první pohled, "" řekl."
"understand","understand","chápete","chápat","impf"," "" In case, say, somebody in the Office of Professional Responsibility has your jacket in front of him and his bowels in an uproar, understand what I 'm telling you? """," "" To jen pro případ, že by si vás někdo z úřadu pro profesionální zodpovědnost bral na paškál a chtěl to vyčítat jemu, chápete, co tím myslím? """
"secure","secure","zajistit","zajistit","pf"," He made it clear where it matters that you had to secure the scene."," Už několikrát vysvětloval, že jste prostě musela to místo zajistit."
"died","die","zemřel","zemřít","pf"," The last one nearly died."," Přitom ten poslední málem zemřel."
"given","give","dal","dát","pf"," He 'd given us an address that turned out to be a boarding house he stayed in from time to time."," Ten žadatel nám sice dal adresu, ale vyšlo najevo, že je to nějaká ubytovna, kde čas od času přespával."
"looked","look","Podíval","podívat","pf"," He looked out at the night sky and smiled."," Podíval se ven na noční oblohu a trochu se pousmal."
"see","see","vidíte","vidět","impf"," But I expect you can see it too."," Ale domnívám se, že vy vidíte totéž."
"lit","light","osvětlovala","osvětlovat","impf"," The floor lamp lit his face from below, distorting his features, but she-could see his body plainly."," Lampa ho trochu osvětlovala zespodu a poněkud deformovala jeho rysy, ale mohla si ho dobře prohlédnout."
"looked","look","prohlédl","prohlédnout","pf"," He looked at her too, and she was sensitive to that."," Také si ji prohlédl, a to ji poněkud znervózňovalo."
