"sign","sign","nepodepíšu","podepsat","pf"," As you 're obviously aware, I 'm not going to sign that statement."," Jak jste zřejmě pochopili, ten papír vám nepodepíšu."
"going","go","nepůjdete","jít","impf"," You 're not going anywhere."," Nikam nepůjdete."
"come","come","nepřijdou","přijít","pf"," If only I could be sure they wo n't come today."," Kdybych měl aspoň jistotu, že dnes nepřijdou."
"coming","come","přijít","přijít","pf"," They ca n't be coming now."," Ted už přece nemůžou přijít."
"think","think","Myslíš","myslet","impf"," Do you think so?"," Myslíš?"
"come","come","přijít","přijít","pf"," Surely they can come any time."," Můžou přece přijít kdykoliv."
"comes","come","vstoupí","vstoupit","pf"," SUZANA comes in through the front door carrying a full shopping bag. )"," Hlavními dveřmi vstoupí Zuzana s plnou nákupní taškou. )"
"takes","take","vezme","vzít","pf"," ( LEOPOLD takes the bag from SUZANA and carries it into the kitchen. )"," ( Leopold vezme Zuzaně z ruky nákupní tašku a odnáší ji do kuchyně. )"
"wiping","wipe","utírá","utírat","impf"," LUCY comes back into the room, wiping her eyes, sobbing quietly. )"," Lucy se vrátí do místnosti, utírá si oči, už jen slabě vzlyká. )"
"Leave","leave","Nech","nechat","pf"," Leave me alone."," Nech mě být."
"thought","think","myslela","myslet","impf"," You 're a worse case than I thought."," Jsi horší, než jsem si myslela."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"believe","believe","Věříme","věřit","impf"," We all believe that it will all turn out right for you in the end."," Věříme, že to s vámi nakonec dobře dopadne."
"believe","believe","věříme","věřit","impf"," The main thing is that you must n't weaken we need you and we believe in you - you being the man you."," Hlavně nesmíte couvnout - věříme vám a potřebujeme vás - takového, jaký jste."
"need","need","potřebujeme","potřebovat","impf"," The main thing is that you must n't weaken we need you and we believe in you - you being the man you."," Hlavně nesmíte couvnout - věříme vám a potřebujeme vás - takového, jaký jste."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"talk","talk","mluví","mluvit","impf"," It 's all very well for you to talk."," Tobě se to mluví."
"turns","turn","otočí","otočit","pf"," ( SUZANA turns abruptly and goes towards her room. )"," ( Zuzana se energicky otočí a jde ke svému pokoji. )"
"goes","go","jde","jít","impf"," ( SUZANA turns abruptly and goes towards her room. )"," ( Zuzana se energicky otočí a jde ke svému pokoji. )"
"closes","close","zavře","zavřít","pf"," After a while he re-enters, his face already dry, and closes the bathroom door and continues to pace."," Po chvilce se vrátí na scénu, už utřený, zavře dveře do koupelny a pokračuje v chůzi."
"continues","continue","pokračuje","pokračovat","impf"," After a while he re-enters, his face already dry, and closes the bathroom door and continues to pace."," Po chvilce se vrátí na scénu, už utřený, zavře dveře do koupelny a pokračuje v chůzi."
"Reaching","reach","dojde","dojít","pf"," Reaching the front door for the third time he stops and looks through the peep-hole."," Když potřetí dojde k hlavním dveřím, zastaví se a nahlédne špehýrkou ven."
"looks","look","nahlédne","nahlédnout","pf"," Reaching the front door for the third time he stops and looks through the peep-hole."," Když potřetí dojde k hlavním dveřím, zastaví se a nahlédne špehýrkou ven."
"listening","listen","naslouchá","naslouchat","impf"," He then puts his ear to the door, listening intently for a while, arid then continues to pace."," Pak přiloží ucho ke dveřím, chvíli soustředěně naslouchá, načež pokračuje v chůzi."
"continues","continue","pokračuje","pokračovat","impf"," He then puts his ear to the door, listening intently for a while, arid then continues to pace."," Pak přiloží ucho ke dveřím, chvíli soustředěně naslouchá, načež pokračuje v chůzi."
"say","say","řekněte","říci","pf"," Because if we are, you only have to say so and we 'll push off."," Když, tak to klidně řekněte a my vypadnem."
"speaking","speak","říkám","říkat","impf"," You 're not angry, are you, that I 'm speaking so openly?"," Nezlobíš se, že ti to všechno takhle otevřeně říkám?"
"rubbing","rub","tře","třít","impf"," LEOPOLD is trembling with cold and rubbing his arms. )"," Leopold se chvěje zimou a tře si paže. )"
"doubt","doubt","nepochybuješ","pochybovat","impf"," You do n't doubt, do you, that we all like you?"," Jistě nepochybuješ, že tě máme všichni rádi."
"closes","close","zavře","zavřít","pf"," ( LEOPOLD closes the door and leads LUCY to the table. )"," ( Leopold zavře dveře a vede Lucy ke stolu. )"
"leads","lead","vede","vést","impf"," ( LEOPOLD closes the door and leads LUCY to the table. )"," ( Leopold zavře dveře a vede Lucy ke stolu. )"
"see","see","Vidím","vidět","impf"," I see you 've got company."," Vidím, že máš návštěvu."
"Sit","sit","Posaď","posadit","pf"," Sit down."," Posaď se."
"sits","sit","posadí","posadit","pf"," ( LUCY sits down next to LEOPOLD on the sofa."," ( Lucy se posadí na pohovku vedle Leopolda."
"drink","drink","nepiju","pít","impf"," You know I do n't drink rum."," Víš, že rum nepiju."
"threatened","threaten","hrozí","hrozit","impf"," As you know only too well, you 're being threatened with something unpleasant which I personally would n't wish upon you and I do n't suppose you are particularly looking forward to it yourself."," Jak dobře víte, hrozí vám něco nemilého, co vám osobně vůbec nepřeju a na co se, předpokládám, ani vy nijak zvlášť netěšíte."
"wish","wish","nepřeju","přát","impf"," As you know only too well, you 're being threatened with something unpleasant which I personally would n't wish upon you and I do n't suppose you are particularly looking forward to it yourself."," Jak dobře víte, hrozí vám něco nemilého, co vám osobně vůbec nepřeju a na co se, předpokládám, ani vy nijak zvlášť netěšíte."
"suppose","suppose","předpokládám","předpokládat","impf"," As you know only too well, you 're being threatened with something unpleasant which I personally would n't wish upon you and I do n't suppose you are particularly looking forward to it yourself."," Jak dobře víte, hrozí vám něco nemilého, co vám osobně vůbec nepřeju a na co se, předpokládám, ani vy nijak zvlášť netěšíte."
"blurts","blurt","vyhrkne","vyhrknout","pf"," Finally he blurts out. )"," Nakonec vyhrkne. )"
"presses","press","stiskne","stisknout","pf"," LEOPOLD presses her hand."," Leopold jí stiskne ruku."
"sitting","sit","sedí","sedět","impf"," Both SIDNEYS sitting there apparently dumbfounded. )"," První a Druhý Láďa sedí jako zařezaní. )"
"opened","open","Otevřely","otevřít","pf"," Somehow they opened my eyes."," Otevřely mi tak nějak oči."
"exaggerating","exaggerate","Přeháníte","přehánět","impf"," You 're exaggerating."," Přeháníte!"
"writing","write","Píšete","psát","impf"," Are you writing anything?"," Píšete něco?"
"excuse","excuse","promiňte","prominout","pf"," Could you tell me - excuse my curiosity - could you tell me what you 're writing?"," A můžu vědět - promiňte, že jsem tak zvědavá - můžu vědět, o čem to bude?"
"thought","think","Myslel","myslet","impf"," I thought that we might - since you got that cauliflower - since I need to calm down a bit - to examine everything calmly - to discuss."," Myslel jsem, že bychom dnes mohli - když jsi dostala ten květák - potřeboval bych se trochu uklidnit - v klidu to všechno probrat - poradit se."
"got","get","dostala","dostat","pf"," I thought that we might - since you got that cauliflower - since I need to calm down a bit - to examine everything calmly - to discuss."," Myslel jsem, že bychom dnes mohli - když jsi dostala ten květák - potřeboval bych se trochu uklidnit - v klidu to všechno probrat - poradit se."
"need","need","potřeboval","potřebovat","impf"," I thought that we might - since you got that cauliflower - since I need to calm down a bit - to examine everything calmly - to discuss."," Myslel jsem, že bychom dnes mohli - když jsi dostala ten květák - potřeboval bych se trochu uklidnit - v klidu to všechno probrat - poradit se."
"calm","calm","uklidnit","uklidnit","pf"," I thought that we might - since you got that cauliflower - since I need to calm down a bit - to examine everything calmly - to discuss."," Myslel jsem, že bychom dnes mohli - když jsi dostala ten květák - potřeboval bych se trochu uklidnit - v klidu to všechno probrat - poradit se."
"got","get","koupila","koupit","pf"," Forgive me, Leopold, but I 've got tickets for a dance - I bought them ages ago."," Nezlob se, Leopolde, ale mám lístky na ples - koupila jsem je už dávno."
"bought","buy","koupila","koupit","pf"," Forgive me, Leopold, but I 've got tickets for a dance - I bought them ages ago."," Nezlob se, Leopolde, ale mám lístky na ples - koupila jsem je už dávno."
"understand","understand","Chápu","chápat","impf"," I understand - I understand."," Chápu - chápu."
"understand","understand","Chápu","chápat","impf"," I understand - I understand."," Chápu - chápu."
"understand","understand","chápu","chápat","impf"," I understand - I understand."," Chápu - chápu."
"understand","understand","chápu","chápat","impf"," I understand - I understand."," Chápu - chápu."
"hiding","hide","zakrýváte","zakrývat","impf"," And what 's more, by giving it this so-called meaning you 're hiding from yourself the fact that you 're clinging to it as a kind of escape from your life, a way out of your problems."," Ale nejen to : vždyť vy konstrukcí tohoto jeho domnělého smyslu sám sobě zakrýváte, že se k němu upínáte jako k jakémusi úniku z vlastního života a jeho dilemat!"
"increase","increase","zvýšilo","zvýšit","pf"," They 're obviously worried that once I get there it would only increase the respect in which I 'm held."," Zřejmě se obávají, že kdybych byl tam, jen by to zvýšilo respekt, kterému se těším."
"recant","recant","odvolal","odvolat","pf"," Whereas if you were to recant you 'd lose it all!"," Zatímco kdybys odvolal, všechen respekt bys ztratil!"
"lose","lose","ztratil","ztratit","pf"," Whereas if you were to recant you 'd lose it all!"," Zatímco kdybys odvolal, všechen respekt bys ztratil!"
"hope","hope","Doufám","doufat","impf"," I hope you threw them out."," Doufám, žes je s tím vyhodil."
"threw","throw","vyhodil","vyhodit","pf"," I hope you threw them out."," Doufám, žes je s tím vyhodil."
"close","close","zavřít","zavřít","pf"," Do you mind if I close it now?"," Můžu už zavřít?"
"seem","seem","zdálo","zdát","impf"," At first glance I would seem to have no reason to complain today."," Na první pohled by se zdálo, že si dnes nemám na co stěžovat."
"remember","remember","Nevzpomínám","vzpomínat","impf"," I ca n't remember you ever taking my hand in company - touching me - not even a fond glance."," Nevzpomínám si, že bys mě někdy vzal ve společnosti za ruku - pohladil - něžně se na mě podíval."
"taking","take","vzal","vzít","pf"," I ca n't remember you ever taking my hand in company - touching me - not even a fond glance."," Nevzpomínám si, že bys mě někdy vzal ve společnosti za ruku - pohladil - něžně se na mě podíval."
"go","go","Nepůjdeme","jít","impf"," Had n't we better go to bed?"," Nepůjdeme radši do postele?"
"want","want","Chci","chtít","impf"," Because I want to have a serious talk with you."," Chci si s tebou vážně pohovořit."
"goes","go","odejde","odejít","pf"," ( LUCY goes to Leopold 's room and returns in a moment with a blanket."," ( Lucy odejde do Leopoldova pokoje a vzápětí se odtud vrátí s pokrývkou."
"blurts","blurt","vyhrkne","vyhrknout","pf"," ( MARGUERITE takes a quick drink, winces and quietly blurts out. )"," ( Markéta se rychle napije, otřese se a tiše vyhrkne )."
"strokes","stroke","pohladí","pohladit","pf"," ( LEOPOLD strokes her hair. )"," ( Leopold pohladí Markétu po vlasech. )"
"put","put","postaví","postavit","pf"," They put their suitcases down. )"," Oba postaví kufry na zem. )"
"stifling","stifle","dusí","dusit","impf"," I find everything so stifling - all those hopeless faces in the bus queues - the endless hue and cry in the streets - people twisted out of shape in their offices and everywhere else - the general misery of life - forgive me, I know it 's silly, you do n't even know me - but I did n't know anyone else I could turn to."," Všechno mě tak nějak podivně dusí - ty beznadějné tváře v tramvaji - ta věčná sháňka na ulicích - to lidské křivení v úřadech a všude - celková pustota života - promiňte, vím, že to je hloupé, vždyť mě vůbec neznáte - ale já skutečně nevěděla, za kým jiným bych šla."
"forgive","forgive","promiňte","prominout","pf"," I find everything so stifling - all those hopeless faces in the bus queues - the endless hue and cry in the streets - people twisted out of shape in their offices and everywhere else - the general misery of life - forgive me, I know it 's silly, you do n't even know me - but I did n't know anyone else I could turn to."," Všechno mě tak nějak podivně dusí - ty beznadějné tváře v tramvaji - ta věčná sháňka na ulicích - to lidské křivení v úřadech a všude - celková pustota života - promiňte, vím, že to je hloupé, vždyť mě vůbec neznáte - ale já skutečně nevěděla, za kým jiným bych šla."
"do","do","šla","jít","impf"," I find everything so stifling - all those hopeless faces in the bus queues - the endless hue and cry in the streets - people twisted out of shape in their offices and everywhere else - the general misery of life - forgive me, I know it 's silly, you do n't even know me - but I did n't know anyone else I could turn to."," Všechno mě tak nějak podivně dusí - ty beznadějné tváře v tramvaji - ta věčná sháňka na ulicích - to lidské křivení v úřadech a všude - celková pustota života - promiňte, vím, že to je hloupé, vždyť mě vůbec neznáte - ale já skutečně nevěděla, za kým jiným bych šla."
"did","do","šla","jít","impf"," I find everything so stifling - all those hopeless faces in the bus queues - the endless hue and cry in the streets - people twisted out of shape in their offices and everywhere else - the general misery of life - forgive me, I know it 's silly, you do n't even know me - but I did n't know anyone else I could turn to."," Všechno mě tak nějak podivně dusí - ty beznadějné tváře v tramvaji - ta věčná sháňka na ulicích - to lidské křivení v úřadech a všude - celková pustota života - promiňte, vím, že to je hloupé, vždyť mě vůbec neznáte - ale já skutečně nevěděla, za kým jiným bych šla."
"looks","look","podívá","podívat","pf"," He runs to the main door, looks through the peep-hole, is taken aback, hesitates a moment and then opens the door."," Přeběhne k hlavním dveřím, podívá se špehýrkou ven, zarazí se, chvilku váhá, pak otevře."
"hesitates","hesitate","váhá","váhat","impf"," He runs to the main door, looks through the peep-hole, is taken aback, hesitates a moment and then opens the door."," Přeběhne k hlavním dveřím, podívá se špehýrkou ven, zarazí se, chvilku váhá, pak otevře."
"opens","open","otevře","otevřít","pf"," He runs to the main door, looks through the peep-hole, is taken aback, hesitates a moment and then opens the door."," Přeběhne k hlavním dveřím, podívá se špehýrkou ven, zarazí se, chvilku váhá, pak otevře."
"enters","enter","Vstoupí","vstoupit","pf"," MARGUERITE enters."," Vstoupí Markéta."
"saying","say","Říkáme","říkat","impf"," We 're only saying this because we ’ re your fans - and not just us."," Říkáme to, protože vám fandíme - a nejen my."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"believe","believe","věříme","věřit","impf"," The main thing is that you must n't weaken - we believe in you and we need you."," Hlavně nesmíte couvnout - věříme vám a potřebujeme vás."
"need","need","potřebujeme","potřebovat","impf"," The main thing is that you must n't weaken - we believe in you and we need you."," Hlavně nesmíte couvnout - věříme vám a potřebujeme vás."
"Thank","thank","Děkuji","děkovat","impf"," Thank you."," Děkuji."
"say","say","Řekl","říci","pf"," I 'd say that 's just what people are waiting for."," Řekl bych, že se to od vás přímo očekává."
"waiting","wait","očekává","očekávat","impf"," I 'd say that 's just what people are waiting for."," Řekl bych, že se to od vás přímo očekává."
"controlling","control","kontroluješ","kontrolovat","impf"," You 're simply blocked - you 're censoring yourself you 're afraid to give in to any emotion or experience you 're controlling, observing, watching yourself every minute - you 're thinking about it, so in the end it 's duty instead of pleasure, and then, of course, it does n't work but that 's my problem - I was n't going to talk about it now."," Jsi prostě zablokovaný - cenzuruješ se - bojíš se oddat jakémukoliv citu nebo prožitku - pořád se kontroluješ, sleduješ, pozoruješ - moc na ty věci myslíš, takže se ti z toho stává nakonec místo radosti povinnost - a pak to ovšem jít nemůže - ale to je moje starost, o tom jsem teď mluvit nechtěla."
"observing","observe","sleduješ","sledovat","impf"," You 're simply blocked - you 're censoring yourself you 're afraid to give in to any emotion or experience you 're controlling, observing, watching yourself every minute - you 're thinking about it, so in the end it 's duty instead of pleasure, and then, of course, it does n't work but that 's my problem - I was n't going to talk about it now."," Jsi prostě zablokovaný - cenzuruješ se - bojíš se oddat jakémukoliv citu nebo prožitku - pořád se kontroluješ, sleduješ, pozoruješ - moc na ty věci myslíš, takže se ti z toho stává nakonec místo radosti povinnost - a pak to ovšem jít nemůže - ale to je moje starost, o tom jsem teď mluvit nechtěla."
"watching","watch","sleduješ","sledovat","impf"," You 're simply blocked - you 're censoring yourself you 're afraid to give in to any emotion or experience you 're controlling, observing, watching yourself every minute - you 're thinking about it, so in the end it 's duty instead of pleasure, and then, of course, it does n't work but that 's my problem - I was n't going to talk about it now."," Jsi prostě zablokovaný - cenzuruješ se - bojíš se oddat jakémukoliv citu nebo prožitku - pořád se kontroluješ, sleduješ, pozoruješ - moc na ty věci myslíš, takže se ti z toho stává nakonec místo radosti povinnost - a pak to ovšem jít nemůže - ale to je moje starost, o tom jsem teď mluvit nechtěla."
