"tells","tell","říká","říkat","impf"," So although the gamma ray background tells us that there can be no more than 300 primordial black holes per cubic light-year on average, it tells us nothing about how common they might be in our own galaxy."," Ačkoli odhad učiněný na základě intenzity paprsků gama říká, že jich není víc než tři sta v jednom krychlovém světelném roce, nedozvíme se z něj nic o počtu prvotních černých děr přímo v naší galaxii."
"tells","tell","říká","říkat","impf"," So although the gamma ray background tells us that there can be no more than 300 primordial black holes per cubic light-year on average, it tells us nothing about how common they might be in our own galaxy."," Ačkoli odhad učiněný na základě intenzity paprsků gama říká, že jich není víc než tři sta v jednom krychlovém světelném roce, nedozvíme se z něj nic o počtu prvotních černých děr přímo v naší galaxii."
"doomed","doom","odsouzeni","odsoudit","pf"," Thus, in a sense, we are still all doomed, even if we keep away from black holes."," V tomto smyslu jsme tedy odsouzeni k záhubě i v případě, že nás žádná černá díra nepohltí."
"seem","seem","zdát","zdát","impf"," It might seem therefore that my more recent work had completely undone the results of my earlier work on singularities."," Mohlo by se tedy zdát, že současnou prací popírám své dřívější výsledky."
"accelerate","accelerate","urychlovat","urychlovat","impf"," This states that the body will accelerate, or change its speed, at a rate that is proportional to the force."," Tvrdí, že se těleso bude urychlovat neboli měnit svou rychlost v míře úměrné působící síle."
"change","change","měnit","měnit","impf"," This states that the body will accelerate, or change its speed, at a rate that is proportional to the force."," Tvrdí, že se těleso bude urychlovat neboli měnit svou rychlost v míře úměrné působící síle."
"assumes","assume","Předpokládáme","předpokládat","impf"," If one assumes the no boundary condition for the universe, we shall see that there must be well-defined thermodynamic and cosmological arrows of time, but they will not point in the same direction for the whole history of the universe."," Předpokládáme - li neexistenci hranice vesmíru, zjistíme, že musí existovat dobře definovaná termodynamická a kosmologická šipka času, ale jejich směry nesouhlasí po celou historii vesmíru."
"confirmed","confirm","potvrdily","potvrdit","pf"," This problem in combining general relativity and the uncertainty principle had been suspected for some time, but was finally confirmed by detailed calculations in 1972."," Tento problém byl očekáván už delší dobu a podrobné výpočty ho potvrdily v roce 1972."
"seemed","seem","Zdálo","zdát","impf"," it seemed that everything could be explained by the wave theory, and according to the wave theory, it was not clear that light would be affected by gravity at all. )"," Zdálo se, že všechny jevy se dají vysvětlit v rámci vlnové teorie. )"
"explained","explain","vysvětlit","vysvětlit","pf"," it seemed that everything could be explained by the wave theory, and according to the wave theory, it was not clear that light would be affected by gravity at all. )"," Zdálo se, že všechny jevy se dají vysvětlit v rámci vlnové teorie. )"
"discover","discover","najít","najít","pf"," It may be that one day we shall discover a complete unified theory that predicts them all, but it is also possible that some or all of them vary from universe to universe or within a single universe."," Možná že se nám jednou podaří najít úplně sjednocenou teorii, z níž budou všechna tato čísla vyplývat, ale nelze vyloučit, že se některé nebo všechny základní konstanty mění od jednoho vesmíru k druhému a snad i uvnitř každého z nich."
"vary","vary","mění","měnit","impf"," It may be that one day we shall discover a complete unified theory that predicts them all, but it is also possible that some or all of them vary from universe to universe or within a single universe."," Možná že se nám jednou podaří najít úplně sjednocenou teorii, z níž budou všechna tato čísla vyplývat, ale nelze vyloučit, že se některé nebo všechny základní konstanty mění od jednoho vesmíru k druhému a snad i uvnitř každého z nich."
"seem","seem","zdají","zdát","impf"," The remarkable fact is that the values of these numbers seem to have been very finely adjusted to make possible the development of life."," Také velikosti základních konstant se zdají být velice přesně nastaveny, aby vývoj života byl možný."
"adjusted","adjust","nastaveny","nastavit","pf"," The remarkable fact is that the values of these numbers seem to have been very finely adjusted to make possible the development of life."," Také velikosti základních konstant se zdají být velice přesně nastaveny, aby vývoj života byl možný."
"reduced","reduce","omezeno","omezit","pf"," Thus the radiation at high frequencies would be reduced, and so the rate at which the body lost energy would be finite."," Záření je proto na vysokých frekvencích omezeno, a tak i rychlost, s níž těleso ztrácí energii, je konečná."
"lost","lose","ztrácí","ztrácet","impf"," Thus the radiation at high frequencies would be reduced, and so the rate at which the body lost energy would be finite."," Záření je proto na vysokých frekvencích omezeno, a tak i rychlost, s níž těleso ztrácí energii, je konečná."
"made","make","vyrábějí","vyrábět","impf"," There are no antiprotons or antineutrons, made up from antiquarks, except for a few that physicists produce in large particle accelerators."," Nejsou zde antičástice - až na nepatrné množství těch, které vyrábějí fyzikové ve velkých urychlovačích."
"produce","produce","vyrábějí","vyrábět","impf"," There are no antiprotons or antineutrons, made up from antiquarks, except for a few that physicists produce in large particle accelerators."," Nejsou zde antičástice - až na nepatrné množství těch, které vyrábějí fyzikové ve velkých urychlovačích."
"predicted","predict","předpovídají","předpovídat","impf"," As we have seen, Maxwell 's equations predicted that the speed of light should be the same whatever the speed of the source, and this has been confirmed by accurate measurements."," Jak jsme už uvedli, Maxwellovy rovnice předpovídají neměnnou, na pohybu zdroje nezávislou rychlost světla a tato předpověď byla potvrzena přesným měřením."
"confirmed","confirm","potvrzena","potvrdit","pf"," As we have seen, Maxwell 's equations predicted that the speed of light should be the same whatever the speed of the source, and this has been confirmed by accurate measurements."," Jak jsme už uvedli, Maxwellovy rovnice předpovídají neměnnou, na pohybu zdroje nezávislou rychlost světla a tato předpověď byla potvrzena přesným měřením."
"spread","spread","rozšiřovat","rozšiřovat","impf"," It follows from this that if a pulse of light is emitted at a particular time at a particular point in space, then as time goes on it will spread out as a sphere of light whose size and position are independent of the speed of the source."," Odtud je patrné, že světelný záblesk vyslaný v určitý okamžik do všech směrů se bude rozšiřovat jako světelná koule, jejíž rozměr ani poloha nikterak nezávisí na pohybu zdroje."
"means","mean","znamená","znamenat","impf"," The symmetry P means that the laws are the same for any situation and its mirror image ( the mirror image of a particle spinning in a right-handed direction is one spinning in a left-handed direction )."," Symetrie P znamená, že zákony popisující určitou situaci platí i pro její zrcadlový obraz ( příroda nerozlišuje mezi směrem vlevo a vpravo )."
"means","mean","vyjadřuje","vyjadřovat","impf"," The symmetry T means that if you reverse the direction of motion of all particles and antiparticles, the system should go back to what it was at earlier times;"," Symetrie T vyjadřuje skutečnost, že při obráceném směru pohybu všech částic a antičástic se bude systém vyvíjet zpět do stavů, v nichž se nacházel dříve;"
"expecting","expect","Očekával","očekávat","impf"," I was expecting to discover just the radiation that Zeldovich and Starobinsky had predicted from rotating black holes."," Očekával jsem stejný výsledek, jako předpověděl Zeldovič a Starobinskij pro rotující černou díru."
"predicted","predict","předpověděl","předpovědět","pf"," I was expecting to discover just the radiation that Zeldovich and Starobinsky had predicted from rotating black holes."," Očekával jsem stejný výsledek, jako předpověděl Zeldovič a Starobinskij pro rotující černou díru."
"found","find","zjistil","zjistit","pf"," However, when I did the calculation, I found, to my surprise and annoyance, that even non-rotating black holes should apparently create and emit particles at a steady rate."," Když jsem však své výpočty dokončil, s překvapením a mrzutostí jsem zjistil, že i nerotující černá díra by měla stálou rychlostí vytvářet a vysílat částice."
"create","create","vytvářet","vytvářet","impf"," However, when I did the calculation, I found, to my surprise and annoyance, that even non-rotating black holes should apparently create and emit particles at a steady rate."," Když jsem však své výpočty dokončil, s překvapením a mrzutostí jsem zjistil, že i nerotující černá díra by měla stálou rychlostí vytvářet a vysílat částice."
"emit","emit","vysílat","vysílat","impf"," However, when I did the calculation, I found, to my surprise and annoyance, that even non-rotating black holes should apparently create and emit particles at a steady rate."," Když jsem však své výpočty dokončil, s překvapením a mrzutostí jsem zjistil, že i nerotující černá díra by měla stálou rychlostí vytvářet a vysílat částice."
"rises","rise","narůstá","narůstat","impf"," As an object approaches the speed of light, its mass rises ever more quickly, so it takes more and more energy to speed it up further."," S dalším urychlováním narůstá hmotnost stále rychleji, takže zvyšování rychlosti stojí víc a více energie."
"deserve","deserve","zaslouží","zasloužit","pf"," Such holes hardly deserve the epithet black : they really are white hot and are emitting energy at a rate of about ten thousand megawatts."," Takové zářící díry si stěží zaslouží přívlastek černé, když vydávají energii výkonem desítek tisíc megawattů."
"emitting","emit","vydávají","vydávat","impf"," Such holes hardly deserve the epithet black : they really are white hot and are emitting energy at a rate of about ten thousand megawatts."," Takové zářící díry si stěží zaslouží přívlastek černé, když vydávají energii výkonem desítek tisíc megawattů."
"did","do","provedl","provést","pf"," The story is almost certainly untrue, but Galileo did do something equivalent : he rolled balls of different weights down a smooth slope."," Historka je to téměř jistě nepravdivá, nicméně Galilei provedl rovnocenný pokus : pouštěl různě těžké koule dolů po nakloněné rovině."
"do","do","provedl","provést","pf"," The story is almost certainly untrue, but Galileo did do something equivalent : he rolled balls of different weights down a smooth slope."," Historka je to téměř jistě nepravdivá, nicméně Galilei provedl rovnocenný pokus : pouštěl různě těžké koule dolů po nakloněné rovině."
"indicated","indicate","ukázala","ukázat","pf"," Galileo 's measurements indicated that each body increased its speed at the same rate, no matter what its weight."," Galileiho měření ukázala, že gravitační zrychlení všech těles je stejné a vůbec nezávisí na jejich váze."
"working","work","Pracovali","pracovat","impf"," They were working on a suggestion, made by George Gamow ( once a student of Alexander Friedmann ), that the early universe should have been very hot and dense, glowing white hot."," Pracovali tenkrát na myšlence, která pochází od George Gamowa ( někdejšího Fridmanova studenta ), že vesmír byl v počátečním údobí svého vývoje velmi hustý a žhavý."
"argued","argue","dokazovali","dokazovat","impf"," Dicke and Peebles argued that we should still be able to see the glow of the early universe, because light from very distant parts of it would only just be reaching us now."," Dicke s Peeblesem dokazovali, že ještě dnes bychom měli být schopni zachytit odlesk raného vesmíru, poněvadž záření velmi odlehlých oblastí kosmu nás dostihuje teprve nyní."
"add","add","Sečteme","sečíst","pf"," If we add up the masses of all the stars that we can see in our galaxy and other galaxies, the total is less than one hundredth of the amount required to halt the expansion of the universe, even for the lowest estimate of the rate of expansion."," Sečteme - li hmotnosti všech hvězd, které ve vesmíru pozorujeme, obdržíme - i při nejnižším odhadu rychlosti rozšiřování - méně než setinu mezní hustoty potřebné k zabrzdění expanze."
"see","see","pozorujeme","pozorovat","impf"," If we add up the masses of all the stars that we can see in our galaxy and other galaxies, the total is less than one hundredth of the amount required to halt the expansion of the universe, even for the lowest estimate of the rate of expansion."," Sečteme - li hmotnosti všech hvězd, které ve vesmíru pozorujeme, obdržíme - i při nejnižším odhadu rychlosti rozšiřování - méně než setinu mezní hustoty potřebné k zabrzdění expanze."
"contain","contain","obsahují","obsahovat","impf"," Our galaxy and other galaxies, however, must contain a large amount of "" dark matter "" that we cannot see directly, but which we know must be there because of the influence of its gravitational attraction on the orbits of stars in the galaxies."," Galaxie však kromě hvězd obsahují velké množství "" temné hmoty "", kterou přímo pozorovat nemůžeme, ale o níž z rozboru hvězdných drah v Galaxii víme, že určitě existuje."
"see","see","pozorovat","pozorovat","impf"," Our galaxy and other galaxies, however, must contain a large amount of "" dark matter "" that we cannot see directly, but which we know must be there because of the influence of its gravitational attraction on the orbits of stars in the galaxies."," Galaxie však kromě hvězd obsahují velké množství "" temné hmoty "", kterou přímo pozorovat nemůžeme, ale o níž z rozboru hvězdných drah v Galaxii víme, že určitě existuje."
"join","join","spojit","spojit","pf"," Two pieces of string can join together to form a single string;"," Dvě struny se mohou spojit v jednu;"
"join","join","spojují","spojovat","impf"," in the case of open strings they simply join at the ends Figure 11:3, while in the case of closed strings it is like the two legs joining on a pair of trousers Figure 11:4."," v případě otevřených strun se prostě napojí svými konci ( znovu obr. na str. 153 ), zatímco uzavřené struny se spojují jako nohavice u kalhot ( obr. na str. 154 )."
"joining","join","spojují","spojovat","impf"," in the case of open strings they simply join at the ends Figure 11:3, while in the case of closed strings it is like the two legs joining on a pair of trousers Figure 11:4."," v případě otevřených strun se prostě napojí svými konci ( znovu obr. na str. 153 ), zatímco uzavřené struny se spojují jako nohavice u kalhot ( obr. na str. 154 )."
"divide","divide","rozdělit","rozdělit","pf"," Similarly, a single piece of string can divide into two strings."," Obdobně se může struna rozdělit na dvě části."
"observe","observe","objevili","objevit","pf"," In order to observe a primordial black hole one would have to detect several gamma ray quanta coming from the same direction within a reasonable space of time, such as a week."," Abychom prvotní černé díry objevili, museli bychom zaznamenat několik kvant záření gama, přicházejících z jednoho směru během dostatečně krátkého časového rozmezí, řekněme během týdne."
"detect","detect","objevili","objevit","pf"," In order to observe a primordial black hole one would have to detect several gamma ray quanta coming from the same direction within a reasonable space of time, such as a week."," Abychom prvotní černé díry objevili, museli bychom zaznamenat několik kvant záření gama, přicházejících z jednoho směru během dostatečně krátkého časového rozmezí, řekněme během týdne."
"analyze","analyze","prozkoumat","prozkoumat","pf"," In it Newton not only put forward a theory of how bodies move in space and time, but he also developed the complicated mathematics needed to analyze those motions."," Ve své práci popsal Newton nejenom teorii pohybu těles v prostoru a čase, ale zároveň vynalezl složitý matematický aparát umožňující pohyb prozkoumat."
"proposed","propose","navrhl","navrhnout","pf"," In the face of the Nazi threat, Einstein renounced pacifism, and eventually, fearing that German scientists would build a nuclear bomb, proposed that the United States should develop its own."," Tváří v tvář nacistickým výhrůžkám a v obavách, že němečtí vědci sestrojí jako první atomovou bombu, navrhl Spojeným státům, aby pracovaly na vývoji své vlastní."
"warning","warn","varoval","varovat","impf"," But even before the first atomic bomb had been detonated, he was publicly warning of the dangers of nuclear war and proposing international control of nuclear weaponry."," Ale ještě než byla bomba svržena, veřejně varoval před nebezpečím jaderné války a podněcoval k ustanovení mezinárodní kontroly nad jadernými zbraněmi."
"represented","represent","znázornit","znázornit","pf"," Thus its history can be represented by a line in space-time ( the "" world-line "" )."," Její historii tedy můžeme znázornit křivkou v prostoročasu, "" světočárou ""."
"called","call","říkáme","říkat","impf"," The increase of disorder or entropy with time is one example of what is called an arrow of time, something that distinguishes the past from the future, giving a direction to time."," Nárůst neuspořádanosti s časem je příkladem toho, čemu říkáme šipka času - rozlišuje minulost od budoucnosti, určuje směr času."
"distinguishes","distinguish","rozlišuje","rozlišovat","impf"," The increase of disorder or entropy with time is one example of what is called an arrow of time, something that distinguishes the past from the future, giving a direction to time."," Nárůst neuspořádanosti s časem je příkladem toho, čemu říkáme šipka času - rozlišuje minulost od budoucnosti, určuje směr času."
"provided","provide","určit","určit","pf"," That is, they believed that one could unambiguously measure the interval of time between two events, and that this time would be the same whoever measured it, provided they used a good clock."," Jinými slovy, domnívali se, že lze jednoznačně určit časový interval mezi dvěma událostmi a že tato doba je stejná pro všechny pozorovatele, pokud mají své hodiny v pořádku."
"doubled","double","zdvojnásobí","zdvojnásobit","pf"," Thus the force between two bodies would be twice as strong if one of the bodies ( say, body A ) had its mass doubled."," Síla mezi dvěma tělesy se tedy zdvojnásobí, zdvojnásobí - li se hmotnost jednoho z nich ( označme je těleso A )."
"doubled","double","zdvojnásobí","zdvojnásobit","pf"," Thus the force between two bodies would be twice as strong if one of the bodies ( say, body A ) had its mass doubled."," Síla mezi dvěma tělesy se tedy zdvojnásobí, zdvojnásobí - li se hmotnost jednoho z nich ( označme je těleso A )."
"using","use","používáme","používat","impf"," Because one is using Euclidean space-times, in which the time direction is on the same footing as directions in space, it is possible for space-time to be finite in extent and yet to have no singularities that formed a boundary or edge."," Protože používáme eukleidovské prostoročasy, v nichž je časový směr na stejné úrovni s prostorovými směry, může mít prostoročas konečný rozsah, a přesto nemusí obsahovat singularity, které by představovaly jeho okraj či hranici."
"thought","think","myslil","myslit","impf"," At first I thought that this emission indicated that one of the approximations I had used was not valid."," Zprvu jsem myslil, že některá z mých aproximací je nesprávná."
"use","use","použije","použít","pf"," I was afraid that if Bekenstein found out about it, he would use it as a further argument to support his ideas about the entropy of black holes, which I still did not like."," Obával jsem se, že až se Bekenstein o tomto výsledku dozví, použije ho k obhajobě svých myšlenek o entropii černých děr - a ty se mi stále nezamlouvaly."
"thought","think","přemýšlel","přemýšlet","impf"," However, the more I thought about it, the more it seemed that the approximations really ought to hold."," Ale čím víc jsem o problému přemýšlel, tím víc jsem nabýval přesvědčení, že všechny použité aproximace platí."
"hold","hold","platí","platit","impf"," However, the more I thought about it, the more it seemed that the approximations really ought to hold."," Ale čím víc jsem o problému přemýšlel, tím víc jsem nabýval přesvědčení, že všechny použité aproximace platí."
"carries","carry","nemá","mít","impf"," This has no mass of its own, so the force that it carries is long range."," Ten, podobně jako foton, nemá vlastní hmotnost, a síla, kterou přenáší, je proto dalekého dosahu."
"carries","carry","přenáší","přenášet","impf"," This has no mass of its own, so the force that it carries is long range."," Ten, podobně jako foton, nemá vlastní hmotnost, a síla, kterou přenáší, je proto dalekého dosahu."
"ascribed","ascribe","připisuje","připisovat","impf"," The gravitational force between the sun and the earth is ascribed to the exchange of gravitons between the particles that make up these two bodies."," Přitažlivá síla mezi Sluncem a Zemí se připisuje výměně gravitonů mezi částicemi tvořícími oba objekty."
