"kills","kill","zabil","zabít","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"thought","think","pomyslel","pomyslet","pf"," Eat it so that the point of the hook goes into your heart and kills you, he thought."," Spolkni to tak, aby ti hrot háku pronikl do srdce a zabil tě, pomyslel si."
"let","let","nech","nechat","pf"," Come up easy and let me put the harpoon into you."," Vypluj zlehka a nech do sebe vrazit harpunu."
"put","put","vrazit","vrazit","pf"," Come up easy and let me put the harpoon into you."," Vypluj zlehka a nech do sebe vrazit harpunu."
"see","see","nezahlédl","zahlédnout","pf"," He could not even see a bird."," Jinak nezahlédl dokonce ani ptáka."
"sailed","sail","Plul","plout","impf"," He had sailed for two hours, resting in the stern and sometimes chewing a bit of the meat from the marlin, trying to rest and to be strong, when he saw the first of the two sharks."," Plul tak dvě hodiny, leže na zádi a žvýkaje občas kus masa z marlina, snaže se odpočívat a nabrat sil, když uzřel prvního z obou žraloků."
"resting","rest","leže","ležet","impf"," He had sailed for two hours, resting in the stern and sometimes chewing a bit of the meat from the marlin, trying to rest and to be strong, when he saw the first of the two sharks."," Plul tak dvě hodiny, leže na zádi a žvýkaje občas kus masa z marlina, snaže se odpočívat a nabrat sil, když uzřel prvního z obou žraloků."
"trying","try","snaže","snažit","impf"," He had sailed for two hours, resting in the stern and sometimes chewing a bit of the meat from the marlin, trying to rest and to be strong, when he saw the first of the two sharks."," Plul tak dvě hodiny, leže na zádi a žvýkaje občas kus masa z marlina, snaže se odpočívat a nabrat sil, když uzřel prvního z obou žraloků."
"resting","rest","odpočívat","odpočívat","impf"," He had sailed for two hours, resting in the stern and sometimes chewing a bit of the meat from the marlin, trying to rest and to be strong, when he saw the first of the two sharks."," Plul tak dvě hodiny, leže na zádi a žvýkaje občas kus masa z marlina, snaže se odpočívat a nabrat sil, když uzřel prvního z obou žraloků."
"think","think","vzpomenu","vzpomenout","pf"," But then I think of Dick Sister and those great drives in the old park. """," Ale pak si zase vzpomenu na Dicka Sislera a na ty jeho ohromné drajvy ve starém parku. """
"seen","see","viděl","vidět","impf"," He hits the longest ball I have ever seen. """," Napaloval míč nejdál, jak jsem kdy viděl. """
"remember","remember","Pamatuješ","pamatovat","impf"," "" Do you remember when he used to come to the Terrace?"," "" Pamatuješ se, jak chodíval na Terasu?"
"wanted","want","Chtěl","chtít","impf"," I wanted to take him fishing but I was too timid to ask him."," Chtěl jsem ho vzít na ryby, ale styděl jsem se mu říct."
"take","take","vzít","vzít","pf"," I wanted to take him fishing but I was too timid to ask him."," Chtěl jsem ho vzít na ryby, ale styděl jsem se mu říct."
"wiped","wipe","utřel","utřít","pf"," The old man wiped the blade of his knife and laid down the oar."," Stařec si utřel čepel nože a položil veslo."
"laid","lay","položil","položit","pf"," The old man wiped the blade of his knife and laid down the oar."," Stařec si utřel čepel nože a položil veslo."
"found","find","našel","najít","pf"," Then he found the sheet and the sail filled and he brought the skiff onto her course."," Pak našel škot plachty, plachta se napjala a on vyrovnal loďku do správného kursu."
"want","want","nechtěl","chtít","impf"," He stopped and he did not want to look at the fish now."," Odmlčel se a nechtěl se na rybu ani podívat."
"look","look","podívat","podívat","pf"," He stopped and he did not want to look at the fish now."," Odmlčel se a nechtěl se na rybu ani podívat."
"asking","ask","žádali","žádat","impf"," And at daylight when the bettors were asking that it be called a draw and the referee was shaking his head, he had unleashed his effort and forced the hand of the negro down and down until it rested on the wood."," A za svítání, kdy sázkaři žádali, aby bylo utkání prohlášeno za nerozhodné a rozhodčí vrtěl hlavou, vynaložil veškeré úsilí a tlačil černochovu ruku níže a níže, až spočinula na dřevě."
"called","call","žádali","žádat","impf"," And at daylight when the bettors were asking that it be called a draw and the referee was shaking his head, he had unleashed his effort and forced the hand of the negro down and down until it rested on the wood."," A za svítání, kdy sázkaři žádali, aby bylo utkání prohlášeno za nerozhodné a rozhodčí vrtěl hlavou, vynaložil veškeré úsilí a tlačil černochovu ruku níže a níže, až spočinula na dřevě."
"forced","force","tlačil","tlačit","impf"," And at daylight when the bettors were asking that it be called a draw and the referee was shaking his head, he had unleashed his effort and forced the hand of the negro down and down until it rested on the wood."," A za svítání, kdy sázkaři žádali, aby bylo utkání prohlášeno za nerozhodné a rozhodčí vrtěl hlavou, vynaložil veškeré úsilí a tlačil černochovu ruku níže a níže, až spočinula na dřevě."
"started","start","začalo","začít","pf"," The match had started on a Sunday morning and ended on a Monday morning."," Utkání začalo v neděli ráno a skončilo v pondělí ráno."
"ended","end","skončilo","skončit","pf"," The match had started on a Sunday morning and ended on a Monday morning."," Utkání začalo v neděli ráno a skončilo v pondělí ráno."
"asked","ask","žádalo","žádat","impf"," Many of the bettors had asked for a draw because they had to go to work on the docks loading sacks of sugar or at the Havana Coal Company."," Mnoho sázejících žádalo o nerozhodný výsledek jen proto, že museli do práce v docích, nakládat pytle cukru nebo uhlí pro Havanskou uhelnou společnost."
"loading","load","nakládat","nakládat","impf"," Many of the bettors had asked for a draw because they had to go to work on the docks loading sacks of sugar or at the Havana Coal Company."," Mnoho sázejících žádalo o nerozhodný výsledek jen proto, že museli do práce v docích, nakládat pytle cukru nebo uhlí pro Havanskou uhelnou společnost."
"fought","fight","bojovat","bojovat","impf"," Then we might have fought them together."," Mohli bychom pak s nimi bojovat společně."
"come","come","přijdou","přijít","pf"," What will you do now if they come in the night?"," A co si počneš teď, když přijdou v noci?"
"do","do","dělat","dělat","impf"," What can you do?"," Co můžeš dělat?"
"Fight","fight","Bojovat","bojovat","impf"," "" Fight them, "" he said."," "" Bojovat s nimi, "" odpověděl si nahlas."
"said","say","odpověděl","odpovědět","pf"," "" Fight them, "" he said."," "" Bojovat s nimi, "" odpověděl si nahlas."
"fight","fight","bojovat","bojovat","impf"," "" I 'll fight them until I die. """," "" Budu s nimi bojovat, dokud nepadnu. """
"ate","eat","snědl","sníst","pf"," Under the stars and with the night colder all the time he ate half of one of the dolphin fillets and one of the flying fish, gutted and with its head cut off."," Ve svitu hvězd a v stále rostoucím nočním chladu snědl polovinu jednoho řízku z dorády a jednu létavou rybu, kterou vykuchal a uřízl jí hlavu."
"said","say","řekl","říci","pf"," "" What an excellent fish dolphin is to eat cooked, "" he said."," "" Jak znamenitá ryba je doráda, když je uvařená, "" řekl si."
"thought","think","měl","mít","impf"," If I had brains I would have splashed water on the bow all day and drying, it would have made salt, he thought."," Kdybych měl kouska rozumu, byl bych šplíchal na paloubku celý den vodu, aby vyschla, a zbyla by sůl, vyčítal si."
"hit","hit","zasáhl","zasáhnout","pf"," But that was the location of the brain and the old man hit it."," Ale v těch místech má žralok mozek a stařec ho tam zasáhl."
"hit","hit","Zasáhl","zasáhnout","pf"," He hit it with his blood mushed hands driving a good harpoon with all his strength."," Zasáhl ho svýma krví pomazanýma rukama a vbodl mu tam dobře mířenou harpunu ze všech sil."
"accept","accept","uznat","uznat","pf"," The old man knew that he was dead but .the shark would not accept it."," Stařec věděl, že je mrtev, ale žralok to nechtěl uznat."
"came","come","jezdil","jezdit","impf"," "" Because he came here the most times, "" the old man said."," "" To proto, že sem tak často jezdil, "" namítl stařec."
"come","come","jezdit","jezdit","impf"," "" If Durocher had continued to come here each year your father would think him the greatest manager. """," "" Kdyby sem byl nepřestal jezdit každý rok Durocher, myslel by si tvůj táta, že nejslavnější manažér je on. """
"think","think","myslel","myslet","impf"," "" If Durocher had continued to come here each year your father would think him the greatest manager. """," "" Kdyby sem byl nepřestal jezdit každý rok Durocher, myslel by si tvůj táta, že nejslavnější manažér je on. """
"think","think","myslím","myslet","impf"," "" I think they are equal. """," "" Já myslím, že jsou tak stejní. """
