"recall","recall","vzpomínám","vzpomínat","impf"," I can still recall the deep satisfaction I felt when I learnt the Sugimuras - after the most thorough investigation - had deemed me the most worthy of the house they so prized."," Ještě dnes si vzpomínám, jak hluboký pocit zadostiučinění mě zaplavil, když si Sugimurovi po velice důkladném šetření vybrali jako nejvhodnějšího kupce pro svůj drahocenný dům právě mě."
"lived","live","bydleli","bydlet","impf"," and all of us who lived in it came to find it most conducive to relaxation and calm."," Všem, co jsme v ní bydleli, se zdá, že nám její atmosféra pomáhá uvolnit se a najít klid."
"find","find","najít","najít","pf"," and all of us who lived in it came to find it most conducive to relaxation and calm."," Všem, co jsme v ní bydleli, se zdá, že nám její atmosféra pomáhá uvolnit se a najít klid."
"see","see","dívá","dívat","impf"," You see, Ono-san, I 've noticed Mori-san looking at my work more and more closely this past year."," Víš, Ono - sane, všiml jsem si, že se Mori - san dívá na mou práci stále pozorněji."
"looking","look","dívá","dívat","impf"," You see, Ono-san, I 've noticed Mori-san looking at my work more and more closely this past year."," Víš, Ono - sane, všiml jsem si, že se Mori - san dívá na mou práci stále pozorněji."
"exhibit","exhibit","vystavovat","vystavovat","impf"," Who knows, sometime in the future, I may even be permitted to exhibit alongside yourself and Mori-san. '"," Kdo ví, možná že někdy v budoucnosti budu smět vystavovat vedle tebe a Mori - sana. """
"looked","look","pohlédl","pohlédnout","pf"," Then at last he looked across to me and laughed selfconsciously."," Nakonec na mě přece jen pohlédl a rozpačitě se zasmál."
"laughed","laugh","zasmál","zasmát","pf"," Then at last he looked across to me and laughed selfconsciously."," Nakonec na mě přece jen pohlédl a rozpačitě se zasmál."
"changed","change","změnilo","změnit","pf"," ' Many things have changed since the old days, Shintaro, ' I pointed out the other night down at Mrs Kawakami 's."," "" Od těch dob se mnoho změnilo, Šintaró, "" odpověděl jsem mu teď u paní Kawakamiové."
"retired","retire","Odešel","odejít","pf"," ' I 'm retired now, I do n't have so many connections. '"," "" Odešel jsem na penzi a už nemám takové styky. """
"surprised","surprise","překvapil","překvapit","pf"," It may be that if I chose to put it to the test, I would again be surprised by the extent of my influence."," Možná, že kdybych to zkusil, samotného by mě dosah mého vlivu překvapil."
"say","say","řekl","říci","pf"," As I say, I have never had a keen awareness of my own standing."," Jak už jsem řekl, nikdy jsem o svém společenském postavení nijak nehloubal."
"looking","look","pohlédl","pohlédnout","pf"," I glared at her for a moment, but she went on looking at the garden, a weary expression on her face."," Rozhořčeně jsem na ni pohlédl, ale ona unaveně upírala oči do zahrady."
"turned","turn","Odvrátil","odvrátit","pf"," I turned away and gave a sigh."," Odvrátil jsem se a povzdechl si."
"laugh","laugh","zasmáli","zasmát","pf"," Your mother at least could say such things and we would laugh together. '"," Tvoje matka alespoň plácla něco, čemu jsme se oba zasmáli. """
"talk","talk","hovořím","hovořit","impf"," It 's to this end, Tortoise, I talk of the need for a new approach. '"," Právě proto hovořím o potřebě nového přístupu. """
"tell","tell","řekl","říci","pf"," ' To tell you the truth, Ono-san, ' he said, ' someone in my humble position is always trying new approaches."," "" Abych ti pravdu řekl, Ono - sane, "" ozval se posléze, "" člověk v mém skrovném postavení vždycky zkouší nové přístupy."
"said","say","řekl","říci","pf"," ' To tell you the truth, Ono-san, ' he said, ' someone in my humble position is always trying new approaches."," "" Abych ti pravdu řekl, Ono - sane, "" ozval se posléze, "" člověk v mém skrovném postavení vždycky zkouší nové přístupy."
"trying","try","zkouší","zkoušet","impf"," ' To tell you the truth, Ono-san, ' he said, ' someone in my humble position is always trying new approaches."," "" Abych ti pravdu řekl, Ono - sane, "" ozval se posléze, "" člověk v mém skrovném postavení vždycky zkouší nové přístupy."
"believe","believe","myslím","myslet","impf"," But over this past year, I believe I 'm beginning to find the right path at last."," Ale myslím, že během uplynulého roku jsem začal objevovat tu pravou cestu."
"beginning","begin","začal","začít","pf"," But over this past year, I believe I 'm beginning to find the right path at last."," Ale myslím, že během uplynulého roku jsem začal objevovat tu pravou cestu."
"meant","mean","Chtěl","chtít","impf"," I 'd meant to write and express my apologies."," Chtěl jsem se ti písemně omluvit."
"remember","remember","pamatuji","pamatovat","impf"," ' I can remember when you and Michiko-san were brought together. '"," "" Ještě si pamatuji, jak jste se vy dva sešli. """
"nodding","nod","přikývl","přikývnout","pf"," He gave a laugh, nodding to himself."," Uchechtl se a pro sebe si přikývl."
"think","think","Nedomníváš","domnívat","impf"," ' So you do not think you will be able to bring me those paintings of yours. '"," "" Nedomníváš se tedy, že bys mi ty obrazy mohl přinést. """
"bring","bring","přinést","přinést","pf"," ' So you do not think you will be able to bring me those paintings of yours. '"," "" Nedomníváš se tedy, že bys mi ty obrazy mohl přinést. """
"see","see","Chápu","chápat","impf"," T see."," "" Chápu."
"considered","consider","uvážil","uvážit","pf"," Of course, you have considered your future in the event of your leaving my patronage. '"," Zřejmě jsi tedy již uvážil, co podnikneš, až opustíš můj dům. """
