"seemed","seem","zdálo","zdát","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"feel","feel","cítí","cítit","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","cítí","cítit","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","cítí","cítit","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","dotýká","dotýkat","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","dotýká","dotýkat","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","dotýká","dotýkat","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"touch","touch","dotýká","dotýkat","impf"," At moments he seemed to feel her voice touch his ear, her hand touch his."," V některých okamžicích se mu zdálo, že cítí, jak se její hlas dotýká jeho ucha, jak se rukou dotýká jeho ruky."
"listen","listen","naslouchal","naslouchat","impf"," He stood still to listen."," Zastavil se, naslouchal."
"withheld","withhold","odepřel","odepřít","pf"," Why had he withheld life from her?"," Proč jí odepřel život?"
"sentenced","sentence","odsoudil","odsoudit","pf"," Why had he sentenced her to death?"," Proč ji odsoudil k smrti?"
"let","let","dovolila","dovolit","pf"," So Maria let him have his way and they sat by the fire talking over old times and Maria thought she would put in a good word for Alphy."," A tak mu Marie dovolila, aby bylo po jeho, usedli ke krbu, hovořili o starých časech a Marii napadlo zastat se Alphyho."
"sat","sit","usedli","usednout","pf"," So Maria let him have his way and they sat by the fire talking over old times and Maria thought she would put in a good word for Alphy."," A tak mu Marie dovolila, aby bylo po jeho, usedli ke krbu, hovořili o starých časech a Marii napadlo zastat se Alphyho."
"talking","talk","hovořili","hovořit","impf"," So Maria let him have his way and they sat by the fire talking over old times and Maria thought she would put in a good word for Alphy."," A tak mu Marie dovolila, aby bylo po jeho, usedli ke krbu, hovořili o starých časech a Marii napadlo zastat se Alphyho."
"cried","cry","zvolal","zvolat","pf"," But Joe cried that God might strike him stone dead if ever he spoke a word to his brother again and Maria said she was sorry she had mentioned the matter."," Ale Joe zvolal, ať prý ho pánbůh rázem změní v kámen, jestli kdy jen slovíčko promluví s bratrem, a Marie odpověděla, jak prý lituje, že se o tom zmínila."
"spoke","speak","promluví","promluvit","pf"," But Joe cried that God might strike him stone dead if ever he spoke a word to his brother again and Maria said she was sorry she had mentioned the matter."," Ale Joe zvolal, ať prý ho pánbůh rázem změní v kámen, jestli kdy jen slovíčko promluví s bratrem, a Marie odpověděla, jak prý lituje, že se o tom zmínila."
"said","say","odpověděla","odpovědět","pf"," But Joe cried that God might strike him stone dead if ever he spoke a word to his brother again and Maria said she was sorry she had mentioned the matter."," Ale Joe zvolal, ať prý ho pánbůh rázem změní v kámen, jestli kdy jen slovíčko promluví s bratrem, a Marie odpověděla, jak prý lituje, že se o tom zmínila."
"mentioned","mention","zmínila","zmínit","pf"," But Joe cried that God might strike him stone dead if ever he spoke a word to his brother again and Maria said she was sorry she had mentioned the matter."," Ale Joe zvolal, ať prý ho pánbůh rázem změní v kámen, jestli kdy jen slovíčko promluví s bratrem, a Marie odpověděla, jak prý lituje, že se o tom zmínila."
"told","tell","mluví","mluvit","impf"," Mrs. Donnelly told her husband it was a great shame for him to speak that way of his own flesh and blood, but Joe being a row on the head of it."," Paní Donnellyová vytkla manželovi, jaká je hanba, mluví - li takhle o vlastních příbuzných, ale Joe namítl, že Alphy není žádný bratr, a div se kvůli tomu nestrhla hádka."
"speak","speak","mluví","mluvit","impf"," Mrs. Donnelly told her husband it was a great shame for him to speak that way of his own flesh and blood, but Joe being a row on the head of it."," Paní Donnellyová vytkla manželovi, jaká je hanba, mluví - li takhle o vlastních příbuzných, ale Joe namítl, že Alphy není žádný bratr, a div se kvůli tomu nestrhla hádka."
"read","read","přečetla","přečíst","pf"," She took out her purse with the silver clasps and read again the words A Present from Belfast."," Vytáhla peněženku se stříbrným kováním a opět si přečetla slova Dárek z Belfastu."
"watched","watch","pozoroval","pozorovat","impf"," Ignatius Gallaher watched him for a few moments and then said :"," Ignatius Gallaher ho několik okamžiků pozoroval a pak řekl :"
"said","say","řekl","říci","pf"," Ignatius Gallaher watched him for a few moments and then said :"," Ignatius Gallaher ho několik okamžiků pozoroval a pak řekl :"
"bet","bet","vsadit","vsadit","pf"," “ If ever it occurs, you may bet your bottom dollar there ’ ll be no mooning and spooning about it."," "" Jestli se to kdy stane, můžeš vsadit hlavu, že se při tom nebude nýt a vzdychat."
"mean","mean","Chci","chtít","impf"," I mean to marry money."," Chci vyženit prachy."
"do","do","dělá","dělat","impf"," “ Why, man alive, ” said Ignatius Gallaher, vehemently, “ do you know what it is?"," "" Víš ty vůbec, člověče, "" pokračoval útočně Ignatius Gallaher, "" jak se to dělá?"
"said","say","Říkal","říkat","impf"," Once you are married you are done for, it said."," Říkal mu : jakmile se oženíš, je s tebou konec."
"sitting","sit","seděl","sedět","impf"," While he was sitting helplessly on the side of the bed in shirt and trousers, she tapped lightly at his door and entered."," Když takto bezmocně seděl v košili a v kalhotách na pelesti postele, zlehka zaklepala na dveře a vstoupila."
"tapped","tap","zaklepala","zaklepat","pf"," While he was sitting helplessly on the side of the bed in shirt and trousers, she tapped lightly at his door and entered."," Když takto bezmocně seděl v košili a v kalhotách na pelesti postele, zlehka zaklepala na dveře a vstoupila."
"entered","enter","vstoupila","vstoupit","pf"," While he was sitting helplessly on the side of the bed in shirt and trousers, she tapped lightly at his door and entered."," Když takto bezmocně seděl v košili a v kalhotách na pelesti postele, zlehka zaklepala na dveře a vstoupila."
"told","tell","Řekla","říci","pf"," She told him all, that she had made a clean breast of it to her mother and that her mother would speak with him that morning."," Řekla mu všecko - že se se vším svěřila matce a že s ním chce matka dnes ráno mluvit."
