"trying","try","pokusila","pokusit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"catch","catch","chytit","chytit","pf"," By that time, all three were trying to catch it and help me out by lightening the load."," Na tomto místě se medvíďata pokusila ocas chytit a odlehčit mi tak od nákladu."
"run","run","běželi","běžet","impf"," First one and then another would pick it up by mouth, turn and run for the bushes with it, only to have it jerked away as the string came taut."," Jeden po druhém pak neúnavně bobří ocas chytali do tlamy a běželi s ním do houští, jenomže já škubl provázkem a kořist byla ta tam."
"relocated","relocate","přemístit","přemístit","pf"," The logging was going to continue, so the bears needed to be relocated, and to do that the Fish and Game folks would have to capture the sow so they could move the family as a unit."," Práce se nesměla zastavit, a tak nezbylo, než medvědy přemístit, a k tomu bude nutné, aby lidé ze Správy zajali samici a přestěhovali celou rodinku jako jeden celek."
"move","move","přemístit","přemístit","pf"," The logging was going to continue, so the bears needed to be relocated, and to do that the Fish and Game folks would have to capture the sow so they could move the family as a unit."," Práce se nesměla zastavit, a tak nezbylo, než medvědy přemístit, a k tomu bude nutné, aby lidé ze Správy zajali samici a přestěhovali celou rodinku jako jeden celek."
"capture","capture","zajali","zajmout","pf"," The logging was going to continue, so the bears needed to be relocated, and to do that the Fish and Game folks would have to capture the sow so they could move the family as a unit."," Práce se nesměla zastavit, a tak nezbylo, než medvědy přemístit, a k tomu bude nutné, aby lidé ze Správy zajali samici a přestěhovali celou rodinku jako jeden celek."
"relocated","relocate","přestěhovali","přestěhovat","pf"," The logging was going to continue, so the bears needed to be relocated, and to do that the Fish and Game folks would have to capture the sow so they could move the family as a unit."," Práce se nesměla zastavit, a tak nezbylo, než medvědy přemístit, a k tomu bude nutné, aby lidé ze Správy zajali samici a přestěhovali celou rodinku jako jeden celek."
"move","move","přestěhovali","přestěhovat","pf"," The logging was going to continue, so the bears needed to be relocated, and to do that the Fish and Game folks would have to capture the sow so they could move the family as a unit."," Práce se nesměla zastavit, a tak nezbylo, než medvědy přemístit, a k tomu bude nutné, aby lidé ze Správy zajali samici a přestěhovali celou rodinku jako jeden celek."
"catching","catch","chytit","chytit","pf"," But catching a wild sow in the middle of winter when she is n't eating is far from easy;"," Jenomže chytit volně žijící samici uprostřed zimy, kdy nejí, není nic jednoduchého;"
"eating","eat","nejí","jíst","impf"," But catching a wild sow in the middle of winter when she is n't eating is far from easy;"," Jenomže chytit volně žijící samici uprostřed zimy, kdy nejí, není nic jednoduchého;"
"exposed","expose","vystavena","vystavit","pf"," While they are with their mother, cubs receive protection and security, are exposed to their environment, and have time to develop physically and socially."," Po dobu strávenou s matkou se mládata těší její ochraně a bezpečí, jsou vystavena přirozenému prostředí, mají dostatek času na fyzický i duševní rozvoj."
"hurried","hurry","Spěchal","spěchat","impf"," As I hurried over, I could see by the tracks in the snow and ice that she had already been outside the den quite a bit."," Spěchal jsem nahoru a cestou ve sněhu zahlédl stopy, důkaz, že Drobná už na chvíli vyšla z brlohu."
"see","see","zahlédl","zahlédnout","pf"," As I hurried over, I could see by the tracks in the snow and ice that she had already been outside the den quite a bit."," Spěchal jsem nahoru a cestou ve sněhu zahlédl stopy, důkaz, že Drobná už na chvíli vyšla z brlohu."
"noticed","notice","všiml","všimnout","pf"," I also noticed that she had broken off a hardwood sapling, which I thought might be some form of marking, or perhaps just done out of boredom."," Navíc jsem si všiml, že polámala mladý odrostek listnáče, což jsem považoval buď za projev značkování, nebo snad i nudy."
"thought","think","považoval","považovat","impf"," I also noticed that she had broken off a hardwood sapling, which I thought might be some form of marking, or perhaps just done out of boredom."," Navíc jsem si všiml, že polámala mladý odrostek listnáče, což jsem považoval buď za projev značkování, nebo snad i nudy."
"reach","reach","došli","dojít","pf"," Traveling with two cubs is slow, and it took us nearly an hour to reach the bog."," Se dvěma medvíďaty se cesta protáhne, a než jsme došli k močálu, uplynula skoro hodina."
"growing","grow","chovala","chovat","impf"," The Boy even bit me one time, and it was n't until the four of us had a good round of play and wrestling on April 13 that it dawned on me that up to that point the cubs had been growing suspicious of me."," Boy mne dokonce jednou kousl, a teprve třináctého dubna, když jsme si zas všichni čtyři hráli a zápasili, mi došlo, že do té doby ke mně medvíďata chovala podezření."
"repeated","repeat","opakovala","opakovat","impf"," In the years that have followed I 've seen the pattern repeated, especially with Squirty but with other bears as well;"," V následujících letech se totiž podobná situace opakovala ještě několikrát, obzvláště s Drobnou, ale i s ostatními;"
"see","see","podívat","podívat","pf"," I took a look to see why she was acting this way and found a wild bear scat."," Šel jsme se podívat blíž, abych zjistil, co je příčinou jejího chování, a objevil jsem lejno volně žijícího medvěda."
"took","take","zjistil","zjistit","pf"," I took a look to see why she was acting this way and found a wild bear scat."," Šel jsme se podívat blíž, abych zjistil, co je příčinou jejího chování, a objevil jsem lejno volně žijícího medvěda."
"found","find","zjistil","zjistit","pf"," I took a look to see why she was acting this way and found a wild bear scat."," Šel jsme se podívat blíž, abych zjistil, co je příčinou jejího chování, a objevil jsem lejno volně žijícího medvěda."
"found","find","objevil","objevit","pf"," I took a look to see why she was acting this way and found a wild bear scat."," Šel jsme se podívat blíž, abych zjistil, co je příčinou jejího chování, a objevil jsem lejno volně žijícího medvěda."
"wanted","want","Chtěl","chtít","impf"," It was clear he wanted to stay."," Chtěl zůstat, o tom nebylo pochyb."
"stay","stay","zůstat","zůstat","pf"," It was clear he wanted to stay."," Chtěl zůstat, o tom nebylo pochyb."
"left","leave","nechal","nechat","pf"," I got out and left : him a big pile of food in the woods, more than he would normally eat in two days."," Vystoupil jsem a nechal mu pod stromy obrovskou hromadu jídla, větší, než jakou by běžně snědl za dva dny."
"eat","eat","snědl","sníst","pf"," I got out and left : him a big pile of food in the woods, more than he would normally eat in two days."," Vystoupil jsem a nechal mu pod stromy obrovskou hromadu jídla, větší, než jakou by běžně snědl za dva dny."
"follow","follow","následovat","následovat","impf"," I checked the mud in the road to see if he had made any attempt to follow me."," Pátral jsem v blátě na silnici, zda najdu stopy, které by byly dokladem, že se mne pokusil následovat."
"do","do","způsobit","způsobit","pf"," If the latter, was this test developed over time so that two strange bears-possessing more than enough ability to do permanent harm to each other-could establish dominance without injury?"," Pokud je pravdou druhá možnost, slouží takový test k tomu, aby dva cizí medvědi - oba dost silní na to, aby mohli druhému způsobit trvalou újmu na zdraví - mohli potvrdit své výsadní postavení, aniž by při tom došlo ke zranění?"
"establish","establish","potvrdit","potvrdit","pf"," If the latter, was this test developed over time so that two strange bears-possessing more than enough ability to do permanent harm to each other-could establish dominance without injury?"," Pokud je pravdou druhá možnost, slouží takový test k tomu, aby dva cizí medvědi - oba dost silní na to, aby mohli druhému způsobit trvalou újmu na zdraví - mohli potvrdit své výsadní postavení, aniž by při tom došlo ke zranění?"
"practicing","practice","trénovala","trénovat","impf"," Were the cubs practicing this behavior in play to prepare themselves for the real thing later on?"," Že by se medvíďata zatím trénovala hrou a připravovala se tak na situace, které později zákonitě přijdou?"
"prepare","prepare","trénovala","trénovat","impf"," Were the cubs practicing this behavior in play to prepare themselves for the real thing later on?"," Že by se medvíďata zatím trénovala hrou a připravovala se tak na situace, které později zákonitě přijdou?"
"prepare","prepare","připravovala","připravovat","impf"," Were the cubs practicing this behavior in play to prepare themselves for the real thing later on?"," Že by se medvíďata zatím trénovala hrou a připravovala se tak na situace, které později zákonitě přijdou?"
"using","use","používal","používat","impf"," All three of the receivers that I had been using were old, and Ken was able to keep at least one going at all times."," Všechny tři přijímače, kteé jsem používal, byly staré Ken byl schopen alespoň jeden zprovoznit tak, aby fungoval za každých okolností."
"going","go","fungoval","fungovat","impf"," All three of the receivers that I had been using were old, and Ken was able to keep at least one going at all times."," Všechny tři přijímače, kteé jsem používal, byly staré Ken byl schopen alespoň jeden zprovoznit tak, aby fungoval za každých okolností."
"trying","try","pokoušeli","pokoušet","impf"," We spent a long day trying to get a signal on LB."," Celý den jsme se pokoušeli zachytit signál MH."
"asked","ask","Zeptal","zeptat","pf"," I asked Eric what he thought of the bear project."," Zeptal jsem se Erica, co si myslí o medvědím projektu."
"learned","learn","dozvěděl","dozvědět","pf"," "" I learned more about bears in the last six hours than I have in the past twenty years, "" he said."," "" Během těch šesti hodin jsem se o medvědech dozvěděl víc než za posledních dvacet let, "" řekl."
"said","say","řekl","říci","pf"," "" I learned more about bears in the last six hours than I have in the past twenty years, "" he said."," "" Během těch šesti hodin jsem se o medvědech dozvěděl víc než za posledních dvacet let, "" řekl."
"raised","raise","zvedl","zvednout","pf"," Houdini raised his head and sniffed."," Houdini všeho nechal, zvedl hlavu a zafrkal."
"see","see","Pochopil","pochopit","pf"," It was becoming clear to me that territorial bears already occupied all of the places where I would have liked to see Houdini set up residence."," Pochopil jsem, že kterákoli oblast, kde bych Houdiniho rád viděl usazeného, už patří některému z místních medvědů."
"see","see","viděl","vidět","impf"," It was becoming clear to me that territorial bears already occupied all of the places where I would have liked to see Houdini set up residence."," Pochopil jsem, že kterákoli oblast, kde bych Houdiniho rád viděl usazeného, už patří některému z místních medvědů."
"get","get","dostanu","dostat","pf"," I can still get out. """," Kliďánko se zas dostanu ven. ´"
"observed","observe","pozoroval","pozorovat","impf"," That night he took advantage of the last unwired seam, and the next morning he observed its repair as well, by climbing up the back side of the ladder for the second time."," Onoho večera znovu využil poslední nevyspravené spáry a příštího rána zas stál proti mně na druhé straně žebříku a pozoroval, jak škvíru opravuji."
"learning","learn","naučit","naučit","pf"," Christopher Boesch, in his 1991 article in the journal Animal Behavior, "" Teaching Among Wild Chimpanzees, "" reports on a wild chimpanzee mother who stepped in when her daughter was having trouble learning to crack nuts with a stone hammer, and then demonstrated the technique with slow and exaggerated motions."," V roce 1991 publikoval Christopher Boesch v časopise Animal Behavior článek s názvem ´Předávání vědomostí mezi volně žijícími šimpanzi´. Píše v něm o volně žijící šimpanzí matce, která zasáhla v situaci, kdy se její dcera ne a ne naučit rozbíjet ořechy kamennou palicí, a tak jí předvedla pomalými a důkladnými pohyby předvedla, jak na to."
"demonstrated","demonstrate","předvedla","předvést","pf"," Christopher Boesch, in his 1991 article in the journal Animal Behavior, "" Teaching Among Wild Chimpanzees, "" reports on a wild chimpanzee mother who stepped in when her daughter was having trouble learning to crack nuts with a stone hammer, and then demonstrated the technique with slow and exaggerated motions."," V roce 1991 publikoval Christopher Boesch v časopise Animal Behavior článek s názvem ´Předávání vědomostí mezi volně žijícími šimpanzi´. Píše v něm o volně žijící šimpanzí matce, která zasáhla v situaci, kdy se její dcera ne a ne naučit rozbíjet ořechy kamennou palicí, a tak jí předvedla pomalými a důkladnými pohyby předvedla, jak na to."
"demonstrated","demonstrate","předvedla","předvést","pf"," Christopher Boesch, in his 1991 article in the journal Animal Behavior, "" Teaching Among Wild Chimpanzees, "" reports on a wild chimpanzee mother who stepped in when her daughter was having trouble learning to crack nuts with a stone hammer, and then demonstrated the technique with slow and exaggerated motions."," V roce 1991 publikoval Christopher Boesch v časopise Animal Behavior článek s názvem ´Předávání vědomostí mezi volně žijícími šimpanzi´. Píše v něm o volně žijící šimpanzí matce, která zasáhla v situaci, kdy se její dcera ne a ne naučit rozbíjet ořechy kamennou palicí, a tak jí předvedla pomalými a důkladnými pohyby předvedla, jak na to."
"imitated","imitate","napodobovala","napodobovat","impf"," The daughter retrieved the hammer and painstakingly imitated her mother and succeeded in cracking the nuts."," Dcera znovu uchopila nástroj a horlivě matku napodobovala, až se jí podařilo ořechy rozbít."
"succeeded","succeed","podařilo","podařit","pf"," The daughter retrieved the hammer and painstakingly imitated her mother and succeeded in cracking the nuts."," Dcera znovu uchopila nástroj a horlivě matku napodobovala, až se jí podařilo ořechy rozbít."
"cracking","crack","rozbít","rozbít","pf"," The daughter retrieved the hammer and painstakingly imitated her mother and succeeded in cracking the nuts."," Dcera znovu uchopila nástroj a horlivě matku napodobovala, až se jí podařilo ořechy rozbít."
"survive","survive","vydržel","vydržet","pf"," The only limitation is how much fall feeding time is left to the bears in order to put on enough fat to hibernate and survive the winter."," Jediné na čem teď doopravdy záleží, je aby podzim vydržel dost dlouho a medvědi se stačili řádně vykrmit a shromáždit dostatečné množtsví tuku potřebné k hibernaci a zdárnému přežití zimy."
"understand","understand","rozuměl","rozumět","impf"," No wonder I could understand the cubs when they spoke to me as if I were another bear;"," Žádný div, že jsem svým medvíďatům tak dobře rozuměl, když se mnou jednala, jako bych byl jedním z nich;"
