"gave","give","nedají","dát","pf"," Carrie White 's mother, Margaret White, gave birth to her daughter on September 21, 1963, under circumstances which can only be termed bizarre."," Matka Carrie Whitové, Margareta Whitová, porodila svou dceru 21. září 1963 za okolností, jež se nedají označit jinak než jako bizarní."
"termed","term","označit","označit","pf"," Carrie White 's mother, Margaret White, gave birth to her daughter on September 21, 1963, under circumstances which can only be termed bizarre."," Matka Carrie Whitové, Margareta Whitová, porodila svou dceru 21. září 1963 za okolností, jež se nedají označit jinak než jako bizarní."
"died","die","zemřel","zemřít","pf"," As noted earlier, Ralph White died in February of 1963 when a steel girder fell out of a carrying sling on a housing-project job in Portland."," Již dříve bylo zjištěno, že Ralph White zemřel v únoru 1963, když na něj při práci na stavbě domu v Portlandu spadla z ramena jeřábu uvolněná traverza."
"fell","fall","spadla","spadnout","pf"," As noted earlier, Ralph White died in February of 1963 when a steel girder fell out of a carrying sling on a housing-project job in Portland."," Již dříve bylo zjištěno, že Ralph White zemřel v únoru 1963, když na něj při práci na stavbě domu v Portlandu spadla z ramena jeřábu uvolněná traverza."
"talking","talk","mluví","mluvit","impf"," "" Well ... they 're all talking about it."," "" No ... mluví se o tom."
"think","think","myslí","myslet","impf"," But most of them still think you 're okay."," Ale většina si stejně myslí, že jsi pořád normální."
"said","say","říkala","říkat","impf"," Like you said, you make your own decisions."," Jak jsi říkala - rozhoduješ se sama za sebe."
"hates","hate","nenávidí","nenávidět","impf"," "" Susie, she hates your guts. """," "" Susie, ona tě k smrti nenávidí. """
"saw","see","uviděla","uvidět","pf"," "" My mother came out on the back stoop and her face just crumpled when she saw the child."," Moje matka vyšla na zadní zápraží a její tvář se úplně scvrkla, když uviděla to dítě."
"felt","feel","ucítila","ucítit","pf"," Suddenly she felt that she must burst into tears, scream, or rip the Something out of her body whole and beating, crush it, kill it."," Najednou ucítila, že se určitě rozbrečí, bude křičet, vyrve si kus těla, zmlátí se, rozdrtí to tělo, zabije je."
"crush","crush","rozdrtí","rozdrtit","pf"," Suddenly she felt that she must burst into tears, scream, or rip the Something out of her body whole and beating, crush it, kill it."," Najednou ucítila, že se určitě rozbrečí, bude křičet, vyrve si kus těla, zmlátí se, rozdrtí to tělo, zabije je."
"kill","kill","zabije","zabít","pf"," Suddenly she felt that she must burst into tears, scream, or rip the Something out of her body whole and beating, crush it, kill it."," Najednou ucítila, že se určitě rozbrečí, bude křičet, vyrve si kus těla, zmlátí se, rozdrtí to tělo, zabije je."
"changed","change","vyměnila","vyměnit","pf"," The napkin Miss Desjardin had fixed was already wilting and she changed it carefully, knowing how bad she was, how bad they were, how she hated them and herself."," Vložka, kterou jí dala slečna Desjardinová, byla už nasáklá, a tak ji pečlivě vyměnila s vědomím, jak je ona sama špatná, jak špatné jsou ony, jak nenávidí je i sebe."
"hated","hate","nenávidí","nenávidět","impf"," The napkin Miss Desjardin had fixed was already wilting and she changed it carefully, knowing how bad she was, how bad they were, how she hated them and herself."," Vložka, kterou jí dala slečna Desjardinová, byla už nasáklá, a tak ji pečlivě vyměnila s vědomím, jak je ona sama špatná, jak špatné jsou ony, jak nenávidí je i sebe."
"vanquished","vanquish","zdolala","zdolat","pf"," Momma had battled the Black Man and had vanquished him."," Ona zdolala Ďábla, zvítězila nad ním."
"vanquished","vanquish","zvítězila","zvítězit","pf"," Momma had battled the Black Man and had vanquished him."," Ona zdolala Ďábla, zvítězila nad ním."
"seen","see","viděla","vidět","impf"," Carrie had seen it happen in a dream."," Carrie to viděla ve snu."
"think","think","Myslím","myslet","impf"," I think that perhaps the ... the zone of her influence was shrinking."," Myslím si, že ... i její akční rádius se zužoval."
"agree","agree","souhlasit","souhlasit","impf"," I think you will agree that that is a relatively uninformed supposition."," Budete se mnou asi souhlasit, že tohle je poměrně nekvalifikovaná domněnka."
"climbed","climb","šplhala","šplhat","impf"," At first, when she climbed up the embankment between Henry Drain 's meadow and the parking lot of The Cavalier, she thought Carrie was dead."," Nejdřív, když šplhala po náspu z Drainovy louky na parkoviště u Kavalíra, si myslela, že Carrie je mrtvá."
"thought","think","myslela","myslet","impf"," At first, when she climbed up the embankment between Henry Drain 's meadow and the parking lot of The Cavalier, she thought Carrie was dead."," Nejdřív, když šplhala po náspu z Drainovy louky na parkoviště u Kavalíra, si myslela, že Carrie je mrtvá."
"speaking","speak","Hovořím","hovořit","impf"," I am speaking of actions following- """," Hovořím o tom, co následovalo ... """
"said","say","řekl","říci","pf"," "" Never mind, "" Grayle said."," "" Na tom nezáleží, "" řekl Grayle."
"speaking","speak","hovoříte","hovořit","impf"," "" Never mind what you were speaking of."," "" Skutečně nezáleží na tom, o čem hovoříte."
"called","call","říkaly","říkat","impf"," This girl, Carietta White, was called ' a dumb pudding ' and was told to ' plug it up ' and was subjected to various obscene gestures."," Té dívce, Carriettě Whitové, říkaly rozteklá krávo a dělaly na ni obscénní gesta."
"told","tell","říkaly","říkat","impf"," This girl, Carietta White, was called ' a dumb pudding ' and was told to ' plug it up ' and was subjected to various obscene gestures."," Té dívce, Carriettě Whitové, říkaly rozteklá krávo a dělaly na ni obscénní gesta."
"insure","insure","pojistí","pojistit","pf"," of pills in circular yellow cases without number to insure against having to move out of the misses ' sizes before it became absolutely necessary and against the intrusion of repulsive little strangers who shat in their pants and screamed for help at two in the morning;"," představy nesčetných pilulek v žlutých krabičkách, které ji pojistí proti přechodu z dívčí na dámskou velikost oblečení, dokud to nebude nevyhnutelné, a proti těm odporným mrňavcům, kteří si serou do kalhot a řvou ve dvě hodiny v noci;"
"screamed","scream","řvou","řvát","impf"," of pills in circular yellow cases without number to insure against having to move out of the misses ' sizes before it became absolutely necessary and against the intrusion of repulsive little strangers who shat in their pants and screamed for help at two in the morning;"," představy nesčetných pilulek v žlutých krabičkách, které ji pojistí proti přechodu z dívčí na dámskou velikost oblečení, dokud to nebude nevyhnutelné, a proti těm odporným mrňavcům, kteří si serou do kalhot a řvou ve dvě hodiny v noci;"
"doing","do","udělá","udělat","pf"," Sue had been right, and being right, he had just time to wonder if this was doing a kindness or making things even worse."," Musel se okamžitě rozhodnout, jestli jí pozváním udělá radost, nebo všechno ještě zhorší."
"making","make","udělá","udělat","pf"," Sue had been right, and being right, he had just time to wonder if this was doing a kindness or making things even worse."," Musel se okamžitě rozhodnout, jestli jí pozváním udělá radost, nebo všechno ještě zhorší."
"do","do","jít","jít","impf"," "" If you do n't have a date for the Ball, would you want to go with me? """," "" Jestli nemáš s kým jít na ples, nechtěla bys jít se mnou? """
"go","go","jít","jít","impf"," "" If you do n't have a date for the Ball, would you want to go with me? """," "" Jestli nemáš s kým jít na ples, nechtěla bys jít se mnou? """
"want","want","nechtěla","chtít","impf"," "" If you do n't have a date for the Ball, would you want to go with me? """," "" Jestli nemáš s kým jít na ples, nechtěla bys jít se mnou? """
"do","do","jít","jít","impf"," "" If you do n't have a date for the Ball, would you want to go with me? """," "" Jestli nemáš s kým jít na ples, nechtěla bys jít se mnou? """
"go","go","jít","jít","impf"," "" If you do n't have a date for the Ball, would you want to go with me? """," "" Jestli nemáš s kým jít na ples, nechtěla bys jít se mnou? """
"went","go","začal","začít","pf"," There was a hydrant on the corner of Grass Plaza, and that one went, too."," Tak teda na rohu Grass Plaza byl taky hydrant a ten taky začal stříkat."
"see","see","viděl","vidět","impf"," I could see that one better."," Tentokrát jsem to viděl ještě líp."
"saw","see","Viděl","vidět","impf"," I saw that happening."," Viděl jsem to na vlastní oči."
"started","start","začaly","začít","pf"," The fire trucks started to go by then, and I lost track of her."," Pak teda začaly jezdit hasičský auta a ona mi zmizela z očí."
"go","go","začaly","začít","pf"," The fire trucks started to go by then, and I lost track of her."," Pak teda začaly jezdit hasičský auta a ona mi zmizela z očí."
"go","go","jezdit","jezdit","impf"," The fire trucks started to go by then, and I lost track of her."," Pak teda začaly jezdit hasičský auta a ona mi zmizela z očí."
"came","come","nepřijížděli","přijíždět","impf"," But no fire trucks came."," Ale žádní hasiči nepřijížděli."
"take","take","udělat","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"took","take","udělat","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"came","come","udělat","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"take","take","udělala","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"took","take","udělala","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"came","come","udělala","udělat","pf"," And at last I knew it was take the giant step or faint and so I took it, as big a giant step as I could, and the heel of my slipper came down not an inch from the last wire."," Uvědomila jsem si, že musím udělat ten jeden obří, nebo padnu, a tak jsem udělala tak dlouhý krok, jaký jsem jen dokázala, a stejně jsem byla patou jen kousíček za posledním drátem."
"remember","remember","pamatuju","pamatovat","impf"," And that 's all I remember."," A to je všechno, co si pamatuju."
"hit","hit","zasáhl","zasáhnout","pf"," "" One of the last ones hit a little table they had in their back yard and smashed it to pieces."," Jeden z posledních kamenů zasáhl stoleček, který měli na zadní zahrádce, a rozsekal jej na kusy."
"hit","hit","zasaženo","zasáhnout","pf"," "" But nothing, nothing that was n't on their property was hit. """," Nebylo však zasaženo nic, ale vůbec nic, co jim nepatřilo. """
"got","get","nedostalo","dostat","pf"," "" Not much of it got into the local paper."," "" Do místních novin se toho moc nedostalo."
