"found","find","vyhledal","vyhledat","pf"," Suddenly suspicious, X went and found the book Sergei Nikolaevich Dragomirov had left him in his will."," Náhle pojal pan X. podezření a vyhledal ve své knihovně knihu, již mu odkázal Sergej Nikolajevič Dragomirov."
"left","leave","odkázal","odkázat","pf"," Suddenly suspicious, X went and found the book Sergei Nikolaevich Dragomirov had left him in his will."," Náhle pojal pan X. podezření a vyhledal ve své knihovně knihu, již mu odkázal Sergej Nikolajevič Dragomirov."
"direct","direct","zaměřil","zaměřit","pf"," According to another version, Simon Magus did not direct his challenge at the seventh heaven, but at the earth, the greatest of all Illusions."," Podle jiné verze zaměřil Kouzelník svou výzvu nikoliv k sedmému nebi, ale k zemi, největší ze všech iluzí."
"lay","lie","ležel","ležet","impf"," So Simon lay on his back, his hands behind his head, in the shade of a giant olive tree, staring up at the sky, at "" the horror of the heavens. """," Šimon tedy ležel na zádech ve stínu obrovitého olivovníku, s rukama nataženýma za hlavou, s pohledem upřeným do nebe, do "" úděsu nebes ""."
"sat","sit","Seděla","sedět","impf"," She sat with her legs crossed like the others and her behind jutting out slightly, with a cigarette in her hand and the usual bright satin dress hugging her body, but there was something in her bearing, her appearance, the pale pink glow in which she was immersed as in an aquarium ( the sailor 's eternal Siren ) that immediately attracted Bandura."," Seděla se zkříženýma nohama, jako ostatní, s nepatrně vysazeným zadkem, s cigaretou v ruce, ve světlých atlasových šatech, ale v jejím postoji, v jejím vzhledu, v tom světlerůžovém světle, do něhož se nořila jako do akvária ( věčná Siréna všech námořníků ), bylo cosi, co Banduru okamžitě upoutalo."
"attracted","attract","upoutalo","upoutat","pf"," She sat with her legs crossed like the others and her behind jutting out slightly, with a cigarette in her hand and the usual bright satin dress hugging her body, but there was something in her bearing, her appearance, the pale pink glow in which she was immersed as in an aquarium ( the sailor 's eternal Siren ) that immediately attracted Bandura."," Seděla se zkříženýma nohama, jako ostatní, s nepatrně vysazeným zadkem, s cigaretou v ruce, ve světlých atlasových šatech, ale v jejím postoji, v jejím vzhledu, v tom světlerůžovém světle, do něhož se nořila jako do akvária ( věčná Siréna všech námořníků ), bylo cosi, co Banduru okamžitě upoutalo."
"allow","allow","Nepřipustil","připustit","pf"," He did not allow the two uhlans to lift him, but rose lightly to his feet, barely supported by them."," Nepřipustil, aby ho zvedli, sám se zlehka napřímil, jen nepatrně přidržován dvěma hulány."
"lift","lift","zvedli","zvednout","pf"," He did not allow the two uhlans to lift him, but rose lightly to his feet, barely supported by them."," Nepřipustil, aby ho zvedli, sám se zlehka napřímil, jen nepatrně přidržován dvěma hulány."
"rose","rise","zvedli","zvednout","pf"," He did not allow the two uhlans to lift him, but rose lightly to his feet, barely supported by them."," Nepřipustil, aby ho zvedli, sám se zlehka napřímil, jen nepatrně přidržován dvěma hulány."
"crossed","cross","překročil","překročit","pf"," Then, even before he had crossed the threshold of the cell, he experienced a sudden feeling of certainty - appearing first in his breast, then suffusing his entire body - that it would all end as the logic of life demanded."," Najednou, ještě než překročil práh cely, ozvala se v něm jistota, kdesi v prsou a pak ho prostoupila celého, že to všecko skončí tak, jak vyžaduje logika života."
"end","end","skončí","skončit","pf"," Then, even before he had crossed the threshold of the cell, he experienced a sudden feeling of certainty - appearing first in his breast, then suffusing his entire body - that it would all end as the logic of life demanded."," Najednou, ještě než překročil práh cely, ozvala se v něm jistota, kdesi v prsou a pak ho prostoupila celého, že to všecko skončí tak, jak vyžaduje logika života."
"demanded","demand","vyžaduje","vyžadovat","impf"," Then, even before he had crossed the threshold of the cell, he experienced a sudden feeling of certainty - appearing first in his breast, then suffusing his entire body - that it would all end as the logic of life demanded."," Najednou, ještě než překročil práh cely, ozvala se v něm jistota, kdesi v prsou a pak ho prostoupila celého, že to všecko skončí tak, jak vyžaduje logika života."
