"see","see","vidět","vidět","impf"," Although during the 1940 's it was no longer a rarity to see a real deck of cards ( stolen or bought from outsiders ) in the hands of criminals, nevertheless, says Tarashchenko, the most popular way of gambling was with a handmade ( and of course marked ) deck, made out of pieces of glued-together newspaper."," Ačkoliv v čtyřicátých letech už nebylo vzácností vidět v rukou kriminálníků i pravé balíčky karet ( uloupené nebo koupené od vypovězených ), přesto, jak tvrdí Taraščenko, nejraději a nejvíc se hrálo s ručně vyrobenými ( a samozřejmě poznačenými ) kartami, zhotovenými ze slepených vrstev novinového papíru."
"played","play","Hrály","hrát","impf"," All kinds of games of chance were played, from the simplest, like skat, poker, and blackjack, to a kind of secret Tarot."," Hrály se všechny druhy hazardních her od těch nejobyčejnějších, jako jsou oko, poker a mariáš, až po jakési tajuplné taroky."
"admitted","admit","nepřiznal","přiznat","pf"," A. T. Kashalov never once admitted during the long interrogation, not even under the worst torture, that he had been made a fool of that day."," Aljoška Timofejič nikdy během svého dlouhého vyšetřování, ani když ho sebevíc mučili, nepřiznal, že toho dne skočil na špek."
"said","say","řekl","říci","pf"," "" Boris Davidovich, "" he had said to Novsky, "" I 'm afraid that you must be out of your mind."," "" Borisi Davidoviči, "" řekl mu, "" obávám se, že vám přeskočilo."
"bury","bury","pohřbíte","pohřbít","pf"," You 'll bury us all with your plea. """," Svým plaidoyer nás všechny pohřbíte. """
"answered","answer","odpověděl","odpovědět","pf"," Novsky answered him with a strange expression on his face, which seemed to be the shadow of a smile."," Novskij mu odpověděl s podivným výrazem ve tváři, který vzdáleně připomínal úsměv :"
"appeared","appear","Zdá","zdát","impf"," ( British trade unions contributed greatly to this, by making a loud noise in the European press about Novsky 's arrest and by denouncing as entirely unfounded and absurd accusations that appeared in the official press : the rendezvous in Berlin with a certain Richards, who had allegedly bribed Novsky, like Judas, with thirty pieces of silver, was refuted by the perfect alibi of the said Richards : on that day he was attending the trade union conference in Hull. )"," ( Zdá se, že k tomu valnou měrou přispěly i anglické odbory, které kolem Novského zatčení spustily v evropském tisku veliký pokřik a popřely jako zcela nepodložená a nesmyslná některá obvinění, která se tou dobou objevila v oficiálním tisku : berlínská schůzka s jistým Richardsem, který údajně podplatil Novského třiceti stříbrnými jako Jidáše, byla dementována jednoznačným alibi samého Richardse : byl toho dne na odborové schůzi v Hullu. )"
"contributed","contribute","přispěly","přispět","pf"," ( British trade unions contributed greatly to this, by making a loud noise in the European press about Novsky 's arrest and by denouncing as entirely unfounded and absurd accusations that appeared in the official press : the rendezvous in Berlin with a certain Richards, who had allegedly bribed Novsky, like Judas, with thirty pieces of silver, was refuted by the perfect alibi of the said Richards : on that day he was attending the trade union conference in Hull. )"," ( Zdá se, že k tomu valnou měrou přispěly i anglické odbory, které kolem Novského zatčení spustily v evropském tisku veliký pokřik a popřely jako zcela nepodložená a nesmyslná některá obvinění, která se tou dobou objevila v oficiálním tisku : berlínská schůzka s jistým Richardsem, který údajně podplatil Novského třiceti stříbrnými jako Jidáše, byla dementována jednoznačným alibi samého Richardse : byl toho dne na odborové schůzi v Hullu. )"
"refuted","refute","popřely","popřít","pf"," ( British trade unions contributed greatly to this, by making a loud noise in the European press about Novsky 's arrest and by denouncing as entirely unfounded and absurd accusations that appeared in the official press : the rendezvous in Berlin with a certain Richards, who had allegedly bribed Novsky, like Judas, with thirty pieces of silver, was refuted by the perfect alibi of the said Richards : on that day he was attending the trade union conference in Hull. )"," ( Zdá se, že k tomu valnou měrou přispěly i anglické odbory, které kolem Novského zatčení spustily v evropském tisku veliký pokřik a popřely jako zcela nepodložená a nesmyslná některá obvinění, která se tou dobou objevila v oficiálním tisku : berlínská schůzka s jistým Richardsem, který údajně podplatil Novského třiceti stříbrnými jako Jidáše, byla dementována jednoznačným alibi samého Richardse : byl toho dne na odborové schůzi v Hullu. )"
"appeared","appear","objevila","objevit","pf"," ( British trade unions contributed greatly to this, by making a loud noise in the European press about Novsky 's arrest and by denouncing as entirely unfounded and absurd accusations that appeared in the official press : the rendezvous in Berlin with a certain Richards, who had allegedly bribed Novsky, like Judas, with thirty pieces of silver, was refuted by the perfect alibi of the said Richards : on that day he was attending the trade union conference in Hull. )"," ( Zdá se, že k tomu valnou měrou přispěly i anglické odbory, které kolem Novského zatčení spustily v evropském tisku veliký pokřik a popřely jako zcela nepodložená a nesmyslná některá obvinění, která se tou dobou objevila v oficiálním tisku : berlínská schůzka s jistým Richardsem, který údajně podplatil Novského třiceti stříbrnými jako Jidáše, byla dementována jednoznačným alibi samého Richardse : byl toho dne na odborové schůzi v Hullu. )"
"repeat","repeat","zopakuje","zopakovat","pf"," With his typical pragmatism and wit, he decided that the simplest and most efficient way to do so ( for now ) would be to repeat the dedication that appeared in his book twelve years ago, as a symbol of the consistency of his views, and thereby silence the malicious."," A se sobě vlastním pragmatismem si umínil zhustit svoje nové poznatky ( zatím ) tím nejjednodušším a nejúčinnějším způsobem : zopakuje věnování, jež vepsal do své knihy před dvanácti lety, zopakuje je na znamení setrvalosti svých názorů, a zavře tak ústa zlomyslníkům."
