"take","take","Udělám","udělat","pf"," I take a few more steps but I can feel their stony stare on my back, my legs arc growing heavy, and I come to a halt."," Udělám ještě několik kroků, ale cítím jejich kamenný pohled v zádech, nohy mi ztěžknou, až zůstanu stát."
"come","come","Udělám","udělat","pf"," I take a few more steps but I can feel their stony stare on my back, my legs arc growing heavy, and I come to a halt."," Udělám ještě několik kroků, ale cítím jejich kamenný pohled v zádech, nohy mi ztěžknou, až zůstanu stát."
"feel","feel","cítím","cítit","impf"," I take a few more steps but I can feel their stony stare on my back, my legs arc growing heavy, and I come to a halt."," Udělám ještě několik kroků, ale cítím jejich kamenný pohled v zádech, nohy mi ztěžknou, až zůstanu stát."
"going","go","nejdu","jít","impf"," I am not going back and I am not going forward, I am standing in a void, I am standing between two fields, at the meeting point of two calls which intersect each other, I am nailed to the cross, how can I move?"," Nevracím se ani nejdu dál, stojím v prázdnu, stojím mezi dvěma poli, v průsečíku dvou volání, která se kříží, jsem přibit na kříž, jak se mám pohnout?"
"going","go","nejdu","jít","impf"," I am not going back and I am not going forward, I am standing in a void, I am standing between two fields, at the meeting point of two calls which intersect each other, I am nailed to the cross, how can I move?"," Nevracím se ani nejdu dál, stojím v prázdnu, stojím mezi dvěma poli, v průsečíku dvou volání, která se kříží, jsem přibit na kříž, jak se mám pohnout?"
"standing","stand","mám","mít","impf"," I am not going back and I am not going forward, I am standing in a void, I am standing between two fields, at the meeting point of two calls which intersect each other, I am nailed to the cross, how can I move?"," Nevracím se ani nejdu dál, stojím v prázdnu, stojím mezi dvěma poli, v průsečíku dvou volání, která se kříží, jsem přibit na kříž, jak se mám pohnout?"
"standing","stand","mám","mít","impf"," I am not going back and I am not going forward, I am standing in a void, I am standing between two fields, at the meeting point of two calls which intersect each other, I am nailed to the cross, how can I move?"," Nevracím se ani nejdu dál, stojím v prázdnu, stojím mezi dvěma poli, v průsečíku dvou volání, která se kříží, jsem přibit na kříž, jak se mám pohnout?"
"move","move","pohnout","pohnout","pf"," I am not going back and I am not going forward, I am standing in a void, I am standing between two fields, at the meeting point of two calls which intersect each other, I am nailed to the cross, how can I move?"," Nevracím se ani nejdu dál, stojím v prázdnu, stojím mezi dvěma poli, v průsečíku dvou volání, která se kříží, jsem přibit na kříž, jak se mám pohnout?"
"drove","drive","vezl","vézt","impf"," It was her husband who drove my lover out to the private view of her exhibition."," Na vernisáž vezl moji milou její muž."
"suggested","suggest","Navrhl","navrhnout","pf"," I suggested to her that I stay at home that day, I ’ d seen her work anyway."," Navrhl jsem, že zůstanu ten den doma, přece její práce znám."
"stay","stay","zůstanu","zůstat","pf"," I suggested to her that I stay at home that day, I ’ d seen her work anyway."," Navrhl jsem, že zůstanu ten den doma, přece její práce znám."
"want","want","Přála","přát","impf"," But she didn ’ t want me to leave her at such a moment."," Přála si však, abych ji právě v takové chvíli neopouštěl."
"leave","leave","neopouštěl","opouštět","impf"," But she didn ’ t want me to leave her at such a moment."," Přála si však, abych ji právě v takové chvíli neopouštěl."
"wants","want","přeje","přát","impf"," I see her every other day, that ’ s what she wants."," Chodívám za ní obden, přeje si to."
"gaze","gaze","hledí","hledět","impf"," A new figure would gaze at me out of stone or clay eyes, and in its gaze I ’ d recognise a familiar passion."," Nová postava na mě hledí kamenným anebo hliněným okem, v jejím pohledu nacházím známou náruživost."
"stored","store","uchovaly","uchovat","pf"," We would play together, and his friendship enabled me to penetrate into the hidden parts of the tavern, such as the cellar where, even at the height of summer, huge shimmering blocks of ice were stored, as well as gigantic beer barrels - at least they seemed gigantic to me then - or into the stables, whose walls, even though the horses had been replaced by a black Praga car, still reeked of horse urine and where a large number of cats of varied ages and colours had made their home."," Hrávali jsme si spolu, považoval jsem si jeho přátelství, neboť mi otevíralo vstup i do skrytých prostor hostince, do sklepení, v němž i v nejparnějším létě se uchovaly rozměrné a bělostné kostky ledu i obrovité, jak mi aspoň připadalo, pivní sudy, do stájí, v nichž sice už namísto koní stála černá pragovka, ale kde stěny dosud páchly močí a kde sídlilo množství koček nejrůznějšího stáří i barev."
