"want","want","Chci","chtít","impf"," "" I want him to take me seriously."," "" Chci, aby mě bral vážně."
"take","take","bral","brát","impf"," "" I want him to take me seriously."," "" Chci, aby mě bral vážně."
"concentrating","concentrate","soustředí","soustředit","pf"," When a man is concentrating on catching a bad guy, he 's not going to be interested in romance."," Když se muž soustředí na pronásledování lotra, milostné pletky ho nezajímají."
"comes","come","dojde","dojít","pf"," That comes later."," Na ty dojde později."
"hope","hope","Doufejme","doufat","impf"," I hope. """," Doufejme. """
"wants","want","netouží","toužit","impf"," "" That 's what she wants more than anything else."," Vím, že po ničem jiném tolik netouží."
"worry","worry","Neboj","bát","impf"," Do n't worry, once she 's back here, I 'll take charge of that department."," Neboj, jestli se vrátí, budu na oddělení osobně dohlížet."
"control","control","kontrolovat","kontrolovat","impf"," She can have her fancy title, but I 'll control her and the interaction with those two well-heeled clients. """," Ať se pyšní důležitě znějícím titulem, ale já budu kontrolovat její činnost i styk s oběma zazobanými klienty. """
"think","think","přemýšlet","přemýšlet","impf"," "" I need to think for a m-minute. """," "" N - nech mě minutku přemýšlet. """
"kept","keep","Mám","mít","impf"," "" I kept my eyes open. """," "" Mám oči dokořán. """
"paid","pay","platit","platit","impf"," It was obvious to anyone who cared to look that there was no way Martin Belvedere could possibly have made the overhead and paid the excellent salaries here at the center with the funding he got for the routine sleep research projects."," Každému, kdo se o to jen trochu zajímal, muselo být zřejmé, že tvůj otec zaručeně nemohl udržet ústav v chodu a navíc tak dobře platit svým zaměstnancům jenom z peněz, které získával na běžné výzkumné projekty."
"got","get","získával","získávat","impf"," It was obvious to anyone who cared to look that there was no way Martin Belvedere could possibly have made the overhead and paid the excellent salaries here at the center with the funding he got for the routine sleep research projects."," Každému, kdo se o to jen trochu zajímal, muselo být zřejmé, že tvůj otec zaručeně nemohl udržet ústav v chodu a navíc tak dobře platit svým zaměstnancům jenom z peněz, které získával na běžné výzkumné projekty."
"took","take","Zabralo","zabrat","pf"," "" It took a lot of time and some very creative work to follow the money trail, but there 's no doubt in my mind that what I just told you is the truth."," "" Zabralo mi to hodně času a musel jsem vynaložit značný důvtip, abych vystopoval tok peněz, nicméně nyní nemám sebemenší pochybnosti o tom, že nález, který jsem vám sdělil, odpovídá pravdě."
"told","tell","sdělil","sdělit","pf"," "" It took a lot of time and some very creative work to follow the money trail, but there 's no doubt in my mind that what I just told you is the truth."," "" Zabralo mi to hodně času a musel jsem vynaložit značný důvtip, abych vystopoval tok peněz, nicméně nyní nemám sebemenší pochybnosti o tom, že nález, který jsem vám sdělil, odpovídá pravdě."
"see","see","Chápu","chápat","impf"," I can see this comes as something of a surprise. """," Chápu ovšem, že je to pro vás překvapení. """
"Give","give","Dejte","dát","pf"," Give me that file. """," Dejte mi ty papíry! """
"handed","hand","podal","podat","pf"," Webber handed it to him."," Webber mu je podal."
"dig","dig","pochopil","pochopit","pf"," I had to dig deep to understand it. """," Musel jsem jít hodně do hloubky, abych ji pochopil. """
"understand","understand","pochopil","pochopit","pf"," I had to dig deep to understand it. """," Musel jsem jít hodně do hloubky, abych ji pochopil. """
"dream","dream","nezdají","zdát","impf"," Why ca n't I dream the way I did before? """," Tak proč se mi nezdají stejné sny jako dřív? """
"shook","shake","třásla","třást","impf"," The pistol in his hand shook ominously."," Ruka s pistolí se mu nebezpečně třásla."
"supposed","suppose","předpokládá","předpokládat","impf"," "" She 's a Level Five. She 's supposed to be able to deal with a few bad dreams. """," "" U pětky se automaticky předpokládá, že se dokáže se zlými sny vyrovnat. """
"think","think","myslet","myslet","impf"," I think she 's right about you, Lawson."," Začínám si myslet, že tě odhadla správně."
"smiled","smile","usmál","usmát","pf"," Ellis smiled to himself."," Ellis se sám pro sebe usmál."
"going","go","Půjdu","jít","impf"," "" I 'm going to talk to Farrell right now and let him know that I 'm resigning."," "" Půjdu rovnou za Farrellem a oznámím mu, že končím."
"holding","hold","měl","mít","impf"," Randolph Belvedere felt as if he had just found out he might be holding a winning lottery ticket."," Randolph Belvedere měl pocit, jako by právě zjistil, že je majitelem losu, na který připadla hlavní výhra."
"found","find","zjistil","zjistit","pf"," Randolph Belvedere felt as if he had just found out he might be holding a winning lottery ticket."," Randolph Belvedere měl pocit, jako by právě zjistil, že je majitelem losu, na který připadla hlavní výhra."
"going","go","půjdu","jít","impf"," "" I 'm not sure I 'm going to go in to work today, "" she said stiffly."," "" Nejsem si jistá, jestli dnes půjdu do práce, "" odsekla."
"go","go","půjdu","jít","impf"," "" I 'm not sure I 'm going to go in to work today, "" she said stiffly."," "" Nejsem si jistá, jestli dnes půjdu do práce, "" odsekla."
"work","work","půjdu","jít","impf"," "" I 'm not sure I 'm going to go in to work today, "" she said stiffly."," "" Nejsem si jistá, jestli dnes půjdu do práce, "" odsekla."
"saw","see","uviděla","uvidět","pf"," Walked into a furniture showroom one afternoon, saw the pieces and I just had to have them."," Jednoho dne jsem vešla do obchodu, uviděla ho a prostě ho musela mít."
"see","see","neviděla","vidět","impf"," The fog was so thick now that Amelia could no longer see the parking lot beyond the chain-link fence."," Mlha byla tak hustá, že Amelia přes ni neviděla ani na parkoviště za drátěným plotem."
"set","set","zapadlo","zapadnout","pf"," The heavy, gray mist was eating up the daylight before the sun had even set."," Šedivá deka pohltila denní světlo ještě dřív, než zapadlo slunce."
"counted","count","nepočítala","počítat","impf"," She had n't counted on the weather being such a major issue tonight."," S tak nepříznivým počasím nepočítala."
"thought","think","neměla","mít","impf"," But it was n't like she 'd had a lot of choice, she thought angrily."," Ale stejně jsem neměla na vybranou, zuřila v duchu."
"got","get","získá","získat","pf"," She knew enough about the facility to realize that if she got it, she would also get a second Level Five. """," Měla dost informací o zaměstnancích, aby mohla předpokládat, že když se ho zmocní, získá i další pětku. """
"get","get","získá","získat","pf"," She knew enough about the facility to realize that if she got it, she would also get a second Level Five. """," Měla dost informací o zaměstnancích, aby mohla předpokládat, že když se ho zmocní, získá i další pětku. """
"realized","realize","uvědomil","uvědomit","pf"," But he suddenly realized he did not want to be an experiment for her. He did not want to be used as an experience meant to satisfy her curiosity about what it would be like to have sex with another Level Five."," Řítil se po horské dráze stále rychleji a blížil se k nebezpečné zatáčce, ale náhle si uvědomil, že pro ni nechce být pokusnou osobou, s níž by ukojila svou zvědavost a dozvěděla se, jaké to je, milovat se s jiným oneironautem."
"want","want","nechce","chtít","impf"," But he suddenly realized he did not want to be an experiment for her. He did not want to be used as an experience meant to satisfy her curiosity about what it would be like to have sex with another Level Five."," Řítil se po horské dráze stále rychleji a blížil se k nebezpečné zatáčce, ale náhle si uvědomil, že pro ni nechce být pokusnou osobou, s níž by ukojila svou zvědavost a dozvěděla se, jaké to je, milovat se s jiným oneironautem."
"want","want","nechce","chtít","impf"," But he suddenly realized he did not want to be an experiment for her. He did not want to be used as an experience meant to satisfy her curiosity about what it would be like to have sex with another Level Five."," Řítil se po horské dráze stále rychleji a blížil se k nebezpečné zatáčce, ale náhle si uvědomil, že pro ni nechce být pokusnou osobou, s níž by ukojila svou zvědavost a dozvěděla se, jaké to je, milovat se s jiným oneironautem."
"meant","mean","nechce","chtít","impf"," But he suddenly realized he did not want to be an experiment for her. He did not want to be used as an experience meant to satisfy her curiosity about what it would be like to have sex with another Level Five."," Řítil se po horské dráze stále rychleji a blížil se k nebezpečné zatáčce, ale náhle si uvědomil, že pro ni nechce být pokusnou osobou, s níž by ukojila svou zvědavost a dozvěděla se, jaké to je, milovat se s jiným oneironautem."
"raised","raise","zvedl","zvednout","pf"," Reluctantly he raised his head and eased her away from him."," S přemáháním zvedl hlavu a Isabel od sebe zlehka odstrčil."
"kissed","kiss","Políbil","políbit","pf"," He kissed the tip of her nose."," Políbil ji na nos."
"Call","call","Zavolej","zavolat","pf"," "" Call me if you get anything I can use. """," "" Zavolej, kdybys narazil na něco užitečného. """
