"spread","spread","šířily","šířit","impf"," Gypsy groups spread them far and wide throughout the nineteenth century."," Cikánské kapely je šířily v devatenáctém století po celých Uhrách."
"turned","turn","obrátil","obrátit","pf"," Then the old man turned to the bride 's mother and called out to her in a doleful voice :"," Potom se starý muž obrátil k nevěstině matce a zavolal plačtivým hlasem :"
"called","call","zavolal","zavolat","pf"," Then the old man turned to the bride 's mother and called out to her in a doleful voice :"," Potom se starý muž obrátil k nevěstině matce a zavolal plačtivým hlasem :"
"continued","continue","pokračoval","pokračovat","impf"," The old man continued :"," Starý muž pokračoval :"
"took","take","udělal","udělat","pf"," He turned around and took a few steps in the direction of our table."," Obrátil se tedy zase znovu do sálu a udělal několik kroků směrem k našemu stolu."
"want","want","Přál","přát","impf"," "" Did you want anything? "" he asked, still fifteen or twenty feet away."," "" Přál jste si? "" řekl, když byl asi pět metrů od nás."
"said","say","řekl","říci","pf"," "" We 'd like to have lunch, "" I said."," "" Rádi bychom obědvali, "" řekl jsem."
"replied","reply","odvětil","odvětit","pf"," "" No food until twelve, "" he replied, heading for the kitchen."," "" Až ve dvanáct, "" odvětil a zase se obrátil, aby odešel do kuchyně."
"turned","turn","Otočil","otočit","pf"," He turned around again."," Otočil se."
"climbed","climb","stoupali","stoupat","impf"," We went in one of the doors and climbed a narrow staircase ( the elevator was out of order ) to the fourth floor, where I saw Kostka 's card."," Vešli jsme do jedněch dveří, stoupali po úzkém schodišti ( výtah nefungoval ) a zastavili se až ve třetím poschodí, kde jsem uviděl na vizitce Kostkovo jméno."
"went","go","nefungoval","fungovat","impf"," We went in one of the doors and climbed a narrow staircase ( the elevator was out of order ) to the fourth floor, where I saw Kostka 's card."," Vešli jsme do jedněch dveří, stoupali po úzkém schodišti ( výtah nefungoval ) a zastavili se až ve třetím poschodí, kde jsem uviděl na vizitce Kostkovo jméno."
"saw","see","uviděl","uvidět","pf"," We went in one of the doors and climbed a narrow staircase ( the elevator was out of order ) to the fourth floor, where I saw Kostka 's card."," Vešli jsme do jedněch dveří, stoupali po úzkém schodišti ( výtah nefungoval ) a zastavili se až ve třetím poschodí, kde jsem uviděl na vizitce Kostkovo jméno."
"praised","praise","Pochválil","pochválit","pf"," I praised the setup and asked about the bathroom."," Pochválil jsem Kostkovi pokoj a ptal jsem se, jakou má koupelnu."
"remains","remain","zůstává","zůstávat","impf"," Traveling back and forth does cost time and money, but my solitude remains intact and I am free. """," Projezdím sice něco peněz a něco času, ale moje samota zůstává nedotčena a já jsem svobodný. """
"replied","reply","odpověděl","odpovědět","pf"," "" I 'm a skirt chaser, "" I replied."," "" Jsem děvkař, "" odpověděl jsem."
"need","need","Nepotřebuji","potřebovat","impf"," "" I do n't need freedom for women, I need it for myself, "" he said, and went on :"," "" Nepotřebuji svobodu kvůli ženám, chci ji sám pro sebe, "" řekl a pokračoval :"
"need","need","Nepotřebuji","potřebovat","impf"," "" I do n't need freedom for women, I need it for myself, "" he said, and went on :"," "" Nepotřebuji svobodu kvůli ženám, chci ji sám pro sebe, "" řekl a pokračoval :"
"said","say","řekl","říci","pf"," "" I do n't need freedom for women, I need it for myself, "" he said, and went on :"," "" Nepotřebuji svobodu kvůli ženám, chci ji sám pro sebe, "" řekl a pokračoval :"
"went","go","pokračoval","pokračovat","impf"," "" I do n't need freedom for women, I need it for myself, "" he said, and went on :"," "" Nepotřebuji svobodu kvůli ženám, chci ji sám pro sebe, "" řekl a pokračoval :"
"say","say","říci","říci","pf"," I do not say that my attitude towards her had become coarse or superficial or that it had lost its tenderness."," Tím nechci říci, že můj vztah k ní zesurověl, zploštěl, že ztratil na něze."
