"killing","kill","zabíjel","zabíjet","impf"," Martin Vanger had been killing women since the ' 60s, during the past fifteen years one or two victims per year."," Martin Vanger zabíjel ženy od šedesátých let, posledních patnáct let s pravidelností jedné nebo dvou obětí za rok."
"took","take","vzal","vzít","pf"," Mikael took the magnifying glass and tried to make out the details."," Mikael si vzal lupu a pokoušel se rozeznat detaily."
"tried","try","pokoušel","pokoušet","impf"," Mikael took the magnifying glass and tried to make out the details."," Mikael si vzal lupu a pokoušel se rozeznat detaily."
"found","find","našla","najít","pf"," Most fascinating of all : a two-year-old background article – "" With two empty hands "" – about Hans-Erik Wennerström, which she found in the online edition of MONOPOLY FINANCIAL MAGAZINE."," A nejvíce fascinující byl asi dva roky starý článek - Jen se dvěma holýma rukama - o Hansi - Erikovi Wennerströmovi, který našla ve Finančním magazínu Monopol."
"began","begin","začal","začít","pf"," It seemed that he began his career in the very same Vanger Corporation in the late ' 60s."," Článek oznamoval, že Wennerström začal svůj aufmarch na konci šedesátých let právě v koncernu Vanger."
"related","relate","souvisejí","souviset","impf"," You did n't have to be a rocket scientist to see that these events were somehow related."," Člověk nepotřeboval mimořádnou inteligenci k tomu, aby došel k závěru, že tyto události spolu nějak souvisejí."
"loved","love","milovala","milovat","impf"," There had to be a skeleton in one of their cupboards, and Salander loved hunting skeletons."," Někde musí být zakopaný pes a Lisbeth Salanderová vykopávání zakopaných psů přímo milovala."
"slept","sleep","spal","spát","impf"," While he slept, Salander had gone back to Martin Vanger 's basement to examine and photograph the crime scene."," Zatímco Mikael spal, vrátila se do sklepa Martina Vangera prozkoumat místo činu."
"examine","examine","prozkoumat","prozkoumat","pf"," While he slept, Salander had gone back to Martin Vanger 's basement to examine and photograph the crime scene."," Zatímco Mikael spal, vrátila se do sklepa Martina Vangera prozkoumat místo činu."
"found","find","našla","najít","pf"," In addition to the torture instruments, she had found a collection of violent pornographic magazines and a large number of Polaroid photographs pasted into albums."," Kromě mučících nástrojů našla velkou sbírku časopisů s násilnou pornografií a spoustu snímků z polaroidu nalepených do alba."
"find","find","Objevila","objevit","pf"," On the other hand, she did find two A4 binders with passport photographs and handwritten notes about the women."," Objevila však dvoje desky formátu A4 s pasovými fotografiemi a ručně psanými poznámkami o ženách."
"found","find","našla","najít","pf"," She put the binders in a nylon bag along with Martin 's Dell laptop, which she found on the hall table upstairs."," Desky vzala s sebou do nylonové tašky, stejně tak Martinův laptop Dell PC, který našla na stole v hale o patro výš."
