"do","do","nedělají","dělat","impf"," But they do n't do any harm."," Ale to nevadí, nic zlého nedělají."
"do","do","nedělají","dělat","impf"," But they do n't do any harm."," Ale to nevadí, nic zlého nedělají."
"whispered","whisper","zašeptala","zašeptat","pf"," ' Th ... th ... they play ninepins with their HEADS? whispered Annika."," "" Ku ... ku ... kuželky vlastními hlavami? "" zašeptala Anika."
"Come","come","Pojďme","jít","impf"," ' Come on, let 's go up and talk to them."," "" Pojďme si s nimi popovídat."
"go","go","Pojďme","jít","impf"," ' Come on, let 's go up and talk to them."," "" Pojďme si s nimi popovídat."
"walking","walk","chodím","chodit","impf"," ' Why am I walking backwards? ' said Pippi."," "" Proč chodím pozadu? "" řekla Pipi."
"said","say","řekla","říci","pf"," ' Why am I walking backwards? ' said Pippi."," "" Proč chodím pozadu? "" řekla Pipi."
"walks","walk","chodí","chodit","impf"," Why, let me tell you that in Egypt EVERYONE walks that way, and no one thinks it the least bit odd. '"," V Egyptě takhle chodí každý a nikoho ani nenapadne se tomu divit. """
"asked","ask","zeptal","zeptat","pf"," ' How do you know that? ' asked Tommy."," "" Jak to víš? "" zeptal se Tomy."
"went","go","šla","jít","impf"," Pippi went first."," Pipi šla první."
"opened","open","Otevřela","otevřít","pf"," She opened the door to the attic."," Otevřela dveře ke schodům, které vedly na půdu."
"held","hold","držel","držet","impf"," Tommy held on tightly to Pippi, and Annika held on even more tightly to Tommy."," Tomy se držel Pipi pevně za ruku a Anika se ještě pevněji držela Tomyho."
"held","hold","držel","držet","impf"," Tommy held on tightly to Pippi, and Annika held on even more tightly to Tommy."," Tomy se držel Pipi pevně za ruku a Anika se ještě pevněji držela Tomyho."
"held","hold","držela","držet","impf"," Tommy held on tightly to Pippi, and Annika held on even more tightly to Tommy."," Tomy se držel Pipi pevně za ruku a Anika se ještě pevněji držela Tomyho."
"held","hold","držela","držet","impf"," Tommy held on tightly to Pippi, and Annika held on even more tightly to Tommy."," Tomy se držel Pipi pevně za ruku a Anika se ještě pevněji držela Tomyho."
"allowed","allow","Smí","smět","impf"," ' Are horses allowed in the stintitution? ' wondered Pippi."," "" Smí se v tom domově mít koně? "" zeptala se Pipi."
"said","say","řekl","říci","pf"," ' No, of course not, ' said the policeman."," "" Ovšemže ne, "" řekl policista."
"thought","think","myslet","myslet","impf"," I thought as much, ' said Pippi gloomily."," "" To jsem si mohla myslet, "" zasmušila se Pipi."
"hugged","hug","objímat","objímat","impf"," With this thought the children became so happy they all three hugged one another."," Děti měly z toho nápadu takovou radost, že se začaly navzájem objímat."
"heard","hear","uslyšely","uslyšet","pf"," Then they heard the gong-gonging which rang before dinner at Tommy and Annika 's home."," Vtom uslyšely gong, kterým Tomíkova a Aničina maminka svolávala rodinu k večeři."
"said","say","řekl","říci","pf"," ' How awful, ' said Tommy."," "" To je hloupé, "" řekl Tomy."
"come","come","přijdeme","přijít","pf"," But we 'll come here tomorrow, as soon as we get home from school. '"," Ale zítra přijdeme hned po škole. """
"get","get","přijdeme","přijít","pf"," But we 'll come here tomorrow, as soon as we get home from school. '"," Ale zítra přijdeme hned po škole. """
"said","say","řekla","říci","pf"," ' Do, ' said Pippi."," "" Přijďte, "" řekla Pipi."
"climbed","climb","Vylezli","vylézt","pf"," So they climbed up the ladder, first Pippi, then Annika, and Tommy after."," Vylezli po žebříku nahoru, nejdřív Pipi, za ní lezla Anika a jako poslední Tomy."
"climbed","climb","lezla","lézt","impf"," So they climbed up the ladder, first Pippi, then Annika, and Tommy after."," Vylezli po žebříku nahoru, nejdřív Pipi, za ní lezla Anika a jako poslední Tomy."
