"seen","see","Spatřili","spatřit","pf"," The two schooners, under all sail and joined by a third, could be seen making back."," Spatřili oba škunery, vracející se s plnými plachtami a doprovázené třetím."
"induced","induce","přiměla","přimět","pf"," A veer in the wind induced them to slack off sheets, and five minutes afterward a sudden veer from the opposite quarter caught all three schooners aback, and those on shore could see the boom-tackles being slacked away or cast off on the jump."," Změna ve směru větru je přiměla povolit plachetní lana a o pět minut později další náhlý obrat z opačné strany zvrátil všem třem škunerům plachty a muži na pevnině mohli pozorovat, jak se lanoví na vratipních prudkým nárazem větru uvolnilo či vyvázalo."
"caught","catch","pozorovat","pozorovat","impf"," A veer in the wind induced them to slack off sheets, and five minutes afterward a sudden veer from the opposite quarter caught all three schooners aback, and those on shore could see the boom-tackles being slacked away or cast off on the jump."," Změna ve směru větru je přiměla povolit plachetní lana a o pět minut později další náhlý obrat z opačné strany zvrátil všem třem škunerům plachty a muži na pevnině mohli pozorovat, jak se lanoví na vratipních prudkým nárazem větru uvolnilo či vyvázalo."
"see","see","pozorovat","pozorovat","impf"," A veer in the wind induced them to slack off sheets, and five minutes afterward a sudden veer from the opposite quarter caught all three schooners aback, and those on shore could see the boom-tackles being slacked away or cast off on the jump."," Změna ve směru větru je přiměla povolit plachetní lana a o pět minut později další náhlý obrat z opačné strany zvrátil všem třem škunerům plachty a muži na pevnině mohli pozorovat, jak se lanoví na vratipních prudkým nárazem větru uvolnilo či vyvázalo."
"slack","slack","uvolnilo","uvolnit","pf"," A veer in the wind induced them to slack off sheets, and five minutes afterward a sudden veer from the opposite quarter caught all three schooners aback, and those on shore could see the boom-tackles being slacked away or cast off on the jump."," Změna ve směru větru je přiměla povolit plachetní lana a o pět minut později další náhlý obrat z opačné strany zvrátil všem třem škunerům plachty a muži na pevnině mohli pozorovat, jak se lanoví na vratipních prudkým nárazem větru uvolnilo či vyvázalo."
"slacked","slack","uvolnilo","uvolnit","pf"," A veer in the wind induced them to slack off sheets, and five minutes afterward a sudden veer from the opposite quarter caught all three schooners aback, and those on shore could see the boom-tackles being slacked away or cast off on the jump."," Změna ve směru větru je přiměla povolit plachetní lana a o pět minut později další náhlý obrat z opačné strany zvrátil všem třem škunerům plachty a muži na pevnině mohli pozorovat, jak se lanoví na vratipních prudkým nárazem větru uvolnilo či vyvázalo."
"got","get","nezískal","získat","pf"," He need not worry any more, even if he had not got the pearl."," I když ji nezískal, mohl na ni alespoň přestat myslet."
"believe","believe","nevěřil","věřit","impf"," But he did not believe Huru-Huru."," Přesto Huru - Huruovi nevěřil."
"sold","sell","prodat","prodat","pf"," Mapuhi might well have sold it for fourteen hundred Chili, but that Levy, who knew pearls, should have paid twenty-five thousand francs was too wide a stretch."," Mapuhi ji za čtrnáct set chilských sice prodat mohl, ale aby za ni Levy, který se v perlách vyznal, vyplatil dvacet pět tisíc franků, to se mu zdálo příliš."
"paid","pay","vyplatil","vyplatit","pf"," Mapuhi might well have sold it for fourteen hundred Chili, but that Levy, who knew pearls, should have paid twenty-five thousand francs was too wide a stretch."," Mapuhi ji za čtrnáct set chilských sice prodat mohl, ale aby za ni Levy, který se v perlách vyznal, vyplatil dvacet pět tisíc franků, to se mu zdálo příliš."
"going","go","začaly","začít","pf"," Other trees were going, falling and crisscrossing like matches."," Povolovat začaly i další stromy, které padaly a skládaly se přes sebe jako sirky."
