"replayed","replay","přehrát","přehrát","pf"," If a measuring device is present at a scene of great mental stress — and at the right time in the cycle according to which the electrical disturbances created by the event pass by the spot again, then the whole scene might be replayed, albeit in decayed form ... ”"," Pokud do dějiště velkého duševního vypětí umístíme měřící zařízení ve správný okamžik cyklu, tedy ve chvíli, kdy elektrické poruchy tou událostí vyvolané opět kolem dotyčného místa probíhají, dá se celý výjev znovu přehrát, i když nepřesně ... """
"slow","slow","zpomalí","zpomalit","pf"," The hand-loops slow down, then stop, and the two men stand in silence for a while, the regular plash and scrape of Bodner ’ s paintbrush punctuating their thought."," Paže opisující kruhy zpomalí, zastaví se, oba muži chvilku tiše stojí a jejich myšlenky odměřuje pravidelné pleskání a škrabání Bodnerovy štětky."
"summoning","summon","přivolají","přivolat","pf"," The sparks have the effect of summoning back little round Giles, who ’ s kept his wings but traded his bow and quiver for a telegram boy ’ s cap."," Jiskry přivolají zpět malého tlouštíka Gilese, který si nechal křídla, ale luk a toulec vyměnil za čapku telegrafního poslíčka."
"kept","keep","nechal","nechat","pf"," The sparks have the effect of summoning back little round Giles, who ’ s kept his wings but traded his bow and quiver for a telegram boy ’ s cap."," Jiskry přivolají zpět malého tlouštíka Gilese, který si nechal křídla, ale luk a toulec vyměnil za čapku telegrafního poslíčka."
"traded","trade","vyměnil","vyměnit","pf"," The sparks have the effect of summoning back little round Giles, who ’ s kept his wings but traded his bow and quiver for a telegram boy ’ s cap."," Jiskry přivolají zpět malého tlouštíka Gilese, který si nechal křídla, ale luk a toulec vyměnil za čapku telegrafního poslíčka."
"asks","ask","zeptá","zeptat","pf"," “ Isn ’ t that Cupid? ” asks the second-or-third-row lady."," "" To není Amor? "" zeptá se ta dáma ve druhé či třetí řadě."
"watch","watch","sledují","sledovat","impf"," Their lids have been removed, and the women are peering inside to watch moths laying eggs."," Mají sundaná víka a ženy sledují, jak uvnitř motýli kladou vajíčka."
"laying","lay","kladou","klást","impf"," Their lids have been removed, and the women are peering inside to watch moths laying eggs."," Mají sundaná víka a ženy sledují, jak uvnitř motýli kladou vajíčka."
"started","start","začaly","začít","pf"," Shells have started falling too, machine guns chattering."," A teď už začaly dopadat i granáty a rozhovořily se kulomety."
"fly","fly","letěl","letět","impf"," he signals to Gibbs to fly towards it."," dá Gibbsovi znamení, aby letěl tím směrem."
"turned","turn","otočí","otočit","pf"," by the time they ’ ve turned around and made their second, there ’ s so much smoke around that none of the sky ’ s luminescence makes its way down to the mirrors and back up to Serge;"," když se otočí a letí podruhé, je už všude tolik kouře, že se skrz něj k zrcátkům a zase zpátky k Sergeovi neprodere ani troška slunečního světla;"
"see","see","nevidí","vidět","impf"," by the third he can ’ t even see the men."," při třetím průletu Serge nevidí už ani vojáky."
"explain","explain","objasní","objasnit","pf"," the chorus explain that this is Cyan, and that her lake is an agglomeration of other bodies of water known as"," chór objasní, že je to Kyané a její říší jsou"
"lying","lie","leží","ležet","impf"," This is Sophie ’ s cue to uncork one of the test tubes lying at her feet and pour its contents into a large conical flask resting beside it."," Na tuhle narážku Sophie odzátkuje jednu ze zkumavek, které jí leží u nohou, a nalije její obsah do veliké kónické baňky hned vedle."
"resting","rest","leží","ležet","impf"," This is Sophie ’ s cue to uncork one of the test tubes lying at her feet and pour its contents into a large conical flask resting beside it."," Na tuhle narážku Sophie odzátkuje jednu ze zkumavek, které jí leží u nohou, a nalije její obsah do veliké kónické baňky hned vedle."
"pour","pour","nalije","nalít","pf"," This is Sophie ’ s cue to uncork one of the test tubes lying at her feet and pour its contents into a large conical flask resting beside it."," Na tuhle narážku Sophie odzátkuje jednu ze zkumavek, které jí leží u nohou, a nalije její obsah do veliké kónické baňky hned vedle."
"wondering","wonder","uvažuje","uvažovat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","uvažuje","uvažovat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","uvažuje","uvažovat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","domnívají","domnívat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","domnívají","domnívat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"want","want","chtějí","chtít","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","považován","považovat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"think","think","považován","považovat","impf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"sent","send","vyslán","vyslat","pf"," After wondering for half an hour or so what Pacorie and Alby are really on this expedition for, or what their respective agencies think the other might be here for, or want the rival agency to think that they themselves are here for, it strikes him that he should be asking that same question of himself : why has he really been sent, through endless counterflows of animated sediment, to Sedment?"," Když už asi půl hodiny uvažuje, proč tu Alby a Pacorie doopravdy jsou, případně proč se jejich úřady domnívají, že by tu mohl být ten druhý, či za co ty soupeřící úřady chtějí, aby byl jejich agent tím druhým považován, bleskne mu hlavou, že oni si možná kladou stejné otázky o něm : proč byl nekonečným protiproudem pohyblivých sedimentů vyslán do Sedmentu?"
"repeat","repeat","opakují","opakovat","impf"," Like time itself, he ’ s flattening, turning into carbon paper : the black smear between the sheets, the surface through which things repeat, CC themselves, but that will itself always remain black, and blank."," A jako čas sám se i on zplošťuje a mění v uhlový papír, v černou skvrnu mezi stránkami, v povrch, skrze který se opakují věci, v samotnou kopii, ale v takovou, která navždy zůstane černá a prázdná."
"remain","remain","zůstane","zůstat","pf"," Like time itself, he ’ s flattening, turning into carbon paper : the black smear between the sheets, the surface through which things repeat, CC themselves, but that will itself always remain black, and blank."," A jako čas sám se i on zplošťuje a mění v uhlový papír, v černou skvrnu mezi stránkami, v povrch, skrze který se opakují věci, v samotnou kopii, ale v takovou, která navždy zůstane černá a prázdná."
"begins","begin","začne","začít","pf"," “ Emma, ” Tilly begins."," "" Ema, "" začne Tilly."
"finishes","finish","dokončí","dokončit","pf"," “ Emma-nations, ” Tilly finishes the word with difficulty."," "" Emanace, "" dokončí Tilly s námahou."
"says","say","říká","říkat","impf"," “ Raifle says things rise up, atoms rising, and consol, consolidate when they get up here."," "" Ralph říká, že všechny věci stoupají, atomy stoupají a unifik, unifikují se."
"rise","rise","stoupají","stoupat","impf"," “ Raifle says things rise up, atoms rising, and consol, consolidate when they get up here."," "" Ralph říká, že všechny věci stoupají, atomy stoupají a unifik, unifikují se."
"rising","rise","stoupají","stoupat","impf"," “ Raifle says things rise up, atoms rising, and consol, consolidate when they get up here."," "" Ralph říká, že všechny věci stoupají, atomy stoupají a unifik, unifikují se."
"rise","rise","stoupají","stoupat","impf"," “ Raifle says things rise up, atoms rising, and consol, consolidate when they get up here."," "" Ralph říká, že všechny věci stoupají, atomy stoupají a unifik, unifikují se."
"rising","rise","stoupají","stoupat","impf"," “ Raifle says things rise up, atoms rising, and consol, consolidate when they get up here."," "" Ralph říká, že všechny věci stoupají, atomy stoupají a unifik, unifikují se."
"collect","collect","sbíráme","sbírat","impf"," We collect them, and make them solid again."," My je sbíráme a zase z nich děláme pevnou hmotu."
"make","make","děláme","dělat","impf"," We collect them, and make them solid again."," My je sbíráme a zase z nich děláme pevnou hmotu."
"asks","ask","zeptá","zeptat","pf"," “ Painful? ” Learmont asks her when it ’ s over."," "" Bolí? "" zeptá se Learmont, když je po všem."
"poisoned","poison","otrávil","otrávit","pf"," “ It is as though I had been poisoned, ” she replies."," "" Jako kdyby mě někdo otrávil, "" odpoví žena."
"replies","reply","odpoví","odpovědět","pf"," “ It is as though I had been poisoned, ” she replies."," "" Jako kdyby mě někdo otrávil, "" odpoví žena."
"turns","turn","Odvrátí","odvrátit","pf"," She turns her head away from him and gazes through the window at the sky."," Odvrátí se od něj a zadívá se oknem na nebe."
"taking","take","Brala","brát","impf"," “ Have you been taking any painkillers? ” he asks."," "" Brala jste si nějaké prášky proti bolesti? "" zeptá se lékař."
"asks","ask","zeptá","zeptat","pf"," “ Have you been taking any painkillers? ” he asks."," "" Brala jste si nějaké prášky proti bolesti? "" zeptá se lékař."
"repeats","repeat","Zopakuje","zopakovat","pf"," He repeats the question."," Zopakuje otázku."
"see","see","vidět","vidět","impf"," “ She has to see you speaking, ” the bedside maid tells him."," "" Musí na vás vidět, když mluvíte, "" vysvětluje komorná."
"speaking","speak","mluvíte","mluvit","impf"," “ She has to see you speaking, ” the bedside maid tells him."," "" Musí na vás vidět, když mluvíte, "" vysvětluje komorná."
"tells","tell","mluvíte","mluvit","impf"," “ She has to see you speaking, ” the bedside maid tells him."," "" Musí na vás vidět, když mluvíte, "" vysvětluje komorná."
"see","see","vidět","vidět","impf"," “ She has to see your lips move, sir."," "" Musí vidět, jak se vám hýbou rty."
"gathered","gather","shromáždil","shromáždit","pf"," He saw this coming, and has gathered all the sketches idly dawdled in Mrs. Fox ’ s Café into a large dossier which he now hands the certified disciplinarian."," Čekal to, takže všechny nákresy, které líně načmáral v kavárně paní Foxové, shromáždil do velkých desek, které nyní podává svému úředně stanovenému tyranovi."
"hands","hand","podává","podávat","impf"," He saw this coming, and has gathered all the sketches idly dawdled in Mrs. Fox ’ s Café into a large dossier which he now hands the certified disciplinarian."," Čekal to, takže všechny nákresy, které líně načmáral v kavárně paní Foxové, shromáždil do velkých desek, které nyní podává svému úředně stanovenému tyranovi."
"asks","ask","zeptá","zeptat","pf"," “ What are these of? ” Burnet asks."," "" Copak to je? "" zeptá se Burnet."
"runs","run","prochází","procházet","impf"," Serge ’ s mind runs through the taxonomy of edifice-types, grabbing at terms."," Serge v duchu spěšně prochází názvosloví typů budov a horečně pátrá po vhodných termínech."
"redeemed","redeem","vykoupena","vykoupit","pf"," “ ... in gratitude also that the soul of Sophie Annabel Carrefax has been reclaimed — redeemed, as one redeems a ticket or an object given out on loan — and done so, I ’ m quite certain, with great joy, by he who crafted it in the first place."," "" ... a také s vděkem za to, že duše Sophie Annabel Carrefaxové byla povolána zpět - byla vykoupena, vrácena, jako se vrací cosi vypůjčeného - a to s velkou radostí a tímže tvůrcem, který kdysi vytvořil i ji."
"redeems","redeem","vykoupena","vykoupit","pf"," “ ... in gratitude also that the soul of Sophie Annabel Carrefax has been reclaimed — redeemed, as one redeems a ticket or an object given out on loan — and done so, I ’ m quite certain, with great joy, by he who crafted it in the first place."," "" ... a také s vděkem za to, že duše Sophie Annabel Carrefaxové byla povolána zpět - byla vykoupena, vrácena, jako se vrací cosi vypůjčeného - a to s velkou radostí a tímže tvůrcem, který kdysi vytvořil i ji."
"consider","consider","uvážíme","uvážit","pf"," When we consider — ”"," Když uvážíme - """
"says","say","řekne","říci","pf"," “ Him, ” says Carrefax."," "" Týmž, "" řekne Carrefax."
"asks","ask","Prosím","prosit","impf"," “ I ’ m sorry? ” asks the vicar."," "" Prosím? "" opáčí vikář."
"mutters","mutter","zamumlá","zamumlat","pf"," He drains another glass, then mutters bitterly :"," Kopne do sebe další skleničku a trpce zamumlá :"
"asks","ask","zeptá","zeptat","pf"," “ What show? ” Serge asks."," "" Jaká výstava? "" zeptá se Serge."
"draw","draw","protahují","protahovat","impf"," Carrefax ’ s hands draw it out for as long as they can, all the while trembling from the effort."," Carrefaxovy ruce ji protahují, jak to jen jde, a celou dobu se chvějí námahou."
"dancing","dance","tančí","tančit","impf"," The poplars ’ leaves are dancing, but Serge can ’ t hear the rustle : the guns ’ noise is loud here — loud and precise, its tangled thunder now unravelled into distinct volleys and retorts."," Topolové lístky tančí ve větru, ale jejich šustění k Sergeovi nedoléhá : rachot děl je tu hlasitý a zřetelný, ten hřmící propletenec se najednou rozmotal do jasných přihrávek a odpalů."
"betrayed","betray","prozradí","prozradit","pf"," He looks down and, moving his eyes first in diagonals from corner to corner of his quadrant, then in smaller, darting cat ’ s cradles between landmarks, picks up the battery, secreted within a copse but nonetheless betrayed by the anachronistically autumnal patch of scorched and thinned-out leaves made by its discharges."," Zadívá se dolů, očima projíždí diagonálně od rohu do rohu svého čtverce, pak začne pohledem rejdit po kratších liniích jako po síti, mezi význačnými body v terénu nalezne baterii, která se skrývá v mlází, ale prozradí ji nepatřičně podzimní skvrna listí spáleného a prořídlého palbou."
"tell","tell","říct","říci","pf"," It could be Paul ’ s mother, but it ’ s hard to tell : the whole place is in uproar, women shrieking and men shouting, running around, grabbing hold of other men whom they suspect of being in on the act."," Možná je to Paulova matka, ale těžko říct : v sále panuje boží dopuštění, ženy vřískají, muži řvou, pobíhají sem tam a vrhají se na jiné muže, o kterých se domnívají, že se na komplotu podíleli."
"suspect","suspect","domnívají","domnívat","impf"," It could be Paul ’ s mother, but it ’ s hard to tell : the whole place is in uproar, women shrieking and men shouting, running around, grabbing hold of other men whom they suspect of being in on the act."," Možná je to Paulova matka, ale těžko říct : v sále panuje boží dopuštění, ženy vřískají, muži řvou, pobíhají sem tam a vrhají se na jiné muže, o kterých se domnívají, že se na komplotu podíleli."
"breaking","break","Strhne","strhnout","pf"," Fistfights are breaking out."," Strhne se pár prvních rvaček."
