"eat","eat","sníst","sníst","pf"," For, although we are likely to eat almost anything palatable on occasion, we have nevertheless limited the bulk of our feeding to a few major animal forms."," I když jsme příležitostně schopni sníst všechno co se dá, přece jenom jsme se omezili v rozsahu naší stravy na několik hlavních živočišných druhů."
"limited","limit","omezili","omezit","pf"," For, although we are likely to eat almost anything palatable on occasion, we have nevertheless limited the bulk of our feeding to a few major animal forms."," I když jsme příležitostně schopni sníst všechno co se dá, přece jenom jsme se omezili v rozsahu naší stravy na několik hlavních živočišných druhů."
"practised","practise","praktikuje","praktikovat","impf"," Domestication of livestock, involving, the organized control and selective breeding of prey, is known to have been practised for at least ten thousand years and, in certain cases, probably much longer."," Chov dobytka, zahrnující organizovanou kontrolu a výběrový chov kořisti, se praktikuje už nejméně po deset tisíc let a v některých případech ještě déle."
"indulge","indulge","libuje","libovat","impf"," Few, if any, of the millions of naked apes alive today indulge in the typical scattered feeding routine of the other primates."," Málokterá z miliónů nahých opic si libuje v typickém rozptýleném způsobu jídla, jak je běžné u ostatních primátů."
"eat","eat","jíme","jíst","impf"," Even in conditions of plenty, we rarely eat more than three, or at the very most four times a day."," I když máme všeho dostatek, zřídka jíme víckrát nežli třikrát nebo nanejvýš čtyřikrát denně."
"concerned","concern","zabývá","zabývat","impf"," Like the artist, he is concerned with exploration for exploration 's sake."," Stejně jako umělec zabývá se výzkumem pro výzkum samotný."
"holds","hold","zadržují","zadržovat","impf"," The latter holds us back, makes us take refuge in the familiar."," Ty druhé nás zadržují, nutí nás, abychom se konzervativně spoléhali jenom na věci známé."
"makes","make","nutí","nutit","impf"," The latter holds us back, makes us take refuge in the familiar."," Ty druhé nás zadržují, nutí nás, abychom se konzervativně spoléhali jenom na věci známé."
"occur","occur","vyskytuje","vyskytovat","impf"," These occur in limited areas in other animals where there are small naked patches, but have become more extensive in our own species."," Tento jev se vyskytuje v omezeném rozsahu i u jiných zvířat, která mají na těle malé holé plošky, ale nejvíce se rozšířil u našeho druhu."
"function","function","fungují","fungovat","impf"," The localised hair-tufts that grow in these areas undoubtedly function as important scent-traps."," Ohraničené chomáčky chlupů v těchto místech nepochybně fungují jako důležité lapače vůní."
"see","see","uvidíme","uvidět","pf"," This deadly enemy is the venomous snake and, as we shall see later, this has become the most hated of all higher forms of animal life."," Tímto smrtelným nepřítelem je jedovatý had, kterého - jak uvidíme později - ze všech vyšších forem živočichů nejvíc nenávidíme."
"hated","hate","nenávidíme","nenávidět","impf"," This deadly enemy is the venomous snake and, as we shall see later, this has become the most hated of all higher forms of animal life."," Tímto smrtelným nepřítelem je jedovatý had, kterého - jak uvidíme později - ze všech vyšších forem živočichů nejvíc nenávidíme."
"exist","exist","existuje","existovat","impf"," These five categories of inter-specific relationships - prey, symbiont, competitor, parasite and predator - are the ones that can be found to exist between other pairs of species."," Těchto pět kategorií mezidruhových vztahů - kořist, symbiont, konkurent, parazit a nepřítel - existuje rovněž mezi ostatními druhy."
"lacking","lack","Chyběl","chybět","impf"," The digestive system necessary for a direct conquest of the grassland food supply was lacking."," Chyběl jim k tomu vhodný trávicí systém;"
"produce","produce","poskytují","poskytovat","impf"," If there is a choice, crayons, chalks and paints are preferred to pencils because they have an even bolder impact, produce an even bigger visual effect, as they sweep across the paper."," Existuje - li možnost výběru, pak kreslíři dávají přednost krejónům, křídám a barvám před tužkami, protože poskytují smělejší rozlet a dávají větší efekt, když se jimi táhne po papíře."
"wishes","wish","chce","chtít","impf"," Conversely, if a dominant animal wishes to calm the fears of a weaker one, it can do so in the same way."," Jestliže naopak chce dominantní zvíře upokojit obavy slabšího, učiní to stejným způsobem."
"do","do","učiní","učinit","pf"," Conversely, if a dominant animal wishes to calm the fears of a weaker one, it can do so in the same way."," Jestliže naopak chce dominantní zvíře upokojit obavy slabšího, učiní to stejným způsobem."
"underline","underline","zdůrazní","zdůraznit","pf"," By lip-smacking at it, it can underline the fact that it is not aggressive."," Pomlaskáváním zdůrazní, že nemá útočné úmysly."
"means","mean","nemíní","mínit","impf"," Despite its dominant aura, it can show that it means no harm."," Přes aureolu své svrchovanosti naznačuje, že slabšímu nemíní ublížit."
"requires","require","vyžaduje","vyžadovat","impf"," This particular pattern - a reassurance display - is less often seen than the appeasement variety, simply because primate social life requires it less."," Toto zvláštní chování - uklidnění slabšího - je méně časté než mnoho jiných podřízených projevů, neboť primáti společenský život jej méně vyžaduje."
"preparing","prepare","připravit","připravit","pf"," The former is the one that is concerned with preparing the body for violent activity."," Úlohou první je připravit tělo k násilné činnosti."
