"laid","lay","položila","položit","pf"," Sandra laid her blue rose on the gravestone."," Sandra položila na šedý náhrobek svou modrou růži."
"said","say","řekla","říci","pf"," Steenwijk stood up and opened a drawer in the dresser, while his wife said :"," Steenwijk vstal a vytahoval zásuvku příborníku a jeho žena zatím řekla :"
"talk","talk","mluvit","mluvit","impf"," ' Karin, we 'll never talk about this again! ' """," "" Karin, o tomhle nikdy nebudeme mluvit, rozumíš? "" """
"mentioned","mention","nezmínil","zmínit","pf"," "" He never mentioned it for the rest of his life."," "" Slovem se o tom nezmínil, po celý svůj život."
"said","say","řekl","říci","pf"," "" So that 's how it is, "" Takes said."," "" Tak je to, "" řekl."
"hanging","hang","visela","viset","impf"," Was this the reason why the map was hanging here?"," To proto tu visela ta mapa?"
"stirred","stir","nehýbalo","hýbat","impf"," Nothing stirred."," Nic se nehýbalo."
"lay","lie","leželo","ležet","impf"," Peter had disappeared, a corpse lay in front of the door, and all about them the armed men remained motionless."," Petr byl tentam, přede dveřmi leželo mrtvě tělo, kolkolem ozbrojení, nedutající muži."
"hear","hear","slyšet","slyšet","impf"," All they could hear was the buzzing of insects in the bushes, and later the flapping of the flag."," Nebylo slyšet nic než bzukot hmyzu v keřích a poněkud později pleskot vlající vlajky."
"bore","bear","nesl","nést","impf"," Harking back to lighterhearted days, each bore a brave sign with its name :"," Každý z těch domů nesl ctihodné, měšťanské jméno, svědčící o bezstarostnějších časech :"
"remembered","remember","vzpomněl","vzpomenout","pf"," He remembered the piece of paper that Takes had slipped into his pocket."," Když si vzpomněl na papírek, který mu strčil do kapsy Takes, vytáhl ho a jednou rukou si ho rozložil."
"slipped","slip","strčil","strčit","pf"," He remembered the piece of paper that Takes had slipped into his pocket."," Když si vzpomněl na papírek, který mu strčil do kapsy Takes, vytáhl ho a jednou rukou si ho rozložil."
"got","get","přijdou","přijít","pf"," We 've got to get him out of here before the Krauts come. """," Musí honem pryč, než přijdou Němci! """
"get","get","přijdou","přijít","pf"," We 've got to get him out of here before the Krauts come. """," Musí honem pryč, než přijdou Němci! """
"come","come","přijdou","přijít","pf"," We 've got to get him out of here before the Krauts come. """," Musí honem pryč, než přijdou Němci! """
"said","say","řekla","říci","pf"," "" Do n't get involved, "" said Mrs. Steenwijk."," "" Nepleť se do toho, "" řekla paní Steenwijková."
"lying","lie","leží","ležet","impf"," "" No, except that now he 's lying in front of our door!"," "" Až na to, že nám teď leží před barákem!"
"suppose","suppose","myslíte","myslet","impf"," Why do you suppose they did that?"," A proč myslíte, že to udělali?"
"do","do","udělali","udělat","pf"," Why do you suppose they did that?"," A proč myslíte, že to udělali?"
"did","do","udělali","udělat","pf"," Why do you suppose they did that?"," A proč myslíte, že to udělali?"
"talk","talk","mluvit","mluvit","impf"," What shall we talk about?"," A o čem teď budeme mluvit?"
"want","want","Chce","chtít","impf"," Do you want to sleep? """," Chce se ti spát? """
"sleep","sleep","spát","spát","impf"," Do you want to sleep? """," Chce se ti spát? """
"imagine","imagine","Představ","představit","pf"," "" Just imagine, lots of light."," "" Představ si : moc světla."
"Come","come","Pojď","jít","impf"," Come on, sit here. """," Pojď si sednout sem. """
"sit","sit","sednout","sednout","pf"," Come on, sit here. """," Pojď si sednout sem. """
"changed","change","Vyměnili","vyměnit","pf"," They changed places."," Vyměnili si místa."
"changed","change","nezměnil","změnit","pf"," "" Do you know you have n't changed at all? """," "" Víš, že ses vůbec nezměnil? """
"told","tell","Říká","říkat","impf"," "" So I 'm told. """," "" Říká se to. """
"recognized","recognize","poznal","poznat","pf"," "" I recognized you right away. """," "" Hned jsem tě poznal. """
"took","take","trvalo","trvat","impf"," "" It took me a moment, "" said Anton."," "" Mně to chvíli trvalo, "" řekl Anton."
"said","say","řekl","říci","pf"," "" It took me a moment, "" said Anton."," "" Mně to chvíli trvalo, "" řekl Anton."
"pulled","pull","vytáhl","vytáhnout","pf"," Fake pulled a pack of tobacco out of his inside pocket and began to roll a cigarette."," Fake vytáhl z kapsy balíček tabáku a začal si balit cigaretu."
"began","begin","začal","začít","pf"," Fake pulled a pack of tobacco out of his inside pocket and began to roll a cigarette."," Fake vytáhl z kapsy balíček tabáku a začal si balit cigaretu."
"said","say","řekl","říci","pf"," "" In a while a small convoy is leaving for Amsterdam, "" he said as he returned."," "" Za chvíli jede do Amsterdamu kolona, "" řekl, když se zase vrátil do místnosti."
"returned","return","vrátil","vrátit","pf"," "" In a while a small convoy is leaving for Amsterdam, "" he said as he returned."," "" Za chvíli jede do Amsterdamu kolona, "" řekl, když se zase vrátil do místnosti."
"go","go","Jedeš","jet","impf"," "" You can go right along."," "" Jedeš s nima."
"said","say","neřekl","říci","pf"," For a while neither of them said a word."," Asi půl minuty neřekl žádný z nich ani slovo."
"walked","walk","Kráčeli","kráčet","impf"," They walked along in the demonstration, yet out of it, side by side."," Kráčeli vedle sebe v demonstraci a přitom jako by v ní vůbec nebyli."
"said","say","řekla","říci","pf"," "" I wish they had, "" said Karin, as if she 'd expected the question."," "" Kéž by to byli udělali, "" řekla Karin, jako by tu otázku čekala."
"expected","expect","čekala","čekat","impf"," "" I wish they had, "" said Karin, as if she 'd expected the question."," "" Kéž by to byli udělali, "" řekla Karin, jako by tu otázku čekala."
"think","think","myslíš","myslet","impf"," "" How do you think I felt, after all that?"," "" Jak si myslíš, že mi bylo, po tom všem, co se stalo?"
"said","say","řekl","říci","pf"," "" Listen, "" he said."," "" Poslyš, "" řekl."
"lived","live","bydleli","bydlet","impf"," "" And you lived in the second house from the left. """," "" A vy jste bydleli v druhém zleva. """
"go","go","chodím","chodit","impf"," "" I go back there now and then."," "" Čas od času se tam chodím podívat."
"did","do","udělal","udělat","pf"," then he ran to the front door and did the same with the house key."," Pak odběhl k domovním dveřím a udělal totéž."
"cried","cry","křičel","křičet","impf"," "" God dammit, "" cried Peter, almost in tears."," "" Krucinál! "" křičel Petr málem už s pláčem."
"do","do","Pojď","jít","impf"," "" Why do n't you come and sit next to me? "" said Steenwijk to Peter, taking up the homework."," "" Pojď si sednout vedle mě, "" pobídl Steenwijk Petra a vzal do rukou jeho sešit."
"come","come","Pojď","jít","impf"," "" Why do n't you come and sit next to me? "" said Steenwijk to Peter, taking up the homework."," "" Pojď si sednout vedle mě, "" pobídl Steenwijk Petra a vzal do rukou jeho sešit."
"sit","sit","sednout","sednout","pf"," "" Why do n't you come and sit next to me? "" said Steenwijk to Peter, taking up the homework."," "" Pojď si sednout vedle mě, "" pobídl Steenwijk Petra a vzal do rukou jeho sešit."
"do","do","vzal","vzít","pf"," "" Why do n't you come and sit next to me? "" said Steenwijk to Peter, taking up the homework."," "" Pojď si sednout vedle mě, "" pobídl Steenwijk Petra a vzal do rukou jeho sešit."
"taking","take","vzal","vzít","pf"," "" Why do n't you come and sit next to me? "" said Steenwijk to Peter, taking up the homework."," "" Pojď si sednout vedle mě, "" pobídl Steenwijk Petra a vzal do rukou jeho sešit."
