"missed","miss","vynechala","vynechat","pf"," The woman who did the pressing, at the cleaners, had missed some days that week."," Žehlířka v čistírně však ten týden několik dní vynechala."
"promised","promise","slíbili","slíbit","pf"," But it was promised that she would be back, the dress would be ready on Saturday morning."," Ale slíbili jí, že se vrátí a že šaty budou v sobotu ráno hotové."
"said","say","řekla","říci","pf"," “ I ’ ll die, ” said Robin."," "" Já umřu, "" řekla."
"die","die","Umřu","umřít","pf"," “ I ’ ll die if they don ’ t have that dress ready for tomorrow. ”"," "" Umřu, jestli nebudu mít ty šaty hotové. """
"looked","look","Podívala","podívat","pf"," She looked at Joanne and Willard, playing rummy at the table."," Podívala se na Joannu a Willarda, kteří hráli u stolu rummy."
"playing","play","hráli","hrát","impf"," She looked at Joanne and Willard, playing rummy at the table."," Podívala se na Joannu a Willarda, kteří hráli u stolu rummy."
"help","help","pomoct","pomoci","pf"," And what ’ s more, that I d be in a position to help you — ”"," A co víc, že budu mít možnost vám pomoct - """
"feel","feel","Cítíte","cítit","impf"," “ You feel hurt."," "" Cítíte se dotčená."
"feel","feel","cítíte","cítit","impf"," It ’ s natural that you should feel hurt. ”"," Je přirozené, že se cítíte dotčená. """
"slowed","slow","Zpomalil","zpomalit","pf"," He had slowed down to the seemly, even cautious, rate this road required."," Zpomalil na rozumnou, až opatrnou rychlost, jakou cesta vyžadovala."
"required","require","vyžadovala","vyžadovat","impf"," He had slowed down to the seemly, even cautious, rate this road required."," Zpomalil na rozumnou, až opatrnou rychlost, jakou cesta vyžadovala."
"dragged","drag","vláčím","vláčet","impf"," “ Being dragged into any old place. ”"," "" Že vás vláčím všude možně. """
"need","need","Potřebuju","potřebovat","impf"," “ I need your company."," "" Potřebuju, abyste mi dělala společnost."
"hurt","hurt","bolet","bolet","impf"," “ It must hurt some. ”"," "" Musí trochu bolet. """
"shot","shoot","vystřelovala","vystřelovat","impf"," The pain had shot up from the sole of her left foot, which had been cut by the sharp edge of a clamshell."," Bolest vystřelovala z levé šlapky, kde se řízla o ostrou hranu lastury."
"brought","bring","přinesla","přinést","pf"," “ Dana brought those shells, ” Janey said."," "" Ty mušle přinesla Dana, "" žalovala Janey."
"make","make","udělat","udělat","pf"," “ She was going to make a house for her snail. ”"," "" Chtěla z nich udělat domeček pro slimáka. """
"Talking","talk","vyprávěla","vyprávět","impf"," Talking about the cruise, she had got all keyed up — she had enjoyed listening to herself, to the description that was pouring out of her."," Když vyprávěla o plavbě, byla celá vzrušená - ráda se poslouchala a popis se z ní jen hrnul."
"listening","listen","poslouchala","poslouchat","impf"," Talking about the cruise, she had got all keyed up — she had enjoyed listening to herself, to the description that was pouring out of her."," Když vyprávěla o plavbě, byla celá vzrušená - ráda se poslouchala a popis se z ní jen hrnul."
"went","go","šla","jít","impf"," Carla went to take a shower — something she had not bothered with in her state of mind that morning — and Sylvia phoned Ruth."," Carla se šla osprchovat - ráno se s tím ve svém rozpoložení nezdržovala - a Sylvia mezitím zavolala Ruth."
"phoned","phone","zavolala","zavolat","pf"," Carla went to take a shower — something she had not bothered with in her state of mind that morning — and Sylvia phoned Ruth."," Carla se šla osprchovat - ráno se s tím ve svém rozpoložení nezdržovala - a Sylvia mezitím zavolala Ruth."
"leave","leave","nechá","nechat","pf"," Ruth was going to be out at a meeting that evening, but she would leave the key with her upstairs tenants and all Carla would have to do was ring their bell."," Dnes večer bude Ruth pryč, na schůzi, ale klíč nechá u nájemníků nahoře a Carla ať u nich jenom zazvoní."
"ring","ring","zazvoní","zazvonit","pf"," Ruth was going to be out at a meeting that evening, but she would leave the key with her upstairs tenants and all Carla would have to do was ring their bell."," Dnes večer bude Ruth pryč, na schůzi, ale klíč nechá u nájemníků nahoře a Carla ať u nich jenom zazvoní."
"take","take","vzít","vzít","pf"," “ She ’ ll have to take a cab from the bus depot, though."," "" Ale z autobusového nádraží si bude muset vzít taxi."
"laughed","laugh","zasmála","zasmát","pf"," Sylvia laughed."," Sylvia se zasmála."
"called","call","neříká","říkat","impf"," This is the Psychiatric Ward, though it is seldom called that."," To je totiž psychiatrické oddělení, i když se mu tak zpravidla neříká."
"called","call","říká","říkat","impf"," It looks west over the lake, like Robin ’ s apartment, and so it is often called Sunset Hotel."," Odtamtud je vidět k západu přes jezero jako z Robinina bytu, a tak se mu často říká hotel Sunset."
"housed","house","ubytováni","ubytovat","pf"," Those whose delusions or withdrawals or miseries become permanent are housed elsewhere, in the County Home, properly called the Long Term Care Facility, just outside of town."," Ti, jejichž vidiny, uzavřenost nebo trápení nabyly trvalou formu, jsou ubytováni jinde, v okresním domově hned za městem, správně nazývaném zařízení dlouhodobé péče."
"sees","see","Nechápu","chápat","impf"," I can ’ t figure out what Wilf sees in you. ”"," Nechápu, co na tobě Wilf vidí. """
