"ended","end","zakončil","zakončit","pf"," Napoleon ended his speech with his usual cry of "" Long live Animal Farm! "" and after the singing of Beasts of England the animals were dismissed."," Napoleon svoji řeč zakončil obvyklým zvoláním "" Ať žije Farma zvířat! "" a po přezpívání Zvířat Anglie dostala zvířata rozchod."
"called","call","vyzval","vyzvat","pf"," Napoleon now called upon them to confess their crimes."," Napoleon je vyzval, aby přiznala své zločiny."
"confess","confess","přiznala","přiznat","pf"," Napoleon now called upon them to confess their crimes."," Napoleon je vyzval, aby přiznala své zločiny."
"protested","protest","protestovala","protestovat","impf"," They were the same four pigs as had protested when Napoleon abolished the Sunday Meetings."," Byla to právě ta podsvinčata, která protestovala, když Napoleon zakazoval nedělní shromáždění."
"confessed","confess","přiznala","přiznat","pf"," Without any further prompting they confessed that they had been secretly in touch with Snowball ever since his expulsion, that they had collaborated with him in destroying the windmill, and that they had entered into an agreement with him to hand over Animal Farm to Mr. Frederick."," Nyní bez jakéhokoliv zdráhání přiznala, že byla v tajném spojení s Kulišem po celou dobu od jeho vyhnání, že s ním spolupracovala při zničení větrného mlýna a že se s ním účastnila jednání o zaprodání Farmy zvířat panu Frederickovi."
"collaborated","collaborate","spolupracovala","spolupracovat","impf"," Without any further prompting they confessed that they had been secretly in touch with Snowball ever since his expulsion, that they had collaborated with him in destroying the windmill, and that they had entered into an agreement with him to hand over Animal Farm to Mr. Frederick."," Nyní bez jakéhokoliv zdráhání přiznala, že byla v tajném spojení s Kulišem po celou dobu od jeho vyhnání, že s ním spolupracovala při zničení větrného mlýna a že se s ním účastnila jednání o zaprodání Farmy zvířat panu Frederickovi."
"entered","enter","účastnila","účastnit","impf"," Without any further prompting they confessed that they had been secretly in touch with Snowball ever since his expulsion, that they had collaborated with him in destroying the windmill, and that they had entered into an agreement with him to hand over Animal Farm to Mr. Frederick."," Nyní bez jakéhokoliv zdráhání přiznala, že byla v tajném spojení s Kulišem po celou dobu od jeho vyhnání, že s ním spolupracovala při zničení větrného mlýna a že se s ním účastnila jednání o zaprodání Farmy zvířat panu Frederickovi."
"added","add","Dodala","dodat","pf"," They added that Snowball had privately admitted to them that he had been Jones 's secret agent for years past."," Dodala, že Kuliš se jim soukromě přiznal, že byl Jonesovým agentem již dlouhé roky."
"admitted","admit","přiznal","přiznat","pf"," They added that Snowball had privately admitted to them that he had been Jones 's secret agent for years past."," Dodala, že Kuliš se jim soukromě přiznal, že byl Jonesovým agentem již dlouhé roky."
"talk","talk","mluvil","mluvit","impf"," In his speeches, Squealer would talk with the tears rolling down his cheeks of Napoleon 's wisdom the goodness of his heart, and the deep love he bore to all animals everywhere, even and especially the unhappy animals who still lived in ignorance and slavery on other farms."," Ve svých projevech mluvil Pištík se slzami v očích o Napoleonově moudrosti, dobrotě srdce, jeho hluboké lásce ke zvířatům, ať jsou kdekoliv, zvláště k tem ubohým zvířatům, která ještě musí žít v nevědomosti a otroctví na jiných farmách."
