"say","say","říkáš","říkat","impf"," “ Why do you say that? ”"," "" Proč to říkáš? """
"promise","promise","Slibuji","slibovat","impf"," I promise!"," Slibuji ti to!"
"imagine","imagine","představit","představit","pf"," I can ’ t imagine having anybody else ’ s child ... ”"," Nedovedu si vůbec představit, že bych mohla mít s někým jiným dítě ... """
"give","give","Nepovolila","povolit","pf"," The door would not give."," Nepovolila."
"Wanting","want","chceš","chtít","impf"," Wanting to go out now?"," Teď chceš?"
"looked","look","pohlédl","pohlédnout","pf"," When he looked into her eyes he realised how foolish he had been."," Když jí pohlédl do očí, pochopil svou pošetilost."
"shining","shine","svítily","svítit","impf"," They were shining so brightly."," Ty tolik svítily."
"put","put","položila","položit","pf"," Then she put her hands on his shoulders."," A ruce mu položila na ramena."
"felt","feel","Pociťoval","pociťovat","impf"," He felt them pressing down and involuntarily closed his eyes as she dropped a light, airy kiss on his lips, bursting into her gay childish rippling laughter."," Pociťoval jejich tíži a bezděčně přivřel oči, když ho jen tak lehýnce a letmo políbila na ústa, propukajíc v slaboučký, dětsky zajíkavý smích."
"embraced","embrace","Objala","obejmout","pf"," She embraced him in a rush of happiness."," Objala ho vší svou radostí."
"turn","turn","obrátil","obrátit","pf"," A sound behind him made him turn and his thoughts scattered like a flock of sparrows."," Šramot za zády ho obrátil, myšlenky se rozlétly jako hejno vrabců."
"put","put","položil","položit","pf"," Dad! He put his head on his father ’ s shoulder and could hardly hear the broken whisper in his ear."," Táto! položil hlavu na tátovo rameno a sotva slyšel trhaný šepot u ucha."
"hear","hear","slyšel","slyšet","impf"," Dad! He put his head on his father ’ s shoulder and could hardly hear the broken whisper in his ear."," Táto! položil hlavu na tátovo rameno a sotva slyšel trhaný šepot u ucha."
"wait","wait","čekat","čekat","impf"," “ Later on ... lad ... we can only wait ... hope ... perhaps nothing ... perhaps ... we ’ ve got to hold out ... mother doesn ’ t ... you know how ill she is ... she mustn ’ t ... they ’ re in our street! ”"," "" Pozdě ... chlapče ... nezbývá než čekat ... doufat ... snad se nic ... snad ... musíme vydržet, maminka se nic ... rozumíš, je nemocná ... nesmí ... už jsou v ulici ...! """
"wait","wait","doufat","doufat","impf"," “ Later on ... lad ... we can only wait ... hope ... perhaps nothing ... perhaps ... we ’ ve got to hold out ... mother doesn ’ t ... you know how ill she is ... she mustn ’ t ... they ’ re in our street! ”"," "" Pozdě ... chlapče ... nezbývá než čekat ... doufat ... snad se nic ... snad ... musíme vydržet, maminka se nic ... rozumíš, je nemocná ... nesmí ... už jsou v ulici ...! """
"hold","hold","vydržet","vydržet","pf"," “ Later on ... lad ... we can only wait ... hope ... perhaps nothing ... perhaps ... we ’ ve got to hold out ... mother doesn ’ t ... you know how ill she is ... she mustn ’ t ... they ’ re in our street! ”"," "" Pozdě ... chlapče ... nezbývá než čekat ... doufat ... snad se nic ... snad ... musíme vydržet, maminka se nic ... rozumíš, je nemocná ... nesmí ... už jsou v ulici ...! """
"heard","hear","Slyšela","slyšet","impf"," She heard them, too, in her hiding-place."," Slyšela je i ona ve svém úkrytu."
"saw","see","viděli","vidět","impf"," From time to time they saw the young man in his polished jackboots marching along the rattling tiles of the gallery to his father ’ s door, the collar of his black raincoat turned up and his hat down over his eyes, The last time they saw him had been a few months ago."," Čas od času ho viděli, jak dupe po chřestících dlažkách pavlače k bytu svého otce v naleštěných jezdeckých holínkách, s vyhrnutým límcem černého pláště a kloboukem naraženým do čela."
"saw","see","viděli","vidět","impf"," From time to time they saw the young man in his polished jackboots marching along the rattling tiles of the gallery to his father ’ s door, the collar of his black raincoat turned up and his hat down over his eyes, The last time they saw him had been a few months ago."," Čas od času ho viděli, jak dupe po chřestících dlažkách pavlače k bytu svého otce v naleštěných jezdeckých holínkách, s vyhrnutým límcem černého pláště a kloboukem naraženým do čela."
"borrowed","borrow","vypůjčil","vypůjčit","pf"," But it must have been somebody else who had lived through all that : a young man who sometimes borrowed father ’ s shaving-brush and razor - a trifle unnecessary - and scraped half-a-dozen soft hairs from his cheeks to give himself the necessary self-confidence before a date with a girl."," Ale to všechno snad žil jiný člověk, takový mládeneček, který si čas od času vypůjčil od táty - tak trochu zbytečně - štětku a břitvu a sedřel s tváře pět měkkých chlupů, aby si dodal nutnou sebedůvěru před schůzkou s děvčetem."
"counselled","counsel","radil","radit","impf"," Mind you don ’ t cut your throat, Dad counselled with a straight face, but there was a faint smile hiding in the folds of the skin round his mouth."," Aby sis při tom neuřízl hlavu, radil mu táta s vážnou tváří, ale v záhybech vrásek kolem úst se krčil slabý úsměv."
"used","use","Použila","použít","pf"," She used all the tactics usual among women and which men object to on principle. “ Ow!"," Použila při něm všechny ženské způsoby boje, s nimiž muži zásadně nesouhlasí."
"gripped","grip","stiskl","stisknout","pf"," ” You ’ re scratching, you little cat! ” he gasped, breathless, and gripped her wrists."," "" Au, škrábeš, ty kočko! "" zasykl udýchaně a stiskl ji v zápěstí."
"struggled","struggle","bojovala","bojovat","impf"," She struggled to free herself from his vicelike fingers, fighting like a wild thing until she escaped."," Zmítala se v tom sevření jako v kleštích, bojovala srdnatě, až se mu vymkla."
"fighting","fight","bojovala","bojovat","impf"," She struggled to free herself from his vicelike fingers, fighting like a wild thing until she escaped."," Zmítala se v tom sevření jako v kleštích, bojovala srdnatě, až se mu vymkla."
"play","play","nehraju","hrát","impf"," “ And I ’ m not going to play, you ’ re not fair! ”"," "" A už nehraju, když jsi takový. """
"laughed","laugh","smál","smát","impf"," “ All right, ” he laughed at her."," "" Dobrá, "" smál se jí."
"opened","open","otevřel","otevřít","pf"," He opened the house door with his heavy key and took her by the hand to guide her up the dark staircase to the first floor. A smaller key clicked in the lock and the darkness of a small, unaired room breathed the smell of tobacco and mould in their faces."," Těžkým klíčem otevřel domovní vrata, vedl ji za ruku po temném schodišti do prvního patra, menší klíč cvakne v zámku a tma nevětraného pokojíku jim dýchne do tváře pachem tabáku a plísně."
"took","take","vedl","vést","impf"," He opened the house door with his heavy key and took her by the hand to guide her up the dark staircase to the first floor. A smaller key clicked in the lock and the darkness of a small, unaired room breathed the smell of tobacco and mould in their faces."," Těžkým klíčem otevřel domovní vrata, vedl ji za ruku po temném schodišti do prvního patra, menší klíč cvakne v zámku a tma nevětraného pokojíku jim dýchne do tváře pachem tabáku a plísně."
"guide","guide","vedl","vést","impf"," He opened the house door with his heavy key and took her by the hand to guide her up the dark staircase to the first floor. A smaller key clicked in the lock and the darkness of a small, unaired room breathed the smell of tobacco and mould in their faces."," Těžkým klíčem otevřel domovní vrata, vedl ji za ruku po temném schodišti do prvního patra, menší klíč cvakne v zámku a tma nevětraného pokojíku jim dýchne do tváře pachem tabáku a plísně."
"saw","see","neviděl","vidět","impf"," Perhaps nobody saw us, thought the boy."," Snad nás nikdo neviděl, uvažuje chlapec."
"thought","think","uvažuje","uvažovat","impf"," Perhaps nobody saw us, thought the boy."," Snad nás nikdo neviděl, uvažuje chlapec."
"give","give","dávali","dávat","impf"," We used to give the green tops to the rabbits."," Chrást jsme dávali králíkům."
"see","see","Viděls","vidět","impf"," Did you ever see baby rabbits?"," Viděls někdy malé králíky?"
"laughed","laugh","Zasmála","zasmát","pf"," She laughed."," Zasmála se :"
"gazed","gaze","hleděla","hledět","impf"," She lifted her head and gazed at the sky, calmer now."," Pozdvihla tvář a hleděla do temné oblohy už klidná."
"move","move","pohnul","pohnout","pf"," He rested his elbows on his knees and thought in silence. He did not move until he heard her subdued voice."," Zapřel lokty o kolena a mlčel a pohnul se, až když zaslechl její přitlumený hlas."
"heard","hear","zaslechl","zaslechnout","pf"," He rested his elbows on his knees and thought in silence. He did not move until he heard her subdued voice."," Zapřel lokty o kolena a mlčel a pohnul se, až když zaslechl její přitlumený hlas."
"talking","talk","vyprávět","vyprávět","impf"," “ I could go on talking for hours."," "" Já bych mohla vyprávět celé hodiny."
"go","go","dělala","dělat","impf"," When I was little I used to pretend to be ill so as not to have to go to school ... sometimes."," Když jsem byla malá, dělala jsem nemocnou, abych nemusela do školy ... někdy."
"fascinated","fascinate","Okouzlil","okouzlit","pf"," And it fascinated him with its simplicity."," Okouzlil ho svou samozřejmostí."
"lit","light","Zapálil","zapálit","pf"," He lit a cigarette with a resolute gesture, flicked the match into the grass with his thumb, and got up."," Zapálil si rozhodnými pohyby cigaretu, odcvrnkl sirku palcem do trávy a povstal."
"see","see","nepochopila","pochopit","pf"," She did not see what he was getting at and kept her eyes thoughtfully and seriously straight ahead."," Zřejmě nepochopila jeho narážku, protože hleděla před sebe vážně a přemítavě."
"getting","get","nepochopila","pochopit","pf"," She did not see what he was getting at and kept her eyes thoughtfully and seriously straight ahead."," Zřejmě nepochopila jeho narážku, protože hleděla před sebe vážně a přemítavě."
"see","see","hleděla","hledět","impf"," She did not see what he was getting at and kept her eyes thoughtfully and seriously straight ahead."," Zřejmě nepochopila jeho narážku, protože hleděla před sebe vážně a přemítavě."
"hope","hope","doufám","doufat","impf"," He ’ s in Terezín - I hope so, anyway ... ”"," Je v Terezíně - doufám ... """
"looked","look","Hleděl","hledět","impf"," He looked at her, not daring to breathe, or to move from the spot, in case he disturbed her."," Hleděl na ni, neodvažuje se ani dýchat, ani pohnout na místě, aby ji nevyrušil."
"breathe","breathe","dýchat","dýchat","impf"," He looked at her, not daring to breathe, or to move from the spot, in case he disturbed her."," Hleděl na ni, neodvažuje se ani dýchat, ani pohnout na místě, aby ji nevyrušil."
"move","move","pohnout","pohnout","pf"," He looked at her, not daring to breathe, or to move from the spot, in case he disturbed her."," Hleděl na ni, neodvažuje se ani dýchat, ani pohnout na místě, aby ji nevyrušil."
"come","come","Přijde","přijít","pf"," He would come back later when she was awake."," Přijde později, až procitne."
"think","think","myslet","myslet","impf"," Now he had to think hard and clearly."," A teď myslet, uvažovat, člověče!"
"think","think","uvažovat","uvažovat","impf"," Now he had to think hard and clearly."," A teď myslet, uvažovat, člověče!"
"go","go","chodit","chodit","impf"," A good job he did not have to go to school that day, he had other things to worry about, more important than Latin revision or the biography of Hermann Göring."," Ještě že už nemusí chodit do školy, má jiné starosti než opakovat lácii nebo životopis Hermanna Göringa."
"covered","cover","přikryl","přikrýt","pf"," He put his arms round her, covered her body with his and pressed his kisses on her mouth, simply and without the wild disturbance of his senses; he caressed her face, overcome by the words that had passed between them."," Objal ji pažemi, přikryl svým tělem a líbal na ústa, tak čistě a už bez vichření smyslů, hladil ji po tváři, překonán tím, co mezi nimi znělo."
"kisses","kiss","líbal","líbat","impf"," He put his arms round her, covered her body with his and pressed his kisses on her mouth, simply and without the wild disturbance of his senses; he caressed her face, overcome by the words that had passed between them."," Objal ji pažemi, přikryl svým tělem a líbal na ústa, tak čistě a už bez vichření smyslů, hladil ji po tváři, překonán tím, co mezi nimi znělo."
"caressed","caress","hladil","hladit","impf"," He put his arms round her, covered her body with his and pressed his kisses on her mouth, simply and without the wild disturbance of his senses; he caressed her face, overcome by the words that had passed between them."," Objal ji pažemi, přikryl svým tělem a líbal na ústa, tak čistě a už bez vichření smyslů, hladil ji po tváři, překonán tím, co mezi nimi znělo."
"overcome","overcome","překonán","překonat","pf"," He put his arms round her, covered her body with his and pressed his kisses on her mouth, simply and without the wild disturbance of his senses; he caressed her face, overcome by the words that had passed between them."," Objal ji pažemi, přikryl svým tělem a líbal na ústa, tak čistě a už bez vichření smyslů, hladil ji po tváři, překonán tím, co mezi nimi znělo."
"passed","pass","překonán","překonat","pf"," He put his arms round her, covered her body with his and pressed his kisses on her mouth, simply and without the wild disturbance of his senses; he caressed her face, overcome by the words that had passed between them."," Objal ji pažemi, přikryl svým tělem a líbal na ústa, tak čistě a už bez vichření smyslů, hladil ji po tváři, překonán tím, co mezi nimi znělo."
"talked","talk","Vyprávěl","vyprávět","impf"," He talked about astral catastrophes, about other suns than the one which shines on our world, about August meteors - they call them Perseids, because the constellation of Perseus seems to be pouring them out as if he ’ d got a bag-full - about cefeids, the light-houses of the universe, about the giant Antar, which makes our sun look like a tiny marble boys flip into a hole in the spring."," Vyprávěl jí o hvězdných katastrofách, o jiných sluncích, která nesvítí na naši zem, o srpnových létavicích - říká se jim perseidy, poněvadž se nám zdá, že se vysypávají ze souhvězdí Persea jako z kornoutu - o cefeidách, majácích vesmíru, o obru Antarovi, proti němuž je naše slunce kuličkou, jakou cvrkají kluci na jaře do důlku;"
"shines","shine","nesvítí","svítit","impf"," He talked about astral catastrophes, about other suns than the one which shines on our world, about August meteors - they call them Perseids, because the constellation of Perseus seems to be pouring them out as if he ’ d got a bag-full - about cefeids, the light-houses of the universe, about the giant Antar, which makes our sun look like a tiny marble boys flip into a hole in the spring."," Vyprávěl jí o hvězdných katastrofách, o jiných sluncích, která nesvítí na naši zem, o srpnových létavicích - říká se jim perseidy, poněvadž se nám zdá, že se vysypávají ze souhvězdí Persea jako z kornoutu - o cefeidách, majácích vesmíru, o obru Antarovi, proti němuž je naše slunce kuličkou, jakou cvrkají kluci na jaře do důlku;"
"call","call","říká","říkat","impf"," He talked about astral catastrophes, about other suns than the one which shines on our world, about August meteors - they call them Perseids, because the constellation of Perseus seems to be pouring them out as if he ’ d got a bag-full - about cefeids, the light-houses of the universe, about the giant Antar, which makes our sun look like a tiny marble boys flip into a hole in the spring."," Vyprávěl jí o hvězdných katastrofách, o jiných sluncích, která nesvítí na naši zem, o srpnových létavicích - říká se jim perseidy, poněvadž se nám zdá, že se vysypávají ze souhvězdí Persea jako z kornoutu - o cefeidách, majácích vesmíru, o obru Antarovi, proti němuž je naše slunce kuličkou, jakou cvrkají kluci na jaře do důlku;"
"seems","seem","zdá","zdát","impf"," He talked about astral catastrophes, about other suns than the one which shines on our world, about August meteors - they call them Perseids, because the constellation of Perseus seems to be pouring them out as if he ’ d got a bag-full - about cefeids, the light-houses of the universe, about the giant Antar, which makes our sun look like a tiny marble boys flip into a hole in the spring."," Vyprávěl jí o hvězdných katastrofách, o jiných sluncích, která nesvítí na naši zem, o srpnových létavicích - říká se jim perseidy, poněvadž se nám zdá, že se vysypávají ze souhvězdí Persea jako z kornoutu - o cefeidách, majácích vesmíru, o obru Antarovi, proti němuž je naše slunce kuličkou, jakou cvrkají kluci na jaře do důlku;"
"treated","treat","jednal","jednat","impf"," Dad could be generous and understanding and treated him like a grown-up, on an equal footing a fellow of eighteen can appreciate. He did not ask awkward questions and so there was no need to tell him lies."," Táta uměl být velkoryse chápavý, jednal s ním jako s dospělým a s rovností, kterou dovede osmnáctiletý muž ocenit, neměl nemístné otázky, a proto nebylo ani třeba lhát."
"did","do","jednal","jednat","impf"," Dad could be generous and understanding and treated him like a grown-up, on an equal footing a fellow of eighteen can appreciate. He did not ask awkward questions and so there was no need to tell him lies."," Táta uměl být velkoryse chápavý, jednal s ním jako s dospělým a s rovností, kterou dovede osmnáctiletý muž ocenit, neměl nemístné otázky, a proto nebylo ani třeba lhát."
"appreciate","appreciate","ocenit","ocenit","pf"," Dad could be generous and understanding and treated him like a grown-up, on an equal footing a fellow of eighteen can appreciate. He did not ask awkward questions and so there was no need to tell him lies."," Táta uměl být velkoryse chápavý, jednal s ním jako s dospělým a s rovností, kterou dovede osmnáctiletý muž ocenit, neměl nemístné otázky, a proto nebylo ani třeba lhát."
"lies","lie","lhát","lhát","impf"," Dad could be generous and understanding and treated him like a grown-up, on an equal footing a fellow of eighteen can appreciate. He did not ask awkward questions and so there was no need to tell him lies."," Táta uměl být velkoryse chápavý, jednal s ním jako s dospělým a s rovností, kterou dovede osmnáctiletý muž ocenit, neměl nemístné otázky, a proto nebylo ani třeba lhát."
"understood","understand","rozuměli","rozumět","impf"," They simply understood each other, perhaps for the very fact that there was over forty years between them."," Prostě rozuměli si snad právě proto, že byl mezi nimi věkový rozdíl více než čtyřiceti let."
"grown","grow","Vyrůstal","vyrůstat","impf"," He had grown up an only child, the late joy of an elderly couple, sheltered beneath the wing of endless anxiety."," Vyrůstal jako jedináček, pozdní ratolest stárnoucích manželů, pod křídly jejich věčných starostí."
"stirred","stir","Pohnula","pohnout","pf"," She stirred, moved perhaps by his fixed gaze, and a tiny almost child like smile flitted across her lips."," Pohnula se, snad pod jeho upřeným pohledem, lehký, zpola dětský úsměv přeběhl po ústech."
"moved","move","Pohnula","pohnout","pf"," She stirred, moved perhaps by his fixed gaze, and a tiny almost child like smile flitted across her lips."," Pohnula se, snad pod jeho upřeným pohledem, lehký, zpola dětský úsměv přeběhl po ústech."
"pressed","press","tisknouc","tisknout","impf"," She gave a little sigh and pressed her face against the pillow."," Slabě si povzdechla, tisknouc tvář do polštáře."
"kissed","kiss","Políbil","políbit","pf"," He kissed her hair and the white valley between her little breasts."," Políbil ji do vlasů a na hruď do bílého údolí mezi drobnými prsy."
"felt","feel","Ucítil","ucítit","pf"," He felt a touch on his brow but at the same time she made an involuntary move to draw her blouse across her naked breasts, without waking up."," Ucítil na čele dotek, ale současně si podvědomým pohybem přetáhla blůzku přes rozhalenou hruď, aniž se probudila."
"waking","wake","probudila","probudit","pf"," He felt a touch on his brow but at the same time she made an involuntary move to draw her blouse across her naked breasts, without waking up."," Ucítil na čele dotek, ale současně si podvědomým pohybem přetáhla blůzku přes rozhalenou hruď, aniž se probudila."
"feel","feel","cítím","cítit","impf"," What I feel now."," Co teď cítím."
"believe","believe","věř","věřit","impf"," I ’ m no Robin Hood myself, you can ruddy well believe that, but there are moments when a man ’ s just got to show he is a man if he ’ s ever to look decent people in the face again. ”"," Já taky nejsem žádný Jánošík, to mi hergot věř, ale jsou chvíle, kdy člověk musí ukázat, že je vůbec člověkem, má - li se ještě vůbec kdy podívat slušným lidem do očí. """
"show","show","ukázat","ukázat","pf"," I ’ m no Robin Hood myself, you can ruddy well believe that, but there are moments when a man ’ s just got to show he is a man if he ’ s ever to look decent people in the face again. ”"," Já taky nejsem žádný Jánošík, to mi hergot věř, ale jsou chvíle, kdy člověk musí ukázat, že je vůbec člověkem, má - li se ještě vůbec kdy podívat slušným lidem do očí. """
"look","look","podívat","podívat","pf"," I ’ m no Robin Hood myself, you can ruddy well believe that, but there are moments when a man ’ s just got to show he is a man if he ’ s ever to look decent people in the face again. ”"," Já taky nejsem žádný Jánošík, to mi hergot věř, ale jsou chvíle, kdy člověk musí ukázat, že je vůbec člověkem, má - li se ještě vůbec kdy podívat slušným lidem do očí. """
"dragging","drag","táhne","táhnout","impf"," It is a dream, it must be just a tormented dream of rain and an old two-wheeled cart ... it is rattling over the gleaming cobbles, the bundles and things piled up on it are shaking, fifty kilogrammes per head - Daddy is dragging the cart and she and Mummy are walking along by it, until they come to an open gate."," Je to sen, určitě je to jen mučivý sen o dešti a jakémsi starém dvoukoláku ... drkotá po lesklé dlažbě, rance a kufry se na něm natřásají, padesát kilo na osobu - táta táhne a ona cape s mámou podle něho, až k rozevřené bráně."
"raining","rain","Prší","pršet","impf"," It ’ s raining."," Prší."
"expecting","expect","Čekají","čekat","impf"," “ They ’ ll be expecting me home to dinner."," "" Čekají mě k obědu, víš?"
"coming","come","Přijdeš","přijít","pf"," “ Are you coming back? ”"," "" Přijdeš? """
"nodded","nod","Přikývl","přikývnout","pf"," He nodded."," Přikývl."
"smiled","smile","usmál","usmát","pf"," He smiled soothingly."," Chlácholivě se usmál."
"met","meet","setkali","setkat","pf"," Perhaps it was when we first met."," Snad - už když jsme se setkali."
"wanted","want","chtělo","chtít","impf"," Yesterday morning you were asleep when I came and I wanted to kiss you, dreadfully."," Když jsi včera ráno spala, hrozně se mi chtělo tě políbit."
"kiss","kiss","políbit","políbit","pf"," Yesterday morning you were asleep when I came and I wanted to kiss you, dreadfully."," Když jsi včera ráno spala, hrozně se mi chtělo tě políbit."
"waking","wake","probudit","probudit","pf"," But I was afraid of waking you up."," Ale bál jsem se tě probudit."
"wish","wish","chtěla","chtít","impf"," I wish I could go on sleeping like that and not wake up until it ’ s all over and Mummy and Daddy come back."," Vlastně bych chtěla pořád tak spát a spát a neprobudit se, dokud nebude všemu konec a dokud se nevrátí naši."
"wake","wake","neprobudit","probudit","pf"," I wish I could go on sleeping like that and not wake up until it ’ s all over and Mummy and Daddy come back."," Vlastně bych chtěla pořád tak spát a spát a neprobudit se, dokud nebude všemu konec a dokud se nevrátí naši."
"wake","wake","neprobudit","probudit","pf"," Or ... or never wake up at all. ”"," Anebo - anebo se raději vůbec neprobudit! """
