"called","call","říkají","říkat","impf"," The same is true of Christians in another district, where the Khazars are called the "" non-Christian population. """," Podobná situace je v jiném okrsku s křesťany, kde Chazarům říkají nekřesťanský živel."
"lost","lose","ztrácí","ztrácet","impf"," this fact is lost, because the balance of forces and population figures are calculated not on the basis of the overall situation but by district."," tento fakt se ovšem ztrácí, neboť poměry sil a soupisy obyvatel se nehodnotí na základě celkového stavu ve státě, nýbrž jen v rámci jednotlivých okrsků."
"learned","learn","nenaučil","naučit","pf"," He thought of how this building was like a book written in an unknown language he had not yet learned, how these corridors were like the sentences of a strange language, and the rooms foreign words he had never heard before."," Připadalo mu, že se celá budova podobá knize psané jakýmsi neznámým jazykem, jemuž se ještě nenaučil, její chodby pak větám toho jazyka a místnosti cizím slovům, která nikdy neslyšel."
"heard","hear","neslyšel","slyšet","impf"," He thought of how this building was like a book written in an unknown language he had not yet learned, how these corridors were like the sentences of a strange language, and the rooms foreign words he had never heard before."," Připadalo mu, že se celá budova podobá knize psané jakýmsi neznámým jazykem, jemuž se ještě nenaučil, její chodby pak větám toho jazyka a místnosti cizím slovům, která nikdy neslyšel."
"recommended","recommend","Doporučovaly","doporučovat","impf"," A lotion was recommended to counteract going bald on a honeymoon; there was for sale a magic word that could be transformed into a lizard or a Chinese rose; there was a reasonably priced foot of land from which the rainbow could be seen at night every third jum'a in the month of Rabbi-ul-aker."," Doporučovaly se tu prostředky proti padání vlasů v líbánkách, kdosi nabízel na prodej kouzelné slovo, které se na přání může proměnit v ještěra či v měsíční růži, anebo se dala velmi výhodně získat píď země, z níž lze každý třetí pátek v měsíci rabfath - thání spatřit noční duhu."
"transformed","transform","proměnit","proměnit","pf"," A lotion was recommended to counteract going bald on a honeymoon; there was for sale a magic word that could be transformed into a lizard or a Chinese rose; there was a reasonably priced foot of land from which the rainbow could be seen at night every third jum'a in the month of Rabbi-ul-aker."," Doporučovaly se tu prostředky proti padání vlasů v líbánkách, kdosi nabízel na prodej kouzelné slovo, které se na přání může proměnit v ještěra či v měsíční růži, anebo se dala velmi výhodně získat píď země, z níž lze každý třetí pátek v měsíci rabfath - thání spatřit noční duhu."
"seen","see","spatřit","spatřit","pf"," A lotion was recommended to counteract going bald on a honeymoon; there was for sale a magic word that could be transformed into a lizard or a Chinese rose; there was a reasonably priced foot of land from which the rainbow could be seen at night every third jum'a in the month of Rabbi-ul-aker."," Doporučovaly se tu prostředky proti padání vlasů v líbánkách, kdosi nabízel na prodej kouzelné slovo, které se na přání může proměnit v ještěra či v měsíční růži, anebo se dala velmi výhodně získat píď země, z níž lze každý třetí pátek v měsíci rabfath - thání spatřit noční duhu."
"plays","play","hraje","hrát","impf"," he plays nicely on an instrument made of white tortoiseshell,"," hraje nádherně na jakýsi nástroj vyrobený z bílého želvího krunýře."
"carries","carry","nosí","nosit","impf"," He 's a bit eccentric and always eats with his own two-pronged fork, which he carries in his pocket."," Jinak je to trochu podivín a vždycky jí vlastní dvojzubou vidličkou, kterou nosí v kapse."
"realized","realize","pochopil","pochopit","pf"," And so Masudi realized that his wish was coming true and that his was the right way."," A tehdy al - Mas ' údí pochopil, že jeho přání se naplňují a že jeho způsob je ten pravý."
