"handed","hand","předány","předat","pf"," Her letter to Murray and the accompanying documents-a selection from the two lovers ' correspondence-were handed over to Andrea, who, in a magnanimous gesture, returned them to Mrs. Anna unopened."," Její dopis pro Murraye a přiložené dokumenty - výběr z korespondence obou milenců - byly předány Andreovi a ten je ve velkodušném gestu vrátil paní Anně neotevřené."
"returned","return","vrátil","vrátit","pf"," Her letter to Murray and the accompanying documents-a selection from the two lovers ' correspondence-were handed over to Andrea, who, in a magnanimous gesture, returned them to Mrs. Anna unopened."," Její dopis pro Murraye a přiložené dokumenty - výběr z korespondence obou milenců - byly předány Andreovi a ten je ve velkodušném gestu vrátil paní Anně neotevřené."
"appreciated","appreciate","ocenil","ocenit","pf"," Andrea, still entangled in his complicated affair with M., must have appreciated the logic behind Giustiniana 's snap decision : after all, he had always encouraged her to marry an old man and the cher frére in him surely saw the practical benefits of her situation."," Andrea, stále ještě zapletený do své složité záležitosti s M., jistě ocenil logiku stojící v pozadí Giustinianina nečekaného rozhodnutí : vždyť jí koneckonců sám vždycky doporučoval, aby se provdala za starého muže, a cher frère v něm určitě rozpoznával praktické stránky její situace."
"marry","marry","provdala","provdat","pf"," Andrea, still entangled in his complicated affair with M., must have appreciated the logic behind Giustiniana 's snap decision : after all, he had always encouraged her to marry an old man and the cher frére in him surely saw the practical benefits of her situation."," Andrea, stále ještě zapletený do své složité záležitosti s M., jistě ocenil logiku stojící v pozadí Giustinianina nečekaného rozhodnutí : vždyť jí koneckonců sám vždycky doporučoval, aby se provdala za starého muže, a cher frère v něm určitě rozpoznával praktické stránky její situace."
"imagine","imagine","představit","představit","pf"," But it is hard to imagine that the news did not set off a certain amount of inner turmoil in the old lover."," Těžko si však představit, že by ta zpráva nevyvolala v dávném milenci určitou dávku vnitřního zmatku."
"did","do","nevyvolala","vyvolat","pf"," But it is hard to imagine that the news did not set off a certain amount of inner turmoil in the old lover."," Těžko si však představit, že by ta zpráva nevyvolala v dávném milenci určitou dávku vnitřního zmatku."
"married","marry","oddáni","oddat","pf"," The count and Giustiniana were married on November 4, 1761."," Hrabě a Giustiniana byli oddáni 4. listopadu 1760."
"read","read","četl","číst","impf"," Sleepily, Andrea read on :"," Rozespalý Andrea četl :"
"ask","ask","poprosit","poprosit","pf"," My wish for revenge is giving in to my good heart, and I am about to ask you that yours give in as well for love of me."," Moje touha po odvetě je slabší než dobrota mého srdce a chystám se poprosit tě, aby tomu tak bylo i u tebe - pro lásku ke mně."
"detained","detain","zadržen","zadržet","pf"," I foresee a thousand troubles if you have [ Zandiri ] detained."," Zařídíš - li, aby byl Giacomo zadržen, budou před námi, jak to vidím, tisíce trampot."
"abandoning","abandon","opustit","opustit","pf"," My mother would be so furious she would be capable of abandoning the family and ruining us all."," Matka by se mohla tak rozzuřit, že by byla schopna opustit rodinu a všechny nás zničit."
"ruining","ruin","zničit","zničit","pf"," My mother would be so furious she would be capable of abandoning the family and ruining us all."," Matka by se mohla tak rozzuřit, že by byla schopna opustit rodinu a všechny nás zničit."
"give","give","dej","dát","pf"," Memmo, give in to me, give up your resentment to your Giustiniana, who beseeches you."," Memmo, dej na mne, kvůli své Giustinianě zanech hněvu, to ona tě moc prosí."
"give","give","dej","dát","pf"," Memmo, give in to me, give up your resentment to your Giustiniana, who beseeches you."," Memmo, dej na mne, kvůli své Giustinianě zanech hněvu, to ona tě moc prosí."
"beseeches","beseech","prosí","prosit","impf"," Memmo, give in to me, give up your resentment to your Giustiniana, who beseeches you."," Memmo, dej na mne, kvůli své Giustinianě zanech hněvu, to ona tě moc prosí."
"confused","confuse","zmaten","zmást","pf"," Utterly confused, he resorted to reading excerpts of some of Giustiniana 's earlier letters out loud to prove to others that she had harbored misgivings about the marriage and might well have fled out of sheer panic."," Naprosto zmaten se uchýlil k tomu, že jim nahlas předčítal úryvky z některých Giustinianiných dřívějších dopisů, aby dokázal, že ji opravdu trápily obavy z chystaného sňatku a mohla tedy docela dobře uprchnout z pouhé paniky."
"resorted","resort","uchýlil","uchýlit","pf"," Utterly confused, he resorted to reading excerpts of some of Giustiniana 's earlier letters out loud to prove to others that she had harbored misgivings about the marriage and might well have fled out of sheer panic."," Naprosto zmaten se uchýlil k tomu, že jim nahlas předčítal úryvky z některých Giustinianiných dřívějších dopisů, aby dokázal, že ji opravdu trápily obavy z chystaného sňatku a mohla tedy docela dobře uprchnout z pouhé paniky."
"fled","flee","uprchnout","uprchnout","pf"," Utterly confused, he resorted to reading excerpts of some of Giustiniana 's earlier letters out loud to prove to others that she had harbored misgivings about the marriage and might well have fled out of sheer panic."," Naprosto zmaten se uchýlil k tomu, že jim nahlas předčítal úryvky z některých Giustinianiných dřívějších dopisů, aby dokázal, že ji opravdu trápily obavy z chystaného sňatku a mohla tedy docela dobře uprchnout z pouhé paniky."
"defending","defend","hájil","hájit","impf"," But beyond defending Giustiniana 's honor, what was he to believe?"," Avšak nehledě na to, že hájil Giustinianinu čest, čemu on sám měl věřit?"
"believe","believe","věřit","věřit","impf"," But beyond defending Giustiniana 's honor, what was he to believe?"," Avšak nehledě na to, že hájil Giustinianinu čest, čemu on sám měl věřit?"
"get","get","získat","získat","pf"," Andrea 's attempts to get credible information from his friends in Paris were frustrated."," Andreovy snahy získat spolehlivé informace od přátel v Paříži byly marné."
"cried","cry","volal","volat","impf"," "" Mademoiselle, do not move, "" the captain cried out."," "" Slečno, neotáčejte se, "" volal kapitán."
"forbids","forbid","zakazuje","zakazovat","impf"," If your good friend forbids you to write to me, give her satisfaction ...."," Jestli Vám Vaše dobrá přítelkyně zakazuje, abyste mi psal, vyhovte jí."
"write","write","psal","psát","impf"," If your good friend forbids you to write to me, give her satisfaction ...."," Jestli Vám Vaše dobrá přítelkyně zakazuje, abyste mi psal, vyhovte jí."
"expected","expect","předpokládala","předpokládat","impf"," A friend must be sympathetic, and I would be quite an ungrateful one if I expected you to sacrifice the slightest pleasure for my sake."," Přítel musí umět mít pochopení, a byla bych úplný nevděčník, kdybych předpokládala, že byste měl kvůli mně obětovat sebemenší potěšení."
"want","want","nechtěla","chtít","impf"," I was so struck by this idea yesterday that I did n't want to write to you anymore."," Touto představou jsem včera byla tak ohromena, že už jsem Vám vůbec nechtěla psát."
"write","write","psát","psát","impf"," I was so struck by this idea yesterday that I did n't want to write to you anymore."," Touto představou jsem včera byla tak ohromena, že už jsem Vám vůbec nechtěla psát."
"Believe","believe","Důvěřujte","důvěřovat","impf"," Believe me : let us speak the truth."," Důvěřujte mi : říkejme si pravdu."
"speak","speak","říkejme","říkat","impf"," Believe me : let us speak the truth."," Důvěřujte mi : říkejme si pravdu."
"meet","meet","setkáme","setkat","pf"," If we meet, I will behave with the grace that my immutable friendship as well as the memory of my gratitude will inspire."," Jestliže se setkáme, budu se chovat tak vlídně, jak mi bude velet moje nezměnitelné přátelství a vědomí toho, jak Vám musím být vděčná."
"behave","behave","chovat","chovat","impf"," If we meet, I will behave with the grace that my immutable friendship as well as the memory of my gratitude will inspire."," Jestliže se setkáme, budu se chovat tak vlídně, jak mi bude velet moje nezměnitelné přátelství a vědomí toho, jak Vám musím být vděčná."
"began","begin","začali","začít","pf"," Soon they began to see each other, sometimes even in Piazza San Marco or Campo Santo Stefano during the evening stroll."," Brzy se začali i vídat, někdy dokonce při večerní procházce na Piazza San Marco nebo na Campo Santo Stefano."
"laughed","laugh","smála","smát","impf"," Giustiniana even laughed at her own foibles :"," Giustiniana se dokonce smála svým vlastním slabůstkám :"
"express","express","vyslovit","vyslovit","pf"," Oh God, my Memmo, how can I express these overflowing emotions?"," Ach Bože, Memmo, jak jen jsem mohla vyslovit ty nabubřelé citové výlevy?"
"tell","tell","říci","říci","pf"," How can I tell you that ... you are my true happiness, my only treasure?"," Jak ti mám říci, že tě miluji, ... že jsi moje opravdové štěstí, můj jediný poklad?"
"prevailed","prevail","převládal","převládat","impf"," But until then there prevailed a sense that things would go on unchanged as they had for centuries and that life should therefore be enjoyed to the fullest."," Až do té doby však ve městě převládal pocit, že se nic nemůže změnit, že věci půjdou dál stejně, jako šly po celá staletí, a že tedy lze užívat života plnými doušky."
"go","go","půjdou","jít","impf"," But until then there prevailed a sense that things would go on unchanged as they had for centuries and that life should therefore be enjoyed to the fullest."," Až do té doby však ve městě převládal pocit, že se nic nemůže změnit, že věci půjdou dál stejně, jako šly po celá staletí, a že tedy lze užívat života plnými doušky."
"go","go","šly","jít","impf"," But until then there prevailed a sense that things would go on unchanged as they had for centuries and that life should therefore be enjoyed to the fullest."," Až do té doby však ve městě převládal pocit, že se nic nemůže změnit, že věci půjdou dál stejně, jako šly po celá staletí, a že tedy lze užívat života plnými doušky."
"enjoyed","enjoy","užívat","užívat","impf"," But until then there prevailed a sense that things would go on unchanged as they had for centuries and that life should therefore be enjoyed to the fullest."," Až do té doby však ve městě převládal pocit, že se nic nemůže změnit, že věci půjdou dál stejně, jako šly po celá staletí, a že tedy lze užívat života plnými doušky."
"shouted","shout","křičel","křičet","impf"," She was a "" wicked "" woman, he shouted at her, and "" thoughtless "" and "" duplicitous. """," Je prý "" darebná "" žena, křičel na ni, "" lehkomyslná "" a "" neupřímná ""."
"contain","contain","ovládnout","ovládnout","pf"," He could not contain himself."," Nedokázal se ovládnout."
"withstand","withstand","odolávat","odolávat","impf"," "" For two hours I had to withstand the assault of a man who rarely gets angry at all. """," "" Dvě hodiny jsem musela odolávat výpadům člověka, který se tak málokdy rozčilí. """
"seen","see","neviděla","vidět","impf"," She had never seen him explode like that before."," Nikdy předtím ho neviděla tak vybuchnout."
"explode","explode","vybuchnout","vybuchnout","pf"," She had never seen him explode like that before."," Nikdy předtím ho neviděla tak vybuchnout."
"insisting","insist","trvala","trvat","impf"," She held her ground, insisting she would not give up writing letters to Andrea."," Neustoupila a trvala na tom, že se psaní dopisů Andreovi nevzdá."
"wanted","want","nechceš","chtít","impf"," But you would n't have wanted me to get on the wrong side of this indiscreet chatterer, would you? """," Ale ty přece nechceš, abych si to s tímhle indiskrétním tlachalem rozházel, viď? """
"agreed","agree","souhlasil","souhlasit","impf"," Still, he agreed with Giustiniana that the abbé would probably try to "" hurt "" them anyway because of "" the sheer weirdness of his character. """," Přesto však souhlasil s Giustinianou, že se abbé možná pokusí nějak je poškodit, už jen proto, že "" má takovou zvláštní povahu ""."
"try","try","pokusí","pokusit","pf"," Still, he agreed with Giustiniana that the abbé would probably try to "" hurt "" them anyway because of "" the sheer weirdness of his character. """," Přesto však souhlasil s Giustinianou, že se abbé možná pokusí nějak je poškodit, už jen proto, že "" má takovou zvláštní povahu ""."
"hurt","hurt","poškodit","poškodit","pf"," Still, he agreed with Giustiniana that the abbé would probably try to "" hurt "" them anyway because of "" the sheer weirdness of his character. """," Přesto však souhlasil s Giustinianou, že se abbé možná pokusí nějak je poškodit, už jen proto, že "" má takovou zvláštní povahu ""."
"told","tell","řekl","říci","pf"," Given what we know of Testagrossa, it is certainly plausible that he casually told the consul-perhaps over a meal at Palazzo Balbi-that he had seen the two lovers alone near Campo Santo Stefano."," Podle toho, co o Testagrossovi víme, je rozhodně pravděpodobné, že příležitostně - třeba u jídla v Palazzo Balbi - řekl konzulovi, že oba milence viděl o samotě blízko Campo Santo Stefano."
"seen","see","viděl","vidět","impf"," Given what we know of Testagrossa, it is certainly plausible that he casually told the consul-perhaps over a meal at Palazzo Balbi-that he had seen the two lovers alone near Campo Santo Stefano."," Podle toho, co o Testagrossovi víme, je rozhodně pravděpodobné, že příležitostně - třeba u jídla v Palazzo Balbi - řekl konzulovi, že oba milence viděl o samotě blízko Campo Santo Stefano."
"turned","turn","změnil","změnit","pf"," August turned into September, and still the consul made no official proposal."," Srpen se změnil v září a konzul se stále ještě oficiálně nevyjádřil."
"arrived","arrive","přijel","přijet","pf"," He arrived in Paris on January 5, 1757- the very day of the assassination attempt on the king."," Do Paříže přijel 5. ledna 1757 - právě v den, kdy byl spáchán pokus o zavraždění krále."
"see","see","navštívil","navštívit","pf"," The first person he went to see was his old "" comrade in arms, "" the Abbé de Bernis, then at the height of his power."," První osoba, kterou navštívil, byl jeho starý "" druh ve zbrani "" abbé de Bernis, který byl tehdy právě na vrcholu moci."
"seems","seem","Zdá","zdát","impf"," It seems she overcame the initial hostility of the local nobility and managed to establish cordial relations with the Rosenberg family."," Zdá se, že se vypořádala s počáteční nepřízní místní šlechty a s rodinou Rosenbergových se jí podařilo navázat srdečné vztahy."
"managed","manage","podařilo","podařit","pf"," It seems she overcame the initial hostility of the local nobility and managed to establish cordial relations with the Rosenberg family."," Zdá se, že se vypořádala s počáteční nepřízní místní šlechty a s rodinou Rosenbergových se jí podařilo navázat srdečné vztahy."
"led","lead","vedla","vést","impf"," Her character would have led her to make the best of her stay and to gather as many interesting people around her as she could."," Její povaha ji nejspíše vedla k tomu, aby využila svého pobytu v Rakousku co nejlépe a shromáždila kolem sebe co nejvíce zajímavých lidí."
"gather","gather","shromáždila","shromáždit","pf"," Her character would have led her to make the best of her stay and to gather as many interesting people around her as she could."," Její povaha ji nejspíše vedla k tomu, aby využila svého pobytu v Rakousku co nejlépe a shromáždila kolem sebe co nejvíce zajímavých lidí."
"remained","remain","zůstávat","zůstávat","impf"," Still, she must have remained an outsider in the eyes of the provincial Klagenfurt society : it is hard to imagine Giustiniana turning into a German-speaking Austrian countess."," Pro provinciální klagenfurtskou společnost musela však přesto zůstávat outsiderem : je těžké si představit, že by se Giustiniana změnila v německy mluvící rakouskou hraběnku."
"imagine","imagine","představit","představit","pf"," Still, she must have remained an outsider in the eyes of the provincial Klagenfurt society : it is hard to imagine Giustiniana turning into a German-speaking Austrian countess."," Pro provinciální klagenfurtskou společnost musela však přesto zůstávat outsiderem : je těžké si představit, že by se Giustiniana změnila v německy mluvící rakouskou hraběnku."
"turning","turn","změnila","změnit","pf"," Still, she must have remained an outsider in the eyes of the provincial Klagenfurt society : it is hard to imagine Giustiniana turning into a German-speaking Austrian countess."," Pro provinciální klagenfurtskou společnost musela však přesto zůstávat outsiderem : je těžké si představit, že by se Giustiniana změnila v německy mluvící rakouskou hraběnku."
"told","tell","pověděl","povědět","pf"," Casanova told the Countess du Rumain the whole story."," Casanova pověděl hraběnce du Rumain celý příběh."
"asked","ask","požádal","požádat","pf"," At the end, he asked if she knew of a safe refuge where Giustiniana could deliver the baby."," Nakonec ji požádal, zda neví o nějakém bezpečném útočišti, kde by Giustiniana mohla dítě porodit."
"leaving","leave","odjela","odjet","pf"," "" I 'm afraid that since leaving Italy I no longer see the point of these games ...."," "" Bohužel, od té doby, co jsem odjela z Itálie, nevidím již v takovýchto hrách žádný smysl."
"see","see","nevidím","vidět","impf"," "" I 'm afraid that since leaving Italy I no longer see the point of these games ...."," "" Bohužel, od té doby, co jsem odjela z Itálie, nevidím již v takovýchto hrách žádný smysl."
"do","do","učiním","učinit","pf"," I will do whatever else you ask. """," Jinak učiním, cokoliv si budete přát. """
"remained","remain","zůstali","zůstat","pf"," But over the years they remained very close."," Po všechna léta si však zůstali velmi blízcí."
"met","meet","setkaly","setkat","pf"," And when their paths did cross, they always met with that tenderness a first great love can create to last a lifetime."," A kdykoli se jejich cesty setkaly, vždy spolu jednali s onou něžností, jakou může vytvořit a po celý život vyživovat jedině první veliká láska."
"did","do","jednali","jednat","impf"," And when their paths did cross, they always met with that tenderness a first great love can create to last a lifetime."," A kdykoli se jejich cesty setkaly, vždy spolu jednali s onou něžností, jakou může vytvořit a po celý život vyživovat jedině první veliká láska."
"create","create","vytvořit","vytvořit","pf"," And when their paths did cross, they always met with that tenderness a first great love can create to last a lifetime."," A kdykoli se jejich cesty setkaly, vždy spolu jednali s onou něžností, jakou může vytvořit a po celý život vyživovat jedině první veliká láska."
