"hurried","hurry","spěchal","spěchat","impf"," Mr. Weasley blinked rather rapidly, then he too hurried to hug his son."," Pan Weasley několikrát dost rychle zamrkal a pak také spěchal syna obejmout."
"hug","hug","obejmout","obejmout","pf"," Mr. Weasley blinked rather rapidly, then he too hurried to hug his son."," Pan Weasley několikrát dost rychle zamrkal a pak také spěchal syna obejmout."
"looked","look","pohlédla","pohlédnout","pf"," Her face fell as she looked into Harry ’ s face : humor gone, terror replacing it ...."," Když pohlédla Harrymu do tváře, obličej se jí protáhl a smích v něm vystřídala hrůza."
"held","hold","držela","držet","impf"," A white hand held it steady, prevented her shutting him out ..."," Bílá ruka je však pevně držela a nedovolila ženě zabouchnout mu před nosem."
"want","want","Chci","chtít","impf"," “ I want Gregorovitch. ”"," "" Chci Gregoroviče. """
"live","live","nebydlí","bydlet","impf"," “ He no live here!"," "" On nebydlí tady!"
"live","live","Nebydlí","bydlet","impf"," He no live here!"," Nebydlí tady!"
"believe","believe","Nevěř","věřit","impf"," “ Don ’ t believe a word of it! ” said Doge at once."," "" Nevěř jí ani slovo! "" vyjel okamžitě Dóže."
"Let","let","Nedovol","dovolit","pf"," Let nothing tarnish your memories of Albus Dumbledore! ”"," Nedovol, aby něco tvoje vzpomínky na Albuse Brumbála poskvrnilo! """
"looked","look","díval","dívat","impf"," Harry looked into Doge ’ s earnest, pained face, and felt, not reassured, but frustrated."," Harry se díval kouzelníkovi do upřímného a bolestně zkřiveného obličeje, a místo uklidnění cítil jen zklamání."
"felt","feel","cítil","cítit","impf"," Harry looked into Doge ’ s earnest, pained face, and felt, not reassured, but frustrated."," Harry se díval kouzelníkovi do upřímného a bolestně zkřiveného obličeje, a místo uklidnění cítil jen zklamání."
"think","think","myslí","myslet","impf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"believe","believe","myslí","myslet","impf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"choose","choose","rozhodnout","rozhodnout","pf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"think","think","má","mít","impf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"think","think","věřit","věřit","impf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"believe","believe","věřit","věřit","impf"," Did Doge really think it was that easy, that Harry could simply choose not to believe?"," Cožpak si Dóže vážně myslí, že je to tak jednoduché, že se Harry může prostě rozhodnout, čemu má věřit?"
"understand","understand","Nechápe","chápat","impf"," Didn ’ t Doge understand Harry ’ s need to be sure, to know everything? ”"," Nechápe snad, že si musí být jistý, že se musí dozvědět úplně všechno?"
"need","need","musí","muset","impf"," Didn ’ t Doge understand Harry ’ s need to be sure, to know everything? ”"," Nechápe snad, že si musí být jistý, že se musí dozvědět úplně všechno?"
"need","need","musí","muset","impf"," Didn ’ t Doge understand Harry ’ s need to be sure, to know everything? ”"," Nechápe snad, že si musí být jistý, že se musí dozvědět úplně všechno?"
"open","open","otevře","otevřít","pf"," Get him to open it, now! ”"," Řekněte mu, ať je okamžitě otevře! """
"answering","answer","Neodpovídá","odpovídat","impf"," “ She ai n't answering, you old besom!"," "" Neodpovídá mi, vy stará můro!"
"open","open","Otevřete","otevřít","pf"," You open it!"," Otevřete je vy!"
"make","make","Uvařím","uvařit","pf"," “ I ’ ll make some tea, ” said Hermione breathlessly, pulling kettle and mugs from the depths of her bag and heading toward the kitchen."," "" Uvařím trochu čaje, "" nabídla se zadýchaná Hermiona, vytáhla z hlubin kabelky čajovou konvici a hrnečky a zamířila do kuchyně."
"pulling","pull","vytáhla","vytáhnout","pf"," “ I ’ ll make some tea, ” said Hermione breathlessly, pulling kettle and mugs from the depths of her bag and heading toward the kitchen."," "" Uvařím trochu čaje, "" nabídla se zadýchaná Hermiona, vytáhla z hlubin kabelky čajovou konvici a hrnečky a zamířila do kuchyně."
"found","find","zjistil","zjistit","pf"," Harry found the hot drink as welcome as the firewhisky had been on the night that Mad-Eye had died;"," Harry zjistil, že mu horký čaj přišel stejně vhod jako ohnivá whisky toho večera, kdy zemřel Pošuk;"
"died","die","zemřel","zemřít","pf"," Harry found the hot drink as welcome as the firewhisky had been on the night that Mad-Eye had died;"," Harry zjistil, že mu horký čaj přišel stejně vhod jako ohnivá whisky toho večera, kdy zemřel Pošuk;"
"broke","break","přerušil","přerušit","pf"," After a minute or two, Ron broke the silence."," Po minutě či dvou přerušil Ron všeobecné mlčení."
"saw","see","viděl","vidět","impf"," Harry saw Hermione give Ron a little push and he hurried out of the lift, followed by the other wizards, leaving Harry and Hermione alone."," Harry viděl, jak Hermiona Rona nenápadně postrčila;"
"saved","save","zachránil","zachránit","pf"," "" Yea but coming from Dudley that 's like ' I love you, ' "" said Harry, torn between annoyance and a desire to laugh as Aunt Petunia continued to clutch at Dudley as if he had just saved Harry from a burning building."," "" Jo, jenže od Dudleyho to zní, jako by mi vyznal lásku, "" poznamenal Harry, který kolísal mezi rozhořčením a touhou rozchechtat se, když viděl, jak k sobě teta Petunie Dudleyho tiskne, jako by právě Harryho zachránil z hořícího domu."
"going","go","jdeme","jít","impf"," "" Are we going or not? "" roared Uncle Vernon, reappearing yet again at the living room door."," "" Tak jdeme nebo ne? "" zaburácel strýc Vernon, který se ještě naposledy objevil ve dveřích obývacího pokoje."
"thought","think","Myslel","myslet","impf"," "" I thought we were on a tight schedule! """," "" Myslel jsem, že máme málo času! """
"thought","think","máme","mít","impf"," "" I thought we were on a tight schedule! """," "" Myslel jsem, že máme málo času! """
"think","think","nemá","mít","impf"," “ Well then, I think the answer is that a circle has no beginning. ”"," "" Tak dobrá, odpověď podle mě zní, že kruh nemá začátek. """
"seen","see","viděl","vidět","impf"," The deserted Ravenclaw common room was a wide, circular room, airier than any Harry had ever seen at Hogwarts."," Liduprázdnou havraspárskou společenskou místnost tvořila široká kruhovitá komnata, mnohem vzdušnější než všechny, které kdy Harry v Bradavicích viděl."
