"glanced","glance","pohlédl","pohlédnout","pf"," Harry glanced at Hermione, who looked very frightened but nodded."," Harry pohlédl na Hermionu, která se tvářila vylekaně, přesto však přikývla."
"looked","look","pohlédl","pohlédnout","pf"," Harry glanced at Hermione, who looked very frightened but nodded."," Harry pohlédl na Hermionu, která se tvářila vylekaně, přesto však přikývla."
"nodded","nod","přikývla","přikývnout","pf"," Harry glanced at Hermione, who looked very frightened but nodded."," Harry pohlédl na Hermionu, která se tvářila vylekaně, přesto však přikývla."
"leading","lead","vedly","vést","impf"," The room was deserted, but a door to their right stood open, leading to a shadowy hallway."," V místnosti nikdo nebyl, vpravo však uviděl otevřené dveře, jež vedly do temné předsíňky."
"grabbed","grab","chytila","chytit","pf"," Hermione suddenly grabbed Harry 's arm again."," Vtom ho Hermiona znovu chytila za paži."
"whispered","whisper","zašeptala","zašeptat","pf"," "" Harry, "" she whispered, "" I think we 're in the Shrieking Shack. """," "" Harry, "" zašeptala, "" myslím, že jsme se dostali do Chroptící chýše. """
"think","think","myslím","myslet","impf"," "" Harry, "" she whispered, "" I think we 're in the Shrieking Shack. """," "" Harry, "" zašeptala, "" myslím, že jsme se dostali do Chroptící chýše. """
"looked","look","díval","dívat","impf"," Harry looked around."," Harry se díval kolem."
"fell","fall","padly","padnout","pf"," His eyes fell on a wooden chair near them."," Oči mu padly na čalouněné křeslo, které leželo kousíček od nich."
"touched","touch","nedotkl","dotknout","pf"," "" I have n't touched it, all right? "" Ron roared back."," "" Já se ho ani nedotkl, rozumíš? "" bránil se stejně hlasitě Ron."
"left","leave","nechal","nechat","pf"," "" I think I might 've left it in the bar -- """," "" Možná jsem ho nechal ve výčepu ... """
"Did","do","udělala","udělat","pf"," "" Did you feel how cold it got when it came in? """," "" Všimli jste si, jaká se tady udělala zima, když vešel? """
"came","come","udělala","udělat","pf"," "" Did you feel how cold it got when it came in? """," "" Všimli jste si, jaká se tady udělala zima, když vešel? """
"felt","feel","Cítil","cítit","impf"," I felt weird, "" said Ron, shifting his shoulders uncomfortably."," "" Cítil jsem se tak divně, "" přidal se k němu Ron a neklidně škubl rameny."
"watch","watch","dívejte","dívat","impf"," "" Everyone gather ' round, "" said Snape, his black eyes glittering, and watch what happens to Longbottom 's toad."," "" Postavte se všichni kolem, "" vyzval Snape třídu, "" a dívejte se, co se stane Longbottomově ropuše."
"managed","manage","podařilo","podařit","pf"," If he has managed to produce a Shrinking Solution, it will shrink to a tadpole."," Pokud se Longbottomovi podařilo namíchat zmenšovací dryák, scvrkne se v pulce."
"doubt","doubt","nepochybuji","pochybovat","impf"," If, as I do n't doubt, he has done it wrong, his toad is likely to be poisoned. """," Pokud se dopustil nějaké chyby, o čemž ani v nejmenším nepochybuji, pravděpodobně se otráví. """
"poisoned","poison","otráví","otrávit","pf"," If, as I do n't doubt, he has done it wrong, his toad is likely to be poisoned. """," Pokud se dopustil nějaké chyby, o čemž ani v nejmenším nepochybuji, pravděpodobně se otráví. """
"shouting","shout","křičela","křičet","impf"," "" An unworthy trick! "" she was shouting."," "" To byl ale zavrženíhodný trik! "" křičela."
"speaking","speak","promluvím","promluvit","pf"," I shall be speaking to Professor Dumbledore about this, make no mistake!"," A buďte si jistí, že si o tom promluvím s profesorem Brumbálem!"
"comes","come","přichází","přicházet","impf"," Ah, here he comes now! """," Vida, právě přichází! """
