"remove","remove","odstranit","odstranit","pf"," And the way to remove the mistake is to get a more sophisticated concept of causation."," A tento omyl je možno odstranit tak, že zpřesníme pojem kauzality."
"said","say","říká","říkat","impf"," McCarthy says[ ]even ‘ machines as simple as thermostats can be said to have beliefs ’."," McCarthy říká, že dokonce i o tak jednoduchých strojích jako termostaty můžeme říci, že mají přesvědčení."
"said","say","říci","říci","pf"," McCarthy says[ ]even ‘ machines as simple as thermostats can be said to have beliefs ’."," McCarthy říká, že dokonce i o tak jednoduchých strojích jako termostaty můžeme říci, že mají přesvědčení."
"produced","produce","vytvářejí","vytvářet","impf"," The smell of a rose, the experience of the blue of the sky, the taste of onions, the thought of a mathematical formula : all of these are produced by variable rates of neuron-firing, in different circuits, relative to different local conditions in the brain."," Vůně růže, zkušenost nebeského blankytu, chuť cibule, uvažování o matematickém vzorci, to všechno vytvářejí různě intenzívní excitace neuronů v různých neuronálních uskupeních, příslušejících k rozdílným místním podmínkám mozku."
"did","do","udělali","udělat","pf"," There are all sorts of experiences that we have in life where it seems just a fact of our experience that though we did one thing, we feel we know perfectly well that we could have done something else."," V životě máme nejrůznější zkušenosti, kde ač jsme něco udělali, přesto cítíme, že jsme mohli udělat i něco jiného."
"done","do","udělali","udělat","pf"," There are all sorts of experiences that we have in life where it seems just a fact of our experience that though we did one thing, we feel we know perfectly well that we could have done something else."," V životě máme nejrůznější zkušenosti, kde ač jsme něco udělali, přesto cítíme, že jsme mohli udělat i něco jiného."
"feel","feel","cítíme","cítit","impf"," There are all sorts of experiences that we have in life where it seems just a fact of our experience that though we did one thing, we feel we know perfectly well that we could have done something else."," V životě máme nejrůznější zkušenosti, kde ač jsme něco udělali, přesto cítíme, že jsme mohli udělat i něco jiného."
"did","do","udělat","udělat","pf"," There are all sorts of experiences that we have in life where it seems just a fact of our experience that though we did one thing, we feel we know perfectly well that we could have done something else."," V životě máme nejrůznější zkušenosti, kde ač jsme něco udělali, přesto cítíme, že jsme mohli udělat i něco jiného."
"done","do","udělat","udělat","pf"," There are all sorts of experiences that we have in life where it seems just a fact of our experience that though we did one thing, we feel we know perfectly well that we could have done something else."," V životě máme nejrůznější zkušenosti, kde ač jsme něco udělali, přesto cítíme, že jsme mohli udělat i něco jiného."
"chose","choose","rozhodli","rozhodnout","pf"," We know we could have done something else, because we chose one thing for certain reasons."," A víme to, protože jsme se pro to z nějakých důvodů rozhodli."
"choosing","choose","rozhodnout","rozhodnout","pf"," But we were aware that there were also reasons for choosing something else, and indeed, we might have acted on those reasons and chosen that something else."," Proto víme i o důvodech pro jiné alternativy a ve shodě s těmito důvody jsme se mohli rozhodnout také pro něco jiného."
"chosen","choose","rozhodnout","rozhodnout","pf"," But we were aware that there were also reasons for choosing something else, and indeed, we might have acted on those reasons and chosen that something else."," Proto víme i o důvodech pro jiné alternativy a ve shodě s těmito důvody jsme se mohli rozhodnout také pro něco jiného."
"Understanding","understand","Porozumět","porozumět","pf"," Understanding a language, or indeed, having mental states at all, involves more than just having a bunch of formal symbols."," Porozumět nějakému jazyku nebo se nalézat v jistém mentálním stavu, na to nestačí několik formálních symbolů."
"suppose","suppose","předpokládáme","předpokládat","impf"," And we suppose that there must also be a neurophysiological sort of explanation of people ’ s behaviour in terms of processes in their brains."," Kromě toho předpokládáme, že musejí existovat také neurofyziologická vysvětlení lidského chování užívající označení pro procesy v mozku."
"object","object","namítnout","namítnout","pf"," ‘ Well, ’ someone might object, ‘ in order to have rigorous[ ]social sciences we don ’ t need a strict match between properties of things in the world."," ' Dobrá, ' mohl by někdo namítnout, ' ale k tomu, aby byly sociální vědy přísně vědecké, není nutná přesná shoda ve vlastnostech světa."
"need","need","musí","muset","impf"," All we need is a strict match between[ ]psychological properties and features of the brain."," Odpovídat si musí hlavně psychické vlastnosti a vlastnosti mozku."
"try","try","pokusme","pokusit","pf"," To get a feel for how this works, let ’ s try to describe the causal[ ]processes in some detail for at least one kind of mental state."," Abychom lépe porozuměli jejich fungování, pokusme se popsat některé detaily kauzálních procesů alespoň v rámci jednoho mentálního stavu."
"describe","describe","popsat","popsat","pf"," To get a feel for how this works, let ’ s try to describe the causal[ ]processes in some detail for at least one kind of mental state."," Abychom lépe porozuměli jejich fungování, pokusme se popsat některé detaily kauzálních procesů alespoň v rámci jednoho mentálního stavu."
"carried","carry","má","mít","impf"," This has the consequence that our beliefs will be true if they match the way the world is, false if they don ’ t; our desires will be fulfilled or frustrated, our intentions carried out or not carried out."," To má za následek, že naše přesvědčení jsou pravdivá, odpovídají - li stavu světa, a nepravdivá, je - li tomu jinak, podobně jako jsou v tomto smyslu splněna nebo zklamána naše přání, realizovány a nerealizovány naše záměry."
"carried","carry","má","mít","impf"," This has the consequence that our beliefs will be true if they match the way the world is, false if they don ’ t; our desires will be fulfilled or frustrated, our intentions carried out or not carried out."," To má za následek, že naše přesvědčení jsou pravdivá, odpovídají - li stavu světa, a nepravdivá, je - li tomu jinak, podobně jako jsou v tomto smyslu splněna nebo zklamána naše přání, realizovány a nerealizovány naše záměry."
"match","match","odpovídají","odpovídat","impf"," This has the consequence that our beliefs will be true if they match the way the world is, false if they don ’ t; our desires will be fulfilled or frustrated, our intentions carried out or not carried out."," To má za následek, že naše přesvědčení jsou pravdivá, odpovídají - li stavu světa, a nepravdivá, je - li tomu jinak, podobně jako jsou v tomto smyslu splněna nebo zklamána naše přání, realizovány a nerealizovány naše záměry."
"fulfilled","fulfill","splněna","splnit","pf"," This has the consequence that our beliefs will be true if they match the way the world is, false if they don ’ t; our desires will be fulfilled or frustrated, our intentions carried out or not carried out."," To má za následek, že naše přesvědčení jsou pravdivá, odpovídají - li stavu světa, a nepravdivá, je - li tomu jinak, podobně jako jsou v tomto smyslu splněna nebo zklamána naše přání, realizovány a nerealizovány naše záměry."
"frustrated","frustrate","zklamána","zklamat","pf"," This has the consequence that our beliefs will be true if they match the way the world is, false if they don ’ t; our desires will be fulfilled or frustrated, our intentions carried out or not carried out."," To má za následek, že naše přesvědčení jsou pravdivá, odpovídají - li stavu světa, a nepravdivá, je - li tomu jinak, podobně jako jsou v tomto smyslu splněna nebo zklamána naše přání, realizovány a nerealizovány naše záměry."
"think","think","nemá","mít","impf"," To put it at its crudest : When people[ ]perform mental operations, they actually think, and thinking characteristically involves processing information of one kind or another."," Vedle toho však existuje i takový smysl "" zpracování informací "", který nemá nic společného s mentálními stavy."
"thinking","think","nemá","mít","impf"," To put it at its crudest : When people[ ]perform mental operations, they actually think, and thinking characteristically involves processing information of one kind or another."," Vedle toho však existuje i takový smysl "" zpracování informací "", který nemá nic společného s mentálními stavy."
