"work","work","Pracujete","pracovat","impf"," "" Do you work here at home? "" I asked."," "" Pracujete tady doma? "" vyzvídala jsem."
"like","like","líbí","líbit","impf"," It 's a long walk, but I like the flowers."," Je to dlouhá procházka, ale mně se moc líbí květiny."
"take","take","Vezmu","vzít","pf"," I 'll take you to see it while you 're here, if you 'd like to. """," Vezmu vás tam - jestli budete chtít. """
"like","like","chtít","chtít","impf"," I 'll take you to see it while you 're here, if you 'd like to. """," Vezmu vás tam - jestli budete chtít. """
"sat","sit","usadily","usadit","pf"," And Michelangelo 's David. Even when we sat down at last for caffe granita, our eyes went to the David, again and again."," A Michelangelův David ... I když jsme se konečně usadily u caffè granita, tak jsme pohledem znovu a znovu vyhledávaly sochu Davida."
"seem","seem","zdá","zdát","impf"," "" You seem to have noticed everything. """," "" Vám, jak se zdá, neunikl sebemenší detail! """
"meaning","mean","mínila","mínit","impf"," "" It must be awfully tiring, "" I said, meaning it."," "" To musí být příšerně únavné! "" usoudila jsem a mínila jsem to zcela vážně."
"coming","come","jezdím","jezdit","impf"," That 's why I love coming to Italy; Florence especially."," Proto tak strašně ráda jezdím do Itálie, zejména do Florencie."
"whispered","whisper","šeptala","šeptat","impf"," "" Wake up, "" I whispered, shaking his shoulder."," "" Probuď se! "" šeptala jsem a třásla mu ramenem."
"shaking","shake","třásla","třást","impf"," "" Wake up, "" I whispered, shaking his shoulder."," "" Probuď se! "" šeptala jsem a třásla mu ramenem."
"opening","open","otevřel","otevřít","pf"," "" Jus ' a minute, "" he mumbled, not opening his eyes."," "" Jen chviličku, "" zaprosil, aniž by otevřel oči."
"rest","rest","odpočinu","odpočinout","pf"," "" Jus ' got to rest a minute."," "" Jen si chviličku odpočinu."
"do","do","dělat","dělat","impf"," Then we 'll do it .... """," Pak budeme dělat ... """
"tell","tell","řekl","říci","pf"," I could tell from Joe 's face, intensely interested and composed, that he did not either."," Pak tam byl jeden vytáhlý muž z Mississippi, který nám řekl, že hraje tenis, novináři a hrstka spisovatelů, jejichž jména ani díla neznám."
"hate","hate","nenávidím","nenávidět","impf"," "" I hate Florence in the summer."," "" Já Florencii v létě nenávidím."
"stay","stay","Zůstanu","zůstat","pf"," I 'll stay and pass out the morning medications."," Zůstanu tu a rozdám dopolední dávku léků."
"get","get","dostat","dostat","pf"," Does n't Joe get a pill about midmorning? """," Nemá dostat Joe jeden prášek někdy během dopoledne? """
"bought","buy","nakoupila","nakoupit","pf"," He got up and opened the boxes and lifted out the things I 'd bought that morning, smiling quizzically as he held them up, one by one."," Vstal a rozbalil krabice, vytáhl z nich oblečení, které jsem mu dopoledne nakoupila, a usmíval se zaskočeně, když je kus za kusem vyndával."
"smiling","smile","usmíval","usmívat","impf"," He got up and opened the boxes and lifted out the things I 'd bought that morning, smiling quizzically as he held them up, one by one."," Vstal a rozbalil krabice, vytáhl z nich oblečení, které jsem mu dopoledne nakoupila, a usmíval se zaskočeně, když je kus za kusem vyndával."
"did","do","udělal","udělat","pf"," "" What did you do to your hand? "" I said."," "" Co sis udělal s rukou? "" zeptala jsem se."
"do","do","udělal","udělat","pf"," "" What did you do to your hand? "" I said."," "" Co sis udělal s rukou? "" zeptala jsem se."
"knocked","knock","srazil","srazit","pf"," "" I knocked him down, "" he said."," "" Já ho srazil pěstí, "" přiznal se."
"knocked","knock","srazil","srazit","pf"," "" You knocked Sam Forrest down? """," "" Tys srazil Sama Forresta pěstí? """
"asked","ask","Zeptal","zeptat","pf"," "" I asked him where you were."," "" Zeptal jsem se ho, kde jsi."
"tell","tell","prozradit","prozradit","pf"," He would n't tell me."," On mi to nechtěl prozradit."
"said","say","Řekl","říci","pf"," He said it was for you to decide if you wanted to tell me or not."," Řekl mi, že je na tobě, zda se rozhodneš mi to povědět, nebo ne."
"tell","tell","Řekl","říci","pf"," He said it was for you to decide if you wanted to tell me or not."," Řekl mi, že je na tobě, zda se rozhodneš mi to povědět, nebo ne."
"decide","decide","rozhodneš","rozhodnout","pf"," He said it was for you to decide if you wanted to tell me or not."," Řekl mi, že je na tobě, zda se rozhodneš mi to povědět, nebo ne."
"said","say","povědět","povědět","pf"," He said it was for you to decide if you wanted to tell me or not."," Řekl mi, že je na tobě, zda se rozhodneš mi to povědět, nebo ne."
"tell","tell","povědět","povědět","pf"," He said it was for you to decide if you wanted to tell me or not."," Řekl mi, že je na tobě, zda se rozhodneš mi to povědět, nebo ne."
"knocked","knock","praštil","praštit","pf"," And ... I knocked him down. """," A ... já ho praštil. """
"sounded","sound","zněl","znít","impf"," His voice sounded queer and stifled;"," Hlas mu zněl divně a nějak zdušeně."
"prevailed","prevail","vítězila","vítězit","impf"," The Domain prevailed."," Doména vítězila."
"realized","realize","Uvědomila","uvědomit","pf"," He had aged, I realized, like many men on the Mountain."," Uvědomila jsem si však nyní, že zestárl, jako mnoho mužů na Hoře."
"meet","meet","setkám","setkat","pf"," they were so obviously the people I had thought I would meet in his orbit when we first came to Rome, the international artsy set."," Věděla jsem, že se s podobnými lidmi v jeho kruzích setkám, když jsme se poprvé ocitli v Římě, s takovými mezinárodními uměleckými typy."
"see","see","neuvidím","uvidět","pf"," And I surely would not see them again after today."," Po dnešku se s nimi ale jistě neuvidím."
"think","think","myslím","myslet","impf"," A beach. Outside the lagoon, I think, "" Joe said, diverted."," Na pláži u laguny, myslím, "" odpověděl mi, pozornost už odvrácenou jiným směrem."
"said","say","odpověděl","odpovědět","pf"," A beach. Outside the lagoon, I think, "" Joe said, diverted."," Na pláži u laguny, myslím, "" odpověděl mi, pozornost už odvrácenou jiným směrem."
"tell","tell","říct","říci","pf"," "" I can tell you right now you wo n't like it, "" Sam said equably."," "" A já vám můžu říct hned teď, že se vám tam líbit nebude, "" ujistil ho s klidem Sam."
"said","say","říct","říci","pf"," "" I can tell you right now you wo n't like it, "" Sam said equably."," "" A já vám můžu říct hned teď, že se vám tam líbit nebude, "" ujistil ho s klidem Sam."
"like","like","líbit","líbit","impf"," "" I can tell you right now you wo n't like it, "" Sam said equably."," "" A já vám můžu říct hned teď, že se vám tam líbit nebude, "" ujistil ho s klidem Sam."
"speak","speak","nepromluvil","promluvit","pf"," He did not speak, only stood still, hipshot, in the forage cap and looked back at us."," On nepromluvil, stál před námi klidně, váhu přenesenou na jednu nohu, a stejně upřeným pohledem sledoval nás."
"said","say","pronesl","pronést","pf"," "" Hey, y'all, "" he said, in a truly terrible parody of a southern drawl."," "" Takže, vážení, "" zahájil a ta slova pronesl opravdu příšernou parodií jižanského táhlého přízvuku."
"sounds","sound","Zní","znít","impf"," "" It sounds very medieval, "" I said."," "" Zní to velice středověce, "" poznamenala jsem."
"see","see","vidím","vidět","impf"," "" I can just see her, out there over that old valley and that old town."," "" Přímo toho sokola vidím, jak krouží nad tímhle starým údolím a starobylým městem."
"felt","feel","Ucítila","ucítit","pf"," I felt tears spring into my gritty eyes and heard Joe say something swift and horrible under his breath."," Ucítila jsem, jak mi do unavených očí vhrkly slzy, a zaslechla jsem, jak ze sebe Joe rychle a šeptem vyrazil něco hrozného."
"heard","hear","zaslechla","zaslechnout","pf"," I felt tears spring into my gritty eyes and heard Joe say something swift and horrible under his breath."," Ucítila jsem, jak mi do unavených očí vhrkly slzy, a zaslechla jsem, jak ze sebe Joe rychle a šeptem vyrazil něco hrozného."
"do","do","udělám","udělat","pf"," I would do it as soon as I finished my brandy."," Přesně tohle udělám, jen co dopiju tu brandy."
"say","say","pronesl","pronést","pf"," "" Did he really say that? "" one of the women said, a tall blonde in a short black leather skirt."," "" Opravdu něco takového pronesl? "" otázala se jedna z žen, vysoká blondýna v krátké černé kožené sukni."
"said","say","pronesl","pronést","pf"," "" Did he really say that? "" one of the women said, a tall blonde in a short black leather skirt."," "" Opravdu něco takového pronesl? "" otázala se jedna z žen, vysoká blondýna v krátké černé kožené sukni."
"play","play","Hraju","hrát","impf"," I play tennis with him when he 's in Rome."," Hraju s ním tenis, když je v Římě."
"ask","ask","Zeptám","zeptat","pf"," I 'll ask him. """," Zeptám se ho na to. """
"said","say","odpověděla","odpovědět","pf"," "" Yes, "" she said."," "" Ano, "" odpověděla."
"gone","go","Odjeli","odjet","pf"," They gone in the big fan. """," Odjeli v tom velkém tranzitu. """
"grinned","grin","usmála","usmát","pf"," She grinned and threw her head back and pantomimed a wolf 's howl."," Žena se zeširoka usmála, pak zaklonila hlavu a napodobila vlčí vytí."
"see","see","Viděla","vidět","impf"," I could just see the Dekes doing it."," Viděla jsem přímo před očima, jak Američané takhle halekali."
"wearing","wear","měl","mít","impf"," "" Ah ... there was another gentleman with them, another American, tall, blond, wearing a blue jacket."," "" A ... byl s nimi ještě jeden pán, další Američan, vysoký, blond, na sobě měl modré sako."
"bent","bend","sklonil","sklonit","pf"," He bent and kissed me lightly and softly on the mouth and then sprinted back to the easel."," Sam se náhle sklonil, a políbil mě zlehka a něžně na ústa a potom opět odběhl k malířskému stojanu."
"kissed","kiss","políbil","políbit","pf"," He bent and kissed me lightly and softly on the mouth and then sprinted back to the easel."," Sam se náhle sklonil, a políbil mě zlehka a něžně na ústa a potom opět odběhl k malířskému stojanu."
"Did","do","udělal","udělat","pf"," "" Did I really do that? "" he asked."," "" Opravdu jsem to udělal? """
"do","do","udělal","udělat","pf"," "" Did I really do that? "" he asked."," "" Opravdu jsem to udělal? """
"think","think","myslel","myslet","impf"," Who did you think I was? """," Kdo jste si myslel, že jsem? """
"came","come","přišli","přijít","pf"," Dr. Scofield had known both of us since we came to Trinity."," Doktor Scofield nás znal oba od chvíle, kdy jsme na Trinity přišli."
"said","say","Pronesla","pronést","pf"," She said it in such an unmistakably spiteful tone that I could think of nothing to reply."," Pronesla to tak jednoznačně záštiplným tónem, že mě nenapadla žádná odpověď."
"painted","paint","maloval","malovat","impf"," It has n't been there in the other women I 've painted, or wanted to paint."," Ty ostatní ženy, které jsem maloval nebo malovat chtěl, ty to postrádaly."
"paint","paint","maloval","malovat","impf"," It has n't been there in the other women I 've painted, or wanted to paint."," Ty ostatní ženy, které jsem maloval nebo malovat chtěl, ty to postrádaly."
"painted","paint","malovat","malovat","impf"," It has n't been there in the other women I 've painted, or wanted to paint."," Ty ostatní ženy, které jsem maloval nebo malovat chtěl, ty to postrádaly."
"paint","paint","malovat","malovat","impf"," It has n't been there in the other women I 've painted, or wanted to paint."," Ty ostatní ženy, které jsem maloval nebo malovat chtěl, ty to postrádaly."
"wanted","want","chtěl","chtít","impf"," It has n't been there in the other women I 've painted, or wanted to paint."," Ty ostatní ženy, které jsem maloval nebo malovat chtěl, ty to postrádaly."
