"says","say","praví","pravit","pf"," And now, ” he says solemnly, taking a clean sheet of paper, “ now we are almost at our Solution with a capital S. ”"," A nyní, praví slavnostně a vezme čistý list, nyní jsme již bezprostředně před řešením, jež pro nás bude Řešením s velkým Ř."
"taking","take","vezme","vzít","pf"," And now, ” he says solemnly, taking a clean sheet of paper, “ now we are almost at our Solution with a capital S. ”"," A nyní, praví slavnostně a vezme čistý list, nyní jsme již bezprostředně před řešením, jež pro nás bude Řešením s velkým Ř."
"grabs","grab","Uchopí","uchopit","pf"," He grabs the pencil-Ann seems to have chewed on it in some exponential orgasm-and draws as he talks :"," Uchopí, špačka, okousanýho zřejmě Andulou v nějakým exponenciálním orgasmu, praví, a současně kreslí :"
"draws","draw","kreslí","kreslit","impf"," He grabs the pencil-Ann seems to have chewed on it in some exponential orgasm-and draws as he talks :"," Uchopí, špačka, okousanýho zřejmě Andulou v nějakým exponenciálním orgasmu, praví, a současně kreslí :"
"caught","catch","dohonila","dohonit","pf"," The blonde caught up with her."," Plavovláska ji dohonila."
"caught","catch","chytila","chytit","pf"," Mrs. Lundquist caught her by the hand, as if she needed to hang on to something."," Paní Lundquistová ji chytila za ruku, jako by se potřebovala o něco opřít."
"needed","need","potřebovala","potřebovat","impf"," Mrs. Lundquist caught her by the hand, as if she needed to hang on to something."," Paní Lundquistová ji chytila za ruku, jako by se potřebovala o něco opřít."
"come","come","jezdila","jezdit","impf"," I wouldn ’ t have come."," Nebyla bych sem jezdila."
"sleep","sleep","spim","spát","impf"," At that point I doze off, and there under the stone pines, in the fresh air that Laura ’ s Giulio sells in cans to dumb Americans, I sleep the sleep of the weary."," A já v tu chvíli usínám a spim na tom čerstvym piniovym vzduchu, co ho Giulio prodává blbejm Američanům, a spim jak zabitá."
"sells","sell","prodává","prodávat","impf"," At that point I doze off, and there under the stone pines, in the fresh air that Laura ’ s Giulio sells in cans to dumb Americans, I sleep the sleep of the weary."," A já v tu chvíli usínám a spim na tom čerstvym piniovym vzduchu, co ho Giulio prodává blbejm Američanům, a spim jak zabitá."
"sleep","sleep","spim","spát","impf"," At that point I doze off, and there under the stone pines, in the fresh air that Laura ’ s Giulio sells in cans to dumb Americans, I sleep the sleep of the weary."," A já v tu chvíli usínám a spim na tom čerstvym piniovym vzduchu, co ho Giulio prodává blbejm Američanům, a spim jak zabitá."
"passed","pass","uplynulo","uplynout","pf"," I hadn ’ t the vaguest idea how much time had passed when Laura woke me up."," Proto jsem taky neměla tuchy, kolik času vlastně uplynulo do nenávratna, když mě Laura vzbudila."
"woke","wake","vzbudila","vzbudit","pf"," I hadn ’ t the vaguest idea how much time had passed when Laura woke me up."," Proto jsem taky neměla tuchy, kolik času vlastně uplynulo do nenávratna, když mě Laura vzbudila."
"tell","tell","poznat","poznat","pf"," “ If Signora Laura can tell at a distance of eighty metres that one man is who he is, I can tell if one man isn ’ t. ”"," "" Když signora Laura má oprávnění na osmdesát metrů poznat muže, že to je on, mám já oprávnění poznat muže, že to není on. """
"tell","tell","poznat","poznat","pf"," “ If Signora Laura can tell at a distance of eighty metres that one man is who he is, I can tell if one man isn ’ t. ”"," "" Když signora Laura má oprávnění na osmdesát metrů poznat muže, že to je on, mám já oprávnění poznat muže, že to není on. """
"tell","tell","poznat","poznat","pf"," “ If Signora Laura can tell at a distance of eighty metres that one man is who he is, I can tell if one man isn ’ t. ”"," "" Když signora Laura má oprávnění na osmdesát metrů poznat muže, že to je on, mám já oprávnění poznat muže, že to není on. """
"tell","tell","poznat","poznat","pf"," “ If Signora Laura can tell at a distance of eighty metres that one man is who he is, I can tell if one man isn ’ t. ”"," "" Když signora Laura má oprávnění na osmdesát metrů poznat muže, že to je on, mám já oprávnění poznat muže, že to není on. """
"admits","admit","přiznal","přiznat","pf"," “ But Signor Terra admits he had the Danish girl in his car! ”"," Ale signor Terra přiznal, že vezl u sebe v autě zastrčenou dánskou ženu! """
"said","say","povídám","povídat","impf"," “ You don ’ t either, ” I said."," "" Vy rovněž ne, "" povídám."
"spent","spend","strávila","strávit","pf"," She wandered along the clean little streets, spent an hour in a department store, and finally, after much deliberation, bought herself a cheap fountain pen with a vulgar photograph of a bathing beauty on it."," Bloumala po čisťounkých ulicích, hodinu strávila v obchodním domě a koupila si nakonec, po dlouhém uvažování, velice laciné plnicí pero s nevkusnou fotografií krásky v koupacím oděvu."
"bought","buy","koupila","koupit","pf"," She wandered along the clean little streets, spent an hour in a department store, and finally, after much deliberation, bought herself a cheap fountain pen with a vulgar photograph of a bathing beauty on it."," Bloumala po čisťounkých ulicích, hodinu strávila v obchodním domě a koupila si nakonec, po dlouhém uvažování, velice laciné plnicí pero s nevkusnou fotografií krásky v koupacím oděvu."
"inspired","inspire","nadchlo","nadchnout","pf"," For some unknown reason, it inspired her."," Z neznámého důvodu ji nadchlo."
"go","go","vydržel","vydržet","pf"," Would the throes of emotion last long enough for me to go dig up a book on toxicology?"," Copak by mně afekt vydržel na to, abych někde sháněla lékařskou toxikologii?"
"handled","handle","zvládly","zvládnout","pf"," For that matter, these little fingers could easily have handled that whoring old throat of his-sorry! ”"," A proč bych to dělala, dyž tyhle prstíčky by dokonale zvládly ten jeho kurevnickej krček - promiňte! """
"said","say","pravil","pravit","pf"," “ Don ’ t mention it, ” said the lieutenant."," "" Nic se nestalo, "" pravil poručík."
"mean","mean","myslím","myslet","impf"," I mean, of intense emotion lasting over an extended period."," Protrahovaného afektu, myslím."
"read","read","Nečetla","číst","impf"," For instance, did you ever read about the case of the security guard in Komarno? ”"," Nečetla jste například o případu člena závodní stráže z Komárna? """
"surprise","surprise","nepřekvapuje","překvapovat","impf"," But it ’ s obvious Rags is almost as interested in me as he is in his tangled murder case, so it doesn ’ t surprise me that he ’ s not the vigilant police officer he started out as."," Je mi zcela jasné, že Raglánek už silně doutná a že ho zajímám skoro stejně jako ta jeho zamotaná vražda, a proto mě nepřekvapuje, že jeho policajtská ostražitost se už silně zhroutila."
"say","say","Řekněme","říci","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"say","say","Řekněme","říci","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"say","say","praví","pravit","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"say","say","praví","pravit","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"say","say","řekněme","říci","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"say","say","řekněme","říci","pf"," “ Let ’ s say, ” he muses into the darkness, pink dots reflecting in his dark eyes, “ let ’ s say it ’ s like this :"," Řekněme, praví řečnicky a zabrejlí do růžovýho prázdna - a i v jeho ( černých ) očích zasvitnou růžový tečky - řekněme, že souvislost je taková :"
"began","begin","začal","začít","pf"," “ We do have a suspect, ” he began, gloomily."," "" Podezřelého máme, "" začal žalostně."
"seen","see","přišla","přijít","pf"," We heard from Uppsala that a certain Mrs. Svensen had seen him with Mr. Jensen ’ s wife about two weeks ago in the Northern Lights Hotel, which is a place people go with that sort of purpose in mind."," Z Uppsaly přišla hláška, že ho nějaká paní Svensenová viděla s manželkou pana Jensena asi před čtrnácti dny v hotelu Severní zář, kam se jezdí hlavně za tímhle účelem."
"seen","see","viděla","vidět","impf"," We heard from Uppsala that a certain Mrs. Svensen had seen him with Mr. Jensen ’ s wife about two weeks ago in the Northern Lights Hotel, which is a place people go with that sort of purpose in mind."," Z Uppsaly přišla hláška, že ho nějaká paní Svensenová viděla s manželkou pana Jensena asi před čtrnácti dny v hotelu Severní zář, kam se jezdí hlavně za tímhle účelem."
"go","go","jezdí","jezdit","impf"," We heard from Uppsala that a certain Mrs. Svensen had seen him with Mr. Jensen ’ s wife about two weeks ago in the Northern Lights Hotel, which is a place people go with that sort of purpose in mind."," Z Uppsaly přišla hláška, že ho nějaká paní Svensenová viděla s manželkou pana Jensena asi před čtrnácti dny v hotelu Severní zář, kam se jezdí hlavně za tímhle účelem."
"stay","stay","nezůstali","zůstat","pf"," It ’ s true they didn ’ t stay the night, but that was apparently because they had a fight, after which Mrs. Jensen left abruptly."," Je pravda, že tam nezůstali na noc, ale to proto, že si zřejmě vjeli do vlasů, načež paní Jensenová okamžitě odjela."
"left","leave","odjela","odjet","pf"," It ’ s true they didn ’ t stay the night, but that was apparently because they had a fight, after which Mrs. Jensen left abruptly."," Je pravda, že tam nezůstali na noc, ale to proto, že si zřejmě vjeli do vlasů, načež paní Jensenová okamžitě odjela."
"sang","sing","zpívala","zpívat","impf"," It ’ s a shake, it ’ s a shake, she sang, shifting her tiny feet in their silver slippers back and forth in a dance step."," "" Iťs a shake, iťs shake, "" zpívala a nohama v stříbrných střevíčkách přešlapovala sem tam tanečními krůčky."
"joined","join","přidal","přidat","pf"," The saxophone player joined her in a duet for the last lines, once more resting his hands on her sequinned curves."," Saxofonista k ní opět přistoupil a přidal se k poslednímu verši v duetu :"
"sang","sing","pěli","pět","impf"," It ’ s a hippy, hippy shake! they sang in harmony, as the square-built man watched the mesmerizing pattern of her high-heeled slippers."," "" A hippy, a hippy - "" pěli dvojhlasně a urostlý muž chmurně sledoval estetické pohyby jehlových střevíčků."
"watched","watch","sledoval","sledovat","impf"," It ’ s a hippy, hippy shake! they sang in harmony, as the square-built man watched the mesmerizing pattern of her high-heeled slippers."," "" A hippy, a hippy - "" pěli dvojhlasně a urostlý muž chmurně sledoval estetické pohyby jehlových střevíčků."
"go","go","Jdi","jít","impf"," “ Would you go back to the other room for a minute, Irena? ” the lieutenant said, and without really thinking about it he watched her pretty legs, very watchable in the miniskirt, until she disappeared through the door."," "" Jdi zas na chvíli vedle, Irenko, "" vybídl tedy poručík dívku, a aniž původně chtěl, sledoval její hezké nohy, dobře sledovatelné v minisukni, dokud nezmizela za dveřmi."
"watched","watch","sledoval","sledovat","impf"," “ Would you go back to the other room for a minute, Irena? ” the lieutenant said, and without really thinking about it he watched her pretty legs, very watchable in the miniskirt, until she disappeared through the door."," "" Jdi zas na chvíli vedle, Irenko, "" vybídl tedy poručík dívku, a aniž původně chtěl, sledoval její hezké nohy, dobře sledovatelné v minisukni, dokud nezmizela za dveřmi."
"disappeared","disappear","nezmizela","zmizet","pf"," “ Would you go back to the other room for a minute, Irena? ” the lieutenant said, and without really thinking about it he watched her pretty legs, very watchable in the miniskirt, until she disappeared through the door."," "" Jdi zas na chvíli vedle, Irenko, "" vybídl tedy poručík dívku, a aniž původně chtěl, sledoval její hezké nohy, dobře sledovatelné v minisukni, dokud nezmizela za dveřmi."
"fired","fire","Vystřeleno","vystřelit","pf"," “ The shot was fired at close range, Josef, ” said old Dr. Seifert."," "" Vystřeleno bylo zblízka, Josef, "" pravil starý doktor Seifert."
"said","say","pravil","pravit","pf"," “ The shot was fired at close range, Josef, ” said old Dr. Seifert."," "" Vystřeleno bylo zblízka, Josef, "" pravil starý doktor Seifert."
"smashed","smash","rozbilo","rozbít","pf"," On his wrist the corpse had a watch, its crystal smashed."," Na zápěstí měl nebožtík hodinky, jejichž sklo se při pádu rozbilo."
"spoke","speak","mluvil","mluvit","impf"," “ So you spoke with him around eight o ’ clock? ” he asked the square-built man with the scowling eyebrows."," "" Vy jste s ním tedy mluvil kolem osmé hodiny? "" zeptal se urostlého pána se zamračeným obočím."
"asked","ask","zeptal","zeptat","pf"," “ So you spoke with him around eight o ’ clock? ” he asked the square-built man with the scowling eyebrows."," "" Vy jste s ním tedy mluvil kolem osmé hodiny? "" zeptal se urostlého pána se zamračeným obočím."
"followed","follow","Následovaly","následovat","impf"," Two empty wine bottles followed."," Následovaly dvě láhve od vína."
"used","use","používalo","používat","impf"," It was apparently used among simple people as an expression of love."," Prý se to kdysi používalo mezi prostým lidem jako vyznání lásky."
