"looked","look","pohlédli","pohlédnout","pf"," The two men looked at each other with a scare."," Oba na sebe vystrašeně pohlédli."
"said","say","řekl","říci","pf"," “ This is beyond me, Poole, ” said the lawyer."," "" V tomhle se nevyznám, Poole, "" řekl advokát."
"go","go","Pojďme","jít","impf"," “ Let us go back to the cabinet. ”"," "" Pojďme zpátky do pracovny. """
"went","go","Šel","jít","impf"," I went myself at the summons, and found a small man crouching against the pillars of the portico."," Šel jsem sám otevřít a uviděl jsem muže, přikrčeného mezi pilíři portálu."
"bidden","bid","vyzval","vyzvat","pf"," He told me “ yes ” by a constrained gesture; and when I had bidden him enter, he did not obey me without a searching backward glance into the darkness of the square."," Přitakal mi trochu bojácným posunkem, a když jsem ho vyzval, aby šel dál, uposlechl mě teprve pak, až se pátravě ohlédl za sebe na temné náměstí."
"did","do","šel","jít","impf"," He told me “ yes ” by a constrained gesture; and when I had bidden him enter, he did not obey me without a searching backward glance into the darkness of the square."," Přitakal mi trochu bojácným posunkem, a když jsem ho vyzval, aby šel dál, uposlechl mě teprve pak, až se pátravě ohlédl za sebe na temné náměstí."
"obey","obey","uposlechl","uposlechnout","pf"," He told me “ yes ” by a constrained gesture; and when I had bidden him enter, he did not obey me without a searching backward glance into the darkness of the square."," Přitakal mi trochu bojácným posunkem, a když jsem ho vyzval, aby šel dál, uposlechl mě teprve pak, až se pátravě ohlédl za sebe na temné náměstí."
"thought","think","zdálo","zdát","impf"," There was a policeman not far off, advancing with his bull ’ s eye open; and at the sight, I thought my visitor started and made greater haste."," Nedaleko se ukázal strážník s odkrytou pátrací svítilnou a zdálo se mi, že jak ho můj návštěvník uviděl, polekal se a honem vešel dovnitř."
"started","start","polekal","polekat","pf"," There was a policeman not far off, advancing with his bull ’ s eye open; and at the sight, I thought my visitor started and made greater haste."," Nedaleko se ukázal strážník s odkrytou pátrací svítilnou a zdálo se mi, že jak ho můj návštěvník uviděl, polekal se a honem vešel dovnitř."
"stepping","step","kráčel","kráčet","impf"," I was stepping leisurely across the court after breakfast, drinking the chill of the air with pleasure, when I was seized again with those indescribable sensations that heralded the change; and I had but the time to gain the shelter of my cabinet, before I was once again raging and freezing with the passions of Hyde."," Po snídani jsem zvolna kráčel přes dvůr a s rozkoší jsem vpíjel chladný čerstvý vzduch, když se mne najednou zase zmocnily ty nepopsatelné pocity, které věštily proměnu - jen tak tak jsem doběhl do pracovny, svého útočiště, a rozzuřily se ve mně Hydovy náruživosti - lomcovaly mnou jako zimnice."
"began","begin","začínal","začínat","impf"," From the time he had left the house in Soho on the morning of the murder, he was simply blotted out; and gradually, as time drew on, Mr Utterson began to recover from the hotness of his alarm, and to grow more at quiet with himself."," Od té chvíle, kdy ráno po vraždě uprchl z domu v Soho, prostě jako by se do země propadl, a jak čas míjel, začínal se pan Utterson z horečného znepokojení ponenáhlu vzpamatovávat a trochu uklidňovat."
"began","begin","začínal","začínat","impf"," Now that that evil influence had been withdrawn, a new life began for Dr Jekyll."," Když přestal působit jeho zlý vliv, začínal pro doktora Jekylla nový život."
"read","read","přečti","přečíst","pf"," Go then, and first read the narrative which Lanyon warned me he was to place in your hands; and if you care to hear more, turn to the confession of"," A tak si, prosím Tě, nejdříve přečti, co Ti napsal Lanyon, který mě upozornil, že Ti to odevzdá přímo do rukou, a chceš - li se dovědět víc, najdeš to v mé zpovědi."
"warned","warn","upozornil","upozornit","pf"," Go then, and first read the narrative which Lanyon warned me he was to place in your hands; and if you care to hear more, turn to the confession of"," A tak si, prosím Tě, nejdříve přečti, co Ti napsal Lanyon, který mě upozornil, že Ti to odevzdá přímo do rukou, a chceš - li se dovědět víc, najdeš to v mé zpovědi."
"asked","ask","zeptal","zeptat","pf"," “ There was a third enclosure, ” asked Utterson."," "" Copak tam byla ještě jedna příloha? "" zeptal se Utterson."
"said","say","řekl","říci","pf"," “ Here, sir, ” said Poole, and gave into his hands a considerable packet sealed in several places."," "" Tady je, prosím, "" řekl Poole a podal mu dosti tlustý svazek papírů, na několika místech zapečetěný."
"gave","give","podal","podat","pf"," “ Here, sir, ” said Poole, and gave into his hands a considerable packet sealed in several places."," "" Tady je, prosím, "" řekl Poole a podal mu dosti tlustý svazek papírů, na několika místech zapečetěný."
"ask","ask","požádám","požádat","pf"," You might suppose, after this preface, that I am going to ask you for something dishonourable to grant."," Po tomhle úvodu si možná pomyslíš, že tě požádám, abys pro mne udělal něco nečestného."
"summoned","summon","povolali","povolat","pf"," I want you to postpone all other engagements for to-night - ay, even if you were summoned to the bedside of an emperor; to take a cab, unless your carriage should be actually at the door; and, with this letter in your hand for consultation, to drive straight to my house."," Prosím tě, abys odřekl všechny své závazky na dnešní večer, i kdyby tě třeba povolali k nemocnému císaři - abys vsedl do drožky, nečeká - li právě na tebe před domem tvůj kočár, a ihned přijel sem - tenhle dopis vezmi s sebou pro případ, že by sis nevěděl rady."
