"do","do","šli","jít","impf"," I couldn ’ t do anything but bid them come in."," Nezbylo mi než pokynout, aby šli dál."
"come","come","šli","jít","impf"," I couldn ’ t do anything but bid them come in."," Nezbylo mi než pokynout, aby šli dál."
"wearing","wear","měl","mít","impf"," Míťa was wearing a muslin skull-cap which had him spellbound."," Míťa měl totiž na hlavě čepičku z mulu, která mu učarovala."
"laughed","laugh","zasmál","zasmát","pf"," He laughed out loud."," Hlasitě se zasmál."
"played","play","hráli","hrát","impf"," Sometimes we played a kind of game in which we would all air our criticisms of one of our number, including Jitka and me of course."," Někdy jsme si hráli takovou hru : jednoho z nás jsme všichni kritizovali, i mne s Jitkou samozřejmě."
"Operating","operate","Operovat","operovat","impf"," Operating precisely according the rules, working only where an operation is almost free of risk - that ’ s nothing meritorious at all."," Operovat přesně podle regulí, kde je operace skoro bez rizika, není žádná zásluha."
"do","do","Udělají","udělat","pf"," They ’ ll do it for me."," Udělají mi to."
"see","see","Podívám","podívat","pf"," Then my colleagues and I will examine the pictures, compare them with the previous ones, and then we ’ ll see. ”"," Podívám se s kolegy na obrázky, porovnáme je s předchozími a pak uvidíme. """
"compare","compare","porovnáme","porovnat","pf"," Then my colleagues and I will examine the pictures, compare them with the previous ones, and then we ’ ll see. ”"," Podívám se s kolegy na obrázky, porovnáme je s předchozími a pak uvidíme. """
"see","see","uvidíme","uvidět","pf"," Then my colleagues and I will examine the pictures, compare them with the previous ones, and then we ’ ll see. ”"," Podívám se s kolegy na obrázky, porovnáme je s předchozími a pak uvidíme. """
"gone","go","jela","jet","impf"," If only Jitka had been at home, she would have gone with me and done a reliable neurological report."," Kdyby tu aspoň byla Jitka, jela by se mnou a udělala by spolehlivý neurologický závěr."
"done","do","udělala","udělat","pf"," If only Jitka had been at home, she would have gone with me and done a reliable neurological report."," Kdyby tu aspoň byla Jitka, jela by se mnou a udělala by spolehlivý neurologický závěr."
"wanted","want","chceme","chtít","impf"," Few people from her department were able to tell us precisely what we wanted to know."," Ne každý z jejich oddělení nám přesně odpoví na to, co chceme vědět."
