"found","find","našlo","najít","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"mislead","mislead","svést","svést","pf"," ‘ The garment found on the strand was placed there in order to mislead?"," "" To tílko, které se našlo na pobřeží, tam bylo nastražené, mělo svést ze stopy?"
"told","tell","neřekl","říci","pf"," Bridget had not been told – and never was – about the part played by the dog, and suggested that what had been found in the shingle had been left behind by mistake."," Bridget nikdo neřekl - a ani neřekne - o roli, kterou v tom sehrál ten pes, a nadhodila, že ten kus šatstva nalezený v oblázcích tam byl zapomenut omylem."
"told","tell","neřekne","říci","pf"," Bridget had not been told – and never was – about the part played by the dog, and suggested that what had been found in the shingle had been left behind by mistake."," Bridget nikdo neřekl - a ani neřekne - o roli, kterou v tom sehrál ten pes, a nadhodila, že ten kus šatstva nalezený v oblázcích tam byl zapomenut omylem."
"played","play","sehrál","sehrát","pf"," Bridget had not been told – and never was – about the part played by the dog, and suggested that what had been found in the shingle had been left behind by mistake."," Bridget nikdo neřekl - a ani neřekne - o roli, kterou v tom sehrál ten pes, a nadhodila, že ten kus šatstva nalezený v oblázcích tam byl zapomenut omylem."
"left","leave","zapomenut","zapomenout","pf"," Bridget had not been told – and never was – about the part played by the dog, and suggested that what had been found in the shingle had been left behind by mistake."," Bridget nikdo neřekl - a ani neřekne - o roli, kterou v tom sehrál ten pes, a nadhodila, že ten kus šatstva nalezený v oblázcích tam byl zapomenut omylem."
"investigated","investigate","vyšetřit","vyšetřit","pf"," The doctor diagnosed a broken bone that would have to be investigated further, and damage to the surrounding ligaments, internal bleeding, fever, a high temperature, lack of nourishment."," Lékař diagnostikoval zlomeninu, která se ještě bude muset vyšetřit, a poškození okolních vazů, vnitřní krvácení, zimnici, vysokou teplotu a podvýživu."
"advocated","advocate","Doporučil","doporučit","pf"," He advocated beef-tea or hot milk, no more than a slice of thin toast to begin with."," Doporučil hovězí vývar nebo horké mléko a ze začátku nic víc než tenký plátek toustu."
"returned","return","vrátil","vrátit","pf"," Henry returned with him to Kilauran, to send the necessary telegram."," Henry se s ním vrátil do Kilauranu, aby odtamtud poslal nezbytný telegram."
"send","send","poslal","poslat","pf"," Henry returned with him to Kilauran, to send the necessary telegram."," Henry se s ním vrátil do Kilauranu, aby odtamtud poslal nezbytný telegram."
"said","say","říkalo","říkat","impf"," Of the visitor who had come again to the house one afternoon, more than a year ago now, it was only said that, being insane, strictly speaking he was not responsible for his intrusion."," O návštěvníkovi, který se jednoho odpoledne vrátil do domu ( teď už od onoho dne uplynul víc než rok ), se říkalo jen to, že vzhledem ke své duševní poruše nebyl přísně vzato odpovědný za to, že se k nim vetřel."
"speaking","speak","říkalo","říkat","impf"," Of the visitor who had come again to the house one afternoon, more than a year ago now, it was only said that, being insane, strictly speaking he was not responsible for his intrusion."," O návštěvníkovi, který se jednoho odpoledne vrátil do domu ( teď už od onoho dne uplynul víc než rok ), se říkalo jen to, že vzhledem ke své duševní poruše nebyl přísně vzato odpovědný za to, že se k nim vetřel."
"said","say","pronesl","pronést","pf"," Henry said it reluctantly and Bridget, after prayer, reluctantly agreed;"," Henry to pronesl zdráhavě a Bridget po modlitbě zdráhavě souhlasila;"
"agreed","agree","souhlasila","souhlasit","impf"," Henry said it reluctantly and Bridget, after prayer, reluctantly agreed;"," Henry to pronesl zdráhavě a Bridget po modlitbě zdráhavě souhlasila;"
"occurred","occur","došlo","dojít","pf"," She was reconciled to the change that had occurred in him while he ’ d still been employed at the railway station."," Byla smířená se změnou, k níž u něj došlo, zatímco byl ještě zaměstnán na železniční stanici."
"employed","employ","zaměstnán","zaměstnat","pf"," She was reconciled to the change that had occurred in him while he ’ d still been employed at the railway station."," Byla smířená se změnou, k níž u něj došlo, zatímco byl ještě zaměstnán na železniční stanici."
"got","get","utrpěla","utrpět","pf"," That suddenly he ’ d got it into his head to join the army was as distressing a shock as ever she ’ d suffered."," Že si zničehonic vzal do hlavy dát se k armádě, to byl pro ni největší šok, jaký kdy utrpěla."
"suffered","suffer","utrpěla","utrpět","pf"," That suddenly he ’ d got it into his head to join the army was as distressing a shock as ever she ’ d suffered."," Že si zničehonic vzal do hlavy dát se k armádě, to byl pro ni největší šok, jaký kdy utrpěla."
"reflecting","reflect","přemýšlel","přemýšlet","impf"," Cutting a new sole, he found himself reflecting, as he often did, on how it would be now if this remote house had been forgotten in the vengeance of 1921, if a threat in the night had not engendered such fear and such distress."," Při řezání nové podešve přemýšlel, jako už mnohokrát, jak by to teď asi vypadalo, kdyby tento dům na samotě roku 1921 minula pomsta, kdyby hrozba v noci nevyvolala takový strach a tíseň."
"did","do","nevyvolala","vyvolat","pf"," Cutting a new sole, he found himself reflecting, as he often did, on how it would be now if this remote house had been forgotten in the vengeance of 1921, if a threat in the night had not engendered such fear and such distress."," Při řezání nové podešve přemýšlel, jako už mnohokrát, jak by to teď asi vypadalo, kdyby tento dům na samotě roku 1921 minula pomsta, kdyby hrozba v noci nevyvolala takový strach a tíseň."
"place","place","nedal","dát","pf"," Another man, different in nature and temperament from the Captain, might not have heeded the nervous premonitions of his wife, might have dismissed them as unwarranted and foolish, might not have considered it a wife ’ s place to be upset."," Jiný muž, jenž by se povahou i temperamentem lišil od kapitána, by třeba nedal na nervózní předtuchy své ženy, mohl by je odbýt jako neopodstatněné a pošetilé, možná by si myslel, že manželka se tím vůbec nemá trápit."
"dismissed","dismiss","odbýt","odbýt","pf"," Another man, different in nature and temperament from the Captain, might not have heeded the nervous premonitions of his wife, might have dismissed them as unwarranted and foolish, might not have considered it a wife ’ s place to be upset."," Jiný muž, jenž by se povahou i temperamentem lišil od kapitána, by třeba nedal na nervózní předtuchy své ženy, mohl by je odbýt jako neopodstatněné a pošetilé, možná by si myslel, že manželka se tím vůbec nemá trápit."
"considered","consider","myslel","myslet","impf"," Another man, different in nature and temperament from the Captain, might not have heeded the nervous premonitions of his wife, might have dismissed them as unwarranted and foolish, might not have considered it a wife ’ s place to be upset."," Jiný muž, jenž by se povahou i temperamentem lišil od kapitána, by třeba nedal na nervózní předtuchy své ženy, mohl by je odbýt jako neopodstatněné a pošetilé, možná by si myslel, že manželka se tím vůbec nemá trápit."
"Take","take","Vezmi","vzít","pf"," Take the trap, don ’ t walk."," Vezmi si bryčku, nechoď pěšky."
"found","find","našla","najít","pf"," She rummaged through the bedclothes she had folded away in the landing hot-press and found a nightdress."," Prohrabala lůžkoviny, které předtím poskládala do vyhřívané skříně k dosušování prádla, a našla noční košilku."
"said","say","prohlásila","prohlásit","pf"," ‘ What we ’ ll have is a bath, ’ she said when she had made the bed as best she could without disturbing the limp form that lay there."," "" A teď se půjdeme vykoupat, "" prohlásila, když co možná nejšetrněji ustlala, aniž by musela manipulovat s ochablou postavičkou na posteli."
"wait","wait","počkat","počkat","pf"," But the bath would have to wait until the doctor had been, and she ran hot water into a basin in the bathroom and carried it back."," Jenže koupel bude muset počkat, dokud sem nepřijde doktor, a tak v koupelně napustila horkou vodu do umývadla a odnesla ji zpátky."
"write","write","nenapsala","napsat","pf"," Lucy did not, again, write to Ralph, as she had known she wouldn ’ t, not even when a note came from him, as also she had known it would."," Lucy už Ralphovi nenapsala, což ostatně věděla předem, ani když od něj přišel vzkaz, což rovněž vytušila."
