"called","call","říkáme","říkat","impf"," Powers like this 0.37 are called critical exponents, sometimes with the adjective ' nonclassical ' or ' anomalous, ' because they are not what had been expected."," Mocninám, jako výše zmíněné 0, 37, říkáme kritické exponenty, někdy s přívlastkem "" anomální "" či "" neklasické "", protože jsou jiné, než jsme očekávali."
"expected","expect","očekávali","očekávat","impf"," Powers like this 0.37 are called critical exponents, sometimes with the adjective ' nonclassical ' or ' anomalous, ' because they are not what had been expected."," Mocninám, jako výše zmíněné 0, 37, říkáme kritické exponenty, někdy s přívlastkem "" anomální "" či "" neklasické "", protože jsou jiné, než jsme očekávali."
"surrounded","surround","obklopuje","obklopovat","impf"," A little later, in 1911, Ernest Rutherford used the results of experiments with radioactive elements in his Manchester laboratory to infer that atoms consist of small massive nuclei surrounded by clouds of electrons."," O něco později, v roce 1911, interpretoval Ernest Rutherford výsledky svých experimentů s radioaktivními prvky v laboratoři v Manchestru vytvořením modelu atomu, v němž oblak elektronů obklopuje malé jádro, ve kterém je soustředěna prakticky všechna hmota atomu."
"explain","explain","vysvětlil","vysvětlit","pf"," And in 1913 the Dane Niels Bohr used this atomic model and Einstein 's photon idea to explain the spectrum of the simplest atom, that of hydrogen."," A v roce 1913 Dán Niels Bohr spojil tento model atomu s Einsteinovou představou fotonů a vysvětlil spektrum nejjednoduššího atomu, atomu vodíku."
"unifying","unify","sjednotila","sjednotit","pf"," Complacency gave way to excitement; physicists began to feel that a final theory unifying at least all physical science might soon be found."," Dobu samolibého uspokojení vystřídala doba vzrušeného očekávání : fyzikové si uvědomovali, že se objevuje možnost vytvořit teorii, která by sjednotila alespoň celou fyziku."
"built","build","vybudováno","vybudovat","pf"," The large electron-positron collider now operating at CERN was built primarily to have enough energy to produce very large numbers of Z particles and use them to subject the standard model to stringent experimental tests."," Zařízení, které slouží ke studiu srážek elektronů a pozitronů v CERNu, bylo vybudováno převážně se záměrem vyprodukovat velké množství částic Z a jejich použitím podrobit přísnému testu standardní model."
"produce","produce","vyprodukovat","vyprodukovat","pf"," The large electron-positron collider now operating at CERN was built primarily to have enough energy to produce very large numbers of Z particles and use them to subject the standard model to stringent experimental tests."," Zařízení, které slouží ke studiu srážek elektronů a pozitronů v CERNu, bylo vybudováno převážně se záměrem vyprodukovat velké množství částic Z a jejich použitím podrobit přísnému testu standardní model."
"subject","subject","podrobit","podrobit","pf"," The large electron-positron collider now operating at CERN was built primarily to have enough energy to produce very large numbers of Z particles and use them to subject the standard model to stringent experimental tests."," Zařízení, které slouží ke studiu srážek elektronů a pozitronů v CERNu, bylo vybudováno převážně se záměrem vyprodukovat velké množství částic Z a jejich použitím podrobit přísnému testu standardní model."
"figure","figure","vystupovat","vystupovat","impf"," And since it is but rational to introduce into a theory only such quantities as can be directly observed, the concept of electron paths ought not, in fact, to figure in the theory."," A jelikož je správné pracovat v teorii jenom s takovými veličinami, které mohou být přímo měřeny, pojem dráhy elektronu by správně neměl v teorii vůbec vystupovat."
"accused","accuse","obviňován","obviňovat","impf"," One is likely to be accused of something awful, like reductionism, or even physics imperialism."," Člověk je pak obviňován z toho, že je redukcionista, či dokonce, že hlásá fyzikální imperialismus."
"chooses","choose","rozhodne","rozhodnout","pf"," Often the director of a Shakespeare play chooses to leave out whole speeches."," Režisér Shakespearovy hry se často rozhodne vynechat celé proslovy."
"leave","leave","vynechat","vynechat","pf"," Often the director of a Shakespeare play chooses to leave out whole speeches."," Režisér Shakespearovy hry se často rozhodne vynechat celé proslovy."
"arises","arise","vyvstává","vyvstávat","impf"," It is not that this energy is so large-it arises in physics at such a deep level that we can suppose that the Planck energy is simply the fundamental unit of energy that appears in the equations of the final theory."," Není jím velikost této energie - ta vyvstává ve fyzice na tak základní úrovni, že můžeme pokládat Planckovu energii za základní jednotku energie vystupující v rovnicích finální teorie."
"trying","try","Snažil","snažit","impf"," I was trying in this way to give experimental physicists an idea of the sort of experiment that might provide interesting quantitative tests of the validity of quantum mechanics."," Snažil jsem se tak vymyslet pro experimentální fyziky typ pokusu, který by poskytl zajímavé kvantitativní ověření platnosti kvantové mechaniky."
"give","give","poskytl","poskytnout","pf"," I was trying in this way to give experimental physicists an idea of the sort of experiment that might provide interesting quantitative tests of the validity of quantum mechanics."," Snažil jsem se tak vymyslet pro experimentální fyziky typ pokusu, který by poskytl zajímavé kvantitativní ověření platnosti kvantové mechaniky."
"provide","provide","poskytl","poskytnout","pf"," I was trying in this way to give experimental physicists an idea of the sort of experiment that might provide interesting quantitative tests of the validity of quantum mechanics."," Snažil jsem se tak vymyslet pro experimentální fyziky typ pokusu, který by poskytl zajímavé kvantitativní ověření platnosti kvantové mechaniky."
"connect","connect","propojují","propojovat","impf"," For instance, in recent attempts to apply quantum mechanics to gravitation, it is observed that, although ordinary empty space seems placid and featureless like the surface of the ocean seen from high altitudes, when viewed very closely space seethes with quantum fluctuations, so much so that ' wormholes ' can open up that connect parts of the universe with other parts that are distant in space and time."," Například při nedávných pokusech aplikovat kvantovou mechaniku na gravitaci se zjistilo, že ač se prázdný prostor jeví být klidným a nečlenitým jako povrch oceánu při pohledu z velké výšky, při pohledu zblízka je plný kvantových fluktuací, a to do té míry, že v něm mohou vznikat "" červí díry "", jež propojují části vesmíru s jinými částmi vzdálenými v čase i prostoru."
"try","try","pokusíme","pokusit","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"calculate","calculate","vypočítat","vypočítat","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"get","get","obdržíme","obdržet","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"try","try","pokusíme","pokusit","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"get","get","dostaneme","dostat","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"take","take","dostaneme","dostat","pf"," For instance, if we try to calculate the probabilities for what happens in a collision of two gravitons ( the particles that make up a gravitational field ), we get perfectly sensible contributions from the exchange of one graviton between the colliding gravitons, but, if we carry our calculations a step further and take into account the exchange of two gravitons, we begin to encounter infinite probabilities."," Pokud se například pokusíme vypočítat pravděpodobnosti možných výsledků srážky dvou gravitonů ( částic tvořících gravitační pole ), obdržíme sice docela přijatelné výsledky od výměny jednoho gravitonů mezi srážejícími se gravitony, jakmile se však pokusíme jít o krok dál a započítáme výměnu dvou gravitonů, dostaneme nekonečné pravděpodobnosti."
"seems","seem","Zdá","zdát","impf"," But setting consciousness to one side for a moment, it seems reasonable to suppose that these objective correlatives to consciousness can be studied by the methods of science and will eventually be explained in terms of the physics and chemistry of the brain and body."," Zdá se však rozumné předpokládat, že zmíněné objektivní koreláty vědomí mohou být studovány vědeckými metodami a budou nakonec vysvětlitelné pomocí fyziky a chemie mozku a těla."
"suppose","suppose","předpokládat","předpokládat","impf"," But setting consciousness to one side for a moment, it seems reasonable to suppose that these objective correlatives to consciousness can be studied by the methods of science and will eventually be explained in terms of the physics and chemistry of the brain and body."," Zdá se však rozumné předpokládat, že zmíněné objektivní koreláty vědomí mohou být studovány vědeckými metodami a budou nakonec vysvětlitelné pomocí fyziky a chemie mozku a těla."
"studied","study","studovány","studovat","impf"," But setting consciousness to one side for a moment, it seems reasonable to suppose that these objective correlatives to consciousness can be studied by the methods of science and will eventually be explained in terms of the physics and chemistry of the brain and body."," Zdá se však rozumné předpokládat, že zmíněné objektivní koreláty vědomí mohou být studovány vědeckými metodami a budou nakonec vysvětlitelné pomocí fyziky a chemie mozku a těla."
"growing","grow","narůstá","narůstat","impf"," There has as well been a growing tendency starting with the work of Robert Merton in the 1930s for sociologists and anthropologists to treat the enterprise of science ( or at least, sciences other than sociology and anthropology ) by the same methods that are used to study other social phenomena."," Od objevení práce Roberta Mertona v roce 1930 také narůstá tendence sociologů a antropologů přistupovat k vědě ( lépe řečeno, k jiným vědám než k antropologii a sociologii ) stejně jako ke studiu ostatních sociálních jevů."
"caused","cause","nepůsobila","působit","impf"," Just as the electromagnetic force between distant charged particles is caused by the exchange of photons, a weak force would not act all at once at a single point in space ( as in the Fermi theory ) but would be caused by the exchange of photonlike particles between particles at different positions."," Stejně jako výměna fotonů způsobuje elektromagnetickou sílu mezi vzdálenými nabitými částicemi, nepůsobila by celá slabá síla najednou v jednom bodě prostoru ( jak tomu bylo ve Fermiho teorii ), ale způsobovala by ji výměna částic, podobných fotonům, mezi částicemi v rozdílných polohách."
"act","act","nepůsobila","působit","impf"," Just as the electromagnetic force between distant charged particles is caused by the exchange of photons, a weak force would not act all at once at a single point in space ( as in the Fermi theory ) but would be caused by the exchange of photonlike particles between particles at different positions."," Stejně jako výměna fotonů způsobuje elektromagnetickou sílu mezi vzdálenými nabitými částicemi, nepůsobila by celá slabá síla najednou v jednom bodě prostoru ( jak tomu bylo ve Fermiho teorii ), ale způsobovala by ji výměna částic, podobných fotonům, mezi částicemi v rozdílných polohách."
"caused","cause","nepůsobila","působit","impf"," Just as the electromagnetic force between distant charged particles is caused by the exchange of photons, a weak force would not act all at once at a single point in space ( as in the Fermi theory ) but would be caused by the exchange of photonlike particles between particles at different positions."," Stejně jako výměna fotonů způsobuje elektromagnetickou sílu mezi vzdálenými nabitými částicemi, nepůsobila by celá slabá síla najednou v jednom bodě prostoru ( jak tomu bylo ve Fermiho teorii ), ale způsobovala by ji výměna částic, podobných fotonům, mezi částicemi v rozdílných polohách."
"rotates","rotate","otáčí","otáčet","impf"," For instance, the polarization of light rotates to the right when passing through solutions of the common sugar dextrose, and to the left when passing through solutions of levulose."," Například rovina polarizace světla se otáčí vpravo při průchodu roztoky běžné dextrozy a vlevo při průchodu roztoky levulozy."
"exists","exist","existuje","existovat","impf"," What is new and exciting about the study of chaos is not the discovery that chaos exists but that certain kinds of chaos exhibit some nearly universal properties that can be analyzed mathematically."," To, co je na studiu chaosu nové a vzrušující, není ani tak skutečnost, že chaos existuje, jako spíše fakt, že jisté typy chaosu vykazují takřka univerzální vlastnosti, jež mohou být zkoumány matematicky."
