"laughed","laugh","smáli","smát","impf"," And when he pierced with a sharp reed the dim eyes of the mole, they laughed, and when he cast stones at the leper they laughed also."," A když vypíchl ostrým rákosím krtkovi poloslepá očka, smáli se, a když házel kamením po malomocném, smáli se také."
"laughed","laugh","smáli","smát","impf"," And when he pierced with a sharp reed the dim eyes of the mole, they laughed, and when he cast stones at the leper they laughed also."," A když vypíchl ostrým rákosím krtkovi poloslepá očka, smáli se, a když házel kamením po malomocném, smáli se také."
"cast","cast","házel","házet","impf"," And when he pierced with a sharp reed the dim eyes of the mole, they laughed, and when he cast stones at the leper they laughed also."," A když vypíchl ostrým rákosím krtkovi poloslepá očka, smáli se, a když házel kamením po malomocném, smáli se také."
"laughed","laugh","smáli","smát","impf"," And when he pierced with a sharp reed the dim eyes of the mole, they laughed, and when he cast stones at the leper they laughed also."," A když vypíchl ostrým rákosím krtkovi poloslepá očka, smáli se, a když házel kamením po malomocném, smáli se také."
"laughed","laugh","smáli","smát","impf"," And when he pierced with a sharp reed the dim eyes of the mole, they laughed, and when he cast stones at the leper they laughed also."," A když vypíchl ostrým rákosím krtkovi poloslepá očka, smáli se, a když házel kamením po malomocném, smáli se také."
"ruled","rule","ovládal","ovládat","impf"," And in all things he ruled them, and they became hard of heart even as he was."," A ve všech těchto věcech je ovládal a jejich srdce se zatvrdila stejně jako jeho."
"thinks","think","Myslí","myslet","impf"," She thinks merely of music, and everybody knows that the arts are selfish."," Myslí jen na hudbu a každý ví, že umění je plné sobectví."
"admitted","admit","přiznat","přiznat","pf"," Still, it must be admitted that she has some beautiful notes in her voice."," Nicméně se mu musí přiznat, že pár krásných tónů v hlase má."
"mean","mean","neznamenají","znamenat","impf"," What a pity it is that they do not mean anything, or do any practical good. """," Škoda jen že vůbec nic neznamenají a nejsou prakticky k ničemu dobré. """
"coming","come","přišel","přijít","pf"," But somehow he was never able to look after his flowers at all, for his friend the Miller was always coming round and sending him off on long errands, or getting him to help at the mill."," Ale nějak se stalo, že nikdy se nemohl o své květinky postarat, protože vždycky přišel jeho přítel mlynář a posílal ho na dlouhé pochůzky nebo ho nutil, aby mu pomohl ve mlýně."
"getting","get","přišel","přijít","pf"," But somehow he was never able to look after his flowers at all, for his friend the Miller was always coming round and sending him off on long errands, or getting him to help at the mill."," Ale nějak se stalo, že nikdy se nemohl o své květinky postarat, protože vždycky přišel jeho přítel mlynář a posílal ho na dlouhé pochůzky nebo ho nutil, aby mu pomohl ve mlýně."
"sending","send","posílal","posílat","impf"," But somehow he was never able to look after his flowers at all, for his friend the Miller was always coming round and sending him off on long errands, or getting him to help at the mill."," Ale nějak se stalo, že nikdy se nemohl o své květinky postarat, protože vždycky přišel jeho přítel mlynář a posílal ho na dlouhé pochůzky nebo ho nutil, aby mu pomohl ve mlýně."
"help","help","pomohl","pomoci","pf"," But somehow he was never able to look after his flowers at all, for his friend the Miller was always coming round and sending him off on long errands, or getting him to help at the mill."," Ale nějak se stalo, že nikdy se nemohl o své květinky postarat, protože vždycky přišel jeho přítel mlynář a posílal ho na dlouhé pochůzky nebo ho nutil, aby mu pomohl ve mlýně."
"Give","give","Daruj","darovat","pf"," "" Give me a red rose, "" she cried, "" and I will sing you my sweetest song. """," "" Daruj mi rudou růži, "" volal, "" a já ti zazpívám svou nejsladší píseň. """
"cried","cry","volal","volat","impf"," "" Give me a red rose, "" she cried, "" and I will sing you my sweetest song. """," "" Daruj mi rudou růži, "" volal, "" a já ti zazpívám svou nejsladší píseň. """
"sing","sing","zazpívám","zazpívat","pf"," "" Give me a red rose, "" she cried, "" and I will sing you my sweetest song. """," "" Daruj mi rudou růži, "" volal, "" a já ti zazpívám svou nejsladší píseň. """
"answered","answer","odpověděl","odpovědět","pf"," "" My roses are red, "" it answered, "" as red as the feet of the dove, and redder than the great fans of coral that wave and wave in the ocean-cavern."," "" Mé růže jsou rudé, "" odpověděl, "" rudé jako nožky holubic a rudější než mořské korálové vějíře, jež povívají v jeskyních na dně oceánu."
"bound","bind","zavázal","zavázat","pf"," And he bound the eyes of the Star-Child with the scarf of figured silk, and led him through the house, and through the garden of poppies, and up the five steps of brass."," A zavázal Dítěti hvězdy oči šátkem z potištěného hedvábí a provedl ho domem a zahradou s máky a vzhůru po pěti mosazných schodech."
