"sat","sit","posadil","posadit","pf"," He had gone into dinner rather late, from some idiotic idea of making himself felt, and had sat down by old Miss Parry - Aunt Helena - Mr Parry 's sister, who was supposed to preside."," K večeři přišel dost pozdě, hloupě tak na sebe chtěl upozornit, a posadil se vedle staré slečny Parryové - tety Heleny - sestry pana Parryho, která měla sešlosti vévodit."
"sat","sit","Seděla","sedět","impf"," There she sat in her white Cashmere shawl, with her head against the window - a formidable old lady, but kind to him, for he had found her some rare flower, and she was a great botanist, marching off in thick boots with a black tin collecting box slung between her shoulders."," Seděla tam v bílém kašmírovém šálu, její hlava se rýsovala na pozadí okna - mocná stará dáma, ale na něj byla hodná, protože on jí našel nějakou vzácnou květinu, zabývala se botanikou, odkráčela vždycky v pevných botách s černou sběrací plechovkou pohupující se jí na zádech."
"found","find","našel","najít","pf"," There she sat in her white Cashmere shawl, with her head against the window - a formidable old lady, but kind to him, for he had found her some rare flower, and she was a great botanist, marching off in thick boots with a black tin collecting box slung between her shoulders."," Seděla tam v bílém kašmírovém šálu, její hlava se rýsovala na pozadí okna - mocná stará dáma, ale na něj byla hodná, protože on jí našel nějakou vzácnou květinu, zabývala se botanikou, odkráčela vždycky v pevných botách s černou sběrací plechovkou pohupující se jí na zádech."
"attached","attach","připojila","připojit","pf"," The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to cross from West to East on a mission of the greatest importance which would never be revealed, and yet certainly so it was - a mission of the greatest importance."," Mraky, k nimž se připojila písmena E, G nebo L, se pohybovaly volně, jako by měly přeletět ze západu na východ s nějakým veledůležitým úkolem, který nikdy nebude odtajněn, a přece to tak určitě bylo - veledůležitý úkol."
"moved","move","pohybovaly","pohybovat","impf"," The clouds to which the letters E, G, or L had attached themselves moved freely, as if destined to cross from West to East on a mission of the greatest importance which would never be revealed, and yet certainly so it was - a mission of the greatest importance."," Mraky, k nimž se připojila písmena E, G nebo L, se pohybovaly volně, jako by měly přeletět ze západu na východ s nějakým veledůležitým úkolem, který nikdy nebude odtajněn, a přece to tak určitě bylo - veledůležitý úkol."
"sat","sit","seděly","sedět","impf"," There they sat, hour after hour, talking in her bedroom at the top of the house, talking about life, how they were to reform the world."," Tak tam seděly celé hodiny a povídaly si v jejím pokoji v podkroví, mluvily o životě, o tom, jak změní svět."
"talking","talk","mluvily","mluvit","impf"," There they sat, hour after hour, talking in her bedroom at the top of the house, talking about life, how they were to reform the world."," Tak tam seděly celé hodiny a povídaly si v jejím pokoji v podkroví, mluvily o životě, o tom, jak změní svět."
"talking","talk","mluvily","mluvit","impf"," There they sat, hour after hour, talking in her bedroom at the top of the house, talking about life, how they were to reform the world."," Tak tam seděly celé hodiny a povídaly si v jejím pokoji v podkroví, mluvily o životě, o tom, jak změní svět."
"found","found","založit","založit","pf"," They meant to found a society to abolish private property, and actually had a letter written, though not sent out."," Měly v úmyslu založit spolek za zrušení soukromého vlastnictví, a dokonce sepsaly dopis, ale neodeslaly ho."
"written","write","sepsaly","sepsat","pf"," They meant to found a society to abolish private property, and actually had a letter written, though not sent out."," Měly v úmyslu založit spolek za zrušení soukromého vlastnictví, a dokonce sepsaly dopis, ale neodeslaly ho."
