"striding","stride","Kráčel","kráčet","impf"," He was striding through the cars with the air of a person of authority, who is awaited, expected, and now comes."," Kráčel mezi vozy jako člověk, který má moc, je dychtivě očekáván, a teď přichází."
"awaited","await","očekáván","očekávat","impf"," He was striding through the cars with the air of a person of authority, who is awaited, expected, and now comes."," Kráčel mezi vozy jako člověk, který má moc, je dychtivě očekáván, a teď přichází."
"expected","expect","očekáván","očekávat","impf"," He was striding through the cars with the air of a person of authority, who is awaited, expected, and now comes."," Kráčel mezi vozy jako člověk, který má moc, je dychtivě očekáván, a teď přichází."
"comes","come","přichází","přicházet","impf"," He was striding through the cars with the air of a person of authority, who is awaited, expected, and now comes."," Kráčel mezi vozy jako člověk, který má moc, je dychtivě očekáván, a teď přichází."
"said","say","řekla","říci","pf"," "" Is it time, "" said Mrs. Swithin, "" to go and join- "" She left the sentence unfinished, as if she were of two minds, and they fluttered to right and to left, like pigeons rising from the grass."," "" Je čas, "" řekla paní Swithinová, "" připojit se - "" Větu nedokončila, jako by v ní byla dvojí důle, jedna poletovala napravo, druhá nalevo, jako když holubi vzlétají z trávy."
"brought","bring","přinesli","přinést","pf"," But they had brought a lunch basket."," Ale přinesli si koš s oběděm."
"seeing","see","zahlédli","zahlédnout","pf"," sweet ... "" yet delayed a moment, seeing through the golden glory perhaps a crack in the boiler;"," sladký ... "" a přece chvíli zaváhali, jak za tou zlatou slávou zahlédli buď prasklinu na kotli;"
"Dispersed","disperse","rozptýleni","rozptýlit","pf"," Dispersed are we, the gramophone informed them."," Jsme rozptýleni, oznámil jim gramofon."
"informed","inform","oznámil","oznámit","pf"," Dispersed are we, the gramophone informed them."," Jsme rozptýleni, oznámil jim gramofon."
"dismissed","dismiss","propustil","propustit","pf"," And dismissed them."," A propustil je."
"understand","understand","rozumět","rozumět","impf"," SIR S. L. ( aside ) She speaks the truth there! ( Aloud ) You would have me understand, Madam ....?"," Sir S. L. ( stranou ) To má pravdu! ( Nahlas ) Mám tomu, milostivá, rozumět ..."
"Come","come","Pojďte","jít","impf"," Come closer."," Pojďte blíž."
"Bound","bind","svazovali","svazovat","impf"," Bound our wrists with daisy chains together."," Sedmikráskovými pouty jsme si svazovali zápěstí."
"see","see","vidím","vidět","impf"," How nice to see you!"," To jsem rád, že vás vidím!"
"looked","look","Pohlédl","pohlédnout","pf"," He looked at the audience;"," Pohlédl na obecenstvo;"
"think","think","myslím","myslet","impf"," "" I think I hear them, "" she said."," "" Už je, myslím, slyším, "" řekla."
"hear","hear","slyším","slyšet","impf"," "" I think I hear them, "" she said."," "" Už je, myslím, slyším, "" řekla."
"said","say","řekla","říci","pf"," "" I think I hear them, "" she said."," "" Už je, myslím, slyším, "" řekla."
"pacing","pace","přecházela","přecházet","impf"," Miss La Trobe was pacing to and fro between the leaning birch trees."," Pod nachýlenými břízami přecházela sem tam slečna La Trobová."
"reading","read","Četla","číst","impf"," She was reading what was written there."," Četla, co na něm stálo."
"pacing","pace","přechází","přecházet","impf"," She had the look of a commander pacing his deck."," Vypadala jako kapitán, když přechází po palubě."
"exclaimed","exclaim","vykřikla","vykřiknout","pf"," but next moment she exclaimed :"," ale vtom už vykřikla :"
"looked","look","koukla","kouknout","pf"," Isa looked too."," Isa se také koukla."
"salute","salute","vítá","vítat","impf"," Thus to salute the children;"," Že tak vítá dětičky;"
"defy","defy","vzdoruje","vzdorovat","impf"," How courageous to defy Bart and the weather!"," Že tak statečně vzdoruje Bartovi i počasí!"
"said","say","řekla","říci","pf"," "" He looks blooming, "" said Mrs. Swithin."," "" Přímo kypí zdravím, "" řekla paní Swithinová."
"said","say","řekla","říci","pf"," "" And the decorations ... "" said Mrs. Manresa, looting round for someone to congratulate."," "" A ta výzdoba ... "" řekla paní Manresová a rozhlédla se, komu by pogratulovala."
"waiting","wait","čekala","čekat","impf"," She stood smiling, waiting."," Usmívala se, čekala."
"said","say","řekla","říci","pf"," "" They come every year, "" she said, "" the same birds. """," "" Vracejí se rok co rok, "" řekla, "" jsou to tytéž. """
"smiled","smile","usmála","usmát","pf"," Mrs. Manresa smiled benevolently, humouring the old lady 's whimsy."," Paní Manresová se shovívavě usmála, nevyvracela to staré dámě."
"addressing","address","oslovila","oslovit","pf"," "" Or what are your rings for, and your nails, and that really adorable little straw hat? "" said Isabella addressing Mrs. Manresa silently and thereby making silence add its unmistakable contribution to talk."," "" Nač máte ty prsteny a nehty, a ten přímo rozkošný slamáček? "" oslovila Isabella paní Manresovou mlčky a tím mlčením zřetelně přispěla k hovoru."
"read","read","přečetli","přečíst","pf"," Simultaneously the audience lowered their heads and read their programmes."," V tu chvíli i diváci svěsili hlavu a přečetli si program."
"omitted","omit","vypuštěn","vypustit","pf"," Owing to lack of time a scene has been omitted;"," Jeden výstup je pro nedostatek času vypuštěn;"
"imagine","imagine","představí","představit","pf"," and she begs the audience to imagine that in the interval Sir Spaniel Lilyliver has contracted an engagement with Flavinda;"," nechť si obecenstvo laskavě představí, že zatím se sir Spaniel Lilyliver zasnoubí s Flavindou;"
"plight","plight","slíbí","slíbit","pf"," who had been about to plight her troth;"," ta už mu málem slíbí, že si ho vezme;"
"murmured","murmur","šeptala","šeptat","impf"," "" O that my life could here have ending, "" Isa murmured ( taking care not to move her lips )."," "" Kéž by mi skončil život vezdejší, "" šeptala Isa ( snažila se přitom nepohybovat rty )."
"move","move","nepohybovat","pohybovat","impf"," "" O that my life could here have ending, "" Isa murmured ( taking care not to move her lips )."," "" Kéž by mi skončil život vezdejší, "" šeptala Isa ( snažila se přitom nepohybovat rty )."
"gave","give","dodává","dodávat","impf"," Her grey satin robe ( a bedspread ), pinned in stone-like folds, gave her the majesty of a statue."," Šedá atlasová róba ( pokrývka z postele ), sešpendlená do kamenných záhybů, jí dodává sošného majestátu."
"carried","carry","má","mít","impf"," She carried a sceptre and a little round orb."," V ruce má žezlo a říšské jablko."
"spoke","speak","mluvila","mluvit","impf"," She spoke too low at first;"," Zpočátku mluvila moc tiše;"
"heard","hear","slyšeli","slyšet","impf"," all they heard was"," slyšeli jen"
"Hear","hear","Slyšte","slyšet","impf"," "" Hear!"," "" Slyšte!"
"Hear","hear","Slyšte","slyšet","impf"," Hear! "" he cried."," Slyšte! "" volal."
"cried","cry","volal","volat","impf"," Hear! "" he cried."," Slyšte! "" volal."
"leaning","lean","opřen","opřít","pf"," Time, leaning on his sickle, stands amazed."," Čas opřen o srp zírá s úžasem."
"expressed","express","vyslovit","vyslovit","pf"," What word expressed the sag at his heart, the effusion in his veins, as the retreating Manresa, with Giles attendant, admirable woman, all sensation, ripped the rag doll and let the sawdust stream from his heart?"," Nelze vyslovit, jak mu srdce usedalo, jak mu kypěla krev, když ta nádherná, vzrušující Manresová, odcházející v Gilesově doprovodu, roztrhla hadrového panáčka, až se mu piliny ze srdce vysypaly."
"ripped","rip","roztrhla","roztrhnout","pf"," What word expressed the sag at his heart, the effusion in his veins, as the retreating Manresa, with Giles attendant, admirable woman, all sensation, ripped the rag doll and let the sawdust stream from his heart?"," Nelze vyslovit, jak mu srdce usedalo, jak mu kypěla krev, když ta nádherná, vzrušující Manresová, odcházející v Gilesově doprovodu, roztrhla hadrového panáčka, až se mu piliny ze srdce vysypaly."
"turned","turn","zamířil","zamířit","pf"," The old man made a guttural sound, and turned to the right."," Stařec zachrčel a zamířil vpravo."
"prompted","prompt","napověděla","napovědět","pf"," "" A child new born ... "" she prompted."," "" V podobě děcka ... "" napověděla,"
"continued","continue","pokračovala","pokračovat","impf"," "" A child new born "" Phyllis Jones continued,"," "" v podobě děcka, "" pokračovala Phylis Jonesová,"
"left","leave","odkázal","odkázat","pf"," To cut the matter short, Sir, my brother Bob left all he died possessed of to his only child Flavinda;"," Bratr Bob zkrátka všechno, co mu v době úmrtí patřilo, odkázal své jediné dceři Flavindě;"
"marry","marry","vdá","vdát","pf"," That she marry to her Aunt 's liking."," Když se vdá podle přání své tety."
"come","come","jdou","jít","impf"," But look-here they come! """," Hele - už jdou! """
"dropped","drop","upustil","upustit","pf"," he had dropped it."," upustil ji."
"slept","sleep","spal","spát","impf"," With his head on one side, his hand dangling above the dog 's head he slept;"," S hlavou na stranu, s rukou svěšenou nad psí hlavou, spal;"
"said","say","řekla","říci","pf"," "" This, "" she said, "" is the staircase."," "" Tady je schodiště, "" řekla."
"attacked","attack","napadli","napadnout","pf"," Then suddenly the starlings attacked the tree behind which she had hidden."," A vtom napadli špačci strom, za kterým se skrývala."
"hidden","hide","skrývala","skrývat","impf"," Then suddenly the starlings attacked the tree behind which she had hidden."," A vtom napadli špačci strom, za kterým se skrývala."
"stung","sting","píchlo","píchnout","pf"," "" What stung, niece? "" says she."," "" To tě něco píchlo, neteři? "" a hned křikla na Deb :"
"hide","hide","schovám","schovat","pf"," Quick, I 'll hide."," Honem se schovám."
"teach","teach","naučila","naučit","pf"," Perfidious porpoise, O! Did n't the Horn book teach you Honour thy Great Aunt?"," Ty proradná mořská sviňko, takhle ses v slabikáři naučila ctít svou šlechetnou tetu."
"reading","read","přečtla","přečíst","pf"," How have you misread it and misspelt it, learnt thieving and cheating and reading of wills in old boxes and hiding of rascals in honest time-pieces that have never missed a second since King Charles 's day!"," Špatně sis ho přečtla a vyložila, naučila ses z něho krást a šidit a číst v starých truhlách poslední vůle a v poctivých stojacích hodinách, které od dob krále Karla ani vteřinu nevynechaly, schovávat lumpy!"
