"cancel","cancel","pf"
"rehouse","rehoused","pf"
"prepare","preparing","impf"
"recline","reclined","impf"
"govern","governed","impf"
"mince","minced","pf"
"supplant","supplanted","pf"
"tinkle","tinkling","impf"
"analyse","analysing","impf"
"resemble","resembled","impf"
"discourage","discouraged","pf"
"oversee","overseen","impf"
"pretend","pretend","impf"
"rupture","ruptures","pf"
"wreck","wrecked","pf"
"proffer","proffered","pf"
"pick","picked","pf"
"afflict","afflicted","impf"
"constrict","constricted","pf"
"reproach","reproached","impf"
"fluctuate","fluctuated","impf"
"kidnap","kidnapped","pf"
"reposition","repositioned","pf"
"warrant","warrant","impf"
"calculate","calculate","pf"
"authorize","authorize","pf"
"conceal","concealed","pf"
"groom","groomed","impf"
"sniff","sniffed","impf"
"possess","possessed","impf"
"coincide","coincided","impf"
"require","required","impf"
"scratch","scratches","pf"
"devise","devise","pf"
"click","clicked","pf"
"clutch","clutching","impf"
"temper","tempered","pf"
"evacuate","EVACUATE","pf"
"wink","winked","pf"
"eavesdrop","eavesdropping","impf"
"rejoice","rejoice","impf"
"dawn","dawned","impf"
"wing","winging","impf"
"placate","placate","pf"
"tickle","tickled","pf"
"object","objected","impf"
"wind","winding","impf"
"interject","interjected","pf"
"harbour","harboured","impf"
"hang","hung","impf"
"throb","throbbed","impf"
"SET","SET","pf"
"achieve","achieve","pf"
"overdo","overdo","impf"
"roll","roll","impf"
"blur","blur","pf"
"suffice","suffice","pf"
"concede","conceded","pf"
"turn","turned","pf"
"elect","elected","pf"
"deluge","deluged","pf"
"result","resulted","pf"
"yowl","yowl","impf"
"wreak","wreaking","pf"
"evaporate","evaporated","pf"
"commission","commissioned","pf"
"muff","muff","pf"
"quiet","quieted","pf"
"flip","flipped","pf"
"disband","disbanded","pf"
"connect","connected","pf"
"hand","handed","pf"
"pervert","pervert","impf"
"rescind","rescind","pf"
"resume","resumed","impf"
"rebuild","rebuilt","pf"
"barricade","barricading","pf"
"address","address","pf"
"twiddle","twiddle","impf"
"deaden","deadened","impf"
"excavate","excavate","impf"
"ramble","rambled","impf"
"wipe","wiped","pf"
"halt","halt","pf"
"photograph","photographed","pf"
"overwhelm","overwhelm","pf"
"police","police","impf"
"throw","threw","impf"
"thank","Thank","impf"
"poach","poaching","impf"
"disguise","disguise","pf"
"wrap","wrapped","pf"
"discuss","discuss","impf"
"reimburse","reimburse","pf"
"correct","corrected","pf"
"resolve","resolved","pf"
"lade","laden","pf"
"unfurl","unfurled","pf"
"chill","chilled","pf"
"confront","confront","impf"
"reunite","reunited","pf"
"dominate","dominated","impf"
"imitate","imitating","pf"
"empty","emptied","pf"
"deploy","Deployed","pf"
"wish","wished","impf"
"compute","computed","impf"
"rearrange","rearranged","pf"
"reproduce","reproduces","impf"
"tie","tied","pf"
"exceed","exceeded","impf"
"enlarge","enlarged","pf"
"pervade","pervaded","impf"
"disperse","dispersed","pf"
"tip","tip","pf"
"implement","implemented","pf"
"avert","averted","pf"
"export","export","impf"
"laugh","laughing","impf"
"dismount","dismounted","pf"
"chime","chiming","impf"
"murder","murdered","pf"
"incinerate","incinerate","pf"
"hanker","hankered","impf"
"pat","patted","pf"
"erode","eroded","pf"
"paw","pawing","impf"
"pay","paid","pf"
"check","checked","pf"
"beset","beset","impf"
"list","listed","pf"
"lack","lacking","impf"
"frustrate","frustrating","pf"
"remunerate","remunerate","pf"
"importune","importuned","impf"
"revise","revise","impf"
"ascend","ascended","impf"
"harm","harmed","impf"
"avenge","avenging","pf"
"embody","embody","impf"
"remove","removed","pf"
"muster","mustered","pf"
"outstrip","outstrip","pf"
"emancipate","emancipated","pf"
"envisage","envisaged","impf"
"root","rooted","impf"
"wrestle","wrestled","impf"
"motivate","motivate","impf"
"ricochet","ricocheted","pf"
"spoil","spoil","pf"
"multiply","multiplied","impf"
"lend","lend","pf"
"live","lived","impf"
"worsen","worsened","pf"
"hypothesize","hypothesizes","impf"
"pilot","piloted","impf"
"authorise","authorised","pf"
"perform","perform","impf"
"concentrate","concentrate","pf"
"expose","exposed","pf"
"cheer","cheered","impf"
"unfetter","unfetter","pf"
"bemoan","bemoan","impf"
"avow","avowed","pf"
"better","better","pf"
"taint","tainted","impf"
"tinker","tinker","pf"
"populate","populated","impf"
"puncture","punctured","pf"
"service","service","impf"
"permit","permitted","pf"
"inject","injected","pf"
"upraise","upraised","pf"
"pocket","pocketing","pf"
"pile","piled","pf"
"channel","channelled","impf"
"focus","focused","pf"
"sate","sated","pf"
"hamper","hampered","impf"
"exterminate","exterminate","pf"
"approach","approach","impf"
"overshadow","overshadowed","pf"
"usher","ushered","pf"
"misappropriate","misappropriated","pf"
"conjecture","conjecture","impf"
"peg","pegging","pf"
"experiment","experimented","impf"
"flop","flop","pf"
"bump","bumped","pf"
"hate","hated","impf"
"block","blocks","pf"
"ordain","ordained","pf"
"revive","revived","pf"
"mull","mulling","impf"
"write","write","impf"
"flow","flowed","impf"
"pet","petting","impf"
"order","order","pf"
"wage","waged","impf"
"explicate","explicate","impf"
"modulate","modulated","impf"
"proceed","proceeded","impf"
"inter","interred","pf"
"understand","understood","impf"
"dismiss","dismissed","pf"
"birth","birthed","impf"
"gore","gored","pf"
"propose","proposing","impf"
"destine","destined","pf"
"flog","flogging","pf"
"remit","remitted","pf"
"glint","glinting","impf"
"install","installed","pf"
"even","even","pf"
"analyze","analyzed","impf"
"ensue","ensuing","impf"
"coach","coached","impf"
"wait","wait","impf"
"blackmail","blackmail","impf"
"save","save","pf"
"stagger","staggered","pf"
"matter","matter","impf"
"restrict","restricted","impf"
"enliven","enliven","pf"
"top","top","pf"
"peep","peeped","impf"
"peer","peered","impf"
"imprison","imprisoned","pf"
"ladle","ladling","pf"
"tot","totted","pf"
"wail","wailed","impf"
"persecute","persecuted","impf"
"tow","towing","impf"
"REQUIRE","REQUIRE","impf"
"roast","roasted","pf"
"haul","hauled","impf"
"avail","availed","pf"
"question","question","impf"
"peel","peel","pf"
"foreordain","foreordained","pf"
"jostle","jostling","impf"
"produce","produce","impf"
"picture","picturing","impf"
"denounce","denounced","pf"
"peek","peeking","impf"
"verge","verging","impf"
"cheat","cheat","impf"
"disengage","disengaged","pf"
"underrate","underrate","impf"
"disable","disabling","pf"
"regard","regarded","impf"
"horrify","horrified","pf"
"resurrect","resurrected","pf"
"infect","infect","pf"
"chronicle","chronicled","pf"
"infiltrate","infiltrated","pf"
"prohibit","prohibits","impf"
"cop","cops","pf"
"reign","reigned","impf"
"reverberate","reverberated","impf"
"hypothesise","hypothesises","impf"
"foresee","foresee","impf"
"associate","associated","impf"
"pacify","pacified","pf"
"pray","prayed","impf"
"crawl","crawled","impf"
"plead","pleaded","impf"
"gleam","gleamed","impf"
"wake","wake","pf"
"detract","detracting","pf"
"lag","lags","impf"
"glean","glean","impf"
"rejoin","rejoined","pf"
"pin","pinned","pf"
"function","functioned","impf"
"raise","raised","pf"
"twirl","twirl","impf"
"revere","revered","impf"
"stock","stocked","pf"
"sneak","sneaking","pf"
"suspend","suspended","impf"
"void","void","pf"
"lay","lay","impf"
"swap","swapped","pf"
"dispense","dispense","impf"
"fondle","fondle","impf"
"pardon","Pardon","pf"
"crave","craved","impf"
"sway","sway","impf"
"revert","reverting","pf"
"splinter","splinter","pf"
"belittle","belittling","impf"
"tutor","tutored","impf"
"reconcile","reconcile","pf"
"impugn","impugning","pf"
"condition","conditioned","pf"
"annul","annulled","pf"
"tempt","tempt","impf"
"peddle","peddled","impf"
"improve","improved","pf"
"snow","snows","impf"
"try","trying","impf"
"cross-question","cross-questioning","impf"
"vanquish","vanquished","pf"
"twist","twisting","impf"
"absolve","absolving","pf"
"perplex","perplexed","pf"
"emanate","emanated","impf"
"procrastinate","procrastinated","impf"
"locate","located","pf"
"unite","uniting","impf"
"censure","censured","impf"
"chatter","chattered","impf"
"personate","personating","impf"
"accost","accosted","pf"
"cause","cause","pf"
"muse","mused","impf"
"combat","combat","impf"
"despise","despised","impf"
"indulge","indulge","pf"
"wound","wounded","pf"
"pursue","pursued","impf"
"design","designed","impf"
"convey","convey","pf"
"busy","busied","impf"
"land","landed","pf"
"redeem","redeemed","pf"
"bust","busted","pf"
"contaminate","contaminated","pf"
"allude","allude","impf"
"burn","burnt","impf"
"wring","wrung","impf"
"accord","accorded","impf"
"forfeit","forfeit","pf"
"cry","cried","impf"
"disintegrate","disintegrate","pf"
"rampage","rampaged","impf"
"backfire","backfired","pf"
"probe","probe","pf"
"doctor","doctoring","impf"
"groan","groaned","impf"
"bury","buried","pf"
"conduct","conducting","impf"
"obey","obey","pf"
"plunder","plundered","pf"
"botch","botching","pf"
"foment","foments","impf"
"grapple","grappled","pf"
"respond","responding","pf"
"tidy","tidied","impf"
"sketch","sketch","pf"
"ply","plies","impf"
"sport","sport","impf"
"walk","walked","impf"
"glisten","glistened","impf"
"attire","attired","pf"
"tug","tugs","impf"
"marry","marrying","impf"
"pity","pitied","impf"
"absorb","absorbed","pf"
"grieve","grieve","impf"
"supply","supply","pf"
"induct","induct","pf"
"concern","concerning","impf"
"circulate","circulated","impf"
"fracture","fracturing","pf"
"resuscitate","resuscitated","pf"
"incubate","incubating","impf"
"rectify","rectify","pf"
"lessen","lessen","pf"
"refrain","refrained","pf"
"merge","merged","pf"
"let","let","pf"
"state","stated","pf"
"press","pressed","pf"
"dock","docked","pf"
"welcome","welcome","pf"
"snub","snubbed","impf"
"drift","drifted","impf"
"want","want","impf"
"pace","pace","impf"
"exclaim","exclaimed","pf"
"forecast","forecast","impf"
"mute","mute","impf"
"uncover","uncovered","pf"
"deteriorate","deteriorated","pf"
"recognize","recognize","pf"
"pack","pack","pf"
"induce","induce","pf"
"wane","wane","impf"
"extricate","extricated","pf"
"baffle","baffled","pf"
"offend","offended","impf"
"enroll","enrolled","pf"
"infringe","infringing","pf"
"circle","circled","impf"
"butt","butt","impf"
"resign","resign","pf"
"safeguard","safeguarding","impf"
"bathe","bathe","impf"
"cut","cut","pf"
"dethrone","dethroned","pf"
"reside","residing","impf"
"document","documented","pf"
"ward","ward","pf"
"harass","harassing","impf"
"dread","dreaded","impf"
"starve","starve","impf"
"chase","chase","impf"
"promote","promote","impf"
"found","founded","pf"
"tear","tore","pf"
"excuse","excused","pf"
"combust","combusting","impf"
"attack","attack","pf"
"divorce","divorced","pf"
"attach","attached","pf"
"distribute","distribute","pf"
"shout","shouted","pf"
"escape","escaped","impf"
"enlist","enlisted","pf"
"convict","convicted","pf"
"validate","Validating","pf"
